Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis pompilioides,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Alabaminella weddellensis,Sphaeroidina bulloides,Schackoinella sp.,Ehrenbergina sp.,Cibicides  bradyi,Cassidulina spp.,Bolivina pacifica,Pyrgo sp.,Pullenia quinqueloba,Pyrgo murrhina,Laticarinina pauperata,Gyroidinoides neosoldanii,Gyroidina regularis,Discorbinella bertheloti,Astrononion echolsi,Cibicidoides kullenbergi,Miliolid taxa (thin-walled),Gyroidina orbicularis,Bulimina sp. A,Bolivina spp.,Abditodentrix pseudothalmanni,Anomalinoides globulosus,Stainforthia fusiformis,Planulina sp.,Uvigerina hispida,Bulimina alazanensis,Pullenia bulloides,Uvigerina peregrina,Pseudoparrella sp.,Cibicidoides sp.,Cibicidoides robertsonianus,Chilostomella oolina,Cibicides lobatulus,Comment
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 1,  63.00,     85.1300,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,8              ,1                       ,3                 ,3           ,23                ,3                 ,3                    ,4                 ,15                    ,2             ,6            ,                    ,                  ,5                ,6                         ,3                 ,              ,36                         ,6                  ,18                  ,10                        ,5                    ,6                        ,                      ,3                ,                ,                 ,1               ,                 ,         ,8                   ,1             ,                      ,1                        ,                   ,                        ,2                  ,2                       ,                           ,                     ,16            ,5            ,                             ,                        ,                       ,             ,                 ,3                   ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 311; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 2,  60.00,     86.5900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,6                 ,1              ,                        ,                  ,5           ,12                ,1                 ,4                    ,3                 ,20                    ,2             ,5            ,1                   ,6                 ,6                ,6                         ,                  ,              ,34                         ,7                  ,38                  ,1                         ,4                    ,23                       ,                      ,6                ,                ,                 ,1               ,                 ,         ,9                   ,1             ,                      ,                         ,1                  ,                        ,                   ,3                       ,                           ,                     ,2             ,5            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 244; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 3,  60.00,     88.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,5              ,                        ,1                 ,            ,14                ,2                 ,7                    ,1                 ,17                    ,1             ,2            ,1                   ,2                 ,6                ,8                         ,4                 ,4             ,24                         ,5                  ,45                  ,3                         ,7                    ,24                       ,                      ,                 ,                ,2                ,2               ,                 ,1        ,5                   ,              ,                      ,2                        ,2                  ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count =281 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 4,  60.00,     89.5700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,3              ,                        ,2                 ,            ,8                 ,                  ,6                    ,1                 ,21                    ,1             ,8            ,                    ,3                 ,4                ,9                         ,1                 ,              ,18                         ,8                  ,57                  ,                          ,2                    ,16                       ,1                     ,10               ,                ,                 ,2               ,                 ,         ,2                   ,              ,                      ,2                        ,2                  ,                        ,                   ,                        ,                           ,                     ,4             ,1            ,                             ,                        ,                       ,             ,1                ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 218; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 5,  61.00,     91.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,3              ,                        ,                  ,            ,11                ,3                 ,7                    ,                  ,24                    ,2             ,2            ,                    ,                  ,8                ,6                         ,1                 ,              ,18                         ,10                 ,55                  ,                          ,2                    ,32                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,3                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa =5 ; total count = 218; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 6,  60.00,     92.5500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,2              ,1                       ,1                 ,3           ,14                ,6                 ,9                    ,2                 ,18                    ,2             ,5            ,1                   ,3                 ,10               ,3                         ,5                 ,              ,29                         ,7                  ,44                  ,6                         ,5                    ,50                       ,                      ,4                ,                ,3                ,2               ,                 ,1        ,1                   ,              ,1                     ,2                        ,4                  ,                        ,                   ,                        ,                           ,1                    ,10            ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 314; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 10,H, 7,  30.00,     93.7400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,4              ,2                       ,2                 ,1           ,17                ,3                 ,7                    ,2                 ,9                     ,2             ,6            ,                    ,1                 ,5                ,4                         ,2                 ,              ,22                         ,1                  ,55                  ,2                         ,9                    ,32                       ,1                     ,1                ,                ,                 ,4               ,                 ,         ,3                   ,              ,1                     ,                         ,                   ,                        ,                   ,                        ,                           ,2                    ,4             ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 234; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 1,  60.00,     94.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,1              ,                        ,                  ,2           ,7                 ,3                 ,4                    ,                  ,31                    ,              ,10           ,                    ,                  ,14               ,6                         ,4                 ,              ,19                         ,5                  ,23                  ,6                         ,1                    ,38                       ,                      ,3                ,                ,                 ,                ,                 ,1        ,5                   ,              ,                      ,3                        ,3                  ,1                       ,                   ,                        ,                           ,                     ,1             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 12; total count = 226; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 2,  60.00,     96.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,3              ,                        ,2                 ,2           ,14                ,5                 ,7                    ,2                 ,16                    ,3             ,1            ,                    ,                  ,11               ,4                         ,                  ,              ,35                         ,2                  ,41                  ,2                         ,13                   ,48                       ,                      ,1                ,                ,                 ,3               ,                 ,1        ,7                   ,              ,                      ,2                        ,2                  ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 265; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 3,  60.00,     97.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,3              ,                        ,                  ,2           ,12                ,10                ,14                   ,4                 ,15                    ,2             ,4            ,                    ,3                 ,9                ,6                         ,2                 ,              ,24                         ,                   ,24                  ,2                         ,2                    ,20                       ,                      ,                 ,                ,1                ,1               ,                 ,5        ,5                   ,3             ,                      ,                         ,4                  ,                        ,                   ,                        ,                           ,3                    ,              ,             ,                             ,1                       ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 208; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 4,  60.00,     99.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,4                 ,5              ,                        ,                  ,7           ,17                ,4                 ,16                   ,3                 ,15                    ,              ,8            ,1                   ,                  ,8                ,10                        ,2                 ,              ,31                         ,2                  ,45                  ,2                         ,5                    ,57                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,10                  ,4             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 270; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 5,  60.00,    100.5600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,9              ,1                       ,3                 ,5           ,14                ,4                 ,10                   ,2                 ,12                    ,              ,4            ,                    ,                  ,7                ,7                         ,                  ,              ,38                         ,3                  ,14                  ,                          ,2                    ,42                       ,                      ,                 ,                ,2                ,3               ,2                ,         ,5                   ,1             ,                      ,1                        ,                   ,                        ,                   ,1                       ,                           ,2                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 230; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 6,  60.00,    102.0500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,9              ,1                       ,1                 ,7           ,10                ,4                 ,8                    ,4                 ,2                     ,1             ,3            ,                    ,2                 ,7                ,4                         ,6                 ,2             ,45                         ,                   ,23                  ,4                         ,5                    ,46                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,6                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,3                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 232; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 11,H, 7,  30.00,    103.2400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,6              ,3                       ,                  ,            ,9                 ,5                 ,4                    ,2                 ,11                    ,              ,5            ,                    ,                  ,4                ,                          ,4                 ,              ,54                         ,3                  ,23                  ,2                         ,4                    ,30                       ,                      ,4                ,                ,                 ,1               ,                 ,         ,2                   ,2             ,                      ,3                        ,                   ,                        ,                   ,1                       ,1                          ,                     ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count =204; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 1,  60.00,    104.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,1                       ,                  ,2           ,14                ,3                 ,4                    ,2                 ,28                    ,              ,1            ,                    ,                  ,7                ,4                         ,3                 ,              ,28                         ,5                  ,45                  ,3                         ,2                    ,23                       ,                      ,                 ,                ,1                ,2               ,                 ,         ,3                   ,2             ,                      ,                         ,2                  ,                        ,1                  ,                        ,                           ,                     ,3             ,             ,1                            ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 211; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 2,  60.00,    105.5900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,21                ,1              ,1                       ,                  ,3           ,7                 ,6                 ,3                    ,7                 ,8                     ,              ,3            ,2                   ,5                 ,4                ,4                         ,4                 ,              ,36                         ,3                  ,25                  ,3                         ,3                    ,23                       ,                      ,3                ,                ,1                ,5               ,                 ,7        ,4                   ,3             ,                      ,                         ,2                  ,1                       ,                   ,                        ,                           ,2                    ,              ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 226; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 3,  60.00,    107.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,8              ,1                       ,                  ,5           ,7                 ,8                 ,3                    ,                  ,13                    ,              ,7            ,                    ,3                 ,4                ,9                         ,4                 ,              ,40                         ,1                  ,25                  ,                          ,4                    ,26                       ,2                     ,1                ,                ,1                ,7               ,                 ,1        ,4                   ,              ,                      ,2                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 297; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 4,  60.00,    108.5700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,9              ,1                       ,                  ,3           ,13                ,3                 ,7                    ,3                 ,14                    ,1             ,4            ,                    ,2                 ,2                ,8                         ,6                 ,              ,50                         ,3                  ,24                  ,                          ,5                    ,25                       ,                      ,1                ,                ,                 ,1               ,                 ,         ,8                   ,              ,                      ,1                        ,                   ,1                       ,                   ,2                       ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 3; total count = 219; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 5,  60.00,    110.0600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,27                ,3              ,                        ,                  ,3           ,7                 ,7                 ,3                    ,3                 ,3                     ,2             ,3            ,                    ,2                 ,3                ,8                         ,6                 ,              ,53                         ,2                  ,25                  ,                          ,4                    ,13                       ,                      ,                 ,1               ,                 ,                ,                 ,1        ,1                   ,1             ,                      ,                         ,                   ,                        ,3                  ,3                       ,1                          ,                     ,3             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 13; total count = 208; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 12,H, 6,  58.00,    111.5300,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,8                 ,3              ,                        ,                  ,2           ,12                ,4                 ,3                    ,2                 ,3                     ,              ,3            ,                    ,                  ,3                ,12                        ,6                 ,2             ,35                         ,2                  ,65                  ,2                         ,4                    ,18                       ,                      ,                 ,                ,1                ,3               ,                 ,         ,1                   ,5             ,                      ,1                        ,1                  ,                        ,                   ,                        ,                           ,1                    ,1             ,             ,                             ,                        ,3                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 14; total count =224 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 1,  63.00,    113.6300,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,20                ,2              ,1                       ,3                 ,            ,11                ,4                 ,7                    ,3                 ,19                    ,4             ,2            ,1                   ,                  ,4                ,6                         ,10                ,              ,73                         ,2                  ,42                  ,1                         ,10                   ,36                       ,                      ,3                ,                ,                 ,                ,                 ,         ,5                   ,1             ,                      ,2                        ,3                  ,1                       ,                   ,4                       ,1                          ,3                    ,              ,             ,1                            ,1                       ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 13; total count =393 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 2,  60.00,    115.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,26                ,6              ,                        ,1                 ,2           ,3                 ,10                ,10                   ,2                 ,5                     ,              ,4            ,                    ,3                 ,9                ,7                         ,10                ,              ,39                         ,                   ,26                  ,1                         ,3                    ,32                       ,2                     ,                 ,1               ,2                ,3               ,                 ,         ,3                   ,              ,                      ,4                        ,                   ,                        ,                   ,                        ,                           ,1                    ,              ,             ,                             ,                        ,2                      ,1            ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 17; total count = 252; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 3,  60.00,    116.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,3              ,2                       ,1                 ,6           ,9                 ,6                 ,8                    ,4                 ,25                    ,              ,2            ,                    ,                  ,3                ,4                         ,7                 ,              ,43                         ,                   ,33                  ,                          ,3                    ,23                       ,1                     ,3                ,                ,                 ,                ,                 ,         ,                    ,              ,                      ,2                        ,                   ,                        ,1                  ,                        ,                           ,1                    ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 337; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 4,  60.00,    118.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,2              ,                        ,2                 ,1           ,3                 ,3                 ,7                    ,3                 ,17                    ,1             ,2            ,                    ,                  ,2                ,3                         ,8                 ,              ,42                         ,4                  ,30                  ,2                         ,4                    ,33                       ,                      ,1                ,                ,1                ,3               ,                 ,1        ,4                   ,1             ,                      ,4                        ,                   ,                        ,7                  ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 406; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 5,  60.00,    119.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,27                ,3              ,2                       ,2                 ,2           ,12                ,8                 ,6                    ,4                 ,26                    ,              ,4            ,                    ,2                 ,6                ,7                         ,2                 ,3             ,48                         ,2                  ,22                  ,1                         ,1                    ,42                       ,                      ,4                ,                ,                 ,1               ,                 ,         ,4                   ,              ,                      ,1                        ,                   ,3                       ,                   ,                        ,                           ,                     ,3             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 363; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 6,  60.00,    121.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,2              ,                        ,1                 ,6           ,17                ,8                 ,3                    ,4                 ,20                    ,              ,             ,                    ,1                 ,2                ,5                         ,3                 ,              ,33                         ,8                  ,16                  ,3                         ,4                    ,34                       ,                      ,2                ,                ,                 ,2               ,                 ,         ,5                   ,              ,1                     ,2                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count =226 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 13,H, 7,  30.00,    122.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,5              ,4                       ,1                 ,1           ,9                 ,4                 ,6                    ,1                 ,23                    ,2             ,1            ,2                   ,                  ,6                ,4                         ,                  ,              ,45                         ,5                  ,23                  ,4                         ,6                    ,24                       ,                      ,5                ,                ,1                ,3               ,                 ,         ,8                   ,              ,                      ,1                        ,                   ,                        ,1                  ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 231; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 1,  60.00,    123.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,21                ,4              ,3                       ,1                 ,3           ,11                ,11                ,7                    ,4                 ,12                    ,1             ,5            ,                    ,5                 ,9                ,11                        ,2                 ,              ,47                         ,6                  ,7                   ,1                         ,1                    ,11                       ,1                     ,                 ,                ,2                ,3               ,                 ,1        ,2                   ,              ,                      ,3                        ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count =235 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 2,  60.00,    124.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,7              ,1                       ,                  ,3           ,5                 ,12                ,2                    ,4                 ,12                    ,              ,3            ,                    ,4                 ,9                ,4                         ,4                 ,              ,52                         ,3                  ,30                  ,1                         ,                     ,16                       ,1                     ,1                ,                ,                 ,1               ,                 ,1        ,6                   ,              ,1                     ,2                        ,1                  ,1                       ,1                  ,                        ,                           ,                     ,              ,             ,                             ,1                       ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 302; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 3,  65.00,    126.1500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,18                ,6              ,1                       ,1                 ,5           ,7                 ,10                ,3                    ,                  ,34                    ,              ,4            ,                    ,2                 ,6                ,4                         ,9                 ,              ,113                        ,4                  ,40                  ,1                         ,                     ,39                       ,2                     ,1                ,                ,2                ,4               ,                 ,         ,6                   ,              ,                      ,4                        ,                   ,1                       ,4                  ,                        ,                           ,                     ,7             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 522; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 4,  60.00,    127.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,7                 ,2              ,1                       ,1                 ,1           ,5                 ,5                 ,4                    ,5                 ,22                    ,2             ,2            ,                    ,2                 ,11               ,5                         ,                  ,              ,52                         ,4                  ,39                  ,3                         ,4                    ,16                       ,                      ,                 ,                ,3                ,3               ,                 ,         ,2                   ,              ,                      ,                         ,2                  ,                        ,1                  ,                        ,                           ,                     ,              ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 3; total count = 683; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
