Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis navicula,Naviculopsis biapiculata,Distephanus speculum minutus,Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid),Distephanus slavnicii,Distephanus crux scutulatus,Distephanus crux parvus,Distephanus crux,Distephanus boliviensis & speculum (bolivienoid)-(w/ >4aw.),Distephanus boliviensis & speculum (bolivienoid),Distephanus &  speculum (bolivienoid)-(w/ 3aw.),Distephanus &  speculum (bolivienoid)-(w/ 2aw.),Dictyocha longa,Dictyocha fibula,Corbisema triacantha,Bachmannocena triangula,Bachmannocena diodon nodosa (w/ 1 sp.),Septamesocena apiculata apiculata,Parathranium bispinum,Naviculopsis lata,Haplohermesinum hovassei,Foliactiniscus atlanticus,Falsebrioid Falsebrioid,Falsebria sp.,Falsebria ambigua,Ebriopsoid skeletons,Corbisema flexuosa,Ammodochium pyramidale,Ammodochioid skeletons,Actiniscus sp.,Actiniscus flosculus,Septamesocena apiculata f. curvata,Parathranium curvipes,Parathranium cf. clathratum,Parathranium cf. californicum,Naviculopsis lacrima,Hermesinoid skeletons,Hermesinella schulzii,Hermesinella primitiva,Hermesinella fenestrata,Hermesinella conata,Ditripodium cf. amphora,Distephanus speculum haliomma f. haliomma,Distephanus crux stradneri,Cannopilus hemisphaericus f. hemisphaericus,Distephanus stradneri,Dictyocha aspera,Bachmannocena apiculata curvata,Bachmannocena apiculata,Macrora stella,Distephanus crux longispinus,Distephanus crux darwinii,Distephanus aculeatus f. aculeatus,Dictyocha messaensis aspinosa,Corbisema species diversae,Naviculopsis quadrata,Naviculopsis iberica ,Mesocena elliptica,Haplohermesinum narbonensis,Foliactiniscus folia,Distephanus paraspeculum f. paraspeculum,Dictyocha varia,Dictyocha species diversae (asperoid),Dictyocha pulchella var. inflata,Naviculopsis species diversae,Distephanus speculum haliomma formae diversae,Distephanus speculum haliomma f. speculum,Distephanus paraspeculum f. hexagonalis,Naviculopsis navicula obtusarca,Naviculopsis navicula navicula,Falsebria cf. arborea,Bachmannocena quadrangula,Ebria inornata,Distephanus quinquangellus,Craniopsis sp.,Corbisema sp. 1,Caryocha ernestinae,Hermesinum obliquum,Foliactiniscus pulvinus,Actiniscus tetrasterias,Caryocha depressa,Dictyocha clinata,Distephanus bachmanni,Hermesinum adriaticum,Distephanus aff. fibula hexacantha,Distephanus quinquangellus (w/ 3ap.),Distephanus longispinus,Distephanus crux ssp. 3,Corbisema cf. trigonus,Caryocha cf. latifenestrata,Canopilus hemisphaericus f. heptagonus,Distephanus pseudofibula,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 3aw. & 7brs.),Distephanus (aberrant forms),Foliactiniscus mirabilis,Ditripodium amphora,Ditripodium latum,Cannopilus schulzii,Canopilus ernestinae,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 7brs.),Actiniscus pentasterias,Distephanus crux ssp. 2,Comment
  SR,Early Miocene    ,                 ,N. lata           ,F. folia      ,104, 642,D, 10,X, 2,  70.00,    269.3000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,                       ,23.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,54.0%               ,                       ,                                      ,T                                ,6.0%                 ,1.0%             ,2.0%                    ,42.0%                    ,4.0%                   ,6.0%         ,2.0%             ,T                   ,3.0%              ,2.0%                  ,1.0%                  ,26.0%         ,3.0%                ,T                                 ,                     ,2.0%                       ,T                            ,                    ,T                    ,T                    ,T                     ,                       ,                   ,                       ,5.0%                                     ,1.0%                      ,8.0%                                       ,                     ,                ,                               ,                       ,              ,T                           ,4.0%                     ,                                  ,cf                           ,                          ,cf                   ,T                    ,T                 ,T                          ,T                   ,T                                       ,T              ,T                                    ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,              ,104, 642,D, 10,X, 2, 110.00,    269.7000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,1                           ,2                                                                   ,                     ,24                         ,25                     ,100             ,7                                                          ,6                                               ,4                                              ,1                                              ,               ,                ,90                  ,                       ,                                      ,                                 ,                     ,8                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,1                    ,1               ,2                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 279; Unidentifiabale fragments = 11; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,F. atlanticus ,104, 642,D, 10,X, 4,  70.00,    272.3000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,                       ,17.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,52.0%               ,                       ,                                      ,T                                ,15.0%                ,1.0%             ,2.0%                    ,18.0%                    ,11.0%                  ,5.0%         ,                 ,T                   ,9.0%              ,4.0%                  ,2.0%                  ,21.0%         ,4.0%                ,4.0%                              ,T                    ,9.0%                       ,5.0%                         ,T                   ,                     ,1.0%                 ,                      ,cf                     ,1.0%               ,                       ,4.0%                                     ,+                         ,4.0%                                       ,                     ,                ,                               ,                       ,+             ,2.0%                        ,1.0%                     ,T                                 ,T                            ,+                         ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,              ,104, 642,D, 10,X, 5, 110.00,    274.2000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,28                      ,                            ,10                                                                  ,                     ,8                          ,15                     ,47              ,3                                                          ,2                                               ,                                               ,1                                              ,               ,1               ,41                  ,10                     ,                                      ,                                 ,                     ,3                ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,14                   ,4               ,10                             ,6                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 205; Unidentifiabale fragments = 6; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,F. atlanticus ,104, 642,D, 10,X, 6,  70.00,    275.3000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,                       ,23.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,26.0%               ,                       ,                                      ,5.0%                             ,2.0%                 ,5.0%             ,7.0%                    ,21.0%                    ,3.0%                   ,4.0%         ,2.0%             ,3.0%                ,18.0%             ,3.0%                  ,3.0%                  ,27.0%         ,3.0%                ,3.0%                              ,3.0%                 ,1.0%                       ,4.0%                         ,3.0%                ,1.0%                 ,2.0%                 ,4.0%                  ,cf                     ,2.0%               ,3.0%                   ,3.0%                                     ,13.0%                     ,1.0%                                       ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N. lata           ,F. atlanticus ,104, 642,D, 11,X, 1,  55.00,    277.3500,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,                       ,6               ,                                                           ,                                                ,                                               ,                                               ,               ,                ,12                  ,                       ,                                      ,2                                ,+                    ,2                ,1.0%                    ,23.0%                    ,3.0%                   ,T            ,2.0%             ,1.0%                ,7                 ,T                     ,T                     ,59.0%         ,9.0%                ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,                  ,              ,104, 642,D, 11,X, 2, 136.00,    279.6600,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,2                           ,                                                                    ,                     ,                           ,1                      ,5               ,                                                           ,                                                ,1                                              ,                                               ,               ,1               ,2                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 12; Unidentifiabale fragments = 1; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,                  ,              ,104, 642,D, 12,X, 2, 128.00,    289.2800,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,2                           ,                                                                    ,                     ,4                          ,2                      ,                ,                                                           ,                                                ,1                                              ,                                               ,               ,                ,2                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 11; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,                  ,              ,104, 642,D, 12,X, 5, 125.00,    293.7500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,1                      ,                ,                                                           ,1                                               ,                                               ,                                               ,               ,                ,1                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 3; Unidentifiabale fragments = 1; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Eocene           ,                 ,                  ,              ,104, 642,D, 16,X, 1,   4.00,    315.9400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                    ,1                       ,27                          ,16                                                                  ,1                    ,15                         ,99                     ,72              ,14                                                         ,12                                              ,6                                              ,5                                              ,4              ,11              ,2                   ,1                      ,7                                     ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 294; Unidentifiabale fragments = 8; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
