Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus compactus,Sphenolithus ciperoensis,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra haqii,Reticulofenestra gelida,Helicosphaera recta,Ericsonia obruta,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Coccolithus eopelagicus,Calcidiscus macintyrei,Discoaster spp.,Coronocyclus nitescens,Reticulofenestra minuta,Discoaster variabilis,Sphenolithus delphix,Discoaster druggii,Calcidiscus premacintyrei,Calcidiscus leptoporus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Sphenolithus abies,Hayaster perplexus,Pontosphaera spp.,Tetralithoides symeonidesii,Sphenolithus heteromorphus,Discoaster exilis,Sphenolithus belemnos,Sphenolithus conicus,Cyclolithella annula,Helicosphaera granulata,Coccolithus streckerii,Dictyococcites productus,Scyphosphaera spp.,Discoaster brouweri,Discoaster braarudii,Discoaster kugleri,Discoaster challengeri,Helicosphaera carteri,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pansus,Discoaster bellus,Discoaster pseudovariabilis,Discoaster hamatus,Discoaster calcaris,Catinaster coalitus,Discoaster bollii,Discoaster triradiatus,Catinaster calyculus,Discoaster neohamatus,Discoaster asymmetricus,Discoaster pentaradiatus,Discoaster neorectus,Discoaster berggrenii,Discoaster quinqueramus,Discoaster loeblichii,Discoaster blackstockae,Pseudoemiliania lacunosa,Discoaster quadramus,Amaurolithus primus,Reticulofenestra asanoi,Ceratolithus rugosus,Helicosphaera sellii,Discoaster tristellifer,Discoaster decorus,Umbilicosphaera sibogae,Helicosphaera wallichii,Helicosphaera neogranulata,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Coccolithus crassipons,Comment
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 25,X, 3,  94.00,    230.1400,Takayama ,Nannofossils                                 ,               ,                  ,                       ,10                          ,19                     ,                      ,7                      ,16                    ,                        ,12                             ,7                        ,17                    ,31                     ,                   ,3               ,19                   ,                     ,29                         ,15                   ,3                       ,                       ,                      ,1              ,5                     ,                       ,3                    ,1                   ,                  ,1                        ,                      ,                          ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 25,X,CC,  21.00,    235.4800,Takayama ,Nannofossils                                 ,               ,                  ,                       ,4                           ,13                     ,                      ,7                      ,20                    ,                        ,6                              ,                         ,14                    ,31                     ,                   ,3               ,7                    ,                     ,50                         ,34                   ,2                       ,                       ,2                     ,               ,T                     ,                       ,1                    ,                    ,1                 ,1                        ,1                     ,1                         ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 26,X, 3,  89.00,    239.6900,Takayama ,Nannofossils                                 ,               ,                  ,                       ,13                          ,12                     ,                      ,3                      ,12                    ,                        ,                               ,                         ,2                     ,4                      ,                   ,4               ,9                    ,                     ,114                        ,11                   ,5                       ,                       ,2                     ,1              ,T                     ,                       ,                     ,                    ,1                 ,2                        ,4                     ,                          ,1                         ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 26,X,CC,  12.00,    244.9200,Takayama ,Nannofossils                                 ,               ,                  ,                       ,46                          ,5                      ,                      ,T                      ,7                     ,                        ,1                              ,                         ,2                     ,8                      ,                   ,4               ,4                    ,                     ,105                        ,5                    ,2                       ,                       ,                      ,               ,2                     ,                       ,                     ,2                   ,T                 ,3                        ,2                     ,1                         ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN2               ,              ,130, 804,C, 27,X, 3,  90.00,    249.3000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,43                          ,3                      ,                      ,2                      ,5                     ,                        ,                               ,T                        ,2                     ,5                      ,                   ,2               ,4                    ,?                    ,120                        ,4                    ,T                       ,                       ,                      ,               ,T                     ,                       ,                     ,T                   ,T                 ,9                        ,1                     ,                          ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN1               ,              ,130, 804,C, 27,X,CC,  12.00,    253.9500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,84                          ,6                      ,                      ,3                      ,1                     ,                        ,                               ,                         ,                      ,                       ,                   ,                ,27                   ,                     ,49                         ,22                   ,T                       ,                       ,                      ,2              ,                      ,1                      ,5                    ,                    ,                  ,                         ,                      ,                          ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,130, 804,C, 28,X, 3,  86.00,    258.9600,Takayama ,Nannofossils                                 ,               ,                  ,                       ,34                          ,7                      ,                      ,19                     ,3                     ,1                       ,                               ,                         ,                      ,2                      ,                   ,3               ,29                   ,                     ,79                         ,17                   ,2                       ,                       ,                      ,3              ,1                     ,                       ,                     ,                    ,                  ,                         ,                      ,                          ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,                  ,              ,130, 804,C, 28,X,CC,  20.00,    264.0200,Takayama ,Nannofossils                                 ,               ,                  ,T                      ,22                          ,32                     ,?                     ,2                      ,9                     ,2                       ,4                              ,1                        ,1                     ,3                      ,?                  ,?               ,8                    ,1                    ,83                         ,29                   ,2                       ,?                      ,1                     ,               ,                      ,                       ,                     ,                    ,                  ,                         ,                      ,                          ,                          ,                  ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,                    ,                       ,                      ,                        ,                  ,                   ,                    ,                  ,                      ,                     ,                   ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
