Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus phacelosus	Rhagodiscus asper	Rhagodiscus angustus	Prediscosphaera columnata	Hayesites albiensis	Gephyrorhabdus coronadventis	Flabellites oblongus	Eprolithus floralis	Corollithion signum	Chiastozygus platyrhethus	Braarudosphaera stenorhetha	Braarudosphaera africana	Watznaueria britannica	Stoverius achylosus	Eiffellithus turriseiffelii	Cretarhabdus loriei	Cribrosphaerella ehrenbergii	Gartnerago praeobliquum	Nannoconus truitti ssp rectangularis	Braarudosphaera quinquecostata	Nannoconus fragilis	Parhabdolithus achylostaurion	Microstaurus chiastius	Crucicribrum striatum	Radiolithus orbiculatus	Lapideacassis mariae	Rucinolithus irregularis	Radiolithus planus	Nannoconus regularis	Metadoga mercurius	Axopodorhabdus albianus	Gartnerago obliquum	Lithraphidites alatus	Lithraphidites acutum spp. eccentricum	Corollithion kennedyi	Tranolithus exiguus	Prediscosphaera avitus	Gartnerago nanum	Ceratolithoides aculeus	Reinhardtites levis	Quadrum trifidum	Quadrum gothicum	Perchnielsenella stradneri	Lithraphidites praequadratus	Arkhangelskiella cymbiformis	Micula praemurus	Lithraphidites quadratus	Micula murus	Semihololithus priscus	Lithraphidites kennethii	Lithraphidites grossopectinatus	Ceratolithoides kamptneri	Cylindralithus oweinae	Cribrocorona gallica	Pseudomicula quadrata	Micula prinsii	Nephrolithus frequens	Prediscosphaera grandis	Prediscosphaera cretacea	Microrhabdulus decoratus	Biscutum parvulum	Neochiastozygus primitivus	Cyclagelosphaera reinhardtii	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus	Chiastozygus ultimus	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Neocrepidolithus cruciatus	Chiasmolithus danicus	Neochiastozygus modestus	Neochiastozygus imbriei	Ellipsolithus bollii	Fasciculithus magnus	Chiasmolithus edwardsii	Ellipsolithus macellus	Cruciplacolithus edwardsii	Ericsonia robusta	Octolithus multiplus	Prinsius bisulcus	Thoracosphaera spp.	Placozygus sigmoides	Ericsonia subpertusa	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Nannotetrina fulgens	Reticulofenestra umbilica	Chiasmolithus consuetus	Cribrocentrum reticulatum	Bramletteius serraculoides	Lanternithus minutus	Discoaster saipanensis	Comment

  IR	                 	                 	                  	CC24          	171	1052	E	 30	R	 3	   2.00	    418.5200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	+                   	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	+                  	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC24          	171	1052	E	 30	R	 6	 122.00	    424.2200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	+                  	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC25a; Reinhardtites (?) sp.

  IR	                 	Maestrichtian    	                  	CC24          	171	1052	E	 31	R	CC	  12.00	    434.8900	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	+                           	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Reinhardtites (?) sp.

  IR	                 	Maestrichtian    	                  	CC24          	171	1052	E	 33	R	CC	  13.00	    445.9300	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	+                  	                	+               	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Campanian        	                  	CC23          	171	1052	E	 34	R	 2	  57.00	    455.9700	Watkins  	Nannofossils                                 	C              	M                 	+                     	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	+                  	                	                	+                         	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Campanian        	                  	CC23          	171	1052	E	 35	R	CC	  19.00	    468.6600	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	+                  	+               	+               	+                         	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Maestrichtian    	                  	CC25          	171	1052	E	 36	R	 1	  37.00	    473.5700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	+                      	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC25a

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 36	R	 1	  75.00	    473.9500	Watkins  	Nannofossils                                 	C              	G                 	+                     	+                	+                   	                         	                   	                            	                    	+                  	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	+                            	                      	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	+                                     	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 36	R	 1	 118.00	    474.3800	Watkins  	Nannofossils                                 	               	                  	                      	+                	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	+                                     	+                    	                   	                      	+               	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9c

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 36	R	 3	 143.00	    477.6300	Watkins  	Nannofossils                                 	               	                  	                      	+                	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	+                                     	+                    	                   	                      	+               	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CC9c

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 36	R	 5	 110.00	    480.3000	Watkins  	Nannofossils                                 	               	                  	                      	+                	                    	                         	                   	                            	                    	                   	+                  	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	+                     	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	+                                     	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9c

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 36	R	CC	   0.00	    482.5500	Watkins  	Nannofossils                                 	A              	G                 	+                     	                 	+                   	                         	                   	+                           	                    	                   	+                  	                         	                           	                        	                      	                   	+                          	                   	+                           	                       	                                    	                              	                   	+                            	                      	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	+                                     	+                    	+                  	+                     	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 37	R	 2	  31.00	    484.1200	Watkins  	Nannofossils                                 	C              	G                 	+                     	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	+                  	+                          	                   	                            	                       	                                    	                              	                   	+                            	+                     	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	+                                     	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	questionable C. kennedyi

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 37	R	 7	   5.00	    491.3600	Watkins  	Nannofossils                                 	               	                  	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	+                      	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	+                    	+                                     	+                    	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9c

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 37	R	CC	   0.00	    492.4500	Watkins  	Nannofossils                                 	A              	G                 	                      	+                	                    	                         	                   	                            	                    	                   	+                  	                         	                           	                        	                      	+                  	+                          	                   	                            	                       	                                    	                              	                   	+                            	+                     	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9b

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 38	R	 3	 103.00	    496.4300	Watkins  	Nannofossils                                 	A              	G                 	+                     	+                	                    	                         	                   	+                           	                    	+                  	+                  	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	+                      	+                  	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 38	R	 5	 111.00	    499.5100	Watkins  	Nannofossils                                 	C              	G                 	                      	+                	                    	                         	                   	                            	+                   	                   	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 38	R	CC	   0.00	    501.0800	Watkins  	Nannofossils                                 	A              	G                 	+                     	+                	+                   	                         	                   	                            	                    	                   	+                  	+                        	                           	                        	                      	                   	+                          	                   	                            	+                      	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9b early Cenomanian

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 39	R	 2	  82.00	    504.3200	Watkins  	Nannofossils                                 	               	                  	                      	                 	                    	+                        	                   	                            	                    	                   	+                  	                         	                           	                        	                      	+                  	+                          	                   	                            	+                      	                                    	                              	                   	+                            	+                     	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9b
