Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Globotruncana ventricosa	Globotruncana arca	Globotruncanella petaloidea	Heterohelix semicostata	Planoglobulina acervulinoides	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Heterohelix dentata	Globotruncana rugosa	Abathomphalus mayaroensis	Rosita walfischensis	Gublerina acuta	Globotruncanella pschadae	Globotruncana rosetta	Planorotalites imitatus	Morozovella albeari	Morozovella kolchidica	Planorotalites planoconicus	Morozovella pseudobulloides	Subbotina triangularis	Truncorotaloides rohri	Pseudohastigerina naguewichiensis	Chiloguembelina midwayensis	Turborotalia increbescens	Subbotina angiporoides	Globigerina ampliapertura	Globigerina gortanii	Globigerina ouachitaensis	Tenuitella postcretacea	Tenuitella munda	Globigerina ciperoensis	Clavatorella sp. aff. C. nicobarensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida	Globigerina bulloides	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globorotalia hirsuta	Globigerina digitata	P-D intergrade	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata	Globorotalia truncatulinoides (sin.)	Comment

  SR	                 	                 	                  	              	121	 758	A	  2	H	 2	 121.00	      8.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	8.5%                        	.4%              	12.0%                     	1.2%               	4.5%                 	                         	1.9%                  	1.6%                      	1.9%                    	11.3%                     	24.3%                	.2%                        	17.7%                  	2.5%                         	                     	.8%                    	2.7%              	6.4%                 	1.4%                                	                    	                    	.4%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 2	 131.00	      8.8100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.6%                      	11.7%                       	.4%              	17.8%                     	.8%                	12.5%                	.4%                      	1.7%                  	.2%                       	2.5%                    	10.6%                     	11.9%                	1.7%                       	10.8%                  	2.3%                         	                     	1.9%                   	1.9%              	8.0%                 	1.1%                                	.4%                 	                    	.6%                 	.2%           	                                  	.2%                 	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 2	 141.00	      8.9100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.7%                      	12.8%                       	.7%              	12.0%                     	1.9%               	8.6%                 	.5%                      	.7%                   	2.0%                      	3.9%                    	12.7%                     	16.7%                	1.2%                       	8.3%                   	2.7%                         	.2%                  	1.4%                   	1.2%              	10.3%                	1.2%                                	.2%                 	                    	.3%                 	              	                                  	.2%                 	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	   1.00	      9.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	13.4%                       	.5%              	16.7%                     	.9%                	7.8%                 	.5%                      	1.3%                  	2.3%                      	3.2%                    	8.5%                      	13.0%                	2.0%                       	10.9%                  	3.2%                         	.2%                  	1.3%                   	2.3%              	9.1%                 	1.3%                                	                    	                    	.7%                 	.2%           	.2%                               	.2%                 	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  11.00	      9.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	20.6%                       	.1%              	15.2%                     	.8%                	7.0%                 	.6%                      	1.5%                  	2.1%                      	3.6%                    	9.7%                      	16.1%                	1.0%                       	9.8%                   	2.1%                         	.1%                  	.6%                    	1.8%              	5.6%                 	.7%                                 	.3%                 	                    	.4%                 	.1%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  21.00	      9.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.6%                      	17.1%                       	.6%              	12.0%                     	4.0%               	8.0%                 	                         	                      	1.7%                      	3.4%                    	7.4%                      	14.9%                	                           	10.9%                  	3.4%                         	                     	                       	5.1%              	8.0%                 	1.1%                                	                    	                    	1.7%                	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  31.00	      9.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.2%                     	8.8%                        	1.2%             	12.3%                     	1.4%               	12.3%                	1.9%                     	1.0%                  	2.4%                      	2.1%                    	7.1%                      	23.0%                	3.3%                       	10.9%                  	3.1%                         	.5%                  	1.0%                   	1.4%              	3.6%                 	.7%                                 	.2%                 	                    	.7%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  41.00	      9.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.6%                     	15.6%                       	.2%              	15.1%                     	1.1%               	11.9%                	1.4%                     	.9%                   	1.6%                      	                        	8.0%                      	16.5%                	6.2%                       	8.5%                   	1.8%                         	                     	.5%                    	1.1%              	5.3%                 	1.1%                                	                    	                    	1.4%                	              	                                  	                    	.2%                                 	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  51.00	      9.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.9%                      	16.1%                       	.7%              	18.4%                     	2.1%               	11.7%                	                         	                      	.7%                       	1.9%                    	5.1%                      	11.4%                	.2%                        	15.9%                  	2.3%                         	.2%                  	2.3%                   	.7%               	7.9%                 	1.2%                                	                    	                    	.2%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  61.00	      9.6100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.2%                     	13.7%                       	.4%              	14.4%                     	.6%                	7.6%                 	.4%                      	1.2%                  	2.7%                      	                        	10.5%                     	23.0%                	1.4%                       	5.3%                   	4.9%                         	                     	.4%                    	2.7%              	8.2%                 	.2%                                 	                    	                    	1.4%                	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  70.00	      9.7000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.3%                      	9.9%                        	.6%              	10.7%                     	.6%                	8.2%                 	.2%                      	.8%                   	3.6%                      	1.1%                    	10.8%                     	31.9%                	.8%                        	10.8%                  	2.5%                         	                     	.3%                    	.5%               	6.3%                 	                                    	.2%                 	                    	                    	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  80.00	      9.8000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.6%                      	14.2%                       	1.3%             	8.8%                      	.3%                	7.6%                 	.2%                      	1.9%                  	2.4%                      	1.0%                    	12.3%                     	27.4%                	1.1%                       	8.2%                   	3.6%                         	                     	.2%                    	1.3%              	7.4%                 	.2%                                 	.2%                 	                    	                    	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	  90.00	      9.9000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.6%                      	13.1%                       	1.1%             	10.9%                     	.4%                	5.3%                 	.7%                      	2.6%                  	2.3%                      	.7%                     	11.1%                     	27.8%                	1.8%                       	4.4%                   	5.5%                         	.1%                  	.9%                    	2.3%              	7.4%                 	.6%                                 	                    	                    	.1%                 	.4%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	 100.00	     10.0000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.2%                     	14.7%                       	.7%              	15.6%                     	1.5%               	9.7%                 	                         	.5%                   	.9%                       	1.7%                    	7.5%                      	21.8%                	1.3%                       	9.2%                   	2.5%                         	1.3%                 	.7%                    	1.3%              	6.0%                 	1.0%                                	                    	                    	.3%                 	.4%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	 110.00	     10.1000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	15.9%                       	1.9%             	10.1%                     	.9%                	10.1%                	.2%                      	1.8%                  	.9%                       	1.2%                    	7.3%                      	24.0%                	1.2%                       	7.3%                   	2.5%                         	2.6%                 	1.2%                   	2.8%              	6.1%                 	.9%                                 	.2%                 	                    	.2%                 	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	 120.00	     10.2000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.6%                     	11.0%                       	1.0%             	9.0%                      	1.0%               	5.8%                 	                         	1.5%                  	3.6%                      	.2%                     	10.1%                     	30.6%                	1.1%                       	10.6%                  	2.2%                         	.2%                  	.8%                    	1.0%              	8.7%                 	.2%                                 	                    	                    	                    	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	 130.00	     10.3000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	8.7%                        	1.1%             	10.3%                     	.8%                	6.8%                 	                         	1.9%                  	.3%                       	1.1%                    	10.3%                     	26.4%                	.6%                        	16.4%                  	4.3%                         	1.1%                 	.5%                    	1.1%              	6.1%                 	.6%                                 	.3%                 	.2%                 	.2%                 	.3%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 3	 140.00	     10.4000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	18.1%                       	2.8%             	8.7%                      	.9%                	10.1%                	.2%                      	.9%                   	1.4%                      	1.6%                    	7.5%                      	23.5%                	.9%                        	5.9%                   	3.3%                         	2.1%                 	.5%                    	.9%               	7.3%                 	1.6%                                	.2%                 	                    	.2%                 	.5%           	.2%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	   0.00	     10.5000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.2%                     	13.3%                       	2.0%             	100.0%                    	1.0%               	13.7%                	                         	.6%                   	1.4%                      	.8%                     	9.6%                      	18.6%                	1.8%                       	6.1%                   	4.1%                         	.2%                  	1.0%                   	1.8%              	11.4%                	.8%                                 	.4%                 	                    	.2%                 	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  10.00	     10.6000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	2.2%                     	10.9%                       	2.2%             	10.9%                     	2.0%               	9.4%                 	.4%                      	                      	2.0%                      	.2%                     	8.9%                      	34.9%                	.9%                        	6.1%                   	2.6%                         	                     	.2%                    	.9%               	3.9%                 	.9%                                 	.2%                 	                    	.2%                 	              	                                  	                    	.2%                                 	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  21.00	     10.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	2.2%                     	16.2%                       	1.0%             	10.3%                     	2.0%               	6.9%                 	.2%                      	2.0%                  	1.7%                      	                        	13.5%                     	23.0%                	2.7%                       	2.4%                   	4.7%                         	                     	.9%                    	.9%               	8.8%                 	                                    	                    	                    	.7%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  51.00	     11.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	7.7%                        	1.8%             	7.5%                      	.4%                	1.5%                 	.1%                      	4.7%                  	.4%                       	1.3%                    	14.1%                     	32.7%                	.6%                        	17.8%                  	2.6%                         	                     	.4%                    	1.4%              	4.2%                 	                                    	                    	                    	                    	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  60.00	     11.1000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.8%                      	8.1%                        	1.6%             	7.5%                      	.8%                	2.7%                 	                         	3.4%                  	.9%                       	1.3%                    	13.7%                     	30.9%                	1.4%                       	15.0%                  	2.7%                         	.9%                  	.6%                    	2.2%              	5.2%                 	.2%                                 	                    	                    	.3%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  71.00	     11.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	17.0%                       	.7%              	6.9%                      	.5%                	8.4%                 	.2%                      	1.9%                  	.5%                       	1.2%                    	19.1%                     	21.8%                	1.2%                       	7.7%                   	2.6%                         	1.0%                 	.7%                    	1.2%              	5.7%                 	1.0%                                	                    	                    	.2%                 	.2%           	                                  	                    	.2%                                 	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  80.00	     11.3000	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	21.6%                       	1.4%             	5.9%                      	1.4%               	10.9%                	1.4%                     	2.3%                  	                          	1.1%                    	13.2%                     	15.5%                	.5%                        	4.3%                   	1.4%                         	                     	1.6%                   	2.5%              	12.3%                	.5%                                 	.5%                 	                    	.9%                 	              	.2%                               	.2%                 	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  2	H	 4	  91.00	     11.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.9%                      	19.1%                       	.5%              	12.2%                     	.7%                	8.6%                 	.2%                      	2.3%                  	                          	.2%                     	10.4%                     	20.7%                	.9%                        	5.2%                   	1.8%                         	                     	.9%                    	1.8%              	9.7%                 	2.2%                                	.5%                 	                    	1.1%                	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
