Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Synedra jouseana	Stephanopyxis turris	Rouxia californica	Rhizosolenia barboi	Paralia sulcata	Grammatophora spp.	Denticulopsis hustedtii	Coscinodiscus marginatus	Chaetoceros spp.	Aulacoseira granulata	Actinoptychus senarius	Thalassionema schraderi	Thalassionema hirosakiensis	Rhizosolenia styliformis	Rhizosolenia hebetata	Opephora martyi	Denticulopsis dimorpha	Coscinodiscus elegans	Azpeitia endoi	Thalassiosira manifesta	Denticulopsis katayamae	Cocconeis scutellum	Cocconeis costata	Actinocyclus ingens	Goniothecium tenue	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Odontella aurita	Nitzschia rolandii	Nitzschia pliocena	Thalassiosira marujamica	Nitzschia spp.	Hemiaulus polymorphus	Asteromphalus robustus	Asterolampra marylandica	Rhizosolenia miocenica	Neodenticula kamtschatica	Diploneis interrupta	Thalassiosira temperei	Pseudopodosira elegans	Nitzschia reinholdii	Denticulopsis praedimorpha	Thalassiosira antiqua	Stephanopyxis spp.	Coscinodiscus stellaris	Coscinodiscus oculus-iridis	Thalassiosira nidulus	Cocconeis californica	Cosmiodiscus insignis	Actinocyclus octonarius	Thalassiosira jacksonii	Thalassiosira zabellinae	Actinocyclus curvatulus	Diploneis smithii	Thalassiosira oestrupii	Thalassiosira sp. 1	Navicula lyra	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Rhizosolenia alata	Cocconeis disculus	Thalassiosira trifulta	Thalassiosira lineata	Thalassiosira eccentrica	Thalassionema bacillaris	Nitzschia sicula	Navicula spp.	Diploneis coffeiformis	Achnanthes lanceolata	Thalassiothrix frauenfeldii	Thalassiosira plicata	Thalassiosira gravida	Eunotia spp.	Thalassiosira pacifica	Rossiella tatsunokuchiensis	Trachyneis aspera	Thalassiosira leptopus	Thalassiosira hyalina	Thalassiosira convexa	Rhopalodia gibberula	Rhaphoneis amphiceros	Navicula mutica	Mastogloia capitata	Gomphonema abbreviatum	Fragilaria construens	Epithemia turgida	Diploneis oculata	Cymbella sinensis	Cyclotella striata	Cocconeis placentula var. euglypta	Actinocyclus ochotensis	Achnanthes brevipes	Lithodesmium undulatum	Hemidiscus cuneiformis	Rhizosolenia setigera	Melosira albicans	Coscinodiscus marginatus (girdles)	Chaetoceros spores	Thalassiosira nordenskioeldii	Neodenticula koizumii	Diploneis bombus	Cymatotheca weissflogii	Nitzschia granulata	Rouxia sp.	Actinocyclus sp.	Coscinodiscus radiatus	Thalassiosira lacustris	Cocconeis pseudomarginatus	Bacterosira fragilis	Neodenticula seminae	Plagiogramma staurophorum	Navicula pygmaea	Cyclotella kutzingiana	Cyclotella antiqua	Porosira glacialis	Diploneis elliptica	Cocconeis fluminensis	Azpeitia nodulifer	Actinocyclus oculatus	Achnanthes diapar	Thalassiosira decipiens	Cyclotella styroleum	Rhizosolenia curvirostris	Gomphonema olivacium	Synedra ulna	Cyclotella chaetoceras	Roperia tesselata	Rhizosolenia bergonii	Gomphonema longiceps	Fragilaria leptostauron	Calloneis bacillum	Cymbella tumida	Pseudoeunotia doliolus	Pinnularia appendiculata	Gomphonema tergrstinum	Nitzschia fossilis	Nitzschia braarudii	Diploneis weissflogi	Biddulphia sinensis	Bacillaria paradoxa	Azpeitia tabularis	Comment

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 11	H	 1	 124.00	     93.5400	White    	Diatoms                                      	A              	G                 	F                        	                   	C                          	                	R                   	                  	F                  	               	                  	                       	F                       	                	                     	R                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	C                        	                    	                      	                      	                    	                          	R                    	                  	                       	                           	                     	                     	                     	                       	                       	F                       	                       	F                	F                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	F                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	F                     	                     	                 	F                                 	F                 	F                            	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 11	H	 2	 124.00	     95.0400	White    	Diatoms                                      	C              	M                 	F                        	                   	F                          	                	                    	                  	R                  	               	                  	                       	C                       	                	                     	R                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	F                        	                    	                      	                      	                    	                          	R                    	                  	                       	                           	                     	                     	                     	                       	                       	F                       	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	R                 	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 794	A	 11	H	 3	  44.00	     95.7400	Koizumi  	Diatoms                                      	               	                  	                         	                   	19                         	                	30                  	                  	3                  	3              	                  	                       	61                      	59              	                     	4                     	                       	                           	                        	1                    	               	                      	                     	              	                       	                       	                   	1                	                   	                  	                           	                      	                	                  	                  	3                       	4             	                     	                      	                        	                      	42                       	                    	                      	                      	                    	                          	                     	1                 	                       	                           	2                    	                     	                     	                       	                       	                        	                       	                 	2                      	                   	             	                     	                    	                	                  	                  	7                     	                     	                        	                        	                	             	                      	                     	                           	                     	1                    	            	                      	                           	                 	                      	                     	                     	                    	1                    	               	                   	                      	                     	                 	                 	                 	1                 	                                  	                       	                   	                      	                      	                     	11               	                                  	                  	                             	3                    	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 11	H	 5	 124.00	     99.5400	White    	Diatoms                                      	A              	M                 	C                        	                   	F                          	                	R                   	                  	F                  	               	                  	                       	A                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	R                 	                             	                     	R               	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 11	H	 6	 124.00	    101.0400	White    	Diatoms                                      	A              	M                 	F                        	                   	F                          	                	R                   	                  	R                  	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	C                       	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	R                     	                     	                 	F                                 	R                 	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 794	A	 12	H	 1	  43.00	    102.2300	Koizumi  	Diatoms                                      	               	                  	3                        	                   	46                         	                	28                  	                  	                   	9              	                  	                       	24                      	62              	1                    	5                     	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	1                	                   	                  	                           	                      	                	                  	                  	                        	2             	                     	                      	                        	                      	49                       	                    	                      	1                     	                    	                          	2                    	                  	                       	                           	1                    	                     	1                    	                       	                       	                        	                       	                 	4                      	                   	             	                     	2                   	                	                  	                  	8                     	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	1                     	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	1                 	                                  	                       	                   	                      	2                     	                     	7                	                                  	                  	                             	1                    	                	1                      	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 1	 123.00	    103.0300	White    	Diatoms                                      	A              	G                 	F                        	                   	C                          	                	R                   	                  	R                  	               	                  	                       	F                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	R                    	                  	                       	                           	                     	                     	                     	                       	                       	R                       	                       	R                	F                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	F                                 	F                 	R                            	                     	R               	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 2	 123.00	    104.5300	White    	Diatoms                                      	C              	M                 	F                        	                   	F                          	                	                    	                  	R                  	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	R                                 	                  	                             	                     	R               	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 3	 123.00	    106.0300	White    	Diatoms                                      	C              	M                 	C                        	                   	                           	                	                    	                  	                   	               	                  	                       	                        	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	R                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 4	 107.00	    107.3700	White    	Diatoms                                      	C              	M                 	F                        	                   	F                          	                	                    	                  	R                  	               	                  	                       	                        	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	R                 	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Early Pliocene   	                 	N. koiz./N. kamtsch.	              	127	 794	A	 12	H	 5	  43.00	    108.2300	Koizumi  	Diatoms                                      	               	                  	2                        	                   	8                          	                	9                   	                  	1                  	5              	                  	                       	123                     	45              	                     	3                     	                       	                           	2                       	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	1               	                  	                  	                        	              	                     	                      	                        	                      	33                       	                    	                      	1                     	                    	                          	                     	                  	                       	                           	2                    	                     	                     	                       	                       	4                       	                       	                 	1                      	                   	             	                     	1                   	                	                  	                  	                      	                     	1                       	                        	                	             	                      	                     	1                          	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	1                	                                  	                  	                             	1                    	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 5	 124.00	    109.0400	White    	Diatoms                                      	A              	M                 	F                        	                   	C                          	                	                    	                  	                   	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	R                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	F                    	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	F                 	R                            	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	                 	                 	T. oestrupii      	              	127	 794	A	 12	H	 6	 124.00	    110.5400	White    	Diatoms                                      	A              	M                 	C                        	                   	C                          	                	                    	                  	                   	               	                  	                       	C                       	                	                     	                      	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	C                                 	F                 	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 20 Table 1 p 344-345

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 794	A	 13	H	 1	  43.00	    111.7300	Koizumi  	Diatoms                                      	               	                  	2                        	                   	19                         	                	13                  	                  	                   	7              	                  	r1                     	92                      	78              	3                    	5                     	                       	                           	7                       	                     	               	                      	                     	              	                       	                       	                   	2                	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	30                       	                    	                      	                      	                    	                          	2                    	                  	                       	                           	                     	                     	                     	                       	                       	1                       	                       	                 	2                      	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	3                          	                     	                     	            	                      	1                          	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	2                 	                                  	                       	                   	                      	                      	2                    	6                	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269
