verbatim_name,name,"name to use (if different from ""name"")",name comment field,taxon_group,Comment,Unnamed: 6,normalized_name
Pontosphaera latelliptica,Pontosphaera latelliptica,,,nannofossils,,,Pontosphaera latelliptica
Pontosphaera millepuncta,Pontosphaera millepuncta,,,nannofossils,,,Pontosphaera millepuncta
Pontosphaera multipora,Pontosphaera multipora,,,nannofossils,,,Pontosphaera multipora
Pontosphaera plana,Pontosphaera plana,,,nannofossils,,,Pontosphaera plana
Pontosphaera pulchra,Pontosphaera pulchra,,,nannofossils,,,Pontosphaera pulchra
Pontosphaera punctosa,Pontosphaera punctosa,,,nannofossils,,,Pontosphaera punctosa
Pontosphaera rimosa,Pontosphaera rimosa,,,nannofossils,,,Pontosphaera rimosa
Pontosphaera sp.,Pontosphaera sp.,,,nannofossils,,,Pontosphaera sp.
Pontosphaera spp.,Pontosphaera spp.,,,nannofossils,,,Pontosphaera spp.
Pontosphaera spp. (Neogene),Pontosphaera spp. (Neogene),Pontosphaera <spp. (Neogene)>,,nannofossils,,,Pontosphaera <spp. (Neogene)>
Pontosphaera versa,Pontosphaera versa,,,nannofossils,,,Pontosphaera versa
Prediscosphaera arkhangelskyi,Prediscosphaera arkhangelskyi,,,nannofossils,,,Prediscosphaera arkhangelskyi
Prediscosphaera bukryi,Prediscosphaera bukryi,,,nannofossils,,,Prediscosphaera bukryi
Prediscosphaera columnata,Prediscosphaera columnata,,,nannofossils,,,Prediscosphaera columnata
Prediscosphaera cretacea,Prediscosphaera cretacea,,,nannofossils,,,Prediscosphaera cretacea
Prediscosphaera desiderograndis,Prediscosphaera desiderograndis,,,nannofossils,,,Prediscosphaera desiderograndis
Prediscosphaera grandis,Prediscosphaera grandis,,,nannofossils,,,Prediscosphaera grandis
Prediscosphaera majungae,Prediscosphaera majungae,,,nannofossils,,,Prediscosphaera majungae
Prediscosphaera spinosa,Prediscosphaera spinosa,,,nannofossils,,,Prediscosphaera spinosa
Prediscosphaera stoveri,Prediscosphaera stoveri,,,nannofossils,,,Prediscosphaera stoveri
Prinsius bisulcus,Prinsius bisulcus,,,nannofossils,,,Prinsius bisulcus
Prinsius dimorphosus,Prinsius dimorphosus,,,nannofossils,,,Prinsius dimorphosus
Prinsius dimorphus,Prinsius dimorphus,Prinsius dimorphosus,,nannofossils,,,Prinsius dimorphosus
Prinsius martinii,Prinsius martinii,,,nannofossils,,,Prinsius martinii
Prinsius tenuiculus,Prinsius tenuiculus,,,nannofossils,,,Prinsius tenuiculus
Pseudoemiliania lacunosa,Pseudoemiliania lacunosa,,,nannofossils,,,Pseudoemiliania lacunosa
Pseudoemiliania ovata,Pseudoemiliania ovata,,,nannofossils,,,Pseudoemiliania ovata
Pseudomicula quadrata,Pseudomicula quadrata,,,nannofossils,,,Pseudomicula quadrata
Pseudotriquetrorhabdulus inversus,Pseudotriquetrorhabdulus inversus,,,nannofossils,,,Pseudotriquetrorhabdulus inversus
Psuedoemiliania lacunosa,Psuedoemiliania lacunosa,Pseudoemiliania lacunosa,,nannofossils,,,Pseudoemiliania lacunosa
Quadrum gartneri,Quadrum gartneri,,,nannofossils,,,Quadrum gartneri
Quadrum intermedium,Quadrum intermedium,,,nannofossils,,,Quadrum intermedium
Reinhardtites anthophorus,Reinhardtites anthophorus,,,nannofossils,,,Reinhardtites anthophorus
Reinhardtites biperforatus,Reinhardtites biperforatus,,,nannofossils,,,Reinhardtites biperforatus
Reinhardtites levis,Reinhardtites levis,,,nannofossils,,,Reinhardtites levis
Repagalum parvidentatum,Repagalum parvidentatum,,,nannofossils,,,Repagalum parvidentatum
Retecapsa crenulata,Retecapsa crenulata,,,nannofossils,,,Retecapsa crenulata
Retecapsa ficula,Retecapsa ficula,,,nannofossils,,,Retecapsa ficula
Retecapsa schizobrachiata,Retecapsa schizobrachiata,,,nannofossils,,,Retecapsa schizobrachiata
Retecapsa surirella,Retecapsa surirella,,,nannofossils,,,Retecapsa surirella
Reticulafenestra psuedoumbilica,Reticulafenestra psuedoumbilica,Reticulafenestra pseudoumbilica,,nannofossils,,,Reticulafenestra pseudoumbilica
"Reticulofenestra ""small""","Reticulofenestra ""small""",Reticulofenestra <spp. small>,,nannofossils,,,Reticulofenestra <spp. small>
Reticulofenestra asanoi,Reticulofenestra asanoi,,,nannofossils,,,Reticulofenestra asanoi
Reticulofenestra asanoi (<6 microns),Reticulofenestra asanoi (<6 microns),,,nannofossils,,,Reticulofenestra asanoi (<6 microns)
Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (>6 microns),,,nannofossils,,,Reticulofenestra asanoi (>6 microns)
Reticulofenestra bisecta,Reticulofenestra bisecta,,,nannofossils,,,Reticulofenestra bisecta
Reticulofenestra bisecta (5-10 microns),Reticulofenestra bisecta (5-10 microns),,,nannofossils,,,Reticulofenestra bisecta (5-10 microns)
Reticulofenestra bisecta (>10 microns),Reticulofenestra bisecta (>10 microns),,,nannofossils,,,Reticulofenestra bisecta (>10 microns)
Reticulofenestra callida,Reticulofenestra callida,,,nannofossils,,,Reticulofenestra callida
Reticulofenestra circus,Reticulofenestra circus,,,nannofossils,,,Reticulofenestra circus
Reticulofenestra cisnerosii,Reticulofenestra cisnerosii,,,nannofossils,,,Reticulofenestra cisnerosii
Reticulofenestra daviesii,Reticulofenestra daviesii,,,nannofossils,,,Reticulofenestra daviesii
Reticulofenestra dictyoda,Reticulofenestra dictyoda,,,nannofossils,,,Reticulofenestra dictyoda
Reticulofenestra dictyoda (10-14 microns),Reticulofenestra dictyoda (10-14 microns),,,nannofossils,,,Reticulofenestra dictyoda (10-14 microns)
Reticulofenestra dictyoda (10-14µm),Reticulofenestra dictyoda (10-14µm),Reticulofenestra dictyoda (10-14 microns),,nannofossils,,,Reticulofenestra dictyoda (10-14 microns)
Reticulofenestra dictyoda (3-10µm),Reticulofenestra dictyoda (3-10µm),Reticulofenestra dictyoda (3-10 microns),,nannofossils,,,Reticulofenestra dictyoda (3-10 microns)
Reticulofenestra erbae,Reticulofenestra erbae,,,nannofossils,,,Reticulofenestra erbae
Reticulofenestra gelida,Reticulofenestra gelida,,,nannofossils,,,Reticulofenestra gelida
Reticulofenestra hampdenensis,Reticulofenestra hampdenensis,,,nannofossils,,,Reticulofenestra hampdenensis
Reticulofenestra haqii,Reticulofenestra haqii,,,nannofossils,,,Reticulofenestra haqii
Reticulofenestra haqii (<3 microns),Reticulofenestra haqii (<3 microns),,,nannofossils,,,Reticulofenestra haqii (<3 microns)
Reticulofenestra hillae,Reticulofenestra hillae,,,nannofossils,,,Reticulofenestra hillae
Reticulofenestra lockeri,Reticulofenestra lockeri,,,nannofossils,,,Reticulofenestra lockeri
Reticulofenestra lockerii,Reticulofenestra lockerii,,,nannofossils,,,Reticulofenestra lockerii
Reticulofenestra minuta,Reticulofenestra minuta,,,nannofossils,,,Reticulofenestra minuta
Reticulofenestra minuta (<3 microns),Reticulofenestra minuta (<3 microns),,,nannofossils,,,Reticulofenestra minuta (<3 microns)
Reticulofenestra minuta (<3µm),Reticulofenestra minuta (<3µm),Reticulofenestra minuta (<3 microns),,nannofossils,,,Reticulofenestra minuta (<3 microns)
Reticulofenestra minutula,Reticulofenestra minutula,,,nannofossils,,,Reticulofenestra minutula
Reticulofenestra minutula (3-5 microns),Reticulofenestra minutula (3-5 microns),,,nannofossils,,,Reticulofenestra minutula (3-5 microns)
Reticulofenestra oamaruensis,Reticulofenestra oamaruensis,,,nannofossils,,,Reticulofenestra oamaruensis
Reticulofenestra perplexa,Reticulofenestra perplexa,,,nannofossils,,,Reticulofenestra perplexa
Reticulofenestra producta,Reticulofenestra producta,,,nannofossils,,,Reticulofenestra producta
Reticulofenestra pseudoumbilica,Reticulofenestra pseudoumbilica,Reticulofenestra pseudoumbilicus,,nannofossils,,,Reticulofenestra pseudoumbilicus
Reticulofenestra pseudoumbilicus,Reticulofenestra pseudoumbilicus,,,nannofossils,,,Reticulofenestra pseudoumbilicus
Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),,,nannofossils,,,Reticulofenestra pseudoumbilicus (5-7 microns)
Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra pseudoumbilicus (5-7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (5-7 microns)
Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra pseudoumbilicus (5-7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (5-7 microns)
Reticulofenestra pseudoumbilicus (5-7µm),Reticulofenestra pseudoumbilicus (5-7µm),Reticulofenestra pseudoumbilicus (5-7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (5-7 microns)
Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (>7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (>7 microns)
Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (>7 microns),,,nannofossils,,,Reticulofenestra pseudoumbilicus (>7 microns)
Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (>7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (>7 microns)
Reticulofenestra pseudoumbilicus (>7µm),Reticulofenestra pseudoumbilicus (>7µm),Reticulofenestra pseudoumbilicus (>7 microns),,nannofossils,,,Reticulofenestra pseudoumbilicus (>7 microns)
Reticulofenestra reticulata,Reticulofenestra reticulata,,,nannofossils,,,Reticulofenestra reticulata
Reticulofenestra rotaria,Reticulofenestra rotaria,,,nannofossils,,,Reticulofenestra rotaria
Reticulofenestra samodurovii,Reticulofenestra samodurovii,,,nannofossils,,,Reticulofenestra samodurovii
Reticulofenestra scrippsae,Reticulofenestra scrippsae,,,nannofossils,,,Reticulofenestra scrippsae
Reticulofenestra small,Reticulofenestra small,Reticulofenestra sp. small,,nannofossils,,,Reticulofenestra sp. small
Reticulofenestra sp. (3-5 microns),Reticulofenestra sp. (3-5 microns),,,nannofossils,,,Reticulofenestra sp. (3-5 microns)
Reticulofenestra sp. (5-7 microns),Reticulofenestra sp. (5-7 microns),,,nannofossils,,,Reticulofenestra sp. (5-7 microns)
Reticulofenestra sp. (<3 microns),Reticulofenestra sp. (<3 microns),,,nannofossils,,,Reticulofenestra sp. (<3 microns)
Reticulofenestra sp. (>7 microns),Reticulofenestra sp. (>7 microns),,,nannofossils,,,Reticulofenestra sp. (>7 microns)
Reticulofenestra sp. 1,Reticulofenestra sp. 1,Reticulofenestra <sp. 1>,,nannofossils,,,Reticulofenestra <sp. 1>
Reticulofenestra spp.,Reticulofenestra spp.,,,nannofossils,,,Reticulofenestra spp.
Reticulofenestra spp. small,Reticulofenestra spp. small,,,nannofossils,,,Reticulofenestra spp. small
Reticulofenestra stavensis,Reticulofenestra stavensis,,,nannofossils,,,Reticulofenestra stavensis
Reticulofenestra umbilica,Reticulofenestra umbilica,Reticulofenestra umbilicus,,nannofossils,,,Reticulofenestra umbilicus
Reticulofenestra umbilicus,Reticulofenestra umbilicus,,,nannofossils,,,Reticulofenestra umbilicus
Reticulofenestra umbilicus (>14 microns),Reticulofenestra umbilicus (>14 microns),,,nannofossils,,,Reticulofenestra umbilicus (>14 microns)
Reticulofenestra umbilicus (>14um),Reticulofenestra umbilicus (>14um),Reticulofenestra umbilicus (>14 microns),,nannofossils,,,Reticulofenestra umbilicus (>14 microns)
Reticulofenestra umbilicus (>14µm),Reticulofenestra umbilicus (>14µm),Reticulofenestra umbilicus (>14 microns),,nannofossils,,,Reticulofenestra umbilicus (>14 microns)
Reticulofenestra erbae,Reticulofenestra erbae,Reticulofenestra erbae,,nannofossils,,,Reticulofenestra erbae
Reticulofenestra isabellae,Reticulofenestra isabellae,Reticulofenestra isabellae,,nannofossils,,,Reticulofenestra isabellae
Rhabdospaera claviger,Rhabdospaera claviger,Rhabdosphaera clavigera,,nannofossils,,,Rhabdosphaera clavigera
Rhabdosphaera clavigera,Rhabdosphaera clavigera,,,nannofossils,,,Rhabdosphaera clavigera
Rhabdosphaera sicca,Rhabdosphaera sicca,,,nannofossils,,,Rhabdosphaera sicca
Rhabdosphaera spp.,Rhabdosphaera spp.,,,nannofossils,,,Rhabdosphaera spp.
Rhabdosphaera tenuis,Rhabdosphaera tenuis,,,nannofossils,,,Rhabdosphaera tenuis
Rhagodiscus achylostaurion,Rhagodiscus achylostaurion,,,nannofossils,,,Rhagodiscus achylostaurion
Rhagodiscus angustus,Rhagodiscus angustus,,,nannofossils,,,Rhagodiscus angustus
Rhagodiscus asper,Rhagodiscus asper,,,nannofossils,,,Rhagodiscus asper
Rhagodiscus indistinctus,Rhagodiscus indistinctus,,,nannofossils,,,Rhagodiscus indistinctus
Rhagodiscus robustus,Rhagodiscus robustus,,,nannofossils,,,Rhagodiscus robustus
Rhomboaster bramlettei,Rhomboaster bramlettei,,,nannofossils,,,Rhomboaster bramlettei
Rhomboaster calcitrapa,Rhomboaster calcitrapa,,,nannofossils,,,Rhomboaster calcitrapa
Rhomboaster cuspis,Rhomboaster cuspis,,,nannofossils,,,Rhomboaster cuspis
Rhomboaster spp.,Rhomboaster spp.,,,nannofossils,,,Rhomboaster spp.
Rhomboaster svabenickiae,Rhomboaster svabenickiae,,,nannofossils,,,Rhomboaster svabenickiae
Rotelapillus,Rotelapillus,Rotelapillus sp.,,nannofossils,,,Rotelapillus sp.
Rotelapillus biarcus,Rotelapillus biarcus,,,nannofossils,,,Rotelapillus biarcus
Rotelapillus crenulatus,Rotelapillus crenulatus,,,nannofossils,,,Rotelapillus crenulatus
Rotelapillus laffittei,Rotelapillus laffittei,,,nannofossils,,,Rotelapillus laffittei
Rucinolithus magnus,Rucinolithus magnus,,,nannofossils,,,Rucinolithus magnus
Rucinolithus wisei,Rucinolithus wisei,,,nannofossils,,,Rucinolithus wisei
Schyphosphaera spp.,Schyphosphaera spp.,,,nannofossils,,,Schyphosphaera spp.
Scrippsiella sp.,Scrippsiella sp.,,,nannofossils,,,Scrippsiella sp.
Scyphosphaera apsteinii,Scyphosphaera apsteinii,,,nannofossils,,,Scyphosphaera apsteinii
Scyphosphaera apsteinii forma dilatata,Scyphosphaera apsteinii forma dilatata,,,nannofossils,,"should we use f. rather than forma? Question for the Taxonomy team, how will the PBDB want to format this?  MY guess is ""forma"" since modifiers like ""sensu lato"" are written out.  But TBD",Scyphosphaera apsteinii forma dilatata
Scyphosphaera canescens,Scyphosphaera canescens,,,nannofossils,,,Scyphosphaera canescens
Scyphosphaera cylindrica,Scyphosphaera cylindrica,,,nannofossils,,,Scyphosphaera cylindrica
Scyphosphaera globulata,Scyphosphaera globulata,,,nannofossils,,,Scyphosphaera globulata
Scyphosphaera intermedia,Scyphosphaera intermedia,,,nannofossils,,,Scyphosphaera intermedia
Scyphosphaera lagena,Scyphosphaera lagena,,,nannofossils,,,Scyphosphaera lagena
Scyphosphaera pulcherrima,Scyphosphaera pulcherrima,,,nannofossils,,,Scyphosphaera pulcherrima
Scyphosphaera spp.,Scyphosphaera spp.,,,nannofossils,,,Scyphosphaera spp.
Scyphosphaera ventriosa,Scyphosphaera ventriosa,,,nannofossils,,,Scyphosphaera ventriosa
Seribiscutum primitivum,Seribiscutum primitivum,,,nannofossils,,,Seribiscutum primitivum
Small Gephyrocapsa spp.,Small Gephyrocapsa spp.,Gephyrocapsa <spp. (small)>,,nannofossils,,,Gephyrocapsa <spp. (small)>
Solidopons petrae,Solidopons petrae,,,nannofossils,,,Solidopons petrae
Speetonia colligata,Speetonia colligata,,,nannofossils,,,Speetonia colligata
Speetonia sp.,Speetonia sp.,,,nannofossils,,,Speetonia sp.
Sphenolithus abies,Sphenolithus abies,,,nannofossils,,,Sphenolithus abies
Sphenolithus akropodus,Sphenolithus akropodus,,,nannofossils,,,Sphenolithus akropodus
Sphenolithus anarrhopus,Sphenolithus anarrhopus,,,nannofossils,,,Sphenolithus anarrhopus
Sphenolithus arthurii,Sphenolithus arthurii,,,nannofossils,,,Sphenolithus arthurii
Sphenolithus belemnos,Sphenolithus belemnos,,,nannofossils,,,Sphenolithus belemnos
Sphenolithus calyculus,Sphenolithus calyculus,,,nannofossils,,,Sphenolithus calyculus
Sphenolithus capricornutus,Sphenolithus capricornutus,,,nannofossils,,,Sphenolithus capricornutus
Sphenolithus celsus,Sphenolithus celsus,,,nannofossils,,,Sphenolithus celsus
Sphenolithus ciperoensis,Sphenolithus ciperoensis,,,nannofossils,,,Sphenolithus ciperoensis
Sphenolithus conicus,Sphenolithus conicus,,,nannofossils,,,Sphenolithus conicus
Sphenolithus conspicuus,Sphenolithus conspicuus,,,nannofossils,,,Sphenolithus conspicuus
Sphenolithus cuniculus,Sphenolithus cuniculus,,,nannofossils,,,Sphenolithus cuniculus
Sphenolithus delphix,Sphenolithus delphix,,,nannofossils,,,Sphenolithus delphix
Sphenolithus disbelemnos,Sphenolithus disbelemnos,,,nannofossils,,,Sphenolithus disbelemnos
Sphenolithus dissimilis,Sphenolithus dissimilis,,,nannofossils,,,Sphenolithus dissimilis
Sphenolithus distentus,Sphenolithus distentus,,,nannofossils,,,Sphenolithus distentus
Sphenolithus editus,Sphenolithus editus,,,nannofossils,,,Sphenolithus editus
Sphenolithus furcatolithoides,Sphenolithus furcatolithoides,,,nannofossils,,,Sphenolithus furcatolithoides
Sphenolithus furcatolithoides morph A,Sphenolithus furcatolithoides morph A,,,nannofossils,,,Sphenolithus furcatolithoides morph A
Sphenolithus furcatolithoides morph B,Sphenolithus furcatolithoides morph B,,,nannofossils,,,Sphenolithus furcatolithoides morph B
Sphenolithus grandis,Sphenolithus grandis,,,nannofossils,,,Sphenolithus grandis
Sphenolithus heteromorpha,Sphenolithus heteromorpha,Sphenolithus heteromorphus,,nannofossils,,,Sphenolithus heteromorphus
Sphenolithus heteromorphus,Sphenolithus heteromorphus,,,nannofossils,,,Sphenolithus heteromorphus
Sphenolithus moriformis,Sphenolithus moriformis,,,nannofossils,,,Sphenolithus moriformis
Sphenolithus moriformis gr.,Sphenolithus moriformis gr.,,,nannofossils,,"same comment as above on grouping - good point that the taxonomy team will need to decide on whether ""group"" is written out or an abbreviation will be used",Sphenolithus moriformis gr.
Sphenolithus neoabies,Sphenolithus neoabies,,,nannofossils,,,Sphenolithus neoabies
Sphenolithus obtusus,Sphenolithus obtusus,,,nannofossils,,,Sphenolithus obtusus
Sphenolithus orphanknollensis,Sphenolithus orphanknollensis,,,nannofossils,,,Sphenolithus orphanknollensis
Sphenolithus pospichalii,Sphenolithus pospichalii,,,nannofossils,,,Sphenolithus pospichalii
Sphenolithus predistentus,Sphenolithus predistentus,,,nannofossils,,,Sphenolithus predistentus
Sphenolithus primus,Sphenolithus primus,,,nannofossils,,,Sphenolithus primus
Sphenolithus pseudoheteromorphus,Sphenolithus pseudoheteromorphus,,,nannofossils,,,Sphenolithus pseudoheteromorphus
Sphenolithus pseudoradians,Sphenolithus pseudoradians,,,nannofossils,,,Sphenolithus pseudoradians
Sphenolithus radians,Sphenolithus radians,,,nannofossils,,,Sphenolithus radians
Sphenolithus runus,Sphenolithus runus,,,nannofossils,,,Sphenolithus runus
Sphenolithus spiniger,Sphenolithus spiniger,,,nannofossils,,,Sphenolithus spiniger
Sphenolithus spp.,Sphenolithus spp.,,,nannofossils,,,Sphenolithus spp.
Sphenolithus strigosus,Sphenolithus strigosus,,,nannofossils,,,Sphenolithus strigosus
Sphenolithus tribulosus,Sphenolithus tribulosus,,,nannofossils,,,Sphenolithus tribulosus
Sphenolithus villae,Sphenolithus villae,,,nannofossils,,,Sphenolithus villae
Staurolithites,Staurolithites,Staurolithites sp.,,nannofossils,,,Staurolithites sp.
Staurolithites angustus,Staurolithites angustus,,,nannofossils,,,Staurolithites angustus
Staurolithites flavus,Staurolithites flavus,,,nannofossils,,,Staurolithites flavus
Staurolithites gausorhethium,Staurolithites gausorhethium,,,nannofossils,,,Staurolithites gausorhethium
Staurolithites mutterlosei,Staurolithites mutterlosei,,,nannofossils,,,Staurolithites mutterlosei
Staurolithites siesseri,Staurolithites siesseri,,,nannofossils,,,Staurolithites siesseri
Staurolithites spp.,Staurolithites spp.,,,nannofossils,,,Staurolithites spp.
Stoverius achylosus,Stoverius achylosus,,,nannofossils,,,Stoverius achylosus
Stoverius coronatus,Stoverius coronatus,,,nannofossils,,,Stoverius coronatus
Syracosphaera histrica,Syracosphaera histrica,,,nannofossils,,,Syracosphaera histrica
Syracosphaera lamina,Syracosphaera lamina,,,nannofossils,,,Syracosphaera lamina
Syracosphaera pulchra,Syracosphaera pulchra,,,nannofossils,,,Syracosphaera pulchra
Syracosphaera spp.,Syracosphaera spp.,,,nannofossils,,,Syracosphaera spp.
Syracosphaera spp. (Neogene),Syracosphaera spp. (Neogene),Syracosphaera <spp. (Neogene)>,,nannofossils,,,Syracosphaera <spp. (Neogene)>
Syracosphaera spp. (Paleogene),Syracosphaera spp. (Paleogene),Syracosphaera <spp. (Paleogene)>,,nannofossils,,,Syracosphaera <spp. (Paleogene)>
Tegumentum,Tegumentum,Tegumentum sp.,,nannofossils,,,Tegumentum sp.
Tegumentum stradneri,Tegumentum stradneri,,,nannofossils,,,Tegumentum stradneri
Tetralithoides quadrilaminata,Tetralithoides quadrilaminata,,,nannofossils,,,Tetralithoides quadrilaminata
Tetralithoides symeonidesii,Tetralithoides symeonidesii,,,nannofossils,,,Tetralithoides symeonidesii
Tetrapodorhabdus decorus,Tetrapodorhabdus decorus,,,nannofossils,,,Tetrapodorhabdus decorus
Thiersteinia ecclesiastica,Thiersteinia ecclesiastica,,,nannofossils,,,Thiersteinia ecclesiastica
Thoracosphaera heimii,Thoracosphaera heimii,,,nannofossils,,,Thoracosphaera heimii
Thoracosphaera sp.,Thoracosphaera sp.,,,nannofossils,,,Thoracosphaera sp.
Thoracosphaera spp.,Thoracosphaera spp.,,,nannofossils,,,Thoracosphaera spp.
Toweius callosus,Toweius callosus,,,nannofossils,,,Toweius callosus
Toweius crassus,Toweius crassus,,,nannofossils,,,Toweius crassus
Toweius eminens,Toweius eminens,,,nannofossils,,,Toweius eminens
Toweius gammation,Toweius gammation,,,nannofossils,,,Toweius gammation
Toweius magnicrassus,Toweius magnicrassus,,,nannofossils,,,Toweius magnicrassus
Toweius occultatus,Toweius occultatus,,,nannofossils,,,Toweius occultatus
Toweius pertusus,Toweius pertusus,,,nannofossils,,,Toweius pertusus
Toweius rotundus,Toweius rotundus,,,nannofossils,,,Toweius rotundus
Toweius serontinus,Toweius serontinus,,,nannofossils,,,Toweius serontinus
Toweius spp.,Toweius spp.,,,nannofossils,,,Toweius spp.
Toweius tovae,Toweius tovae,,,nannofossils,,,Toweius tovae
Tranolithus orionatus,Tranolithus orionatus,,,nannofossils,,,Tranolithus orionatus
Tranolithus phacelosus,Tranolithus phacelosus,,,nannofossils,,,Tranolithus phacelosus
Tribrachiatus absidatus,Tribrachiatus absidatus,,,nannofossils,,,Tribrachiatus absidatus
Tribrachiatus bramlettei,Tribrachiatus bramlettei,,,nannofossils,,,Tribrachiatus bramlettei
Tribrachiatus contortus,Tribrachiatus contortus,,,nannofossils,,,Tribrachiatus contortus
Tribrachiatus digitalis,Tribrachiatus digitalis,,,nannofossils,,,Tribrachiatus digitalis
Tribrachiatus orthostylus,Tribrachiatus orthostylus,,,nannofossils,,,Tribrachiatus orthostylus
Triquetrorhabdulus carinatus,Triquetrorhabdulus carinatus,,,nannofossils,,,Triquetrorhabdulus carinatus
Triquetrorhabdulus challengeri,Triquetrorhabdulus challengeri,,,nannofossils,,,Triquetrorhabdulus challengeri
Triquetrorhabdulus finifer,Triquetrorhabdulus finifer,,,nannofossils,,,Triquetrorhabdulus finifer
Triquetrorhabdulus longus,Triquetrorhabdulus longus,,,nannofossils,,,Triquetrorhabdulus longus
Triquetrorhabdulus millowii,Triquetrorhabdulus millowii,Triquetrorhabdulus milowii,,nannofossils,,,Triquetrorhabdulus milowii
Triquetrorhabdulus milowii,Triquetrorhabdulus milowii,,,nannofossils,,,Triquetrorhabdulus milowii
Triquetrorhabdulus rioi,Triquetrorhabdulus rioi,,,nannofossils,,,Triquetrorhabdulus rioi
Triquetrorhabdulus rugosus,Triquetrorhabdulus rugosus,,,nannofossils,,,Triquetrorhabdulus rugosus
Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus <sp. (long needle-like)>,,nannofossils,,,Triquetrorhabdulus <sp. (long needle-like)>
Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus <sp. (long needle-like)>,,nannofossils,,,Triquetrorhabdulus <sp. (long needle-like)>
Triquetrorhabdulus sp. (long),Triquetrorhabdulus sp. (long),Triquetrorhabdulus <sp. (long)>,,nannofossils,,,Triquetrorhabdulus <sp. (long)>
Triquetrorhabdulus striatus,Triquetrorhabdulus striatus,,,nannofossils,,,Triquetrorhabdulus striatus
Triquetrorhabdus carniatus,Triquetrorhabdus carniatus,Triquetrorhabdulus carinatus,,nannofossils,,,Triquetrorhabdulus carinatus
Triquetrorhabdus rugosus,Triquetrorhabdus rugosus,Triquetrorhabdulus rugosus,,nannofossils,,,Triquetrorhabdulus rugosus
Umbellosphaera irregularis,Umbellosphaera irregularis,,,nannofossils,,,Umbellosphaera irregularis
Umbellosphaera tenuis,Umbellosphaera tenuis,,,nannofossils,,,Umbellosphaera tenuis
Umbilicosphaera bramlettei,Umbilicosphaera bramlettei,,,nannofossils,,,Umbilicosphaera bramlettei
Umbilicosphaera foliosa,Umbilicosphaera foliosa,,,nannofossils,,,Umbilicosphaera foliosa
Umbilicosphaera hulburtiana,Umbilicosphaera hulburtiana,,,nannofossils,,,Umbilicosphaera hulburtiana
Umbilicosphaera jafari,Umbilicosphaera jafari,,,nannofossils,,,Umbilicosphaera jafari
Umbilicosphaera jordanii,Umbilicosphaera jordanii,,,nannofossils,,,Umbilicosphaera jordanii
Umbilicosphaera rotula,Umbilicosphaera rotula,,,nannofossils,,,Umbilicosphaera rotula
Umbilicosphaera sibogae,Umbilicosphaera sibogae,,,nannofossils,,,Umbilicosphaera sibogae
Umbilicosphaera sibogae var. foliosa,Umbilicosphaera sibogae var. foliosa,,,nannofossils,,,Umbilicosphaera sibogae var. foliosa
Umbilicosphaera sigbogae,Umbilicosphaera sigbogae,Umbilicosphaera sibogae,,nannofossils,,,Umbilicosphaera sibogae
Umbilicosphaera sp.,Umbilicosphaera sp.,,,nannofossils,,,Umbilicosphaera sp.
Uniplanarius,Uniplanarius,Uniplanarius sp.,,nannofossils,,,Uniplanarius sp.
Uniplanarius gothicus,Uniplanarius gothicus,,,nannofossils,,,Uniplanarius gothicus
Uniplanarius sissinghii,Uniplanarius sissinghii,,,nannofossils,,,Uniplanarius sissinghii
Uniplanarius trifidus,Uniplanarius trifidus,,,nannofossils,,,Uniplanarius trifidus
Watznaueria,Watznaueria,Watznaueria sp.,,nannofossils,,,Watznaueria sp.
Watznaueria barnesae,Watznaueria barnesae,Watznaueria barnesiae,,nannofossils,,,Watznaueria barnesiae
Watznaueria barnesiae,Watznaueria barnesiae,,,nannofossils,,,Watznaueria barnesiae
Watznaueria bayackii,Watznaueria bayackii,,,nannofossils,,,Watznaueria bayackii
Watznaueria biporta,Watznaueria biporta,,,nannofossils,,,Watznaueria biporta
Watznaueria britannica,Watznaueria britannica,,,nannofossils,,,Watznaueria britannica
Watznaueria fossacincta,Watznaueria fossacincta,,,nannofossils,,,Watznaueria fossacincta
Watznaueria ovata,Watznaueria ovata,,,nannofossils,,,Watznaueria ovata
