taxon,taxon_group,name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Pleurostomella bellardii,benthic foraminifera,,,,,
Cribroperidinium sp.,dinoflagellates,,276900.0,Cribroperidinium,genus,
Dentalina inepta,benthic foraminifera,,,,,
Rhabdolithus sceptrum,nannofossils,,,,,
Dictyocha perlaevis delicata,silicoflagellates,,,,,
Nothofagidites hetera,pollen,,,,,
Elphidium advena,benthic foraminifera,,,,,
Nannotetrina swasticoides,nannofossils,,,,,
Corbisema triacantha flexuosa,silicoflagellates,,,,,
Dactylethra punctulata,nannofossils,,,,,
Reinhardtites mirabilis,nannofossils,,,,,
Dictyocha japonica,silicoflagellates,,,,,
Globorotalia quetra,planktic foraminfera,,,,,
Elphidium lene,benthic foraminifera,,,,,
Argilloecia angulata,ostracod,,,,,
Stephanopyxis schenckii,diatoms,,,,,
Globigerinoides apertasuturalis,planktic foraminfera,,,,,
Bacteriastrum comosum,diatoms,,,,,
Protentella prolixa,planktic foraminfera,,,,,
Perfotricolpites digitatus,pollen,,250552.0,Perfotricolpites digitatus,species,
Lithomesites nodosum,phytoliths,,,,,
Thoracosphaera granifera,nannofossils,,,,,
Asterolampra decora,diatoms,,,,,
Clathrocycloma sp.,radiolarians,,87061.0,Clathrocycloma,genus,
Dicksonia sp.,pollen,,277341.0,Dicksonia,genus,
Rhus,pollen,,54685.0,Rhus,genus,
Streptochilus globigerum,planktic foraminfera,,,,,
Lyramula furcula s.ampl.,silicoflagellates,,,,,
Neogloboquadrina dutertrei subcretacea,planktic foraminfera,,,,,
Lamprotripus butschlii,radiolarians,,,,,
Foraminisporis dailyi,pollen,,276561.0,Foraminisporis dailyi,species,
Carpocanobium setosa,radiolarians,,,,,
Gomphonema parvulum,diatoms,,,,,
Globorotalia compressa,planktic foraminfera,,,,,
Gephyrocapsa kamptneri,nannofossils,,,,,
Astronion sp.,benthic foraminifera,,,,,
Turborotalia humerosa trochoidea,planktic foraminfera,,,,,
Asteromphalus imbricatus,diatoms,,,,,
Eunotia pectinalis,diatoms,,,,,
Invertocysta lacrymosa,dinoflagellates,,,,,
Stilostomella verneuili,benthic foraminifera,,,,,
Stichocorys sp.(q),radiolarians,,,,,
Siphonodosaria nuttalli,benthic foraminifera,,,,,
Coscinodiscus blysmos,diatoms,,,,,
Hemiaulus elegans,diatoms,,,,,
Globigerinita bradyi,planktic foraminfera,,,,,
Cyclicargolithus marismontium,nannofossils,,,,,
Sphenolithus moriformis plexus,nannofossils,,,,,
Archaeomonas dubia,diatoms,,,,,
Globorotalia tosaensis tenuitheca,planktic foraminfera,,,,,
Anthocyrtium ehrenbergii ehrenbergii,radiolarians,,,,,
Jenkinsiana samwelli,planktic foraminfera,,,,,
Clathrocircus stapedius,radiolarians,,,,,
Dentalina pauperata,benthic foraminifera,,352087.0,Dentalina pauperata,species,
Globigerina hagni,planktic foraminfera,,,,,
Valvulina chapmani,benthic foraminifera,,,,,
Systematophora ancyrea,dinoflagellates,,,,,
Liguliflores sp.,pollen,,,,,
Fissurina anectus,benthic foraminifera,,,,,
Hexapyle sp.,radiolarians,,84813.0,Hexapyle,genus,
Sphaerogypsina sp.,benthic foraminifera,,2566.0,Sphaerogypsina,genus,
Mesocena diodon s.ampl.,silicoflagellates,,,,,
Amphisphaera sp.,radiolarians,,16.0,Amphisphaera,genus,
Thalassiosira convexa convexa,diatoms,,,,,
Globigerina incisa,planktic foraminfera,,,,,
Nummulites vascus,benthic foraminifera,,,,,
Nummulites rotularius,benthic foraminifera,,,,,
Reticulofenestra hampdenensis ilaevis,nannofossils,,,,,
Dinogymnium microgranulosum,dinoflagellates,,,,,
Urticales,pollen,,54912.0,Urticales,order,
Transversopontis pulcher,nannofossils,,,,,
Haliomma glisifra,radiolarians,,,,,
Globigerirella siphonifera,planktic foraminfera,,,,,
Hemicytherura kajiyamai,ostracod,,,,,
Nodosaria jacksonensis,benthic foraminifera,,,,,
Agrenocythere pliocenica,ostracod,,,,,
Loxostomum trinitatensis,benthic foraminifera,,,,,
Cretarhabdus sp.,nannofossils,,87816.0,Cretarhabdus,genus,
Veryhachium rhomboidum,dinoflagellates,,,,,
Roperia praetesselata,diatoms,,,,,
Impagidinium sphaericum,dinoflagellates,,,,,
Chiphragmalithus sp.(q),nannofossils,,,,,
Stichocorys johnsonii,radiolarians,,,,,
Globigerina schachdagica,planktic foraminfera,,,,,
Praebulimina grata,benthic foraminifera,,,,,
Hastigerinoides sp.,planktic foraminfera,,1589.0,Hastigerinoides,genus,
Crucidenticula ikebei,diatoms,,,,,
Coccolithus sarsiae,nannofossils,,,,,
Globorotalia permicra,planktic foraminfera,,,,,
Globigerinoides trilobus sacculifer,planktic foraminfera,,,,,
Pseudammopochium dictyoides,ebridians,,,,,
Pseudostictodiscus angulatus,diatoms,,,,,
Globorotalia pentacamerata,planktic foraminfera,,,,,
Triceratium inconspicuum trilobata,diatoms,,,,,
Globigerinita glutinata incrusta,planktic foraminfera,,,,,
Cruciplacolithus delus,nannofossils,,,,,
Distephanus crux fenestratus,silicoflagellates,,,,,
Apteodinium sp.,dinoflagellates,,276894.0,Apteodinium,genus,
Hantkenina mexicana mexicana,planktic foraminfera,,,,,
Pistacia lentiscus,pollen,,,,,
Spongolagena sp.,radiolarians,,,,,
Globigerina dutertrei,planktic foraminfera,,402485.0,Globigerina dutertrei,species,
Saccammina diflugiformis,benthic foraminifera,,,,,
Neodenticula koisumii,diatoms,,,,,
Solenosphaera sp.,radiolarians,,299.0,Solenosphaera,genus,
Aragonia semi-reticulata,benthic foraminifera,,,,,
Corbisema ovalis,silicoflagellates,,,,,
Dictyocha rotundata,silicoflagellates,,,,,
Melosira islandica curvata,diatoms,,,,,
Globoquadrina winkleri,planktic foraminfera,,,,,
Ochetodinium sp.,dinoflagellates,,,,,
Clavulina arenata,benthic foraminifera,,,,,
Lejeunia sp.,dinoflagellates,,410314.0,Lejeunia,genus,
Eorupertia bermudezi,benthic foraminifera,,,,,
Aulacosira sp.,diatoms,,,,,
Distephanus aculeatus binoculus,silicoflagellates,,,,,
Bolivina hebes,benthic foraminifera,,,,,
Streptochilus tokelauae,planktic foraminfera,,,,,
Peromonolites vellosus,pollen,,264491.0,Peromonolites vellosus,species,
Pinuspollinites sp.,pollen,,,,,
Globigerina humilis,planktic foraminfera,,,,,
Stilostomella nuttalli gracillima,benthic foraminifera,,,,,
Grammatophora stricta fossilis,diatoms,,,,,
Pseudoglandulina sp.,benthic foraminifera,,104114.0,Pseudoglandulina,genus,
Distephanus spp.,silicoflagellates,,,,,
Globigerina woodi decoraperta,planktic foraminfera,,,,,
Theocotyle tuberosa,radiolarians,,,,,
Globorotaloides suteri relizensis,planktic foraminfera,,,,,
Quinqueloculina semulinulum,benthic foraminifera,,,,,
Thalassionema elegans,diatoms,,,,,
Hemiaulus exiguus,diatoms,,,,,
Sceptroneis pupa,diatoms,,,,,
Delphineis sheshukovae,diatoms,,,,,
Amaurolithus sp.,nannofossils,,388308.0,Amaurolithus,genus,
Rhaphoneis nitida,diatoms,,,,,
Globigerinoides sacculifer irregularis,planktic foraminfera,,,,,
Heterolepa trincherasensis,benthic foraminifera,,,,,
Globorotalia pusilla,planktic foraminfera,,,,,
Conococcolithus sp.(q),nannofossils,,,,,
Pontosphaera labrosa,nannofossils,,,,,
Globigerinita uvula minuta,planktic foraminfera,,,,,
Hemiaulus schmidti,diatoms,,,,,
Orbiculiforma renillaeformis,radiolarians,,166530.0,Orbiculiforma renillaeformis,species,
Globoquadrina asanoi,planktic foraminfera,,422466.0,Globoquadrina asanoi,species,
Cassidulina pacifica,benthic foraminifera,,,,,
Globorotalia fohsi s. l.,planktic foraminfera,,,,,
Globorotalia nana pseudocontinuosa,planktic foraminfera,,,,,
Dinopterygium cladoides,dinoflagellates,,277065.0,Dinopterygium cladoides,species,
Discolithina panerium,nannofossils,,,,,
Globigerina gravelli,planktic foraminfera,,,,,
Votadinium calvum,dinoflagellates,,,,,
Globigerina praerubra,planktic foraminfera,,,,,
Actinomma tanyacantha,radiolarians,,,,,
Siphostichoartus praecorona,radiolarians,,,,,
Stylotrochus quadribrachiatus multibrachiatus,radiolarians,,,,,
Catinaster pelagicus,nannofossils,,,,,
Bolivina subspinescens,benthic foraminifera,,,,,
Plegmosphaera monikae,radiolarians,,,,,
Nitzschia umaoiensis,diatoms,,,,,
Pleurosigma directum,diatoms,,,,,
Hermesium sp.,ebridians,,,,,
Rhizosolenia praebergonii robusta,diatoms,,,,,
Catapsydrax pera,planktic foraminfera,,,,,
Globorotalia truncatulinoides truncatulinoides,planktic foraminfera,,,,,
Bathysiphon alba,benthic foraminifera,,,,,
Cannopilus ichikawai,silicoflagellates,,,,,
Guttulina sororia,benthic foraminifera,,,,,
Cosmiodiscus insignis,diatoms,,,,,
Silicosigmoilina sp.,benthic foraminifera,,2528.0,Silicosigmoilina,genus,
Rzehakina epigona inclusa,benthic foraminifera,,,,,
Laevigatosporites ovatus,pollen,,252494.0,Laevigatosporites ovatus,species,
Pterotheca danica,diatoms,,,,,
Globigerinita sp.,planktic foraminfera,,1503.0,Globigerinita,genus,
Marginulina exima,benthic foraminifera,,,,,
Lithocyclia aristotelis group,radiolarians,,,,,
Ceratospyris articulata,radiolarians,,152564.0,Ceratospyris articulata,species,
Neogloboquadrina dutertrei dutertrei,planktic foraminfera,,,,,
Stephanodiscus pantocsekii,diatoms,,,,,
Castanea sp.,pollen,,55972.0,Castanea,genus,
Plectofrondicularia ruthvanmurrayi,benthic foraminifera,,,,,
Trigonactinium pythagorae,radiolarians,,,,,
Polypodiidites sp.,pollen,,276568.0,Polypodiidites,genus,
Ommatartus sp.,radiolarians,,207.0,Ommatartus,genus,
Quadrimorphina profunda,benthic foraminifera,,,,,
Naviculopsis obtusarca acicula,silicoflagellates,,,,,
Leptolepidites sp.,pollen,,252554.0,Leptolepidites,genus,
Cymbella ventricosa,diatoms,,,,,
Rzehakina sp.,benthic foraminifera,,2448.0,Rzehakina,genus,
Corythomelissa sp.,radiolarians,,,,,
Nitzschia heteropolica,diatoms,,,,,
Thalassiothrix primitiva,diatoms,,,,,
Stephanolithion laffittei,nannofossils,,88484.0,Stephanolithion laffittei,species,
Globigerinatheka higginsi,planktic foraminfera,,,,,
Turborotalia acostaensis acostaensis,planktic foraminfera,,,,,
Wiseorhabdus inversus,nannofossils,,,,,
Discolithina pygmaea,nannofossils,,,,,
Tabellaria fenestrata,diatoms,,,,,
Velicucullus magnificum,radiolarians,,,,,
Diploneis suborbicularis,diatoms,,,,,
Rhodospyris anthocyrtis,radiolarians,,,,,
Noviuva plebeja,benthic foraminifera,,,,,
Batiacasphaera baculata,dinoflagellates,,,,,
Globigerinoides primitiva,planktic foraminfera,,,,,
Cyclococcolithina floridana,nannofossils,,,,,
Helicopontosphaera parallela,nannofossils,,,,,
Candeina nitida nitida,planktic foraminfera,,,,,
Eponides pusillus,benthic foraminifera,,,,,
Xiphospira circularis,radiolarians,,,,,
Suggrunda kleinpelli,benthic foraminifera,,,,,
Abutilon sp.,pollen,,,,,
Ammobaculoides navarroensis,benthic foraminifera,,,,,
Globotruncana conica,planktic foraminfera,,,,,
Rhabdolithina splendens,nannofossils,,,,,
Lamprocyclas margatensis,radiolarians,,,,,
Porodiscus microporus,radiolarians,,,,,
Bythocythere sp.,ostracod,,23958.0,Bythocythere,genus,
Petalospyris triceros,radiolarians,,,,,
Stilostomella kressenbergensis,benthic foraminifera,,,,,
Xanthiopyxis globosa,diatoms,,,,,
Podocyrtis platypus,radiolarians,,152632.0,Podocyrtis (Podocyrtoges) platypus,species,
Neosemantis hofferti,radiolarians,,,,,
Apeiba sp.,pollen,,,,,
Ranunculaceae,pollen,,55402.0,Ranunculaceae,family,
Globorotalia ikebei,planktic foraminfera,,,,,
Nitzschia cylindrica-fossilis group,diatoms,,,,,
Distephanus varians,silicoflagellates,,,,,
Cibicidoides perlucidus,benthic foraminifera,,,,,
Craspedodiscus oblongus,diatoms,,,,,
Articulina sp.,benthic foraminifera,,890.0,Articulina,genus,
Helicopontosphaera wilcoxonii,nannofossils,,,,,
Lagena lagenoides,benthic foraminifera,,,,,
Spiroloculina texana,benthic foraminifera,,,,,
Naviculopsis punctilia,silicoflagellates,,,,,
Sphaeroidinellopsis seminulina subdehiscens,planktic foraminfera,,,,,
Fissurina annectens,benthic foraminifera,,202102.0,Fissurina annectens,species,
Corbisema hastata miranda,silicoflagellates,,387249.0,Corbisema hastata miranda,subspecies,
Denticula punctata,diatoms,,,,,
Clathrocycloma davisiana,radiolarians,,,,,
Tholospyris sp.(q),radiolarians,,,,,
Clavulina tricarinata,benthic foraminifera,,,,,
Turborotalita cristata,planktic foraminfera,,,,,
Nitzschia rhombica,diatoms,,,,,
Rhabdolithus inflatus,nannofossils,,,,,
Tricolocapsa sp.,radiolarians,,690.0,Tricolocapsa,genus,
Cibicidoides semiteres,benthic foraminifera,,,,,
Cyrtocapsella armata,radiolarians,,,,,
Syracospahera tamina,nannofossils,,,,,
Cassidulina norcrossi,benthic foraminifera,,,,,
Globorotalia parahexagona,planktic foraminfera,,,,,
Anomalina dorri aragonensis,benthic foraminifera,,,,,
Turborotalia mckannai,planktic foraminfera,,,,,
Coscinodiscus intersectus,diatoms,,,,,
Cibicides nucleatus,benthic foraminifera,,,,,
Oligosphaeridium complex,dinoflagellates,,276925.0,Oligosphaeridium complex,species,
Karreriella apicularis,benthic foraminifera,,,,,
Quadrum trifidum,nannofossils,,,,,
Theocotyle cryptocephala cryptocephala,radiolarians,,,,,
Catapsydrax unicavus primiativus,planktic foraminfera,,,,,
Parakrithe sp.,ostracod,,24404.0,Parakrithe,genus,
Saracenaria senni,benthic foraminifera,,,,,
Cyathidites punctatus,pollen,,276800.0,Cyathidites punctatus,species,
Globigerina praebulloides occlusa,planktic foraminfera,,,,,
Patulibracchium sp.,radiolarians,,232.0,Patulibracchium,genus,
Uvigerina excellence,benthic foraminifera,,,,,
Cyclococcolithina leptopora,nannofossils,,,,,
Anthocyrtella kruegeri,radiolarians,,,,,
Discoaster brouweri tridens,nannofossils,,,,,
Epistominella tamana,benthic foraminifera,,,,,
Nitzschia constricta,diatoms,,,,,
Cyclampterium brachythorax,radiolarians,,,,,
Globigerina leroyi,planktic foraminfera,,,,,
Globorotalia mendacis,planktic foraminfera,,,,,
Globorotalia pertenuis multicamerata,planktic foraminfera,,,,,
Turborotalita atlantisae,planktic foraminfera,,,,,
Actinocyclus normannii,diatoms,,,,,
Textularia leuzingeri,benthic foraminifera,,,,,
Theocotyle (theocotylissa) ficus,radiolarians,,,,,
Lenticulina vortex,benthic foraminifera,,,,,
Rhabdonema arcuatum ventricosa,diatoms,,,,,
Antarctissa ewingi,radiolarians,,,,,
Stilostomella seriata,benthic foraminifera,,,,,
Globanomalina pusilla laevigata,planktic foraminfera,,,,,
Theoconus zancleus,radiolarians,,,,,
Arkhangelskiella erratica,nannofossils,,,,,
Bolivina tectiformis,benthic foraminifera,,,,,
Clathrocyclas cabrilloensis,radiolarians,,,,,
Pyrgo serraria,benthic foraminifera,,,,,
Actinoptychus heliopleta,diatoms,,,,,
Nothofagidites spinosus,pollen,,,,,
Paralia sp.,diatoms,,71263.0,Paralia,genus,
Ceratobulimina sp.,benthic foraminifera,,1075.0,Ceratobulimina,genus,
Coscinodiscus pustulatus,diatoms,,,,,
Distephanus stauracanthus octagonus,silicoflagellates,,,,,
Globorotalia praecursoria,planktic foraminfera,,,,,
Spongocore diplocylindrica,radiolarians,,,,,
Distephanus macilentus,silicoflagellates,,,,,
Dictyocha longa paxilla,silicoflagellates,,,,,
Homotryblium oceanicum,dinoflagellates,,,,,
Stichodiscus hardmanianus,diatoms,,,,,
Liostephania sp.,diatoms,,,,,
Nitzschia reidelia,diatoms,,,,,
Globigerinita echinatus,planktic foraminfera,,,,,
Stichomitra cathara,radiolarians,,,,,
Pentadinium sp.,dinoflagellates,,412407.0,Pentadinium,genus,
Kamptnerius sp.,nannofossils,,87788.0,Kamptnerius,genus,
Scyphosphaera biarritzensis,nannofossils,,,,,
Fissurina capillosa,benthic foraminifera,,,,,
Helicosphaera california,nannofossils,,,,,
Cassidulina braziliensis,benthic foraminifera,,,,,
Lingulodinium machaerophorum,dinoflagellates,,,,,
Lithocampe subligata group,radiolarians,,,,,
Sanguisorba sp.,pollen,,435000.0,Sanguisorba,genus,
Nodosaria granti,benthic foraminifera,,,,,
Stilostomella adolphina,benthic foraminifera,,,,,
Amphipyndax enesseffi,radiolarians,,,,,
Nitzschia interfrigidaria,diatoms,,,,,
Plagiogramma stauroneis,diatoms,,,,,
Micrhystridium sp.,dinoflagellates,,170208.0,Micrhystridium,genus,
Bombacacidites sp.,pollen,,276601.0,Bombacacidites,genus,
Gyroidina perampla,benthic foraminifera,,,,,
Syracosphaera japonica,nannofossils,,,,,
Synedra vaucheriae,diatoms,,,,,
Hystrichosphaeridium sp.,dinoflagellates,,277883.0,Hystrichosphaeridium,genus,
Membranophoridium aspinatum,dinoflagellates,,410852.0,Membranophoridium aspinatum,species,
Giraffospyris lata,radiolarians,,152574.0,Giraffospyris lata,species,
Dictyocha quadria,silicoflagellates,,,,,
Fissurina kugleri,benthic foraminifera,,,,,
Eiffellithus octoradiatus,nannofossils,,,,,
Cingutriletes clavus,pollen,,276790.0,Cingutriletes clavus,species,
Pleurostomella nutalli,benthic foraminifera,,,,,
Bolivina granti,benthic foraminifera,,,,,
Corbisema hastata s. ampl.,silicoflagellates,,,,,
Uvigerina semitrigona,benthic foraminifera,,,,,
Bulimina eccentrica,benthic foraminifera,,,,,
Rhopalodia musculus,diatoms,,,,,
Globigerina brevis,planktic foraminfera,,,,,
Nitzschia grunowii,diatoms,,,,,
Subbotina minima,planktic foraminfera,,,,,
Crepidolithus thiersteinii,nannofossils,,88594.0,Crepidolithus thiersteinii,species,
Navicula radiosa,diatoms,,,,,
Costacentrum horticum,nannofossils,,,,,
Dorcadospyris alata s.s.,radiolarians,,,,,
Globorotaloides falconarae,planktic foraminfera,,,,,
Calocyclas margatensis,radiolarians,,,,,
Triceratium macroporum,diatoms,,,,,
Karreriella monumentensis,benthic foraminifera,,,,,
Uvigerina miozea,benthic foraminifera,,,,,
Tetralithus pyramidus,nannofossils,,,,,
Nitzschia praereinholdi-fossilis group,diatoms,,,,,
Astrophacus linckiaformis,radiolarians,,,,,
Lenticulina crassa,benthic foraminifera,,,,,
Clavatipollenites sp.,pollen,,264520.0,Clavatipollenites,genus,
Crotonoideae,pollen,,,,,
Tricolpites waiparaensis,pollen,,286026.0,Tricolpites waiparaensis,species,
Morozovella convexa,planktic foraminfera,,,,,
Tritaxilina mexicana,benthic foraminifera,,,,,
Asterolampra affinis cellulosa,diatoms,,,,,
Semihololithus kerabyi,nannofossils,,,,,
Robertinoides charlottensis,benthic foraminifera,,,,,
Pleurosigma angulatum,diatoms,,,,,
Bulimina microcostata,benthic foraminifera,,354863.0,Bulimina microcostata,species,
Neoeponides hildebrandti,benthic foraminifera,,,,,
Pontosphaera pulcheroides,nannofossils,,,,,
Gomphonema sp.,diatoms,,433679.0,Gomphonema,genus,
Lithomelissa ehrenbergii,radiolarians,,,,,
Eucyrtidium anomalum,radiolarians,,,,,
Corollithion signum,nannofossils,,88491.0,Corollithion signum,species,
Turborotalia mendacis,planktic foraminfera,,,,,
Tholospyris cupula,radiolarians,,,,,
Corbisema amicula,silicoflagellates,,,,,
Thalassiosira opposita,diatoms,,,,,
Zanthoxylum sp.,pollen,,319951.0,Zanthoxylum,genus,
Lophodolithus reniformis,nannofossils,,,,,
Rhaphoneis angularis,diatoms,,,,,
Neococcolithes minutus,nannofossils,,,,,
Pontosphaera segmenta,nannofossils,,,,,
Acaciapollenites myriosporites,pollen,,,,,
Discorbis ciperense,benthic foraminifera,,,,,
Triceratium subcapitatum,diatoms,,,,,
Trissocyclas stauropora,radiolarians,,,,,
Bolivina scrabata,benthic foraminifera,,,,,
Lithamphora sp.,radiolarians,,,,,
Lyramula sp.(q),silicoflagellates,,,,,
Bursera sp.,pollen,,369956.0,Bursera,genus,
Podosira polita,diatoms,,,,,
Litharachnium sp.,radiolarians,,86161.0,Litharachnium,genus,
Hastigerinella aequilateralis,planktic foraminfera,,,,,
Heliostylus sp.,radiolarians,,149.0,Heliostylus,genus,
Alisporites grandis,pollen,,277913.0,Alisporites grandis,species,
Amphisphaera dixyphos,radiolarians,,,,,
Cribrosphaera ehrenbergi,nannofossils,,,,,
Chiloguembelina martini,planktic foraminfera,,,,,
Muelleriella limbata,diatoms,,,,,
Theocampe basilis,radiolarians,,,,,
Pyxilla johnsoniana corniculum,diatoms,,,,,
Taxodium sp.,pollen,,55063.0,Taxodium,genus,
Melosira papilio,diatoms,,,,,
Morozovella broedermanni,planktic foraminfera,,,,,
Dictyocha messanensis messanensis aspinosa,silicoflagellates,,,,,
Poretzkia circularis,diatoms,,,,,
Dictyocha grandis,silicoflagellates,,,,,
Leiotriletes microadriennis,pollen,,340548.0,Leiotriletes microadriennis,species,
Ceratolithina vesca,nannofossils,,,,,
Mesocena oamaruensis oamaruensis,silicoflagellates,,,,,
Guttifere,pollen,,,,,
Micrantholithus mirabilis,nannofossils,,,,,
Lychnocanium trifolium,radiolarians,,,,,
Globigerina inaequispira,planktic foraminfera,,,,,
Dictyocha fibula rotunda,silicoflagellates,,,,,
Globorotalia opima,planktic foraminfera,,422351.0,Globorotalia opima,species,
Rhabdonoma angulatum,diatoms,,,,,
Aulacosira praegranulata,diatoms,,,,,
Spiroplectammina dentata,benthic foraminifera,,,,,
Dictyocha ausonia,silicoflagellates,,,,,
Discoaster splendidus,nannofossils,,,,,
Hemiaulus prae-elegans,diatoms,,,,,
Haliomma aequorea,radiolarians,,,,,
Anomalina aragonensis,benthic foraminifera,,,,,
Globorotalia apertura,planktic foraminfera,,,,,
Neoeponides lunata,benthic foraminifera,,,,,
Globigerinoides quadrilobatus fistulosus,planktic foraminfera,,,,,
Stephanopyxis inermis,diatoms,,,,,
Neocrepidolithus crassus,nannofossils,,,,,
Globorotalia praemenardi archaeomenardi,planktic foraminfera,,,,,
Dictyospyris discus,radiolarians,,,,,
Reophax distans,benthic foraminifera,,,,,
Lamprocyclas hannai,radiolarians,,,,,
Lithomitra eruca,radiolarians,,,,,
Lithomespilus mendosa,radiolarians,,,,,
Cocconeis scuttellum stauroneiformis,diatoms,,,,,
Rhaphoneis lancetulla,diatoms,,,,,
Theophormis callipilium,radiolarians,,,,,
Corrudinium sp.,dinoflagellates,,,,,
Gavelinella semicribrata,benthic foraminifera,,,,,
Cyclococcolithus lusitanicus,nannofossils,,,,,
Helicopontosphaera kamptneri,nannofossils,,,,,
Cibicidoides jarvisi,benthic foraminifera,,,,,
Nodosaria latejugata,benthic foraminifera,,,,,
Pseudotextularia sp.,planktic foraminfera,,2309.0,Pseudotextularia,genus,
Lagena nuttali,benthic foraminifera,,,,,
Turborotalia semivera,planktic foraminfera,,,,,
Trifarina wilcoxensis,benthic foraminifera,,,,,
Hemiaulus incurvus,diatoms,,,,,
Tripodiscinos clavipes,radiolarians,,,,,
Lenticulina limbosa,benthic foraminifera,,,,,
Xanthiopyxis rotunda,diatoms,,,,,
Coccolithus deflandrei,nannofossils,,88234.0,Coccolithus deflandrei,species,
Leptodinium dispertitum,dinoflagellates,,,,,
Zygolithus xenotus,nannofossils,,88626.0,Zygolithus xenotus,species,
Tubulifloridites sp.,pollen,,252805.0,Tubulifloridites,genus,
Impagidinium pallidium,dinoflagellates,,,,,
Baggina dominicana,benthic foraminifera,,,,,
Achomosphaera crassipellis,dinoflagellates,,,,,
Rhizosolenia hebetata subacuta,diatoms,,,,,
Discolithina ovata,nannofossils,,,,,
Cibicidoides beckmanni,benthic foraminifera,,,,,
Marginulinopsis pedum,benthic foraminifera,,,,,
Agrenocythere radula,ostracod,,,,,
Discopirina sp.,benthic foraminifera,,,,,
Cestodiscus reticulatus,diatoms,,,,,
Proteacidites clintonensis,pollen,,,,,
Bulimina denudata,benthic foraminifera,,,,,
Theoconus hertwigii,radiolarians,,,,,
Chiphragmalithus cristatus,nannofossils,,,,,
Dictyocoryne ontongensis,radiolarians,,,,,
Trachamminoides irregularis,benthic foraminifera,,,,,
Calocyclas robusta,radiolarians,,,,,
Cestodiscus pulchellus novazealandica,diatoms,,,,,
Pyrocyclus hermosus,nannofossils,,,,,
Dictyocha perlaevis flexatella,silicoflagellates,,,,,
Dentalina baggi,benthic foraminifera,,,,,
Actinocyclus bisenarius,diatoms,,,,,
Trochoaster simplex,nannofossils,,416122.0,Trochoaster simplex,species,
Brigantedinium simplex,dinoflagellates,,,,,
Alchornea cordifolia,pollen,,,,,
Guembelitria stavensis,planktic foraminfera,,,,,
Trifarina occidentalis,benthic foraminifera,,,,,
Androcyclas gamphonycha,radiolarians,,,,,
Hastigerinopsis riedeli,planktic foraminfera,,,,,
Globigerina pseudociperoensis,planktic foraminfera,,,,,
Globorotalia hexagona,planktic foraminfera,,,,,
Lithocampe cornuta,radiolarians,,,,,
Pseudocythere sp.,ostracod,,24505.0,Pseudocythere,genus,
Triceratium zonulatum,diatoms,,,,,
Globigerinatheka curryi,planktic foraminfera,,,,,
Hexacromyum sexaculeatum,radiolarians,,,,,
Nodosaria limbata tumidata,benthic foraminifera,,,,,
Hyperammina cylindrica,benthic foraminifera,,,,,
Podocarpus sp.,pollen,,264290.0,Podocarpus,genus,
Dentalina dusenburyi,benthic foraminifera,,,,,
Endictis sp.,diatoms,,,,,
Podosira sp.,diatoms,,71264.0,Podosira,genus,
Dentalina subguttifera,benthic foraminifera,,,,,
Callistocythere sp.,ostracod,,23962.0,Callistocythere,genus,
Ericaceae,pollen,,55506.0,Ericaceae,family,
Coscinodiscus muhina,diatoms,,,,,
Trifarina angulosa pauperata,benthic foraminifera,,,,,
Sphaeroidinella kochi,planktic foraminfera,,,,,
Mastogloia elegans,diatoms,,,,,
Globigerina praedigitata,planktic foraminfera,,422281.0,Globigerina praedigitata,species,
Trinacria wittii,diatoms,,,,,
Lygodiidites sp.,pollen,,277992.0,Lygodiidites,genus,
Parreloides bradyi,benthic foraminifera,,,,,
Heliodiscus saturnalis,radiolarians,,,,,
Anthocyrtidium ovata,radiolarians,,,,,
Lithocyclia lenticula,radiolarians,,,,,
Stilostomella verneuili paucistriata,benthic foraminifera,,,,,
Zygrhablithus simplex,nannofossils,,,,,
Globigerina calida praecalida,planktic foraminfera,,,,,
Coscinodiscus apiculatus ambigua,diatoms,,,,,
Quinqueloculina culturata,benthic foraminifera,,,,,
Stichocampe bironec,radiolarians,,,,,
Rugoglobigerina hexacamerata,planktic foraminfera,,,,,
Burseola sp.,benthic foraminifera,,,,,
Rhaphoneis petropolitana,diatoms,,,,,
Cyclococcolithina tenuis,nannofossils,,,,,
Polysolenia spinosa,radiolarians,,,,,
Theocalyptra bicornis,radiolarians,,,,,
Globigerina clarkei,planktic foraminfera,,422369.0,Globigerina clarkei,species,
Diploneis coffaeiformis,diatoms,,,,,
Rapanea sp.,pollen,,319857.0,Rapanea,genus,
Eponides frigidus,benthic foraminifera,,,,,
Catapsydrax boweni,planktic foraminfera,,,,,
Aulacodiscus sp.,diatoms,,9512.0,Aulacodiscus,genus,
Tepka sp.,radiolarians,,,,,
Angulogerina esuriens,benthic foraminifera,,,,,
Neogloboquadrina dutertrei pseudopima,planktic foraminfera,,,,,
Cibicidoides pseudowuellerstorfi,benthic foraminifera,,,,,
Cyclococcolithina annulata,nannofossils,,,,,
Cocconeis pseudomarginata,diatoms,,,,,
Alatacythere sp.,ostracod,,23867.0,Alatacythere,genus,
Globigerina frontusa,planktic foraminfera,,,,,
Globigerinoides quadrilobatus praeimmaturus,planktic foraminfera,,,,,
Zigospyris brevispina,radiolarians,,,,,
