Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella antillea	Pullenia subcarinata	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Lagena spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Fissurina spp.	Eponides weddellensis	Epistominella exigua	Eggerella bradyi	Cibicidoides mundulus	Cassidulina subglobosa	Cassidulina laevigata	Bulimina alazanensis	Bolivinita trunctum	Bolivina pseudoplicata	Turrila spp.	Trifarina angulosa	Tosaia hanzawai	Stilostomella spp.	Siphotextularia rolshauseni	Nonion spp.	Neoconorbina spp.	Fursenkoina pontoni	Elphidium spp.	Discorbinella spp.	Brizalina spathulata	Bolivinita spp.	Bolivina inflata	Pleurostomella spp.	Oolina spp.	Lenticulina spp.	Lamarckina spp.	Dentalina spp.	Bulimina spp.	Quinqueloculina seminulum	Nonion barleeanum	Hopkinsina spp.	Gyroidina polius	Fursenkoina fusiformis	Cibicidoides robertsonianus	Uvigerina spp.	Miliolid taxa	Florilus spp.	Bolivina pygmaea	Sigmoilina tenuis	Globobulimina auriculata	Eponides tumidulus	Stilostomella bradyi	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Gyroidina orbicularis	Cibicides wuellerstorfi	Trifarina fluens	Nonion auriculata	Gavelinopsis translucens	Bulimina marginata	Bolivina decussata	Valvulineria arctica	Patellina corrugata	Elphidium excavatum	Discorbis spp.	Brizalina lowmani	Bolivina subspinescens	Astrononion gallowayi	Anomalina globulosa	Glabratella spp.	Gavelinopsis lobatulus	Elphidium crispum	Cibicides lobatulus	Nonionella atlantica	Spiroloculina spp.	Brizalina pseudopunctata	Haynesina orbiculare	Epistominella takayanagii	Elphidium discoidale	Ammodiscoides japonicus	Ophthalmidium pusillum	Planulina ariminensis	Nonionella turgida	Cassidulina spp.	Bolivina arctica	Valvulineria laevigata	Fursenkoina pauciloculata	Pseudopolymorphina novangliae	Karreriella bradyi	Pyrgo murrhyna	Buliminella elegantissima	Elphidium poeyanum	Cyclogyra involvens	Brizalina subaenariensis	Uvigerina peregrina	Elphidium advenum	Planorbulina mediterreansis	Eoeponides pulchella	Elphidium gunteri	Elphidium galvestonense	Ammobaculites agglutinans	Rosalina columbiensis	Glabratella wrightii	Anomalina spp.	Ammonia beccarii	Bulimina striata	Sigmoilopsis schlumbergeri	Quinqueloculina agglutinans	Hoeglundina elegans	Triloculina tricarinata	Textularia conica	Rosalina floridana	Hyalina balthica	Comment

  SR	                 	                 	                  	              	149	 898	A	  8	H	 1	 105.00	     67.2500	Collins  	Benthic Foraminifers                         	               	                  	                      	2.3%                	                  	.7%                  	                      	.7%        	                    	              	              	1.7%              	                        	3.6%          	9.2%                 	1.3%                	                	                     	8.9%                  	1.3%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	.3%                 	               	                	                   	           	                	               	.3%           	             	.3%                      	                 	               	                	42.6%                 	                           	              	             	             	                	                 	                        	.3%               	1.0%                	3.6%             	                        	                 	.3%                  	1.3%                   	                	                 	.3%                     	                  	.3%               	1.0%                	                   	                   	.7%           	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	12.5%                   	                    	                         	                    	                       	                      	                     	5.3%              	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2852 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  8	H	 5	 101.00	     73.2700	Collins  	Benthic Foraminifers                         	               	                  	                      	1.4%                	                  	.6%                  	14.2%                 	.3%        	                    	              	              	.6%               	                        	.6%           	65.9%                	3.4%                	                	                     	.3%                   	                     	                    	                   	                      	            	                  	               	                  	.3%                        	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	.9%                   	                           	              	             	             	                	                 	                        	.3%               	                    	                 	                        	.3%              	.6%                  	4.8%                   	                	                 	                        	                  	.3%               	.3%                 	                   	                   	              	.3%              	                      	                     	4.3%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	.6%                      	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	414 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  8	H	 7	  56.00	     75.8200	Collins  	Benthic Foraminifers                         	               	                  	                      	.4%                 	                  	.7%                  	                      	           	                    	              	              	                  	                        	1.5%          	                     	                    	                	                     	16.5%                 	34.2%                	                    	                   	                      	            	                  	               	                  	.4%                        	           	                 	                   	              	                  	15.1%               	               	                	                   	           	                	               	              	             	.7%                      	                 	               	                	1.1%                  	                           	              	             	             	                	                 	                        	                  	.4%                 	.4%              	                        	                 	                     	                       	3.3%            	                 	2.9%                    	1.1%              	2.9%              	                    	                   	                   	.7%           	2.2%             	                      	                     	                   	                	.4%                   	                 	10.7%              	.4%                 	                  	                        	                    	                         	1.5%                	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	.7%               	                   	                        	.4%                	.4%              	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	17408 Total individuals/10 cm3. 1.1% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  9	H	 5	  71.00	     82.5200	Collins  	Benthic Foraminifers                         	               	                  	                      	                    	                  	                     	.6%                   	.3%        	                    	              	              	                  	                        	.3%           	                     	                    	                	                     	17.2%                 	35.4%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	21.1%               	               	                	                   	           	.3%             	               	              	             	.3%                      	1.0%             	               	                	1.0%                  	.3%                        	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	2.6%                   	1.9%            	                 	1.0%                    	4.5%              	2.3%              	                    	                   	                   	.3%           	                 	                      	                     	                   	                	1.0%                  	                 	1.6%               	                    	                  	.3%                     	                    	                         	.6%                 	                       	                      	.6%                  	                  	                	                	                      	                         	                             	.3%               	              	                         	                  	                   	.6%                     	1.0%               	.3%              	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	28160 Total individuals/10 cm3. 2.9% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  9	H	 6	 101.00	     84.3200	Collins  	Benthic Foraminifers                         	               	                  	                      	15.0%               	3.5%              	16.0%                	2.8%                  	1.0%       	                    	              	              	4.2%              	                        	1.4%          	7.7%                 	                    	                	                     	15.7%                 	2.1%                 	                    	                   	                      	            	                  	.3%            	                  	1.0%                       	           	                 	                   	              	                  	2.4%                	               	                	                   	           	                	               	.3%           	             	.3%                      	1.0%             	               	                	1.7%                  	.3%                        	              	             	             	                	                 	                        	4.9%              	                    	3.1%             	4.5%                    	.7%              	                     	2.4%                   	                	                 	                        	.7%               	                  	                    	                   	                   	              	                 	                      	                     	5.2%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	.7%                   	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	.3%                     	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	957 Total individuals/10 cm3. 0.3% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	  9	H	 7	  64.00	     85.4500	Collins  	Benthic Foraminifers                         	               	                  	                      	.3%                 	                  	                     	                      	           	                    	              	              	2.4%              	                        	3.0%          	1.4%                 	                    	                	                     	17.9%                 	4.4%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	10.5%               	               	                	                   	           	                	               	.7%           	             	2.4%                     	                 	               	                	8.4%                  	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	1.7%            	                 	1.4%                    	                  	9.5%              	                    	.7%                	                   	5.1%          	13.2%            	                      	                     	1.0%               	                	1.4%                  	                 	8.4%               	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	.3%                   	                         	                             	                  	              	                         	4.4%              	.3%                	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	29716 Total individuals/10 cm3. 1.4% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 10	H	 3	  96.00	     89.1600	Collins  	Benthic Foraminifers                         	               	                  	                      	2.4%                	                  	6.9%                 	.4%                   	.4%        	                    	              	              	2.0%              	                        	2.4%          	5.6%                 	6.0%                	                	                     	9.3%                  	                     	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	.4%        	                	               	.4%           	             	.4%                      	                 	               	                	27.4%                 	                           	              	             	             	                	                 	                        	                  	                    	11.3%            	                        	.8%              	                     	.8%                    	1.6%            	                 	                        	                  	4.8%              	3.2%                	.4%                	                   	.4%           	5.2%             	                      	                     	                   	                	                      	                 	                   	                    	                  	3.2%                    	                    	.4%                      	                    	                       	.8%                   	                     	                  	                	2.8%            	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1526 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 10	H	 5	  86.00	     92.0600	Collins  	Benthic Foraminifers                         	               	                  	                      	.4%                 	                  	                     	                      	.4%        	                    	              	              	3.5%              	                        	6.7%          	3.9%                 	                    	                	                     	.4%                   	8.2%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	4.3%                	               	                	                   	           	                	               	              	             	.8%                      	                 	               	                	38.4%                 	                           	              	             	             	                	                 	                        	.4%               	.4%                 	7.1%             	                        	                 	                     	1.6%                   	1.6%            	                 	.4%                     	                  	10.6%             	5.1%                	                   	                   	1.6%          	.8%              	                      	                     	.8%                	                	                      	                 	                   	                    	                  	1.2%                    	                    	.8%                      	                    	                       	                      	                     	                  	                	.8%             	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1200 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 11	H	 2	  22.00	     96.4400	Collins  	Benthic Foraminifers                         	               	                  	                      	13.4%               	                  	5.0%                 	                      	           	                    	              	              	1.7%              	                        	2.5%          	11.7%                	2.5%                	                	                     	11.7%                 	                     	                    	                   	                      	            	                  	.4%            	                  	.4%                        	           	                 	                   	              	                  	                    	               	                	                   	.4%        	                	               	.4%           	             	                         	                 	               	                	28.9%                 	                           	              	             	             	                	                 	                        	                  	                    	2.9%             	1.7%                    	2.5%             	.4%                  	.4%                    	.4%             	                 	                        	                  	.8%               	                    	                   	                   	              	                 	                      	                     	2.5%               	                	                      	                 	                   	                    	                  	2.5%                    	                    	2.1%                     	                    	                       	.4%                   	                     	                  	                	3.3%            	                      	                         	                             	                  	.4%           	.4%                      	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	797 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 11	H	 3	  25.00	     97.9700	Collins  	Benthic Foraminifers                         	               	                  	                      	12.4%               	                  	1.0%                 	                      	.7%        	                    	              	              	                  	                        	.7%           	22.4%                	.7%                 	                	                     	4.7%                  	                     	                    	                   	                      	            	                  	               	                  	.3%                        	           	                 	                   	              	                  	1.3%                	               	                	                   	           	                	               	              	             	                         	                 	               	                	35.8%                 	                           	              	             	             	                	                 	                        	.3%               	                    	5.4%             	1.0%                    	.7%              	                     	1.0%                   	.7%             	                 	                        	                  	1.7%              	1.0%                	                   	                   	              	1.3%             	                      	.7%                  	4.3%               	                	                      	                 	                   	                    	                  	1.3%                    	                    	                         	                    	                       	                      	                     	                  	                	                	                      	.7%                      	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	176 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 11	H	 4	  19.00	     99.4100	Collins  	Benthic Foraminifers                         	               	                  	                      	14.0%               	.4%               	24.4%                	.8%                   	1.6%       	                    	              	              	.8%               	                        	.8%           	25.2%                	1.2%                	                	                     	6.2%                  	                     	                    	                   	                      	            	                  	.4%            	                  	1.9%                       	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	.4%           	             	                         	                 	               	                	3.9%                  	                           	              	             	             	                	                 	                        	4.7%              	.4%                 	3.5%             	                        	                 	                     	.4%                    	.4%             	                 	                        	.4%               	.4%               	                    	                   	                   	              	                 	                      	                     	7.4%               	                	                      	                 	.4%                	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	.4%                          	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1835 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 11	H	 5	 145.00	    102.1700	Collins  	Benthic Foraminifers                         	               	                  	                      	3.3%                	                  	22.2%                	.4%                   	           	                    	              	              	2.1%              	                        	4.5%          	21.4%                	5.3%                	                	                     	12.8%                 	                     	                    	                   	                      	            	                  	.4%            	                  	.8%                        	           	                 	                   	              	                  	.4%                 	               	                	                   	.4%        	                	               	              	             	                         	4.9%             	               	                	1.6%                  	                           	              	             	             	                	                 	                        	2.5%              	                    	                 	3.7%                    	3.7%             	                     	1.2%                   	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	8.2%               	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	608 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 12	H	 1	 133.00	    105.5300	Collins  	Benthic Foraminifers                         	               	                  	                      	2.0%                	                  	1.2%                 	                      	           	                    	              	              	2.4%              	                        	1.2%          	3.3%                 	                    	                	                     	21.1%                 	6.5%                 	                    	                   	                      	            	                  	.4%            	                  	                           	           	                 	                   	              	                  	4.9%                	               	                	                   	           	                	               	.8%           	             	                         	                 	               	                	19.9%                 	                           	              	             	             	                	                 	                        	                  	                    	8.1%             	1.2%                    	                 	                     	.4%                    	2.0%            	                 	                        	                  	7.7%              	4.5%                	                   	                   	.8%           	2.0%             	                      	                     	1.6%               	                	                      	                 	1.6%               	.4%                 	                  	5.7%                    	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	4631 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 12	H	 3	  20.00	    107.4200	Collins  	Benthic Foraminifers                         	               	                  	                      	12.0%               	.7%               	5.3%                 	                      	.7%        	                    	              	              	1.1%              	                        	6.0%          	15.2%                	.4%                 	                	                     	2.8%                  	                     	                    	                   	                      	            	                  	.4%            	                  	3.9%                       	           	                 	                   	              	                  	.7%                 	               	                	                   	.7%        	                	               	              	             	                         	                 	               	                	10.2%                 	                           	              	             	             	                	                 	                        	1.4%              	                    	20.1%            	1.8%                    	1.8%             	                     	1.1%                   	                	                 	                        	                  	                  	.7%                 	                   	                   	.4%           	                 	                      	.4%                  	11.0%              	                	                      	                 	                   	                    	                  	.4%                     	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	.4%                          	.7%               	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	177 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 12	H	 3	 113.00	    108.3500	Collins  	Benthic Foraminifers                         	               	                  	                      	2.9%                	                  	                     	                      	           	                    	              	              	1.1%              	                        	4.3%          	1.1%                 	                    	                	                     	1.4%                  	1.1%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	49.6%                 	                           	              	             	             	                	                 	                        	                  	                    	7.2%             	1.4%                    	                 	                     	                       	                	                 	.4%                     	                  	1.8%              	12.7%               	                   	                   	2.2%          	5.4%             	                      	                     	                   	                	                      	                 	                   	                    	                  	5.8%                    	                    	                         	                    	                       	                      	                     	                  	1.4%            	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	173 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 12	H	 4	  67.00	    109.3900	Collins  	Benthic Foraminifers                         	               	                  	                      	7.7%                	                  	6.4%                 	                      	1.0%       	                    	              	              	1.0%              	                        	1.0%          	31.3%                	                    	1.0%            	                     	2.9%                  	                     	                    	                   	                      	            	                  	.3%            	                  	1.0%                       	           	                 	                   	              	                  	.3%                 	               	                	                   	.3%        	                	               	              	             	                         	                 	               	                	6.4%                  	                           	              	             	             	                	                 	                        	1.9%              	                    	12.8%            	1.0%                    	.3%              	                     	2.9%                   	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	13.1%              	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	7.7%                     	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	491 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 12	H	 6	  74.00	    112.4800	Collins  	Benthic Foraminifers                         	               	                  	                      	3.6%                	                  	6.0%                 	                      	           	                    	              	              	.6%               	                        	.6%           	7.6%                 	.9%                 	                	                     	9.4%                  	2.7%                 	                    	                   	                      	            	                  	               	                  	.3%                        	           	                 	                   	              	                  	12.7%               	               	                	                   	.3%        	                	               	.6%           	             	                         	                 	               	                	40.2%                 	                           	              	             	             	                	                 	                        	                  	                    	.3%              	                        	                 	                     	                       	3.9%            	                 	                        	.3%               	                  	                    	                   	                   	              	3.3%             	.3%                   	                     	1.2%               	                	                      	                 	                   	                    	                  	1.2%                    	                    	                         	                    	                       	                      	                     	                  	                	                	3.9%                  	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2942 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 13	H	 1	  96.00	    114.6600	Collins  	Benthic Foraminifers                         	               	                  	                      	7.1%                	                  	5.3%                 	                      	           	                    	              	              	4.1%              	                        	3.4%          	16.9%                	5.6%                	                	.8%                  	20.3%                 	2.6%                 	                    	                   	                      	            	                  	2.6%           	                  	1.5%                       	           	                 	                   	              	                  	5.3%                	               	                	                   	           	.4%             	               	.4%           	             	                         	1.1%             	               	                	6.4%                  	                           	              	             	             	                	                 	                        	9.4%              	                    	                 	1.1%                    	.8%              	.4%                  	1.9%                   	1.9%            	.4%              	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	.4%                     	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	5675 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.
