Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys wolffii,Stichocorys delmontensis,Siphostichartus corona,Lithopera thornburgi,Diartus petterssoni,Cyrtocapsella japonica,Carpocanopsis cristata,Calocycletta caepa,Botryostrobus miralestensis,Stichocorys johnsoni,Diartus hughesi,Solenosphaera omnitubus omnitubus,Stichocorys peregrina,Theocorythium vetulum,Stylatractus universus,Phormostichoartus fistula,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Anthocyrtidium pliocenica,Anthocyrtidium jenghisi,Pterocanium prismatium,Spongaster tetras,Amphirhopalum ypsilon,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Theocalyptra davisiana,Pterocorys minythorax,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 37,X, 4, 110.00,    353.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,R                  ,C                       ,R                     ,-                   ,C                  ,C                     ,-                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 37,X, 6, 110.00,    356.1000,Moore    ,Radiolarians                                 ,A              ,M                 ,R                  ,C                       ,R                     ,R                   ,F                  ,C                     ,R                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 37,X,CC,  24.00,    357.2500,Moore    ,Radiolarians                                 ,A              ,G                 ,F                  ,C                       ,-                     ,R                   ,F                  ,C                     ,-                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 38,X, 1, 127.00,    358.3700,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                  ,C                       ,-                     ,R                   ,F                  ,F                     ,R                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 38,X,CC,  33.00,    360.7400,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                  ,C                       ,-                     ,R                   ,F                  ,F                     ,R                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 39,X,CC,  25.00,    376.6100,Moore    ,Radiolarians                                 ,A              ,G                 ,F                  ,C                       ,R                     ,R                   ,F                  ,F                     ,R                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 40,X,CC,  29.00,    386.1500,Moore    ,Radiolarians                                 ,A              ,M                 ,R                  ,C                       ,-                     ,R                   ,F                  ,R                     ,-                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 41,X,CC,  32.00,    395.9200,Moore    ,Radiolarians                                 ,A              ,M                 ,-                  ,C                       ,-                     ,R                   ,F                  ,F                     ,R                     ,F                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,138, 850,B, 42,X,CC,  24.00,    399.9200,Moore    ,Radiolarians                                 ,A              ,M                 ,R                  ,C                       ,-                     ,R                   ,R                  ,F                     ,R                     ,R                 ,R                          ,                    ,               ,                                 ,                     ,                     ,                      ,                         ,                          ,                   ,                      ,                         ,                       ,                      ,                 ,                     ,                        ,                           ,                      ,                     ,                       ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 7 p 214-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
