Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium capitatum,Tectatodinium sp. III,Tectatodinium sp. II,Tectatodinium sp. I,Tectatodinium sp.,Tectatodinium simplex,Tectatodinium pellitum,Systematophora placacantha,Stelladinium reidii,Spiniferites spp.,"Spiniferites sp. ""TS""",Spiniferites scabratus,Spiniferites rubinus,Spiniferites pachyderma,Spiniferites elongatus,Spiniferites bentorii,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Platycystidia sp. 1,Peridinium faeroense,Pentadinium laticinctum,Pediastrum sp.,Palaeostomocystis spp.,Operculodinium wallii,Operculodinium sp.,Operculodinium sp.,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium crassum,Operculodinium centrocarpum,Nematosphaeropsis oblonga,Nematosphaeropsis lemniscata,Nematosphaeropsis labyrinthea,Multispinula minuta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Labyrinthodinium truncatum,Impletosphaeridium spp.,Impagidinium spp.,Impagidinium sphaericum,Impagidinium pallidum,Impagidinium multiplexum,Impagidinium aquaeductum,Hystrichosphaeropsis pontiana,Hystrichokolpoma sp.,Hystrichokolpoma rigaudiae,Filisphaera filifera,Dinocyst sp. 1,Dapsilidinium pastielsii,Cymatiosphaera sp. 1,Cyclopsiella elliptica,Corrudinium harlandii,Brigantedinium sp. group B,Brigantedinium sp. group A,Brigantedinium simplex,Bitectatodinium tepikiense,Batiacasphaera sphaerica,Batiacasphaera sp. II,Ataxiodinium choanum,Amiculosphaera umbracula,Achomosphaera sp. A,Achomosphaera ramulifera,Achomosphaera andalousiensis,?Pyxidiella sp. 1,?Labyrinthodinium sp. 1,Comment
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  8,H,CC,  17.00,     66.6400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,R                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,C                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,PM2 (Mudie1989)   ,              ,104, 642,B,  9,H,CC,  17.00,     76.2400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,C                    ,R                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,R                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,C                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,C                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,R                   ,-             ,-                       ,C                   ,-                     ,R                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,R                       ,-                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 10,H,CC,   7.00,     85.5800,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,C                   ,?                  ,-                ,C                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,?                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,?                 ,-                 ,-                             ,-                         ,-                        ,C                     ,C                          ,?                        ,R                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,C                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,C                   ,-                     ,?                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,R                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 10,H,CC,  21.00,     85.7200,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,R                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,R                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,R                          ,-                        ,-                           ,-                            ,-                  ,R                             ,R                           ,-                         ,-                      ,C                ,-                      ,-                    ,-                       ,-                       ,R                            ,-                   ,-                         ,-                   ,-             ,-                       ,R                   ,-                     ,-                    ,-                         ,C                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,R                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 11,H,CC,  16.00,     95.2400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,C                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,C                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,C                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,C                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 11,H,CC,  21.00,     95.2900,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,R                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,R                       ,-                               ,-                      ,C                  ,-                   ,-                      ,-             ,C                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,R                ,-                      ,-                    ,-                       ,-                       ,R                            ,-                   ,-                         ,R                   ,-             ,-                       ,R                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,R                       ,-                    ,-                   ,R                       ,-                  ,R                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 13,H,CC,  21.00,    113.9400,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,C                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,C                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,C                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,C                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 14,H,CC,  21.00,    120.1100,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,R                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,R                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,-                          ,-                        ,-                           ,-                            ,-                  ,R                             ,C                           ,-                         ,-                      ,R                ,-                      ,-                    ,-                       ,-                       ,R                            ,-                   ,-                         ,-                   ,-             ,C                       ,R                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,R                       ,-                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 15,H,CC,  13.00,    127.9300,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,C                    ,-                     ,-                         ,-                  ,-                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,R                     ,-                          ,-                        ,-                           ,-                            ,-                  ,R                             ,-                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,R                            ,-                   ,R                         ,-                   ,-             ,-                       ,C                   ,R                     ,-                    ,-                         ,-                         ,-                     ,-                         ,C                       ,C                    ,-                   ,-                       ,-                  ,R                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM3 (Mudie1989)   ,              ,104, 642,B, 16,H,CC,  32.00,    137.9600,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,R                    ,-                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,C                    ,-                 ,R                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,R                      ,R                ,R                      ,-                    ,-                       ,-                       ,R                            ,-                   ,-                         ,-                   ,-             ,-                       ,R                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,R                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,PM4 (Mudie1989)   ,              ,104, 642,B, 17,H,CC,  25.00,    147.6500,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,A                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,R                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,C                       ,-                            ,R                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,R                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,PM4 (Mudie1989)   ,              ,104, 642,B, 18,H,CC,   5.00,    157.3800,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,R                ,C                    ,-                     ,R                         ,-                  ,-                ,-                    ,-                     ,-                   ,R                      ,-                     ,-                    ,-                       ,R                               ,-                      ,-                  ,-                   ,R                      ,-             ,-                     ,R                    ,-                 ,R                 ,-                             ,-                         ,-                        ,-                     ,-                          ,-                        ,-                           ,-                            ,-                  ,R                             ,R                           ,R                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,R                         ,-                   ,-             ,R                       ,R                   ,R                     ,-                    ,-                         ,R                         ,-                     ,-                         ,R                       ,R                    ,-                   ,-                       ,-                  ,R                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,PM4 (Mudie1989)   ,              ,104, 642,B, 19,H,CC,   8.00,    167.2300,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,C                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,R                      ,-                     ,-                    ,-                       ,R                               ,-                      ,-                  ,-                   ,-                      ,-             ,-                     ,-                    ,-                 ,R                 ,-                             ,-                         ,-                        ,-                     ,R                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,R                         ,-                      ,-                ,-                      ,-                    ,-                       ,R                       ,-                            ,R                   ,-                         ,-                   ,R             ,R                       ,R                   ,R                     ,-                    ,-                         ,-                         ,-                     ,-                         ,R                       ,R                    ,-                   ,-                       ,-                  ,R                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
