Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Vaginulina spp.,Uvigerina spinulosa,Trifarina sp.,Stilostomella modesta,Stilostomella lepidula,Stilostomella cf. antillea,Saracenaria spp.,Pullenia quinqueloba,Pullenia bulloides,Pleurostomella alternans,Planulina spp.,Planulina costata,Orthomorphina spp.,Oridorsalis umbonatus,Nonion havanensis,Nodosaria spp.,Nodosarella spp.,Martinottiella scabra,Marginulina spp.,Lenticulina spp.,Lagena spp.,Karreriella spp.,Heronallenina spp.,Hanzawaia ammophila,Gyroidina soldanii,Globocassidulina subglobosa (s.l.)+globosa,Fissurina spp.,Epistominella umbonifera,Eggerella spp.,Dentalina spp.,Cibicidoides spp.,Cibicidoides mundulus,Cibicidoides havanensis,Cibicidoides cf. mundulus,Cibicidina walli,Cibicides spp.,Bulimina tuxpamensis,Bulimina spp.,Bulimina impendens,Astrononion echolsi,Anomalinoides pseudogrosserugosus,Amphicoryna spp.,Uvigerina sp. A,Stilostomella fistuca,Stilostomella cf. modesta,Rectuvigerina striata,Pullenia spp.,Pleurostomella obtusa,Osangularia mexicana,Orthomorphina himerensis,Glandulina spp.,Epistominella cf. umbonifera,Dorothia spp.,Bulimina sp. B,Bulimina rostrata,Brizalina spp.,Anomalinoides flintii,Textularia spp.,Stilostomella spp.,Planulina cf. mexicana,Orthomorphina richardsi,Orthomorphina challengeriana,Oolina spp.,Karreriella bradyi,Globocassidulina perumbonata,Glandulopleurostomella spp.,Cibicidoides mexicanus,Astacolus spp.,Anomalinoides semicribratus,Siphotextularia catenata,Planulina subtenuissima,Planulina renzi,Laticarinina pauperata,Globocassidulina spp.,Eggerella bradyi,Valvulineria cf. V. laevigata,Uvigerina proboscidea,Sphaeroidina spp.,Nonion spp.,Cibicidoides bradyi,Burseolina pacifica,Brizalina pusilla,Pullenia riveroi,Pullenia osloensis,Orthomorphina columnaris,Kyphopyxa spp.,Gyroidina lamarckiana,Dorothia brevis,Cibicidoides incrassatus,Bulimina carteri,Stilostomella subspinosa,Stilostomella cf. annulifera,Pleurostomella spp.,Pleurostomella acuminata,Orthomorphina perversa,Nonion cf. havanensis,Nodosaria vertebralis,Marginulinopsis spp.,Cibicidoides cf. laurisae,Uvigerina miozea,Turrillina spp.,Sphaeroidina bulloides,Pseudonodosaria laevigata,Siphonina tenuicarinata,Quinqueloculina sp.,Gyroidina spp.,Cibicidoides alazanensis,Bulimina jarvisi,Astrononion stelligerum,Stilostomella annulifera,Lingulina spp.,Gyroidina orbicularis,Dentalina hircicornua,Pullenia subcarinata,Planulina dohertyi,Cibicidoides matanzaensis,Bolivina spp.,Triloculina spp.,Stilostomella aculeata,Pleurostomella bierigi,Evolvocassidulina spp.,Epistominella cf. exigua,Bolivinopsis cubensis,Heronallenina sp. A,Uvigerina spp.,Globocassidulina cf. moluccensis,Discorbis sub-vilardeboanus,Brizalina byramensis,Stilostomella antillea,Orthomorphina glandigena,Nonionella spp.,Dentalina communis,Cibicidina cf. walli,Anomalina spp.,Trifarina bradyi,Paracassidulina neocarinata,Buliminella cf. sculpturata,Astrononion spp.,Amphicoryna scalaris,Rectuvigerina royoi,Trifarina sp. B,Trifarina sp. A,Planulina wuellerstorfi,Globocassidulina sp. cf. G. decorata,Globocassidulina sp. D,Globocassidulina crassa,Uvigerina schencki,Brizalina albatrossi,Bulimina macilenta,Epistominella exigua,Brizalina pseudoplicata,Anomalinoides globulosus,Gavelinopsis lobatulus,Paracassidulina spp.,Ellipsoidella spp.,Buliminella sculpturata,Brizalina thalmanni,Rectuvigerina sp.,Pleurostomella sp. F,Nonion cf. affine,Saracenaria latifrons,Ophthalmidium spp.,Ehrenbergina carinata,Bulimina cf. mexicana,Pyrgo cf. murrhina,Ehrenbergina hystrix,Brizalina cf. pusilla,Anomalinoides spp.,Textularia milletti,Pyrgo sp.,Ehrenbergina sp.,Bulimina mexicana,Uvigerina hispida,Globocassidulina reflexa,Pyrgo serrata,Gaudryina sp.,Cibicidoides grosseperforatus,Nodosaria cf. pyrula,Globocassidulina gemma,Stilostomella capitata,Spiroplectammina sp. A,Gyroidina sp. A,Ellipsoidina spp.,Cassidulina carinata,Allomorphina pacifica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  6,H, 1,  70.00,     47.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,3                ,               ,                   ,             ,1                    ,7                     ,3                         ,                ,                    ,2                 ,1                       ,              ,                 ,                  ,10                   ,2                ,              ,                ,                     ,                ,                ,2          ,                ,1                 ,                   ,8                 ,1                                         ,1             ,                        ,              ,2             ,1                ,11                   ,                       ,                         ,                ,              ,2                   ,1            ,                  ,1                  ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,7                   ,                        ,               ,                            ,             ,              ,1                ,              ,2                    ,               ,                  ,                      ,                       ,                            ,1          ,3                 ,5                           ,                           ,                      ,              ,                           ,                        ,                       ,               ,3                     ,4                    ,1               ,                             ,1                    ,                 ,           ,                   ,23                 ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,1                       ,                            ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,3                     ,                         ,                       ,1                  ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,2                   ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,5              ,3              ,3                      ,1                                   ,12                    ,1                      ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 148  Calcareous misc. 5 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  6,H, 3,  70.00,     50.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,               ,                   ,             ,                     ,6                     ,6                         ,                ,3                   ,3                 ,                        ,              ,                 ,                  ,5                    ,1                ,              ,1               ,2                    ,                ,4               ,3          ,                ,                  ,                   ,                  ,29                                        ,2             ,1                       ,              ,4             ,3                ,7                    ,                       ,                         ,                ,1             ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,             ,                     ,                    ,1                       ,               ,                            ,             ,              ,                 ,2             ,3                    ,1              ,                  ,                      ,                       ,                            ,           ,1                 ,5                           ,                           ,                      ,              ,                           ,                        ,                       ,               ,                      ,6                    ,8               ,5                            ,1                    ,                 ,1          ,2                  ,28                 ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,                ,1                       ,                            ,                   ,2                       ,                      ,                     ,                     ,                    ,                         ,                ,               ,                      ,                         ,                       ,                   ,3             ,                        ,                ,                       ,                        ,              ,                     ,                     ,4                   ,                  ,                         ,             ,                ,3                     ,1                     ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,2                 ,                    ,              ,                ,                           ,                           ,                ,                    ,2                  ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,Total number of specimens 164 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  6,H, 5,  70.00,     53.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,4                ,               ,                   ,             ,                     ,2                     ,3                         ,                ,                    ,3                 ,                        ,              ,                 ,                  ,8                    ,                 ,              ,                ,                     ,                ,12              ,4          ,                ,                  ,                   ,                  ,43                                        ,              ,7                       ,              ,1             ,4                ,20                   ,                       ,                         ,                ,              ,4                   ,             ,                  ,3                  ,                                 ,                ,               ,                     ,                         ,1                    ,             ,                     ,4                   ,1                       ,               ,                            ,             ,              ,                 ,1             ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,3                           ,                           ,                      ,              ,1                          ,1                       ,                       ,               ,                      ,16                   ,4               ,                             ,10                   ,                 ,           ,                   ,4                  ,                 ,                ,1                 ,                        ,              ,                     ,               ,                        ,                ,2                       ,1                           ,                   ,                        ,                      ,                     ,                     ,1                   ,                         ,                ,               ,1                     ,                         ,                       ,                   ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,2                   ,1                 ,                         ,1            ,                ,                      ,                      ,                      ,                        ,                     ,2                  ,1             ,                                ,2                          ,                    ,                      ,                        ,               ,                  ,                    ,              ,3               ,2                          ,1                          ,1               ,3                   ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 191  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  7,H, 1,  70.00,     56.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,3                ,1              ,                   ,13           ,                     ,1                     ,3                         ,                ,5                   ,2                 ,                        ,              ,                 ,                  ,10                   ,                 ,1             ,                ,1                    ,                ,9               ,4          ,                ,                  ,                   ,16                ,17                                        ,              ,8                       ,              ,1             ,22               ,16                   ,                       ,                         ,                ,              ,2                   ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,2                    ,             ,                     ,4                   ,                        ,               ,                            ,             ,              ,                 ,1             ,                     ,               ,                  ,                      ,                       ,                            ,           ,                  ,5                           ,                           ,                      ,              ,1                          ,                        ,                       ,1              ,1                     ,1                    ,                ,                             ,2                    ,                 ,           ,1                  ,4                  ,                 ,                ,                  ,                        ,              ,                     ,1              ,                        ,                ,1                       ,                            ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,                ,               ,5                     ,                         ,1                      ,                   ,              ,5                       ,                ,                       ,                        ,              ,2                    ,1                    ,3                   ,                  ,                         ,             ,                ,                      ,1                     ,                      ,                        ,                     ,1                  ,1             ,                                ,                           ,1                   ,1                     ,1                       ,1              ,2                 ,1                   ,1             ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 193  Calcareous misc. 3 Agglutinated misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,1,3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  7,H, 3,  70.00,     59.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,1              ,                   ,             ,                     ,1                     ,4                         ,2               ,1                   ,6                 ,                        ,              ,                 ,                  ,7                    ,                 ,2             ,                ,                     ,                ,6               ,1          ,                ,                  ,                   ,10                ,52                                        ,              ,11                      ,              ,2             ,                 ,31                   ,                       ,                         ,                ,              ,                    ,             ,                  ,                   ,                                 ,                ,               ,                     ,                         ,                     ,1            ,                     ,9                   ,                        ,               ,                            ,             ,              ,                 ,              ,                     ,               ,                  ,                      ,                       ,                            ,1          ,                  ,                            ,                           ,                      ,              ,                           ,1                       ,                       ,               ,                      ,2                    ,4               ,1                            ,1                    ,                 ,           ,                   ,1                  ,                 ,                ,                  ,                        ,              ,                     ,               ,                        ,1               ,1                       ,                            ,1                  ,                        ,                      ,                     ,                     ,1                   ,                         ,                ,               ,3                     ,                         ,                       ,2                  ,1             ,1                       ,                ,1                      ,                        ,              ,                     ,                     ,8                   ,8                 ,                         ,             ,                ,7                     ,1                     ,                      ,                        ,                     ,3                  ,6             ,1                               ,1                          ,1                   ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 208  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  7,H, 5,  70.00,     62.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,3                ,2              ,                   ,             ,1                    ,3                     ,13                        ,                ,6                   ,1                 ,                        ,              ,                 ,                  ,3                    ,1                ,1             ,                ,                     ,                ,3               ,3          ,                ,                  ,                   ,12                ,20                                        ,              ,4                       ,              ,1             ,4                ,26                   ,                       ,                         ,                ,4             ,4                   ,             ,4                 ,                   ,                                 ,                ,2              ,                     ,                         ,                     ,             ,                     ,4                   ,                        ,               ,                            ,             ,              ,1                ,              ,                     ,               ,                  ,                      ,                       ,1                           ,2          ,                  ,                            ,                           ,                      ,              ,2                          ,                        ,                       ,               ,2                     ,                     ,2               ,2                            ,2                    ,                 ,           ,                   ,2                  ,1                ,                ,2                 ,                        ,              ,                     ,3              ,                        ,                ,                        ,                            ,                   ,2                       ,                      ,                     ,                     ,                    ,                         ,4               ,               ,5                     ,                         ,                       ,                   ,              ,                        ,                ,1                      ,2                       ,              ,8                    ,                     ,                    ,4                 ,                         ,             ,1               ,5                     ,                      ,                      ,                        ,                     ,4                  ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 192  Calcareous misc. 8 Agglutinated misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,1,8"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  8,H, 1,  70.00,     66.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6                ,               ,                   ,             ,12                   ,6                     ,6                         ,1               ,7                   ,6                 ,1                       ,              ,                 ,                  ,19                   ,1                ,              ,                ,1                    ,                ,11              ,1          ,                ,2                 ,                   ,4                 ,25                                        ,              ,1                       ,              ,3             ,2                ,32                   ,                       ,                         ,                ,2             ,10                  ,             ,4                 ,3                  ,                                 ,                ,12             ,                     ,                         ,2                    ,             ,                     ,3                   ,                        ,               ,                            ,             ,2             ,                 ,1             ,3                    ,               ,                  ,                      ,3                      ,                            ,           ,2                 ,                            ,                           ,                      ,              ,                           ,                        ,                       ,4              ,                      ,3                    ,2               ,3                            ,2                    ,                 ,           ,                   ,                   ,                 ,                ,2                 ,                        ,              ,                     ,6              ,                        ,2               ,4                       ,2                           ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,14              ,               ,6                     ,                         ,                       ,                   ,              ,                        ,1               ,                       ,                        ,              ,10                   ,                     ,                    ,6                 ,                         ,             ,1               ,4                     ,1                     ,1                     ,1                       ,2                    ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 276  Calcareous misc. 5 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  8,H, 3,  70.00,     69.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,4                ,               ,                   ,             ,                     ,2                     ,                          ,                ,9                   ,                  ,                        ,              ,                 ,                  ,3                    ,                 ,              ,                ,                     ,                ,8               ,3          ,                ,2                 ,                   ,8                 ,35                                        ,2             ,                        ,              ,2             ,2                ,17                   ,                       ,                         ,                ,              ,2                   ,             ,                  ,                   ,                                 ,                ,2              ,2                    ,                         ,                     ,             ,                     ,27                  ,                        ,               ,                            ,             ,              ,1                ,              ,3                    ,               ,                  ,                      ,                       ,                            ,2          ,                  ,                            ,                           ,6                     ,              ,                           ,                        ,                       ,9              ,2                     ,                     ,1               ,                             ,                     ,1                ,           ,3                  ,                   ,                 ,                ,                  ,                        ,              ,                     ,1              ,                        ,                ,2                       ,                            ,                   ,                        ,                      ,                     ,                     ,                    ,                         ,7               ,               ,                      ,                         ,                       ,                   ,              ,                        ,1               ,                       ,                        ,              ,1                    ,                     ,2                   ,1                 ,5                        ,1            ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 184  Calcareous misc. 5 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,5"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  8,H, 5,  70.00,     72.3000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,3                ,               ,                   ,             ,1                    ,6                     ,17                        ,2               ,9                   ,3                 ,3                       ,              ,                 ,                  ,15                   ,                 ,              ,                ,                     ,2               ,10              ,4          ,                ,1                 ,                   ,10                ,19                                        ,1             ,6                       ,              ,4             ,13               ,55                   ,                       ,                         ,                ,2             ,2                   ,             ,2                 ,2                  ,                                 ,                ,7              ,2                    ,                         ,                     ,             ,                     ,3                   ,                        ,               ,                            ,             ,2             ,5                ,              ,                     ,               ,                  ,                      ,3                      ,2                           ,2          ,                  ,                            ,                           ,9                     ,              ,2                          ,                        ,                       ,5              ,3                     ,3                    ,5               ,5                            ,                     ,                 ,           ,                   ,                   ,                 ,                ,                  ,                        ,              ,                     ,2              ,                        ,                ,3                       ,                            ,                   ,1                       ,                      ,                     ,                     ,                    ,                         ,5               ,               ,                      ,                         ,                       ,1                  ,              ,                        ,2               ,                       ,3                       ,2             ,6                    ,1                    ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 277  Calcareous misc. 1 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  9,H, 1,  70.00,     75.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,1                ,               ,                   ,3            ,3                    ,8                     ,11                        ,                ,6                   ,1                 ,2                       ,              ,                 ,                  ,9                    ,4                ,2             ,2               ,                     ,1               ,6               ,2          ,2               ,1                 ,                   ,18                ,21                                        ,2             ,44                      ,              ,9             ,2                ,37                   ,                       ,                         ,                ,              ,3                   ,             ,3                 ,2                  ,                                 ,                ,51             ,                     ,                         ,                     ,             ,                     ,                    ,3                       ,               ,                            ,             ,1             ,1                ,              ,                     ,               ,                  ,                      ,2                      ,                            ,4          ,                  ,                            ,                           ,5                     ,              ,                           ,                        ,                       ,3              ,3                     ,2                    ,                ,2                            ,2                    ,                 ,1          ,                   ,                   ,                 ,                ,4                 ,                        ,              ,6                    ,4              ,                        ,                ,                        ,                            ,1                  ,                        ,                      ,                     ,                     ,2                   ,                         ,                ,               ,                      ,                         ,1                      ,1                  ,6             ,1                       ,5               ,1                      ,                        ,              ,                     ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 319  Calcareous misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,B,  9,H, 3,  70.00,     78.9000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,5                ,1              ,                   ,             ,3                    ,7                     ,10                        ,                ,5                   ,6                 ,                        ,1             ,                 ,                  ,27                   ,                 ,1             ,2               ,1                    ,                ,5               ,4          ,                ,                  ,                   ,7                 ,12                                        ,1             ,14                      ,              ,              ,6                ,31                   ,                       ,                         ,                ,              ,                    ,1            ,                  ,29                 ,                                 ,                ,10             ,                     ,                         ,                     ,             ,                     ,                    ,2                       ,               ,                            ,1            ,              ,14               ,              ,                     ,               ,                  ,                      ,                       ,2                           ,2          ,3                 ,                            ,                           ,                      ,              ,                           ,                        ,                       ,2              ,1                     ,6                    ,                ,                             ,                     ,                 ,1          ,                   ,                   ,                 ,                ,                  ,                        ,              ,1                    ,6              ,                        ,2               ,7                       ,7                           ,1                  ,                        ,                      ,                     ,                     ,                    ,                         ,3               ,1              ,2                     ,2                        ,                       ,                   ,              ,                        ,                ,                       ,                        ,              ,                     ,                     ,                    ,                  ,                         ,             ,                ,                      ,                      ,                      ,                        ,                     ,                   ,              ,                                ,                           ,                    ,                      ,                        ,               ,                  ,                    ,              ,                ,                           ,                           ,                ,                    ,                   ,               ,               ,                       ,                                    ,                      ,                       ,                  ,                    ,                  ,                    ,                       ,                        ,                      ,                    ,                  ,                       ,                   ,                 ,                    ,                 ,                     ,                  ,                     ,                     ,                  ,                    ,                     ,                  ,                   ,         ,                ,                 ,                 ,                        ,             ,             ,                             ,                    ,                      ,                      ,                      ,               ,                 ,                    ,                     ,"Total number of specimens 258  Calcareous misc. 3 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,3"
