Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylodictya sp.	Stylatractus sp.	Spongodiscus sp.	Siphocampe sp.	Lychnocanoma sp.	Larcopyle sp.	Eucyrtidium sp.	Calocycletta sp.	Botryostrobus sp.	Cyrtocapsella japonica	Thecosphaera sp.	Peripyramis sp.	Lithelius nautiloides	Eucyrtidium calvertense	Euchitonia sp.	Antarctissa strelkovi	Spongotrochus glacialis	Spongodiscus osculosus	Hexacontium sp.	Cycladophora davisiana davisiana	Botryostrobus auritus/australis	Stylatractus universus	Saccospyris antarctica	Antarctissa denticulata	Botryostrobus aquilonaris	Stylacontarium bispiculum	Prunopyle antarctica	Phorticium clevei	Axoprunum angelinum	Triceraspyris antarctica	Saturnalis circularis	Pterocanium trilobum	Dictyophimus hirundo	Carpocanistrum sp.	Spongoplegma antarcticum	Theocorythium sp.	Cycladophora davisiana cornutoides	Actinomma leptodermum	Antarctissa longa	Heliodiscus asteriscus	Stichocorys peregrina	Gondwanaria dogieli	Dictyophimus sp.	Cycladophora bicornis bicornis	Cornutella profunda	Phormostichoartus fistula	Lamprocyrtis maritalis	Actinomma sp.	Lamprocyrtis nigriniae	Comment
  IR	                 	                 	                  	              	181	1122	C	 38	X	CC	   0.00	    333.2800	rads     	Radiolarians                                 	F              	M                 	F              	                	A               	              	                	C            	               	                	                 	                      	F               	R              	R                    	                       	              	R                    	                       	R                     	               	                                	R                              	                      	R                     	F                      	                         	R                        	C                   	R                	C                  	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 39	X	CC	  11.00	    343.6600	rads     	Radiolarians                                 	R              	M                 	F              	                	C               	              	                	F            	               	                	                 	                      	R               	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	T                      	R                        	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 41	X	CC	   7.00	    359.8800	rads     	Radiolarians                                 	T              	M                 	               	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 42	X	CC	   9.00	    372.0900	rads     	Radiolarians                                 	T              	M                 	               	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	                       	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

  IR	                 	                 	                  	              	181	1122	C	 43	X	CC	  24.00	    377.4400	rads     	Radiolarians                                 	T              	P                 	               	                	R               	              	                	             	               	                	                 	                      	                	               	                     	                       	              	                     	                       	                      	               	                                	                               	                      	                      	R                      	                         	                         	                    	                 	                   	                        	                     	                    	                    	                  	                        	                 	                                  	                     	                 	                      	                     	                   	                	                              	                   	                         	                      	             	                      	       

