Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolith species E,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Stradneria crenulata,Repagalum parvidentatum,Reinhardtites levis,Prediscosphaera stoveri,Prediscosphaera spinosa,Prediscosphaera bukryi,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Placozygus fibuliformis,Neocrepidolithus watkinsii,Monomarginatus spp.,Monomarginatus pectinatus,Misceomarginatus pleniporus,Micula decussata,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus sp. cf. C. conicus,Chiastozygus litterarius,Biscutum magnum,Biscutum dissimilis,Biscutum coronum,Biscutum constans,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Zeugrhabdotus pseudanthophorus,Vekshinella sp. A,Prediscosphaera intercisa,Prediscosphaera cretacea,Lapideacassis mariae,Scampanella magnifica,Lucianorhabdus arcuatus,Cretarhabdus conicus,Biscutum notaculum,Aspidolithus parcus constrictus,Teichorhabdus ethmos,Sollasites lowei,Rhagodiscus angustus,Nephrolithus corystus,Glaukolithus compactus,Eiffellithus gorkae,Calculites obscurus,Markalius inversus,Octolithus multiplus,Monomarginatus quaternarius,Cribrosphaerella daniae,Vekshinella angusta,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Rhombolithion rhombicum,Lithraphidites carniolensis,Lapideacassis tricornus,Broinsonia dentata,Bidiscus rotatorius,Prediscosphaera grandis,Vekshinella parma,Lithraphidites quadratus,Lapideacassis glans,Thoracosphaera spp.,Scampanella spp.,Prinsius spp.,Neocrepidolithus cohenii,Microrhabdulus decoratus,Hornibrookina sp. cf. H. teuriensis,Goniolithus fluckigeri,Glaukolithus fessus,Ericsonia subpertusa,Ellipsagelosphaera sp.,Cyclagelosphaera margerelii,Cruciplacolithus spp.,Cretarhabdus spp.,Coccolithus pelagicus,Biscutum castrorum,Cretarhabdus crenulatus,Thoracosphaera operculata,Scampanella asymmetrica,Cruciplacolithus primus,Scampanella bispinosa,Biantholithus sparsus,Thoracosphaera sp. cf. T. imperforata,Lithastrinus floralis,Cruciplacolithus tenuis,Rhagodiscus spp.,Thoracosphaera (unspecified taxon or taxa),Reinhardtites anthophorus,Prinsius (unspecified taxon or taxa),Hornbrookina (unspecified taxon or taxa),Ericsonia cava,Cruciplacolithus unspecified taxon or taxa,Scampanella wisei,Biscutum kerguelensis,Prinsius martinii,Lapideacassis blackii,Chiasmolithus danicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3,  92.00,    350.0200,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,36.2%                  ,.0%                    ,                      ,                             ,1.7%                ,1.0%                   ,                          ,                   ,                         ,                           ,.0%             ,14.0%                  ,7.2%                  ,                   ,1.0%                       ,2.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,7.8%                        ,2.0%                     ,                              ,                 ,                         ,9.0%                    ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,R                      ,                   ,                ,                               ,12.0%                ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,.0%          ,.0%                     ,1.0%                    ,.0%                                ,.0%                   ,2.0%               ,.0%                 ,.0%                   ,.0%                        ,.0%                  ,.9%              ,.0%                  ,.5%               ,VR                     ,R                        ,R                      ,R                      ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,N. frequens       ,              ,120, 750,A, 15,R, 3,  92.50,    350.0250,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,A                      ,R                      ,                      ,                             ,                    ,R                      ,                          ,                   ,                         ,                           ,VR              ,C                      ,A                     ,                   ,                           ,C                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,C                           ,R                        ,                              ,                 ,                         ,C                       ,                    ,                     ,                       ,R                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,R                      ,                   ,                ,                               ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,R                       ,                                   ,                      ,R                  ,                    ,                      ,                           ,                     ,R                ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,N. frequens       ,              ,120, 750,A, 15,R, 3,  93.50,    350.0350,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,A                      ,R                      ,                      ,                             ,                    ,R                      ,                          ,                   ,                         ,                           ,C               ,A                      ,C                     ,                   ,R                          ,C                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,C                           ,R                        ,                              ,                 ,                         ,C                       ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,R                      ,                   ,                ,                               ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,R                       ,                                   ,                      ,R                  ,                    ,                      ,                           ,                     ,VR               ,                     ,VR                ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,N. frequens       ,              ,120, 750,A, 15,R, 3,  94.00,    350.0400,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,A                      ,VR                     ,                      ,                             ,                    ,VR                     ,                          ,                   ,                         ,                           ,                ,C                      ,C                     ,                   ,VR                         ,R                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,C                           ,R                        ,                              ,                 ,                         ,C                       ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,R                      ,                   ,                ,                               ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,VR                      ,                                   ,                      ,R                  ,                    ,                      ,                           ,                     ,R                ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3, 105.00,    350.1500,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,29.7%                  ,.0%                    ,                      ,                             ,.0%                 ,3.0%                   ,                          ,                   ,                         ,                           ,1.0%            ,15.0%                  ,5.8%                  ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,7.3%                        ,1.0%                     ,                              ,                 ,                         ,11.0%                   ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,R                      ,                   ,                ,                               ,15.0%                ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,.0%          ,.0%                     ,.0%                     ,.0%                                ,.0%                   ,4.0%               ,.0%                 ,.0%                   ,.0%                        ,.0%                  ,2.2%             ,.0%                  ,.0%               ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3, 112.00,    350.2200,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,29.2%                  ,1.0%                   ,                      ,                             ,.0%                 ,2.0%                   ,                          ,                   ,                         ,                           ,5.0%            ,17.0%                  ,7.3%                  ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,10.0%                       ,1.0%                     ,                              ,                 ,                         ,6.1%                    ,                    ,                     ,                       ,R                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,R                      ,                   ,                ,                               ,12.0%                ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,.0%          ,.0%                     ,.0%                     ,.0%                                ,.0%                   ,3.0%               ,.0%                 ,.0%                   ,.0%                        ,.0%                  ,1.0%             ,.0%                  ,.0%               ,R                      ,VR                       ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,N. frequens       ,              ,120, 750,A, 15,R, 3, 120.00,    350.3000,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,R                   ,                      ,                      ,                    ,                       ,                   ,A                      ,VR                     ,                      ,                             ,                    ,R                      ,                          ,                   ,                         ,                           ,R               ,C                      ,C                     ,                   ,                           ,R                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,C                           ,R                        ,                              ,                 ,                         ,C                       ,                    ,                     ,                       ,R                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,VR                     ,                   ,                ,                               ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,VR                 ,                    ,                      ,                           ,                     ,R                ,                     ,                  ,R                      ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 3, 120.00,    350.3000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,1.0%                ,                      ,                      ,                    ,                       ,                   ,33.6%                  ,.0%                    ,                      ,                             ,.0%                 ,1.0%                   ,                          ,                   ,                         ,                           ,2.0%            ,17.0%                  ,13.0%                 ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,8.2%                        ,.0%                      ,                              ,                 ,                         ,5.6%                    ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,                       ,                   ,                ,                               ,10.0%                ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,.0%          ,.0%                     ,.0%                     ,.0%                                ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,.0%                  ,2.6%             ,.0%                  ,.0%               ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,N. frequens       ,              ,120, 750,A, 15,R, 3, 124.00,    350.3400,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,C                      ,R                      ,                      ,                             ,                    ,C                      ,                          ,                   ,                         ,                           ,R               ,A                      ,C                     ,                   ,VR                         ,R                           ,                               ,                        ,               ,                   ,                ,                 ,                           ,C                           ,R                        ,                              ,                 ,                         ,C                       ,                    ,                     ,                       ,VR                  ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,R                      ,                   ,                ,                               ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,VR                      ,                                   ,                      ,R                  ,                    ,                      ,                           ,                     ,R                ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 16,R, 1,  10.00,    355.9000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,31.1%                  ,.0%                    ,                      ,                             ,.0%                 ,5.0%                   ,                          ,                   ,                         ,                           ,.0%             ,3.3%                   ,9.0%                  ,                   ,.0%                        ,1.0%                        ,                               ,                        ,               ,                   ,                ,                 ,                           ,3.6%                        ,1.0%                     ,                              ,                 ,                         ,15.0%                   ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,.0%               ,                    ,                           ,R                      ,                   ,                ,                               ,23.0%                ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,.0%          ,.0%                     ,1.0%                    ,.0%                                ,.0%                   ,3.0%               ,.0%                 ,.0%                   ,.0%                        ,.0%                  ,.5%              ,.0%                  ,.0%               ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 1, 146.00,    357.2600,Watkins  ,Nannofossils                                 ,C              ,M                 ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,R                      ,F                     ,F                            ,                    ,F                      ,                          ,F                  ,                         ,                           ,R               ,F                      ,F                     ,R                  ,F                          ,F                           ,R                              ,                        ,               ,                   ,                ,C                ,F                          ,R                           ,F                        ,                              ,                 ,R                        ,F                       ,                    ,                     ,                       ,F                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,F                      ,                   ,                ,C                              ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 2,  20.00,    357.5000,Watkins  ,Nannofossils                                 ,C              ,M                 ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,F                      ,F                     ,F                            ,                    ,F                      ,                          ,F                  ,                         ,                           ,R               ,C                      ,C                     ,F                  ,F                          ,F                           ,                               ,                        ,               ,                   ,                ,A                ,F                          ,F                           ,F                        ,                              ,R                ,F                        ,F                       ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,F                      ,R                  ,                ,A                              ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 2,  97.00,    358.2700,Watkins  ,Nannofossils                                 ,F              ,M-P               ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,F                      ,F                     ,F                            ,                    ,F                      ,                          ,F                  ,                         ,                           ,R               ,F                      ,F                     ,F                  ,F                          ,F                           ,                               ,                        ,               ,                   ,                ,C                ,F                          ,F                           ,F                        ,                              ,R                ,R                        ,F                       ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,                  ,                    ,                           ,F                      ,R                  ,                ,C                              ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 3,  20.00,    359.0000,Watkins  ,Nannofossils                                 ,A              ,M-G               ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,F                      ,F                     ,F                            ,                    ,F                      ,                          ,                   ,                         ,                           ,R               ,C                      ,C                     ,R                  ,F                          ,F                           ,                               ,                        ,               ,                   ,                ,A                ,F                          ,F                           ,F                        ,                              ,F                ,F                        ,F                       ,                    ,                     ,                       ,F                   ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,F                      ,R                  ,                ,A                              ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 3,  97.00,    359.7700,Watkins  ,Nannofossils                                 ,C              ,M-G               ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,F                      ,C                     ,F                            ,                    ,F                      ,                          ,F                  ,                         ,                           ,R               ,F                      ,F                     ,F                  ,F                          ,F                           ,                               ,                        ,               ,                   ,                ,A                ,F                          ,F                           ,F                        ,                              ,F                ,F                        ,F                       ,                    ,                     ,                       ,R                   ,                  ,                               ,                    ,                ,R                   ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,C                      ,R                  ,                ,C                              ,C                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 16,R, 4,  20.00,    360.5000,Watkins  ,Nannofossils                                 ,C              ,M-G               ,                   ,                    ,                      ,                      ,F                   ,                       ,                   ,A                      ,F                      ,F                     ,F                            ,                    ,R                      ,                          ,F                  ,                         ,                           ,F               ,C                      ,C                     ,                   ,F                          ,F                           ,F                              ,                        ,               ,                   ,                ,A                ,F                          ,F                           ,F                        ,                              ,                 ,F                        ,F                       ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,F                  ,                   ,                  ,                    ,                           ,C                      ,R                  ,                ,C                              ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,R                  ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,120, 750,A, 17,R, 1,  20.00,    365.5000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,R                     ,                      ,F                   ,                       ,                   ,A                      ,F                      ,R                     ,F                            ,                    ,F                      ,                          ,F                  ,                         ,                           ,R               ,F                      ,C                     ,                   ,F                          ,F                           ,F                              ,                        ,               ,                   ,                ,A                ,F                          ,F                           ,R                        ,                              ,                 ,F                        ,F                       ,R                   ,R                    ,                       ,F                   ,                  ,                               ,                    ,                ,F                   ,                     ,                      ,F                  ,                   ,                  ,                    ,                           ,F                      ,F                  ,                ,A                              ,A                    ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,R                       ,                   ,                   ,                ,             ,                        ,                        ,                                   ,                      ,                   ,                    ,                      ,                           ,                     ,                 ,                     ,                  ,                       ,                         ,                       ,                       ,                     ,                     ,                                     ,                     ,                       ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 1 Chapter 21 Table 3 p 354-356
