Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira jacksonii	Thalassiosira hyalina	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rhizosolenia styliformis	Rhizosolenia hebetata	Odontella aurita	Nitzschia sp. 1	Neodenticula kamtschatica	Melosira albicans	Grammatophora spp.	Delphineis ischaboensis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis costata	Chaetoceros spp.	Actinoptychus senarius	Thalassiosira nidulus	Thalassiosira marujamica	Thalassiosira leptopus	Thalassiosira gravida	Thalassiosira antiqua	Rhizosolenia barboi	Paralia sulcata	Navicula sp. 1	Melosira polaris	Denticulopsis dimorpha	Delphineis surirella	Cymatosira debyi	Coscinodiscus obscurus	Calloneis bacillum	Thalassiosira manifesta	Rouxia californica	Rossiella tatsunokuchiensis	Pseudopodosira elegans	Denticulopsis hustedtii	Cocconeis pseudomarginatus	Cocconeis californica	Bacillaria paradoxa	Rhizosolenia setigera	Rhizosolenia alata	Rhaphoneis amphiceros	Nitzschia cylindrica	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiosira nordenskioeldii	Navicula directa	Lithodesmium undulatum	Coscinodiscus oculus-iridis	Thalassiosira pacifica	Thalassiosira eccentrica	Thalassionema schraderi	Hemidiscus cuneiformis	Asteromphalus darwinii	Thalassiosira temperei	Rhabdonema japonicum	Gomphonema lanceolata	Thalassiosira lineata	Pinnularia borealis	Delphineis angustata	Asteromphalus flabellatus	Actinocyclus ochotensis	Thalassiosira glacilis	Nitzschia rolandii	Actinocyclus curvatulus	Nitzschia fossilis	Cocconeis disculus	Actinocyclus ingens	Coscinodiscus elegans	Aulacoseira granulata	Thalassionema nitzschioides var. nitzschioides	Opephora martyi	Coscinodiscus marginatus (girdles)	Coscinodiscus radiatus	Neodenticula koizumii	Bacterosira fragilis	Asteromphalus robustus	Rhizosolenia curvirostris	Chaetoceros spores	Azpeitia endoi	Thalassiosira sp. 1	Nitzschia reinholdii	Thalassiothrix frauenfeldii	Synedra jouseana	Nitzschia extincta	Denticulopsis hyalina	Actinocyclus sp.	Goniothecium tenue	Actinocyclus oculatus	Actinocyclus octonarius	Thalassiosira yabei	Thalassiosira convexa	Diploneis bombus	Diploneis smithii	Trachyneis aspera	Plagiogramma staurophorum	Nitzschia granulata	Navicula pygmaea	Mediaria splendida	Cocconeis antiqua	Stephanodiscus niagarae	Porosira glacialis	Diploneis suborbicularis	Coscinodiscus symbolophorus	Cocconeis decipiens	Thalassiosira plicata	Neodenticula seminae	Denticulopsis katayamae	Cyclotella striata	Coscinodiscus subtilis	Cyclotella kutzingiana	Azpeitia nodulifer	Thalassiosira lacustris	Tetracyclus lacustris	Epithemia argus	Rhizosolenia bergonii	Thalassionema hirosakiensis	Thalassionema bacillaris	Pinnularia alphina	Achnanthes brevipes	Thalassiosira sp.	Synedra ulna	Gomphonema angustatum	Fragilaria construens	Diploneis coffeiformis	Pseudoeunotia doliolus	Nitzschia marina	Nitzschia grunowii	Amphora ovalis	Stephanodiscus astraea	Cyclotella chaetoceras	Diploneis interrupta	Rhizosolenia  semispina	Rhizosolenia imbricata	Nitzschia sicula	Diploneis oculata	Azpeitia tabularis	Actinoptychus splendens	Comment

  SR	                 	                 	N. koizumii       	              	127	 795	A	 16	H	 1	 120.00	    143.5000	White    	Diatoms                                      	A              	M                 	F                        	                        	                      	                       	                       	                     	C                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	R                    	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 795	A	 16	H	 2	  29.00	    144.0900	Koizumi  	Diatoms                                      	               	                  	2                        	r1                      	2                     	                       	                       	2                    	4                          	49                  	2                 	1                       	                     	                	               	2                        	2                	                  	                       	3                       	3                  	2                	96              	                      	2                    	1                       	                      	7                    	2                    	1                  	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	r1                     	                          	                     	                   	                     	                  	                     	                    	                       	1                                 	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	1                      	                      	                  	                       	                  	1                 	                   	                     	                     	                                              	               	                                  	                      	107                  	                    	                      	                         	                  	              	                   	                    	                           	                	                  	r1                   	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koizumii       	              	127	 795	A	 16	H	 2	 120.00	    145.0000	White    	Diatoms                                      	C              	M                 	F                        	                        	                      	                       	                       	                     	C                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	F                    	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 16	H	 3	 120.00	    146.5000	White    	Diatoms                                      	C              	M                 	F                        	R                       	                      	R                      	                       	                     	C                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	F                    	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	                      	F                    	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koizumii       	              	127	 795	A	 16	H	 4	 115.00	    147.9500	White    	Diatoms                                      	A              	M                 	R                        	                        	                      	                       	                       	                     	F                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	C                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 1	  29.00	    153.1900	Koizumi  	Diatoms                                      	               	                  	                         	                        	7                     	4                      	                       	                     	4                          	24                  	1                 	                        	                     	1               	               	24                       	1                	1                 	                       	42                      	                   	7                	42              	1                     	                     	3                       	1                     	5                    	1                    	19                 	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	1                     	                       	                          	                     	                   	5                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	1                     	                  	1                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	41                   	                    	4                     	                         	                  	              	                   	                    	                           	r1              	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 1	 120.00	    154.1000	White    	Diatoms                                      	C              	M                 	R                        	                        	                      	                       	                       	                     	F                          	                    	                  	                        	                     	                	               	F                        	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	F                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	C                                 	F                     	                     	                    	                      	                         	F                 	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 2	 120.00	    155.6000	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	                      	                     	                    	                      	F                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 3	 120.00	    157.1000	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	F                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	F                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Late Pliocene    	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 5	  29.00	    159.1900	Koizumi  	Diatoms                                      	               	                  	2                        	                        	4                     	6                      	                       	1                    	12                         	53                  	8                 	2                       	                     	                	1              	18                       	4                	                  	                       	22                      	1                  	7                	54              	                      	                     	1                       	                      	3                    	4                    	9                  	1              	              	                	                      	                    	                	                      	                  	1                      	                  	                           	                      	r2                     	                          	1                    	                   	1                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	34                   	1                   	1                     	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 5	 120.00	    160.1000	White    	Diatoms                                      	R              	P                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	                         	                 	                  	                       	R                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 18	H	 6	 120.00	    161.6000	White    	Diatoms                                      	C              	M                 	                         	                        	                      	                       	                       	                     	                           	                    	                  	                        	                     	                	               	R                        	                 	                  	                       	F                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	R                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 19	H	 1	 120.00	    163.6000	White    	Diatoms                                      	A              	M                 	R                        	F                       	                      	                       	                       	                     	F                          	                    	                  	                        	                     	                	               	F                        	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	C                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	A                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 19	H	 2	 120.00	    165.1000	White    	Diatoms                                      	A              	M                 	                         	R                       	                      	                       	                       	                     	F                          	                    	                  	                        	                     	                	               	F                        	                 	                  	                       	A                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	C                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	C                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347
