Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tripilidium clavipes,Tricolocapsa sp.,Theocyrtis diabloensis,Stylodictya targaeformis,Spongomelissa sp.,Siphocampe pachyderma,Siphocampe imbricata,Pseudodictyophimus galeatus,Prunopyle polyacantha,Prunopyle monikae,Prunopyle hayesi,Prunopyle frakesi,Periphaena decora,Perichlamydium praetextum,Lophocyrtis longiventer,Lithomelissa robusta,Lithomelissa ehrenbergi,Lithomelissa dupliphysa,Lithomelissa challengerae,Lithelius aff. Lithelius formanae,Eurystomoskevos petrushevskayaae,Eucyrtidium (?) mariae,Eucyrtidium antiquum,Dictyoprora physothorax,Dictyophimus(?) callosus,Dictyophimus(?) archipilium,Cymaetron sinolampas,Ceratocyrtis mashae,Ceratocyrtis amplus,Cenosphaera oceanica,Calocyclas asperum,Botryostrobus rednosus,Botryostrobus kerguelensis,Axoprunum sp.,Archipilium sp.,Amphymenium splendiarmatum,Actinomma kerguelenensis,Velicucullus sp.,Prunopyle trypopyrena,Cyrtocapsella robusta,Actinomma campylacantha,Theocorys sp.,Stylodictya ocellata,Lithomelissa sphaerocephalis,Cycladophora cabrilloensis subhumerus,Stylosphaera hispida,Stylodictya hastata,Saturnalis circularis,Mitrocalpis sp.,Lamprocyclas inexpectata,Dictyophimus pocillum,Cycladophora conica,Stylatractus universus,Spongodiscus osculosus,Phormostichoartus marylandicus,Lipmanella sp.,Ceratocyrtis cucullaris,Tholospyris (all generic taxa),Stylosphaera radiosa,Lithomelissa cheni,Lychnocanoma conica,Cyrtocapsella longithorax,Antarctissa sp.,Actinomma medusa,Stylosphaera angelina,Eucyrtidium teuscheri,Acrosphaera sp.,Lophophaena thaumasia,Lamprocyclas prionotocodon,Theocyrtis robusta,Lychnocanoma elongata,Gondwanaria hister,Cycladophora campanula,Velicucullus (all generic taxa),Stichocorys delmontensis,Rhizosphaera antarctica,Lithocarpium fragilis,Cycladophora humerus,Carpocanistrum brevispina,Dendrospyris megalocephalis,Cyrtocapsella tetrapera,Cycladophora golli regipileus,Cycladophora golli golli,Lampromitra coronata,Hexalonche philosophica?,Druppatractus hastatus,Cycladophora antiqua,Circodiscus ellipticus,Amphistylus angelinus,Stylatractus santaeannae,Lithartractus timmsi?,Eucyrtidium cienkowskii,Actinomma magnifenestra,Dictyophimus crisiae,Desmospyris rhodospyroides,Acrosphaera mercurius,Ceratocyrtis sp.,Stauroxiphos communis,Spongomelissa dilli,Cycladophora cosma cosma,Stylacontarium bispiculum,Lithomelissa stigi,Eucyrtidium punctatum,Cyrtocapsella cornuta,Triceraspyris coronata,Stichopilium bicorne?,Eucyrtidium calvertense,Acrosphaera australis,Siphonosphaera vesuvius,Siphonosphaera magnisphaera,Antarctissa deflandrei,Cycladophora bicornis,Thyrsocyrtis clausa,Dendrospyris cf. megalocephalis,Calocyclas humerus,Actinomma golownini,Spongodiscus craticulatus,Prunopyle tetrapila,Cycladophora spongothorax,Botryopera deflandrei,Pterocanium korotnevi,Acrosphaera murrayana,Stylatractus universus var. transparum,Spongotrochus glacialis,Phormostichoartus fistula,Antarctissa robusta,Rhopalastrum spp.,Prunopyle titan,Eucyrtidium pseudoinflatum,Eucyrtidium inflatum,Cycladophora pliocenica,Antarctissa strelkovi,Lychnocanium grande,Desmospyris spongiosa,Acrosphaera labrata,Stichocorys peregrina,Siphocampe arachnea,Helotholus praevema,Eucyrtidium biconicum,Botryostrobus auritus/australis,Antarctissa cylindrica,Helotholus vema,Antarctissa denticulata,Triceraspyris antarctica,Cycladophora davisiana,Saccospyris conithorax,Prunopyle antarctica,Gondwanaria dogieli,Cyrtolagena laguncula,Pterocanium charybdeum trilobum,Spongodiscus setosus,Pterocanium trilobum,Phormostichoartus pitomorphus,Lithelius nautiloides,Ceratocyrtis histricosa,Spongoplegma antarcticum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 12,H, 5,  53.00,    105.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,R                       ,                 ,                     ,F                   ,                           ,                     ,                 ,F               ,R                ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,R                  ,T                   ,                  ,                      ,                          ,T            ,T              ,                          ,                        ,                ,F                    ,                     ,                       ,R            ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,T                    ,                   ,                      ,                      ,R                             ,              ,R                      ,R                             ,R                   ,R                 ,A                  ,A                        ,F              ,R               ,T                    ,T                    ,R              ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 12,H, 7,  53.00,    108.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,                        ,                 ,                     ,A                   ,                           ,                     ,                 ,                ,T                ,                 ,                         ,T                      ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,                        ,                           ,                    ,                   ,                   ,                    ,T                 ,                      ,                          ,             ,               ,                          ,R                       ,                ,                     ,                     ,                       ,             ,                    ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,T                    ,                   ,                      ,R                     ,                              ,              ,                       ,                              ,A                   ,R                 ,C                  ,A                        ,C              ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 13,H, 2,  53.00,    110.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,R                       ,                 ,                     ,R                   ,                           ,                     ,                 ,F               ,R                ,                 ,                         ,                       ,                    ,                       ,                       ,                         ,                                 ,                                ,                      ,R                   ,                       ,                        ,                           ,                    ,                   ,F                  ,                    ,                  ,                      ,                          ,             ,T              ,                          ,R                       ,                ,                     ,R                    ,                       ,R            ,                    ,                            ,                                     ,T                   ,                   ,                     ,               ,                        ,                     ,T                  ,                      ,F                     ,T                             ,              ,R                      ,R                             ,A                   ,T                 ,F                  ,F                        ,F              ,A               ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 13,H, 4,  53.00,    113.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,R               ,                      ,                        ,                 ,                     ,R                   ,                           ,T                    ,                 ,F               ,T                ,                 ,                         ,                       ,T                   ,                       ,                       ,                         ,                                 ,                                ,                      ,                    ,                       ,T                       ,                           ,                    ,                   ,F                  ,T                   ,                  ,                      ,T                         ,             ,R              ,                          ,                        ,                ,R                    ,R                    ,                       ,R            ,                    ,                            ,                                     ,T                   ,                   ,T                    ,               ,                        ,                     ,A                  ,                      ,R                     ,                              ,              ,R                      ,                              ,R                   ,R                 ,R                  ,R                        ,R              ,R               ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 13,H, 6,  53.00,    116.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,T               ,                      ,R                       ,                 ,                     ,R                   ,                           ,R                    ,                 ,C               ,                 ,                 ,                         ,                       ,                    ,                       ,                       ,?                        ,                                 ,                                ,                      ,                    ,                       ,R                       ,                           ,                    ,                   ,                   ,                    ,                  ,                      ,R                         ,             ,T              ,                          ,                        ,T               ,                     ,                     ,                       ,T            ,?                   ,                            ,                                     ,R                   ,                   ,                     ,               ,                        ,                     ,F                  ,                      ,C                     ,                              ,              ,R                      ,                              ,R                   ,C                 ,C                  ,R                        ,R              ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 14,H, 1,  53.00,    118.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,T               ,                      ,T                       ,                 ,                     ,F                   ,                           ,R                    ,                 ,F               ,F                ,                 ,                         ,T                      ,T                   ,                       ,                       ,                         ,                                 ,                                ,                      ,R                   ,                       ,                        ,                           ,                    ,                   ,R                  ,                    ,T                 ,T                     ,                          ,             ,               ,R                         ,T                       ,                ,R                    ,T                    ,                       ,T            ,                    ,T                           ,                                     ,                    ,                   ,T                    ,               ,?                       ,                     ,R                  ,                      ,R                     ,                              ,              ,T                      ,C                             ,                    ,R                 ,C                  ,R                        ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 14,H, 3,  53.00,    121.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,T                   ,R               ,                      ,F                       ,                 ,                     ,R                   ,                           ,R                    ,                 ,C               ,R                ,                 ,                         ,F                      ,T                   ,                       ,                       ,T                        ,T                                ,F                               ,                      ,C                   ,                       ,R                       ,                           ,                    ,R                  ,C                  ,T                   ,                  ,F                     ,                          ,             ,T              ,R                         ,R                       ,                ,                     ,                     ,R                      ,R            ,                    ,R                           ,                                     ,C                   ,                   ,                     ,               ,R                       ,T                    ,                   ,                      ,R                     ,R                             ,              ,C                      ,F                             ,R                   ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,                 ,                  ,              ,119, 744,A, 14,H, 5,  53.00,    124.7300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,                ,                      ,R                       ,                 ,                     ,R                   ,                           ,                     ,                 ,C               ,R                ,                 ,                         ,F                      ,                    ,                       ,                       ,T                        ,T                                ,R                               ,                      ,F                   ,                       ,R                       ,T                          ,                    ,F                  ,R                  ,T                   ,                  ,T                     ,R                         ,             ,T              ,R                         ,R                       ,T               ,                     ,                     ,R                      ,T            ,R                   ,                            ,                                     ,F                   ,                   ,                     ,               ,T                       ,                     ,                   ,T                     ,T                     ,                              ,              ,R                      ,R                             ,F                   ,T                 ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 744,A, 15,H, 1,  53.00,    128.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                    ,R               ,                      ,F                       ,                 ,R                    ,R                   ,T                          ,R                    ,T                ,C               ,R                ,                 ,                         ,C                      ,T                   ,                       ,R                      ,T                        ,T                                ,A                               ,                      ,C                   ,                       ,R                       ,R                          ,                    ,R                  ,F                  ,R                   ,R                 ,A                     ,R                         ,T            ,R              ,R                         ,R                       ,                ,R                    ,                     ,R                      ,T            ,R                   ,C                           ,R                                    ,C                   ,                   ,                     ,R              ,R                       ,R                    ,R                  ,T                     ,T                     ,R                             ,-             ,R                      ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 744,A, 15,H, 3,  53.00,    131.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,R                   ,R               ,F                     ,R                       ,                 ,R                    ,C                   ,T                          ,C                    ,                 ,F               ,R                ,                 ,                         ,C                      ,R                   ,                       ,T                      ,R                        ,                                 ,C                               ,                      ,C                   ,C                      ,R                       ,R                          ,                    ,R                  ,F                  ,R                   ,C                 ,R                     ,F                         ,             ,R              ,R                         ,R                       ,R               ,F                    ,R                    ,                       ,             ,T                   ,F                           ,                                     ,R                   ,T                  ,T                    ,R              ,F                       ,T                    ,R                  ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 744,A, 15,H, 5,  53.00,    134.2300,Caulet   ,Radiolarians                                 ,A              ,G                 ,T                   ,R               ,F                     ,R                       ,                 ,F                    ,C                   ,T                          ,C                    ,F                ,F               ,R                ,                 ,                         ,R                      ,R                   ,                       ,T                      ,R                        ,R                                ,C                               ,R                     ,C                   ,C                      ,R                       ,                           ,                    ,                   ,F                  ,T                   ,C                 ,R                     ,                          ,R            ,R              ,R                         ,                        ,                ,                     ,R                    ,C                      ,             ,R                   ,R                           ,T                                    ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 744,A, 15,H, 7,  53.00,    137.2300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                    ,R               ,T                     ,                        ,R                ,A                    ,A                   ,                           ,A                    ,R                ,R               ,R                ,                 ,                         ,A                      ,T                   ,A                      ,T                      ,R                        ,                                 ,A                               ,A                     ,A                   ,A                      ,R                       ,R                          ,R                   ,                   ,R                  ,                    ,A                 ,R                     ,R                         ,R            ,               ,F                         ,A                       ,                ,F                    ,T                    ,C                      ,T            ,T                   ,                            ,                                     ,                    ,                   ,                     ,               ,                        ,                     ,                   ,                      ,                      ,                              ,              ,                       ,                              ,                    ,                  ,                   ,                         ,               ,                ,                     ,                     ,               ,                     ,                          ,                  ,                     ,                  ,                      ,                               ,                        ,                       ,                     ,                    ,                         ,                           ,                       ,                             ,                        ,                    ,                        ,                      ,                    ,                      ,                     ,                        ,                     ,                       ,                       ,                    ,                          ,                     ,                ,                     ,                   ,                        ,                         ,                  ,                     ,                     ,                      ,                     ,                       ,                     ,                       ,                           ,                      ,                     ,                   ,                               ,                  ,                   ,                         ,                   ,                         ,                     ,                     ,                     ,                                      ,                       ,                         ,                   ,                 ,               ,                          ,                    ,                       ,                     ,                   ,                     ,                   ,                     ,                   ,                   ,                     ,                               ,                      ,               ,                       ,                        ,                      ,                      ,                    ,                   ,                     ,                               ,                    ,                    ,                             ,                     ,                       ,                        ,from 119 SR Chapter 28 Table 5 page 523.
