Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Laticarinina pauperata,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Bolivina pacifica,Alabaminella weddellensis,Tosaia hanzawai,Siphotextularia catenata,Schackoinella sp.,Oridorsalis tenera,Miliolid taxa,Gyroidina orbicularis,Cibicides  bradyi,Bulimina sp. A,Pyrgo murrhina,Pullenia zaandamae,Gyroidinoides neosoldanii,Uvigerina hispida,Melonis barleeanus,Gyroidina regularis,Miliolid taxa (thin-walled),Cassidulina spp.,Bolivina spp.,Astrononion echolsi,Nonionella sp.,Abditodentrix pseudothalmanni,Sphaeroidina bulloides,Gyroidina spp.,Pyrgo sp.,Cibicidoides kullenbergi,Anomalinoides globulosus,Stainforthia fusiformis,Pullenia bulloides,Orthomorphina sp.,Pseudoparrella sp.,Cibicides lobatulus,Uvigerina spp.,Nodogenerina sp.,Uvigerina peregrina,Oridorsalis sp.,Cibicidoides robertsonianus,Comment
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 3,  44.00,    112.4400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,            ,2                   ,6                 ,1                 ,4                    ,20                    ,                    ,                      ,2                ,                          ,                  ,19                         ,2                  ,68                  ,                        ,7                         ,6                    ,                 ,34                       ,4              ,1                       ,                 ,                  ,             ,                     ,                 ,              ,2             ,                  ,1                        ,6                ,1                 ,                   ,                           ,3               ,1            ,                   ,2             ,                             ,1                     ,              ,         ,                        ,                        ,                       ,2                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 207; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 4, 102.00,    114.5200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,4           ,3                   ,7                 ,3                 ,8                    ,9                     ,1                   ,                      ,                 ,11                        ,2                 ,52                         ,4                  ,12                  ,                        ,3                         ,10                   ,                 ,26                       ,3              ,3                       ,1                ,7                 ,7            ,1                    ,1                ,              ,              ,1                 ,2                        ,                 ,2                 ,                   ,                           ,                ,             ,1                  ,3             ,                             ,                      ,              ,         ,                        ,1                       ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 313; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 5,  49.00,    115.4900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,19                ,5           ,8                   ,11                ,5                 ,10                   ,17                    ,                    ,1                     ,7                ,6                         ,3                 ,74                         ,1                  ,19                  ,                        ,4                         ,12                   ,1                ,20                       ,2              ,                        ,6                ,4                 ,2            ,1                    ,                 ,              ,              ,                  ,                         ,                 ,1                 ,                   ,                           ,1               ,             ,1                  ,              ,                             ,                      ,              ,1        ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 247; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 6,  67.00,    117.1700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,16                ,6           ,2                   ,4                 ,4                 ,12                   ,18                    ,                    ,                      ,1                ,3                         ,3                 ,63                         ,2                  ,26                  ,2                       ,3                         ,12                   ,1                ,37                       ,5              ,3                       ,2                ,3                 ,1            ,1                    ,2                ,              ,              ,                  ,3                        ,                 ,                  ,                   ,                           ,4               ,             ,                   ,1             ,                             ,                      ,2             ,1        ,2                       ,1                       ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 252; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 14,H, 2,  46.00,    119.9100,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,7           ,2                   ,4                 ,1                 ,6                    ,12                    ,                    ,                      ,3                ,3                         ,2                 ,51                         ,5                  ,27                  ,1                       ,                          ,14                   ,                 ,28                       ,5              ,2                       ,                 ,2                 ,1            ,                     ,                 ,              ,              ,                  ,2                        ,                 ,1                 ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,2             ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 199; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 14,H, 4,  60.00,    122.9300,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,3           ,7                   ,8                 ,3                 ,10                   ,14                    ,                    ,                      ,4                ,3                         ,3                 ,71                         ,1                  ,13                  ,1                       ,1                         ,6                    ,                 ,37                       ,3              ,3                       ,1                ,1                 ,4            ,                     ,1                ,              ,              ,                  ,                         ,                 ,4                 ,                   ,                           ,                ,             ,2                  ,2             ,                             ,1                     ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 10; Total count = 234; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 14,H, 6,  61.00,    124.7500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,2           ,2                   ,5                 ,4                 ,6                    ,34                    ,                    ,                      ,1                ,3                         ,3                 ,46                         ,3                  ,34                  ,                        ,3                         ,                     ,                 ,35                       ,2              ,                        ,                 ,2                 ,1            ,                     ,1                ,              ,              ,                  ,1                        ,                 ,1                 ,                   ,                           ,                ,             ,                   ,2             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 296; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 14,H, 7,  61.00,    126.1600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,3           ,                    ,4                 ,1                 ,1                    ,35                    ,                    ,                      ,5                ,2                         ,2                 ,22                         ,3                  ,51                  ,                        ,2                         ,1                    ,                 ,26                       ,3              ,2                       ,                 ,7                 ,4            ,                     ,                 ,              ,1             ,1                 ,3                        ,                 ,3                 ,1                  ,                           ,                ,             ,4                  ,1             ,1                            ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 367; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 1,  60.00,    128.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,3           ,                    ,16                ,2                 ,11                   ,45                    ,                    ,                      ,3                ,5                         ,                  ,56                         ,                   ,52                  ,                        ,                          ,7                    ,1                ,25                       ,2              ,1                       ,1                ,2                 ,1            ,                     ,                 ,              ,              ,                  ,1                        ,                 ,2                 ,2                  ,3                          ,2               ,1            ,3                  ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 9; Total count = 269; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 2,  60.00,    130.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,4                 ,1           ,1                   ,2                 ,1                 ,3                    ,38                    ,                    ,                      ,1                ,7                         ,2                 ,34                         ,2                  ,47                  ,                        ,1                         ,5                    ,                 ,36                       ,5              ,1                       ,                 ,2                 ,             ,                     ,2                ,              ,              ,                  ,1                        ,                 ,2                 ,2                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count =204 ; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 3,  60.00,    131.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,6                 ,6           ,5                   ,6                 ,2                 ,10                   ,15                    ,                    ,                      ,2                ,5                         ,7                 ,24                         ,2                  ,52                  ,                        ,1                         ,7                    ,1                ,29                       ,1              ,                        ,5                ,5                 ,1            ,                     ,1                ,              ,1             ,                  ,1                        ,3                ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 204; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 4,  60.00,    133.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,            ,14                  ,13                ,1                 ,12                   ,48                    ,                    ,                      ,2                ,1                         ,2                 ,44                         ,3                  ,44                  ,1                       ,                          ,5                    ,1                ,46                       ,5              ,                        ,1                ,6                 ,1            ,                     ,                 ,1             ,1             ,1                 ,4                        ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 278; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 5,  60.00,    134.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,            ,6                   ,8                 ,3                 ,10                   ,100                   ,                    ,                      ,6                ,4                         ,1                 ,44                         ,2                  ,58                  ,                        ,                          ,8                    ,                 ,32                       ,1              ,4                       ,3                ,6                 ,1            ,2                    ,3                ,1             ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 321; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 15,H, 6,  20.00,    135.7000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,1           ,4                   ,3                 ,1                 ,10                   ,67                    ,1                   ,2                     ,4                ,1                         ,1                 ,24                         ,4                  ,46                  ,1                       ,2                         ,6                    ,1                ,30                       ,               ,                        ,                 ,                  ,             ,                     ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 219; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
