leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,12%,  ,1,d8adca62e3e0b802c41d1a0786737c7a,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,02%,  ,1,6bc28994c093a1a4538714b41709d991,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,01%,  ,1,7a6f0bc4a721ac72ef8977b0f257b5ce,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,03%,  ,1,3150e007eb29361130e664f5cbdb396f,56-436-5-4
56,436,,5,4,,,36.50,41.00, 8,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,03%,  ,1,96ebbeb587ae31fb1a9225272fb42054,56-436-5-4
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,56%,  ,1,fde629fe4cddd5c733d82e5f7921e011,56-436-6-1
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,12%,  ,1,008627e075b0e03e83b939929641b823,56-436-6-1
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,09%,  ,1,4fef398f1b540fe2f399b1dee26b7321,56-436-6-1
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPTER0010,Pterocarya sp.,01%,  ,1,74afd2e34850258dcf4822d6dad7e68a,56-436-6-1
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,08%,  ,1,99ec7e24f779b1decebe00eccb75fa30,56-436-6-1
56,436,,6,1,,,46.00,46.00,10,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,03%,  ,1,37861c44f2ed1c773a259f3651dc8b24,56-436-6-1
