Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra minutula	Reticulofenestra haqii	Orthorhabdus serratus	Helicosphaera mediterranea	Helicosphaera kamptneri	Discoaster variabilis	Discoaster petaliformis	Discoaster exilis	Discoaster druggii	Cyclicargolithus floridanus	Coronocyclus nitescens (circular)	Coccolithus pelagicus	Triquetrorhabdulus auritus	Sphenolithus abies	Solidopons petrae	Pontosphaera multipora	Helicosphaera granulata	Coccolithus eopelagicus	Discoaster sanmiguelensis	Discoaster deflandrei	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera intermedia	Geminilithella rotula	Discoaster signus	Coronocyclus nitescens (oval)	Calcidiscus premacintyrei	Calcidiscus macintyrei	Discoaster moorei	Calcidiscus leptoporus	Sphenolithus moriformis	Scapholithus fossilis	Discoaster kugleri	Discoaster braarudii	Discoaster bollii	Syracosphaera? fragilis	Discoaster toralis	Coccolithus miopelagicus	Discoaster triradiatus	Pontosphaera japonica	Helicosphaera stalis	Reticulofenestra ampliumbilicus	Catinaster mexicanus	Discoaster brouweri	Catinaster coalitus	Helicosphaera orientalis	Discoaster prepentaradiatus	Discoaster hamatus	Helicosphaera pacifica	Discoaster pseudovariabilis	Helicosphaera obliqua	Catinaster calyculus	Discoaster loeblichii	Discoaster tristellifer	Sphenolithus neoabies	Discoaster pentaradiatus	Discoaster calcaris	Quadrum giganteum	Discoaster neohamatus	Minylitha convallis	Discoaster neorectus	Discoaster asymmetricus	Discoaster berggrenii	Reticulofenestra minuta	Helicosphaera rhomba	Helicosphaera burkei	Discoaster surculus	Discoaster challengeri	Discoaster quinqueramus	Amaurolithus delicatus	Triquetrorhabdulus farnsworthii	Amaurolithus tricorniculatus	Amaurolithus primus	Reticulofenestra rotaria	Helicosphaera sellii	Discoaster tamalis	Amaurolithus amplificus	Discoaster subsurculus	Syracosphaera pulchra	Florisphaera profunda	Discoaster pansus	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus rugosus	Rhabdosphaera clavigera	Coccolithus pelagicus (w/ bar)	Ceratolithus separatus	Pontosphaera indooceanica	Pseudoemiliania lacunosa (small)	Gephyrocapsa spp. (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera plana	Discoaster blackstockae	Discoaster decorus	Helicosphaera scissura	Helicosphaera elongata	Reticulofenestra astoni	Umbilicosphaera sibogae	Ceratolithus cristatus	Helicosphaera inversa	Gephyrocapsa caribbeanica	Comment

  SR	Early Pliocene   	                 	CN9b              	              	159	 959	B	 12	H	 5	  59.00	    106.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	                       	+                    	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	                      	                       	                       	                         	                     	+                         	+                               	                        	+                    	                 	                             	                         	                      	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	+                  	                 	                     	                   	                    	                       	+                    	                       	                    	                    	+                  	                      	+                      	                      	+                              	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN9b              	              	159	 959	B	 12	H	 6	  59.00	    108.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	+                         	+                               	                        	+                    	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	+                      	+                    	                       	                    	                    	                   	                      	+                      	                      	+                              	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN9b              	              	159	 959	B	 12	H	CC	  16.00	    109.6800	Shafik   	Nannofossils                                 	A              	G                 	+                         	                         	+                     	                     	                          	                       	+                    	                       	                 	                  	+                          	                                 	                     	                          	                  	                 	                      	                       	+                      	                         	+                    	+                         	                                	+                       	                     	+                	                             	                         	                      	                 	                      	                       	+                    	                  	                    	+                	                       	                  	                        	+                     	                     	                    	                               	                    	                   	                   	+                       	+                          	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	+                   	                       	                     	+                      	                    	                    	                   	                      	                       	                      	+                              	+                           	+                  	                        	+                   	+                 	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Early Pliocene   	                 	CN9b              	              	159	 959	B	 13	H	 1	  59.00	    110.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	                          	                       	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	+                         	+                               	                        	                     	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	R                     	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	                    	                       	+                    	                       	                    	                    	C                  	                      	A                      	                      	                               	                            	                   	+                       	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 13	H	 2	  59.00	    111.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	                          	+                               	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	                    	                       	                     	+                      	                    	                    	+                  	                      	+                      	+                     	                               	                            	                   	+                       	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 13	H	 4	  59.00	    114.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	+                         	                                	                        	                     	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	                    	+                      	+                    	                       	+                   	+                   	+                  	                      	+                      	+                     	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 13	H	 5	  59.00	    116.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	+                   	                       	+                    	+                      	                    	+                   	+                  	                      	+                      	                      	                               	                            	+                  	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 13	H	 6	  59.00	    117.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	                    	                       	+                    	                       	+                   	                    	+                  	                      	+                      	+                     	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 13	H	 7	  59.00	    119.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	                   	                 	                     	                   	+                   	                       	+                    	                       	                    	+                   	+                  	                      	+                      	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 14	H	 1	  59.00	    119.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	+                     	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	                    	                       	+                    	                       	                    	                    	+                  	                      	A                      	                      	                               	+                           	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 14	H	 2	  59.00	    121.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	+                     	                     	                          	+                      	R                    	                       	R                	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	R                  	                 	                     	                   	                    	+                      	A                    	+                      	                    	                    	R                  	+                     	+                      	                      	+                              	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9b              	              	159	 959	B	 14	H	 3	  59.00	    122.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	+                               	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	+                       	+                  	                 	                     	                   	                    	+                      	+                    	+                      	+                   	+                   	+                  	                      	+                      	+                     	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 14	H	 4	  59.00	    124.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	R                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	C                  	                 	                     	+                  	                    	                       	A                    	+                      	                    	                    	+                  	                      	+                      	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 14	H	 5	  59.00	    125.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	                      	                       	                       	                         	                     	C                         	                                	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	+                   	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	+                  	                    	                       	+                    	+                      	+                   	                    	+                  	                      	+                      	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 14	H	 6	  59.00	    127.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	                     	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	R                      	                     	+                       	+                  	                 	                     	+                  	R                   	                       	+                    	                       	                    	                    	                   	                      	+                      	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 15	H	 2	  59.00	    130.5900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	                 	                     	                   	                    	+                      	+                    	+                      	+                   	+                   	R                  	R                     	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 15	H	 3	  59.00	    132.0900	Shafik   	Nannofossils                                 	A              	G                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	                     	                          	+                 	                 	                      	                       	                       	                         	                     	                          	                                	                        	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	+                   	                 	                       	                  	                        	                      	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	+                	                     	                   	                    	+                      	+                    	+                      	+                   	+                   	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN9a              	              	159	 959	B	 15	H	 4	  59.00	    133.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	                     	                          	+                 	                 	+                     	+                      	                       	                         	                     	+                         	                                	+                       	+                    	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	+                     	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	+                    	+                       	+                  	+                	                     	+                  	+                   	+                      	+                    	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2
