Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp.,Sphenolithus sp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra sp. (5-7 microns),Pedinocyclus larvalis,Helicosphaera compacta,Discoaster sp. (5-rayed),Discoaster sp.,Discoaster nodifer,Discoaster deflandrei,Discoaster brouweri,Discoaster adamanteus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus sp.,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Helicosphaera sp.,Discoaster barbadiensis,Pontosphaera segmenta,Discoaster tanii,Catinaster umbrellus,Discoaster saipanensis,Calcidiscus sp.,Sphenolithus ciperoensis,Sphenolithus radians,Discoaster sp. (9-rayed),Triquetrorhabdulus carinatus,Dictyococcites sp.,Sphenolithus tribulosus,Sphenolithus abies/neoabies,Reticulofenestra sp. (<5 microns),Reticulofenestra pseudoumbilica (>7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Helicosphaera granulata,Hayaster perplexus,Discoaster variabilis,Discoaster surculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera mirabilis,Scyphosphaera sp.,Pontosphaera sp.,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster asymmetricus,Amaurolithus delicatus,Syracosphaera sp.,Rhabdosphaera sp.,Oolithotus fragilis,Coronocyclus sp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Ceratolithus cristatus,Discosphaera tubifera,Ceratolithus sp.,Umbellosphaera irregularis,Pontosphaera multipora,Discoaster berggrenii,Ceratolithus telesmus,Helicosphaera euphratis,Discoaster tamalis,Discoaster challengeri,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Emiliania huxleyi,Umbilicosphaera angustiforamen,Discoaster pansus,Gephyrocapsa spp. large (>5.5 microns),Ceratolithus simplex,Amaurolithus tricorniculatus,Comment
  SR,Middle Pleistocene,                 ,CN14b             ,              ,134, 828,A,  7,H, 4,  39.00,     56.7900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,                                  ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,                        ,S                      ,                       ,                  ,rR                   ,                   ,                      ,R                     ,S                        ,                 ,R               ,rR                    ,rR                     ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,R                    ,R                      ,V                                     ,V                                      ,R                    ,                    ,                    ,                      ,                     ,                ,R                         ,                      ,rR                   ,R                    ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 828,A,  7,H, 5,  59.00,     58.4900,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,                                  ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,rR                         ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,S                       ,R                      ,                       ,R                 ,rR                   ,                   ,                      ,C                     ,S                        ,R                ,R               ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,R                    ,S                      ,V                                     ,V                                      ,R                    ,                    ,                    ,                      ,                     ,                ,R                         ,R                     ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 828,A,  7,H, 6,  40.00,     59.8000,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,                                  ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,rR                         ,                                 ,                                           ,S                       ,S                      ,                       ,S                 ,rR                   ,                   ,rR                    ,C                     ,C                        ,                 ,R               ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,R                    ,S                    ,R                      ,V                                     ,V                                      ,R                    ,R                   ,                    ,R                     ,R                    ,R               ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 828,A,  7,H, 7,  13.00,     61.0300,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,R                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,C                       ,C                      ,                       ,C                 ,rR                   ,                   ,                      ,C                     ,C                        ,R                ,R               ,                      ,rR                     ,                        ,                       ,                      ,                 ,                 ,                   ,                ,C                    ,S                    ,S                      ,V                                     ,A                                      ,S                    ,R                   ,rR                  ,R                     ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,CN14a             ,              ,134, 828,A,  8,H, 1,  28.00,     61.6800,Staerker ,Nannofossils                                 ,R              ,E                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,rR            ,                  ,                     ,rR                 ,                     ,                        ,                       ,                           ,                          ,                      ,               ,                     ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,rR                         ,                                 ,                                           ,C                       ,C                      ,                       ,R                 ,                     ,                   ,                      ,C                     ,C                        ,                 ,R               ,                      ,                       ,rR                      ,                       ,                      ,                 ,                 ,                   ,                ,S                    ,R                    ,S                      ,V                                     ,A                                      ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 2,  15.00,     63.0500,Staerker ,Nannofossils                                 ,C              ,F                 ,                       ,                   ,R               ,                          ,                         ,                       ,                      ,                         ,A                                 ,                     ,                      ,                        ,C             ,                  ,                     ,                   ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,A                          ,A                                ,C                                          ,                        ,R                      ,                       ,S                 ,                     ,R                  ,R                     ,C                     ,C                        ,                 ,R               ,R                     ,                       ,R                       ,S                      ,R                     ,R                ,R                ,R                  ,R               ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 3,  58.00,     64.9800,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,                ,                          ,                         ,                       ,                      ,                         ,S                                 ,                     ,                      ,                        ,C             ,                  ,                     ,                   ,                     ,                        ,                       ,                           ,                          ,                      ,               ,S                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,A                          ,V                                ,R                                          ,                        ,C                      ,                       ,R                 ,                     ,                   ,                      ,C                     ,R                        ,R                ,R               ,R                     ,                       ,                        ,C                      ,R                     ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 3, 132.00,     65.7200,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,S                  ,                ,                          ,                         ,                       ,                      ,                         ,C                                 ,                     ,                      ,                        ,C             ,                  ,                     ,                   ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,V                          ,A                                ,R                                          ,                        ,S                      ,                       ,R                 ,R                    ,R                  ,                      ,C                     ,R                        ,R                ,R               ,R                     ,                       ,R                       ,C                      ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 4,  35.00,     66.2500,Staerker ,Nannofossils                                 ,C              ,F                 ,                       ,S                  ,C               ,                          ,                         ,R                      ,                      ,                         ,A                                 ,                     ,                      ,C                       ,C             ,                  ,                     ,                   ,                     ,                        ,                       ,                           ,                          ,                      ,               ,R                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,A                          ,A                                ,R                                          ,                        ,S                      ,                       ,R                 ,                     ,                   ,                      ,A                     ,                         ,R                ,R               ,R                     ,                       ,R                       ,C                      ,R                     ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 5,  20.00,     67.6000,Staerker ,Nannofossils                                 ,C              ,F                 ,                       ,C                  ,R               ,                          ,                         ,R                      ,                      ,                         ,A                                 ,                     ,                      ,C                       ,S             ,                  ,                     ,                   ,                     ,                        ,                       ,R                          ,                          ,                      ,               ,S                    ,                        ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,S                 ,                       ,A                          ,A                                ,R                                          ,                        ,C                      ,                       ,                  ,                     ,                   ,R                     ,C                     ,R                        ,R                ,R               ,R                     ,rR                     ,S                       ,C                      ,R                     ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,134, 828,A,  8,H, 6,  26.00,     69.1600,Staerker ,Nannofossils                                 ,C              ,G                 ,                       ,C                  ,C               ,                          ,                         ,C                      ,                      ,                         ,A                                 ,                     ,                      ,C                       ,A             ,                  ,                     ,                   ,                     ,                        ,                       ,                           ,                          ,R                     ,R              ,C                    ,                        ,                   ,C                ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,C                 ,                       ,S                          ,A                                ,C                                          ,R                       ,C                      ,R                      ,R                 ,C                    ,R                  ,R                     ,C                     ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  8,H, 6, 112.00,     70.0200,Staerker ,Nannofossils                                 ,C              ,F                 ,                       ,                   ,A               ,                          ,A                        ,C                      ,C                     ,                         ,                                  ,                     ,                      ,                        ,C             ,R                 ,A                    ,A                  ,                     ,                        ,C                      ,A                          ,C                         ,                      ,S              ,C                    ,S                       ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,                  ,A                      ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  8,H, 7,  21.00,     70.6100,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,C               ,                          ,C                        ,A                      ,C                     ,                         ,                                  ,                     ,                      ,R                       ,C             ,                  ,C                    ,C                  ,                     ,                        ,S                      ,A                          ,A                         ,                      ,S              ,A                    ,R                       ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,R                       ,                    ,                        ,R                           ,R                 ,C                      ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 1, 119.00,     72.0900,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,A               ,                          ,A                        ,A                      ,C                     ,                         ,                                  ,R                    ,                      ,R                       ,S             ,R                 ,C                    ,C                  ,R                    ,                        ,R                      ,V                          ,C                         ,R                     ,S              ,C                    ,C                       ,                   ,                 ,                       ,R                    ,                ,                    ,                      ,R              ,                        ,                    ,                        ,R                           ,R                 ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 2, 110.00,     73.5000,Staerker ,Nannofossils                                 ,A              ,G                 ,R                      ,                   ,C               ,                          ,A                        ,A                      ,C                     ,                         ,R                                 ,                     ,                      ,R                       ,R             ,                  ,C                    ,C                  ,                     ,R                       ,S                      ,V                          ,A                         ,R                     ,S              ,C                    ,S                       ,                   ,                 ,                       ,R                    ,                ,                    ,                      ,R              ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 3,  40.00,     74.3000,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,                          ,A                        ,A                      ,C                     ,                         ,R                                 ,                     ,                      ,R                       ,C             ,                  ,C                    ,C                  ,R                    ,R                       ,S                      ,V                          ,A                         ,R                     ,               ,C                    ,S                       ,                   ,                 ,                       ,R                    ,                ,                    ,                      ,               ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 3, 110.00,     75.0000,Staerker ,Nannofossils                                 ,A              ,G                 ,R                      ,                   ,C               ,R                         ,C                        ,A                      ,C                     ,                         ,C                                 ,R                    ,                      ,R                       ,C             ,R                 ,S                    ,S                  ,                     ,R                       ,R                      ,V                          ,A                         ,R                     ,R              ,C                    ,C                       ,                   ,                 ,                       ,R                    ,                ,R                   ,                      ,R              ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 4,  40.00,     75.8000,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,C                        ,A                      ,C                     ,                         ,C                                 ,                     ,                      ,R                       ,R             ,                  ,S                    ,S                  ,                     ,C                       ,C                      ,V                          ,A                         ,R                     ,R              ,C                    ,R                       ,                   ,                 ,                       ,                     ,                ,                    ,                      ,R              ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 4,  89.00,     76.2900,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,A                        ,C                      ,C                     ,                         ,C                                 ,                     ,                      ,                        ,C             ,                  ,S                    ,S                  ,                     ,S                       ,S                      ,V                          ,A                         ,S                     ,S              ,C                    ,S                       ,                   ,                 ,                       ,                     ,                ,                    ,                      ,R              ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 5,  39.00,     77.2900,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,                          ,C                        ,A                      ,C                     ,                         ,C                                 ,                     ,                      ,R                       ,S             ,R                 ,C                    ,C                  ,                     ,S                       ,S                      ,A                          ,A                         ,                      ,C              ,C                    ,S                       ,                   ,                 ,                       ,R                    ,                ,                    ,                      ,R              ,                        ,                    ,R                       ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 5, 129.00,     78.1900,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,C               ,R                         ,C                        ,A                      ,C                     ,                         ,C                                 ,R                    ,                      ,R                       ,R             ,R                 ,C                    ,C                  ,R                    ,R                       ,C                      ,A                          ,A                         ,R                     ,R              ,C                    ,R                       ,                   ,                 ,                       ,                     ,R               ,                    ,                      ,R              ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
