Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tenuitellinata angustiumbilicata,Tenuitella gemma,Subbotina angiporoides,Paragloborotalia nana,Hantkenina alabamensis,Globigerina euapertura,Chiloguembelina cubensis,Catapsydrax unicavus,Catapsydrax dissimilis,Subbotina (?) eocaena,Subbotina linaperta,Pseudohastigerina spp.,Globorotaloides suteri,Globigerina tapuriensis,Globigerina pseudovenezuelana,Globigerina gortanii,Turborotalia ampliapertura,Turborotalia pomeroli,Turborotalia increbescens,Globigerina  cf. G. praeturritilina,Globigerina yeguaensis,Cassigerinella chipolensis,Globigerina tripartita,Globoquadrina venezuelana,Globigerina praebulloides,Paragloborotalia opima,Globigerina ouachitaensis,Globigerina sellii,Globigerina angulisuturalis,Globigerinella obesa,Globigerinita glutinata,Paragloborotalia semivera-mayeri group,Paragloborotalia pseudokugleri,Paragloborotalia kugleri,Globoquadrina dehiscens,Globigerinita uvula,Globigerinoides primordius,Comment
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 57,X,CC,  28.00,    530.9300,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,R               ,?                     ,                     ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,F/C                  ,R                  ,F/C                   ,R                     ,R                      ,F/C                          ,R                   ,F/C                       ,                     ,R                        ,                                   ,R                     ,F/C                       ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 58,X, 1,  37.00,    534.9700,Leckie   ,Planktonic Foraminifers                      ,               ,MG                ,R                               ,R               ,R                     ,                     ,                      ,R                     ,F/C                     ,R                   ,R                     ,R                    ,R                  ,F/C                   ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,R                        ,                                   ,R                     ,                          ,R                     ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,P18               ,              ,130, 803,D, 58,X,CC,  47.00,    535.8500,Leckie   ,Planktonic Foraminifers                      ,               ,G                 ,R                               ,F/C             ,R                     ,                     ,                      ,F/C                   ,F/C                     ,R                   ,R                     ,F/C                  ,R                  ,F/C                   ,                      ,R                      ,F/C                          ,R                   ,R                         ,                     ,R                        ,R                                  ,R                     ,F/C                       ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,P17               ,              ,130, 803,D, 59,X, 1,  44.00,    544.7400,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,                                ,R               ,                      ,                     ,R                     ,R                     ,                        ,R                   ,R                     ,                     ,R                  ,F/C                   ,                      ,R                      ,                             ,                    ,?                         ,R                    ,R                        ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,P17               ,              ,130, 803,D, 59,X, 3,  17.00,    547.4700,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                ,R                     ,                     ,R                     ,                      ,R                       ,                    ,R                     ,                     ,                   ,R                     ,R                     ,                       ,                             ,                    ,?                         ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,P17               ,              ,130, 803,D, 59,X,CC,  25.00,    548.1900,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                ,R                     ,                     ,R                     ,R                     ,                        ,F/C                 ,F/C                   ,R                    ,R                  ,R                     ,R                     ,R                      ,R                            ,R                   ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,P17               ,              ,130, 803,D, 60,X, 1,  52.00,    554.5200,Leckie   ,Planktonic Foraminifers                      ,               ,P                 ,R                               ,R               ,R                     ,R                    ,R                     ,R                     ,R                       ,R                   ,R                     ,                     ,                   ,                      ,                      ,                       ,                             ,                    ,                          ,                     ,                         ,                                   ,                      ,                          ,                      ,                         ,                         ,                      ,                         ,                  ,                           ,                    ,                       ,                                      ,                              ,                        ,                       ,                   ,                          ,from 130SR.Chapter 9.Figure 6.page 118.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
