Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Agglutinated spp. (indeterminate),Nonionella miocenica,Cassidulina minuta,Epistominella pacifica,Uvigerina peregrina,Quinqueloculina sp.,Globobulimina pacifica,Valvulineria araucana,Bulimina striata mexicana,Lagena spp.,Calcareous spp. (indeterminate),Melonis pompilioides,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Fissurina spp.,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Oridorsalis umbonatus,Elphidium spp.,Fursenkoina sp.,Elphidiella hannai,Cassidulina spp.,Uvigerina senticosa,Bolivina spissa,Fursenkoina bradyi,Cibicides spp.,Chilostomella oolina,Cassidulinoides bradyi,Bulimina subacuminata,Cassidulina limbata,Pyrgo spp.,Pullenia bulloides,Nonionella labradorica,Cassidulina translucens,Buliminella subfusiformis,Bulimina subcalva,Bulimina exilis,Bulimina barbata,Buccella frigida,Uvigerina hispida,Trifarina angulosa,Nodosaria spp.,Globocassidulina subglobosa,Dorothia sp.,Cibicidoides spp.,Cassidulina californica,Buccella tenerrima,Chilostomella ovoidea,Elphidiella oregonense,Cassidulina teretis,Uvigerina dirupta,Lenticulina sp.,Guttulina sp.,Cassidulinoides cornuta,Bolivina spp.,Bolivina subspinescens,Eponides healdi,Pullenia salisburyi,Glandulina laevigata,Cibicidoides mckannai,Globobulimina affinis,Buliminella elegantissima,Nonionella globosa,Trichohyalus ornatissima,Eggerella bradyi,Cassidulina carinata,Karreriella sp.,Cassidulina norcrossi,Cassidulina cushmani,Bulimina spp.,Bolivina seminuda,Bolivina interjuncta,Bolivina argentea,Astrononion sp.,Triloculina sp.,Epistominella sp.,Epistominella exigua,Reophax sp.,Bolivina translucens,Suggrunda sp.,Globobulimina auriculata,Bolivina pseudobeyrichi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 12,H, 1,  73.00,    101.2300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,R              ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,R                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 12,H, 3,   4.00,    103.5100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,                   ,                   ,                      ,S                    ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,S             ,               ,                  ,                ,                   ,S              ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 13,H, 1, 135.00,    109.9500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,R             ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 13,H, 4,  65.00,    113.7500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,R                   ,R                 ,C                     ,C                  ,S                  ,                      ,                     ,S                        ,S          ,R                              ,                    ,                               ,                             ,S             ,F                              ,S                         ,                     ,R             ,               ,                  ,R               ,                   ,S              ,                  ,R             ,                    ,                      ,R                    ,                   ,S         ,                  ,F                     ,R                      ,S                        ,R                ,R              ,                ,R               ,                 ,S                 ,              ,                           ,            ,R                ,                       ,R                 ,                     ,                      ,                   ,R                ,               ,             ,                       ,S            ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,S              ,R                    ,S                   ,S            ,S                ,R                   ,R                ,S              ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 13,H,CC,  17.00,    118.4900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,C                     ,F                  ,R                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,F                              ,                          ,                     ,R             ,               ,                  ,                ,                   ,               ,                  ,F             ,                    ,                      ,R                    ,                   ,          ,                  ,                      ,R                      ,                         ,                 ,               ,                ,S               ,                 ,                  ,              ,S                          ,            ,                 ,                       ,R                 ,                     ,                      ,                   ,                 ,               ,             ,                       ,R            ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,S                       ,S               ,S                   ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 14,H, 1, 106.00,    119.1600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 14,H, 3,   4.00,    121.1400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,S                   ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 14,H, 4,  73.00,    123.3300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 14,H,CC,  26.00,    127.8600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,S                      ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,S                          ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 15,H, 1,  59.00,    128.1900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,S                 ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 16,H, 3,   6.00,    140.1800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 16,H, 5,  69.00,    143.8200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 16,H,CC,  27.00,    146.9500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,S                 ,R                     ,S                  ,R                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 17,H, 1,  85.00,    147.4500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 17,H, 3,  98.00,    150.6000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 18,X, 2,   5.00,    157.6500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 20,X,CC,  20.00,    176.0400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,R                  ,S                     ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,S                              ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 22,X, 1,   3.00,    194.1300,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,S                 ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,S         ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 25,H,CC,  13.00,    226.5100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,S             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 26,H, 1,  93.00,    227.8300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 28,H,CC,  16.00,    251.7500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,S                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,R             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,S                ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,S                        ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 30,H, 1,  89.00,    261.6900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,R                   ,R                              ,R                            ,              ,                               ,R                         ,                     ,              ,R              ,                  ,                ,R                  ,               ,                  ,R             ,                    ,                      ,                     ,                   ,          ,R                 ,                      ,                       ,                         ,                 ,R              ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,R                    ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 31,H,CC,  14.00,    276.8600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,S                  ,S                  ,                      ,                     ,                         ,           ,                               ,S                   ,                               ,S                            ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,S               ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
