Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus orionatus	Prediscosphaera cretacea	Parhabdolithus angustus	Lithastrinus floralis	Gartnerago obliquum	Gartnerago nanum	Eiffellithus turriseiffelii	Cretarhabdus surirellus	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia signata	Biscutum constans	Ahmuellerella octoradiata	Kamptnerius magnificus	Zygodiscus diplogrammus	Micula staurophora	Lithraphidites carniolensis	Cylindralithus sp.	Cyclagelosphaera margerelii	Biscutum magnum	Reinhardtites anthophorus	Seribiscutum primitivum	Lucianorhabdus cayeuxii	Eiffellithus trabeculatus	Eiffellithus eximius	Biscutum coronum	Arkhangelskiella cymbiformis	Broinsonia enormis	Broinsonia parca	Prediscosphaera spinosa	Reinhardtites levis	Zygodiscus spiralis	Nephrolithus frequens	Nephrolithus corystus	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Markalius inversus (oval)	Thoracosphaera spp.	Microrhabdulus decoratus	Biscutum sp.	Crepidolithus sp.	Prediscosphaera stoveri	Toweius sp.	Markalius inversus	Cruciplacolithus tenuis	Zygodiscus sigmoides	Biantholithus sparsus	Prinsius dimorphosus	Markalius inversus (circular)	Cruciplacolithus primus	Hornibrookina teuriensis	Cruciplacolithus subrotundus	Cyclagelosphaera reinhardtii	Coccolithus pelagicus	Cruciplacolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Toweius pertusus	Toweius craticulus	Prinsius martinii	Neochiastozygus concinnus	Lapideacassis sp.	Neochiastozygus sp.	Fasciculithus ulii	Prinsius bisulcus	Fasciculithus tympaniformis	Chiasmolithus bidens	Markalius apertus	Coccolithus subpertusus	Sphenolithus primus	Fasciculithus pileatus	Toweius eminens	Heliolithus sp.	Heliolithus kleinpellii	Discoaster mohleri	Zygrhablithus bijugatus	Toweius callosus	Neococcolithes dubius	Discoaster nobilis	Discoaster multiradiatus	Chiasmolithus solitus	Chiasmolithus consuetus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus moriformis	Ellipsolithus distichus	Discoaster barbadiensis	Sphenolithus radians	Discoaster kuepperi	Coccolithus formosus	Chiasmolithus expansus	Reticulofenestra samodurovii	Discoaster lodoensis	Discoaster spp.	Clausicoccus fenestratus	Helicosphaera sp.	Chiasmolithus grandis	Discoaster sublodoensis	Discoaster praebifax	Reticulofenestra daviesii	Nannotetrina cristata	Comment

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 21	R	CC	   9.00	    380.6800	Wei      	Nannofossils                                 	F              	M                 	                    	                     	C                       	                       	                     	                   	                	                           	F                      	                    	                        	                  	A                	R                        	C                     	                       	F                 	F                          	                  	                           	               	                         	                       	C                      	                         	                    	                	C                           	                  	                	                       	                   	                   	C                    	                     	F                           	F                      	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 22	R	CC	  11.00	    397.6000	Wei      	Nannofossils                                 	F              	P                 	                    	                     	C                       	                       	                     	F                  	                	F                          	C                      	R                   	                        	                  	A                	                         	C                     	                       	R                 	R                          	                  	                           	               	                         	                       	C                      	                         	                    	                	F                           	                  	                	                       	                   	                   	C                    	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 23	R	 1	  84.00	    400.0400	Wei      	Nannofossils                                 	F              	G                 	                    	                     	F                       	                       	                     	F                  	                	R                          	R                      	                    	                        	                  	                 	R                        	C                     	                       	C                 	                           	                  	                           	               	                         	                       	C                      	                         	                    	                	C                           	                  	                	                       	                   	                   	C                    	                     	C                           	F                      	rR                       	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 23	R	 2	  84.00	    401.5400	Wei      	Nannofossils                                 	F              	M                 	                    	                     	F                       	                       	                     	F                  	                	F                          	R                      	                    	                        	                  	C                	R                        	C                     	                       	C                 	                           	                  	                           	               	                         	                       	C                      	                         	                    	                	C                           	                  	                	                       	                   	R                  	C                    	                     	C                           	F                      	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 23	R	 3	  84.00	    403.0400	Wei      	Nannofossils                                 	F              	M                 	                    	                     	F                       	                       	                     	F                  	                	F                          	R                      	                    	                        	                  	C                	R                        	C                     	                       	C                 	                           	                  	                           	               	                         	                       	C                      	                         	                    	                	C                           	                  	                	                       	                   	F                  	C                    	                     	C                           	F                      	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 23	R	CC	  18.00	    403.8800	Wei      	Nannofossils                                 	F              	P                 	                    	                     	F                       	                       	                     	R                  	                	C                          	R                      	                    	R                       	                  	                 	                         	A                     	                       	F                 	                           	                  	                           	               	                         	                       	A                      	                         	                    	                	C                           	                  	                	R                      	                   	F                  	C                    	                     	F                           	R                      	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Maestrichtian    	                 	NC23              	              	119	 738	C	 24	R	 1	  24.00	    409.1400	Wei      	Nannofossils                                 	F              	P                 	                    	                     	F                       	                       	                     	R                  	                	C                          	R                      	                    	                        	                  	R                	R                        	C                     	                       	                  	                           	                  	                           	               	                         	                       	A                      	                         	                    	                	C                           	                  	                	F                      	                   	F                  	C                    	R                    	R                           	F                      	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC19B             	NC22          	119	 738	C	 24	R	 2	  64.00	    411.0400	Wei      	Nannofossils                                 	R              	P                 	R                   	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	R                        	C                     	                       	                  	                           	                  	                           	               	A                        	                       	                       	                         	                    	F               	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC19B             	NC22          	119	 738	C	 24	R	CC	  14.00	    413.3900	Wei      	Nannofossils                                 	F              	M                 	R                   	F                    	F                       	                       	                     	F                  	                	R                          	R                      	                    	                        	                  	F                	R                        	C                     	                       	R                 	R                          	                  	                           	               	A                        	                       	A                      	                         	R                   	C               	C                           	                  	                	                       	F                  	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 25	R	 3	 134.00	    422.9400	Wei      	Nannofossils                                 	R              	P                 	R                   	                     	                        	                       	                     	R                  	                	R                          	                       	R                   	                        	                  	                 	R                        	R                     	                       	R                 	R                          	                  	                           	               	R                        	                       	R                      	                         	                    	                	R                           	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 25	R	CC	  15.00	    424.0100	Wei      	Nannofossils                                 	F              	M                 	R                   	                     	F                       	                       	                     	C                  	                	                           	                       	                    	R                       	                  	F                	R                        	C                     	                       	R                 	R                          	                  	                           	R              	C                        	R                      	A                      	                         	R                   	R               	F                           	F                 	                	                       	R                  	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 26	R	 1	  97.00	    429.1700	Wei      	Nannofossils                                 	R              	P                 	R                   	                     	R                       	                       	                     	R                  	                	                           	R                      	                    	                        	                  	                 	                         	R                     	                       	R                 	R                          	                  	                           	               	R                        	                       	R                      	                         	                    	R               	F                           	R                 	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 26	R	 2	  97.00	    430.6700	Wei      	Nannofossils                                 	R              	P                 	R                   	                     	                        	                       	                     	R                  	                	                           	                       	                    	R                       	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	R                        	                       	R                      	R                        	R                   	                	R                           	R                 	R               	R                      	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 26	R	 3	  97.00	    432.1700	Wei      	Nannofossils                                 	F              	P                 	F                   	                     	                        	                       	                     	F                  	                	                           	                       	                    	                        	                  	                 	                         	C                     	                       	R                 	                           	                  	                           	               	A                        	                       	C                      	                         	F                   	                	C                           	F                 	R               	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Campanian        	Maestrichtian    	NC18              	NC19A         	119	 738	C	 26	R	CC	  31.00	    432.5900	Wei      	Nannofossils                                 	F              	P                 	R                   	                     	                        	                       	                     	R                  	                	R                          	                       	                    	                        	                  	                 	                         	F                     	                       	R                 	R                          	                  	                           	               	C                        	                       	A                      	                         	R                   	                	R                           	R                 	F               	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Santonian        	                 	NC16              	NC17          	119	 738	C	 27	R	 2	  22.00	    439.6200	Wei      	Nannofossils                                 	R              	P                 	                    	                     	                        	                       	                     	R                  	                	R                          	                       	                    	                        	                  	                 	                         	R                     	                       	R                 	                           	                  	                           	               	R                        	R                      	R                      	                         	R                   	                	                            	R                 	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Santonian        	                 	NC16              	NC17          	119	 738	C	 27	R	 3	  21.00	    441.1100	Wei      	Nannofossils                                 	R              	P                 	                    	                     	                        	                       	                     	R                  	                	                           	                       	                    	                        	                  	                 	                         	R                     	                       	R                 	R                          	                  	                           	               	R                        	R                      	R                      	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Santonian        	                 	NC16              	NC17          	119	 738	C	 27	R	 4	  21.00	    442.6100	Wei      	Nannofossils                                 	F              	P                 	F                   	                     	                        	                       	                     	A                  	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	A                 	F                          	                  	                           	               	F                        	R                      	C                      	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	                   	                        	            	                 	                       	           	                  	                       	                    	                     	                    	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.
