Exp,Hole,Core,Type,Section,Top Depth [m],Foraminferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina eamesi,Globigerina falconensis,Globigerinella sp.,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinoides ruber,Globigerinopsis obesa,Globoconella conomiozea,Globoconella explicationis,Globoconella inflata,Globoconella miotumida,Globoconella puncticulata,Globoconella puncticuloides,Globoconella sphericomiozea,Hirsutella scitula,Hirsutella panda,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Neogloboquadrina dutertrei,Orbulina universa,Paragloborotalia mayeri s.l.,Tenuitella sp.,Truncorotalia crassaformis,Truncorotalia juanai,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobigerina sp.,Zeaglobierina druryi,Zeaglobierina woodi,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Shell fragments,Micro-mollusks,Baranacle fragments,Bryozoan fragments,Remarks,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,85,H,CC,736.41,G,A,51,X,X,,,,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,,F,,,F,,,,,U1351,,,,,317-U1351B-85H-CC-nan,8effd5aa7282b79d1c0e8581a7699268
317,B,86,X,CC,737.59,G,C,20,X,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,F,,,,,U1351,,,,,317-U1351B-86X-CC-nan,c3d3f5b1265c1c844445e3ba6f49d452
317,B,87,X,CC,745.30,G,A,24,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,A,,,,,U1351,,,,,317-U1351B-87X-CC-nan,d5b18ada7a442d38d4b2a8250be09acd
317,B,88,X,CC,757.33,M,C,23,X,X,,,,,,,,,,,,X,,,,,,cf.,,X,,,,,,,,,,,F,,F,,,,,,U1351,,,,,317-U1351B-88X-CC-nan,31f7b3e817412e3c5e845ba1654282af
317,B,89,X,CC,766.94,G,A,38,X,X,,,,,,,,,,,,X,,,,,,X,,X,,X,,,,,,,cf.,,R,,R,F,,,,,U1351,,,,,317-U1351B-89X-CC-nan,7848c32afc66ff1a745c6eef6044001a
317,B,90,X,CC,778.52,M,A,31,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,R,,,,,U1351,,,,,317-U1351B-90X-CC-nan,9b638e0f13797212626def7043f054bf
317,B,91,X,CC,784.04,M,F,50,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,R,,R,,,,,,U1351,,,,,317-U1351B-91X-CC-nan,bfacbd8021d3d8dc5e9aa1219a14dc71
317,B,92,X,CC,796.33,M,A,23,X,X,,,,,,,,,,,,X,,,,,,X,,X,,,,,,,,,,,R,,R,F,,,,,U1351,,,,,317-U1351B-92X-CC-nan,7b5c95ce416637b508ad63570b8fbbb4
317,B,93,X,CC,812.51,M,C,26,X,X,,,,,,,,,,,,X,,,,,,X,,,,,,,X,,,,,,R,,,,,,,,U1351,,,,,317-U1351B-93X-CC-nan,6bc07c775ee41db9a4b335fd5d113f98
317,B,94,X,CC,819.12,M,C,54,X,X,,,,,,,,,X,,,X,,,,,,X,,,,,,,,,,,,,R,,R,,,,,,U1351,,,,,317-U1351B-94X-CC-nan,dff982d6d2bdfd176e514e74ce019478
317,B,95,X,CC,822.69,M,C,26,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,?,,,,,,,,,,U1351,,,,,317-U1351B-95X-CC-nan,f499779cf2b82b688c9b897d50f38b20
317,B,96,X,CC,832.15,M,C,42,X,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,U1351,,,,,317-U1351B-96X-CC-nan,ad099d0067dcf80e927eb403f0e1c245
317,B,97,X,CC,846.43,M,C,68,X,,,,,,,,,,,,,,,X,,,,,,X,,,,,cf.,,X,,,,,R,,,,,,,U1351,,,,,317-U1351B-97X-CC-nan,1741e15de618a288948d2583f04c6abc
317,B,98,X,CC,851.64,P,C,28,X,X,,,,,,,,,,,,,,X,,,,X,,X,,,,,,,,,,,R,,F,,,,,,U1351,,,,,317-U1351B-98X-CC-nan,a3d5d0eca74cf33f668cc2ebb6f8a72d
317,B,99,X,CC,861.39,M,A,17,X,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,U1351,,,,,317-U1351B-99X-CC-nan,da52d557e5ffc7b0e16d9bdd943feeec
317,B,100,X,CC,877.62,M,A,46,X,X,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,X,,,,R,R,,,,,,,U1351,,,,,317-U1351B-100X-CC-nan,3dad48559c3f4fce60f70d05b06682ca
317,B,101,X,CC,882.55,G,A,59,,X,,,,,,,,X,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,U1351,,,,,317-U1351B-101X-CC-nan,21af50d5759a1acc37015334f4ce8578
