Expedition,Hole,Core,Core type,Section,Half,Top [cm],Bottom [cm],Top depth [CSF m],Preservation,Group abundance,REMARKS,Braarudosphaera bigelowiI,Braarudosphaera sp.,Calcidiscus leptoporus,Calcidiscus leptoporus (10-11 µm),Calcidiscus tropicus,Calcidiscus tropicus (>10 µm),Catinaster mexicanus,Ceratolithus cristatus,Chiasmolithus altus,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus f. braarudii,Coccolithus streckeri,Crenalithus doronicoides,Cricolithus jonesii,Cyclicargolithus abisectus (10-11 μm),Cyclicargolithus abisectus (>11 μm),Cyclicargolithus floridanus,Dictyococcites antarcticus,Dictyococcites bisectus,Dictyococcites productellus (<3 μm),Dictyococcites productellus (3-5 μm),Dictyococcites scripsae,Dictyococcites stavensis (10-14 μm),Discoaster deflandrei,Discoaster sp.,Emiliania huxleyi,Emiliania pujosae,Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 μm),Gephyrocapsa caribbeanica (4-5.5 μm),Gephyrocapsa caribbeanica (5.5-6.5 μm),Gephyrocapsa crassipons,Gephryocapsa ericsonii,Gephyrocapsa oceanica (3-4 μm),Gephyrocapsa oceanica (4-5.5 μm),Gephyrocapsa oceanica (5.5--6.5 μm),Gephyrocapsa omega,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera inversa,Helicosphaera omanica,Helicosphaera cf. sellii,Helicosphaera sellii,Helicosphaera vedderi,Helicosphaera wallichii,Minylitha convalis,Pontosphaera discopora,Pontosphaera japonIca,Pontosphaera multipora,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Pseudoemiliania pacifica,Pseudoemiliania sp.,Pyrociclus sp.,Rhabdosphaera procera,Reticulofenestra ampla,Reticulofenestra daviesi,Reticulofenestra dictyoda,Reticulofenestra filewiczii,Reticulofenestra gelida (8-10 µm),Reticulofenestra gelida (>10 μm),Reticulofenestra haqii (<3 μm),Reticulofenestra haqii (3-5 μm),Reticulofenestra minuta (<3 μm),Reticulofenestra minutula,Reticulofenestra minutula (circular),Reticulofenestra pseudoumbilicus (8-10 μm),Reticulofenestra pseudoumbilicus (>10 μm),Reticulofenestra reticulata,Reticulofenestra umbilicus (10-14 µm),Reticulofenestra umbilicus (>14 µm),Scyphosphaera apsteinii.,Scyphosphaera spp.,Sphenolithus abies,Sphenolithus moriformis,Syracosphaera spp.,Thoracosphaera spp.,Umbilicosphaera cricota,Umbilicosphaera jafari,Umbilicosphaera sibogae,Umbilicosphaera sp.,
317,U1354B,12,H,CC,,,,62.44 ,G,F,NN19,,,,,,,,,,,,F,F,,,,,,,P,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,P,,R,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,
317,U1354B,13,H,CC,,,,70.40 ,G,F,NN19,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,C,,,,,,P,,,,,,,,,R,P,,R,C,C,,,,,,P,,P,,,F,,F,,,,,,,P,,,,,F,,,,,
317,U1354B,14,H,CC,,,,73.56 ,P,R,NN19,,,,,,,,,,,,,,,F,,,,R,,,,,,,,,,,,F,,,C,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,R,F,R,,,,,,,,,,,,,,,,,
317,U1354B,15,H,1,W,39,40,73.89 ,M,C,NN19,,,R,,R,,,,,,,,, ,R,,,,,R,,,R,,,,,,,F,,,,,,,,F,,F,,,,,,,,,R,R,,P,F,C,,,,,,P,,,,,,C,F,,,,,,P,,,,,,C,,,,,
317,U1354B,15,H,CC,,,,77.25 ,G,F,CAVED,,,F,,F,,,,,,,,,P,,,,,,P,,,,,,,,,,F,,,,C,,,,,,,,,,,,,,,R,,,P,C,F,,,,,,R,,,,,F,C,,,,P,,,,,,,,,,,,,,
317,U1354C,2,H,CC,,,,72.57 ,M,F,NN19,R,,F,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,C,,,,,,R,,,,,,,,,,,,R,C,F,R,P,,,,R,,R,,,F,F,R,,,,,,,,,,,R,,,,,,
317,U1354C,3,H,CC,,,,78.13 ,M,F,NN19,,,F,,,,,,,,,,,,,,,,P,,,,P,,P,,,,,,,,,C,,,,,,R,,,,,,,,,,F,,R,C,F,,,,,,R,,P,,,F,C,,,,,,,,,,,,,,,,,,
317,U1354C,4,H,CC,,,,84.37 ,M,F,NN19,R,,F,,F,,,,,,,F,R,,,,,,P,,,,,,,,,,,,C,F,F,C,,,F,R,,F,,,,R,,,,,R,P,,,R,,,R,,,,P,,P,,,,,R,,P,,,,,P,,,,,F,,,,,
317,U1354C,5,H,CC,,,,86.84 ,M,F,NN19,,,F,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,C,,,C,,F,R,,,R,,,,R,R,,,,P,,,,,,,,,,,P,,,,,F,F,,,,,,,,,,,,,F,,,,,
317,U1354C,6,H,CC,,,,97.76 ,M,C,NN19,,,R,,,,,,,,,C,F,R,,,,,,,,,,,,,,,,,C,R,,C,F,,R,,,R,,,,R,,,,,,,,,,,,,,P,,,,P,,,,C,,,,,,,,,,,,,,,,,,
