Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinopsis obesa,Globoconella inflata,Globoconella puncticuloides,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita sp.,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,76,X,CC,394.23,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-76X-CC-nan,d31c13e8daa0dc9f99548e990dc35463
317,B,78,X,CC,413.77,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-78X-CC-nan,003b8aa60aff001ce69f9257a3842468
317,B,79,X,CC,423.24,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-79X-CC-nan,6a194d0f07f33ad2041e6ee6fa10415f
317,B,80,X,CC,432.63,G,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,No planktics,U1353,,,,,317-U1353B-80X-CC-nan,e82cacb8154c8868c3c8f4c3b0ce1b81
317,B,81,X,CC,442.22,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-81X-CC-nan,e802786c7b37867ffd88b88b5355e660
317,B,83,X,CC,461.26,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-83X-CC-nan,ffb9836de5dc27af53ea52ba2171a48a
317,B,85,X,CC,480.64,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-85X-CC-nan,976697435978296165ac2f3d1414ccf4
317,B,86,X,CC,490.21,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-86X-CC-nan,d9accd6d13b463354571245afdea8213
317,B,87,X,CC,500.16,M,C,,,,,,,,,,,,,,,,,,,,,,R,R,,,,C,,No planktics,U1353,,,,,317-U1353B-87X-CC-nan,55bf2b3c142559ae3f5a2cbfc76062b0
317,B,88,X,CC,510.52,G,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,D,,No planktics,U1353,,,,,317-U1353B-88X-CC-nan,1c8c52d8dc93eaaa22f7e5770776a258
