Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius magnicrassus	Toweius callosus	Sphenolithus radians	Reticulofenestra pseudogammation	Reticulofenestra floridana	Neococcolithes dubius	Nannotetrina cristata	Ericsonia formosa	Discoaster sublodoensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster gemmifer	Discoaster cf. saipanensis	Discoaster barbadiensis	Coccolithus pelagicus	Chiphragmalithus calathus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster binodosus	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra samodurovii	Discoaster distinctus	Discoaster cf. septemradiatus	Discoaster sp.	Discoaster saipanensis	Chiasmolithus sp.	Nannotetrina fulgens	Discoaster cf. sublodoensis	Chiasmolithus modestus	Reticulofenestra hillae	Chiasmolithus titus	Pontosphaera duocava	Markalius inversus	Blackites tenuis	Discoaster multiradiatus	Cruciplacolithus delus	Chiasmolithus gigas	Chiasmolithus expansus	Neococcolithes sp.	Cyclicargolithus floridanus	Discoaster bifax	Reticulofenestra reticulata	Reticulofenestra bisecta	Rhabdosphaera sp.	Reticulofenestra spp.	Discoaster spp.	Reticulofenestra umbilica	Neococcolithes minutus	Isthmolithus recurvus	Isthmolithus recurvus s.s.	Dictyococcites spp.	Coccolithus eopelagicus	Reticulofenestra hampdenensis	Sphenolithus sp. cf. primus	Chiasmolithus medius	Discoaster tanii nodifer	Chiasmolithus oamaruensis	Reticulofenestra oamaruensis	Dictyococcites bisectus	Discoaster tanii	Isthmolithus recurvus triplus	Reticulofenestra minutula	Reticulofenestra perplexa	Pyrocyclus sp.	Discoaster deflandrei	Coronocyclus sp.	Reticulofenestra pseudoumbilica	Placolith (small)	Calcidiscus macintyrei	Reticulofenestra spp. (small)	Reticulofenestra gelida	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa (small)	Calcidiscus leptoporus	Comment

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 77	X	 1	  51.00	    710.0100	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	C                       	                 	                     	               	A                        	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 77	X	 3	  73.00	    713.2300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	F                       	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 77	X	 5	   2.00	    715.5200	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	F                      	F                            	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 77	X	 5	  74.00	    716.2400	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	F                       	                 	                     	               	A                        	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 78	X	CC	  32.00	    727.3600	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	R                    	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 79	X	 3	 114.00	    732.9400	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	R                       	R                        	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 79	X	 5	  90.00	    735.7000	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	A                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	R                     	                     	                          	                   	                       	                             	                           	F                   	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 79	X	 5	 113.00	    735.9300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	C                         	R                    	                     	?                	                       	                    	                   	                   	                          	F                      	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	R                     	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	F                            	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 79	X	 7	  51.00	    737.8100	Olafsson 	Nannofossils                                 	R              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	+                	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	+                    	+              	                         	                      	                     	                          	                   	                       	                             	R                          	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 80	X	 1	  53.00	    738.9300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	F                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	R                     	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	F                            	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 80	X	 4	 119.00	    744.0900	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	F                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 80	X	 5	  75.00	    745.1500	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	                   	                   	                          	R                      	                     	                         	R                    	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	C                       	                 	                     	               	A                        	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 81	X	 1	 138.00	    749.4800	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	R                   	                                	                          	                     	cf                   	F                	                       	R                   	                   	                   	                          	R                      	                     	                         	                     	                     	                       	                         	                    	R                      	                    	                            	R                    	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	R                     	                   	R                     	                  	                           	R               	                           	F                       	                 	                     	               	A                        	R                     	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 81	X	 2	 138.00	    750.9800	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	R                      	                     	                         	R                    	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	R                   	                           	                      	                       	                   	                    	R                 	                	                        	                      	                   	                      	                  	                           	R               	                           	                        	                 	                     	               	A                        	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 81	X	 3	 110.00	    752.2000	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	                   	                   	                          	R                      	                     	                         	R                    	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	A                       	                 	                     	               	                         	                      	                     	                          	                   	R                      	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 81	X	 4	  50.00	    753.1000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	R                   	                   	                   	                          	R                      	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	R                      	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	A                       	                 	                     	               	                         	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 81	X	CC	  17.00	    754.3100	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	F                	                       	                    	                   	                   	                          	R                      	C                    	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	R                     	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	R                 	C                          	                	                           	                        	                 	                     	               	R                        	                      	                     	R                         	C                  	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  SR	                 	Eocene           	                  	              	145	 884	B	 81	X	CC	  39.00	    754.5300	Olafsson 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	                                	                          	                     	                     	F                	                       	                    	                   	                   	                          	R                      	F                    	                         	                     	R                    	                       	                         	                    	R                      	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	R                 	                	                        	                      	                   	                      	F                 	C                          	                	                           	                        	                 	C                    	R              	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 82	X	 1	  52.00	    758.2200	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	R                   	                   	                   	                          	                       	                     	                         	R                    	                     	                       	                         	                    	                       	A                   	                            	R                    	                             	              	                      	                 	R                   	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 82	X	 2	 105.00	    760.2500	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	R                         	R                    	cf                   	R                	                       	R                   	R                  	                   	                          	R                      	                     	                         	R                    	                     	                       	                         	                    	                       	A                   	                            	                     	                             	              	                      	                 	R                   	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	R                       	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Early Oligocene  	                  	              	145	 884	B	 82	X	 3	 107.00	    761.7700	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	R                   	                   	                   	                          	R                      	                     	                         	                     	                     	                       	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	R                    	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 82	X	 4	  79.00	    762.9900	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	                    	                   	                   	                          	R                      	                     	                         	                     	                     	                       	                         	                    	                       	A                   	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	R                     	                   	                      	                  	                           	                	                           	                        	                 	                     	               	F                        	R                     	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638
