Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Spiroloculina pusilla	Quinqueloculina oblonga	Pleurostomella acuta	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina soldanii	Fontbotia wuellerstorfi	Epistominella exigua	Eggerella bradyi	Cibicidoides cicatricosus	Sigmoilina schlumbergeri	Pyrgo spp.	Cibicidoides kullenbergi	Pullenia quinqueloba	Pullenia bulloides	Nodosaria holoserica	Gyroidina lamarckiana	Globocassidulina subglobosa	Agglutinated sp. 1	Pullenia salisburyi	Chilostomella argentae	Stilostomella sp.	Valvulineria sp.	Laticarinina pauperata	Agglutinated sp. 2	Triloculina tricarinata	Spirosigmoilinella sp.	Agglutinated sp. 3	Rosalina sp.	Ehrenbergina trigona	Cribrostomoides sp.	Quinqueloculina venusta	Bolivina sp.	Bulimina marginata	Bulimina alazanensis	Oridorsalis spp.	Siphonodosaria gracillima	Laryngosigma hyalascidia	Hoeglundina elegans	Fursenkoina spp.	Karreriella bradyi	Globobulimina auriculata	Sphaeroidina bulloides	Gyroidina zealandica	Silicosigmoilina sp.	Nodosariidae (taxa)	Stilostomella lepidula	Trifarina angulosa	Uvigerina proboscidea	Comment
  SR	                 	                 	                  	              	145	 883	B	 16	H	 2	  15.00	    142.5500	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	                     	7                      	18                  	4                     	44                  	                  	               	                  	32                     	                    	11              	                         	                        	2         	                        	7                   	                  	                    	2                    	8                          	1                 	                   	2                     	1                	3               	                      	                  	                       	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 145; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 2	  50.00	    142.9000	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	2                    	14                     	19                  	4                     	37                  	                  	               	                  	36                     	1                   	24              	                         	                        	1         	                        	15                  	                  	                    	8                    	4                          	7                 	                   	8                     	                 	                	6                     	                  	                       	1                     	1                 	            	1                   	                   	1                      	            	1                 	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 192; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 2	 135.00	    143.7500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	2                    	31                     	15                  	7                     	12                  	                  	               	                  	13                     	1                   	                	                         	                        	7         	                        	7                   	                  	                    	3                    	                           	                  	                   	                      	                 	                	2                     	                  	                       	                      	1                 	            	17                  	                   	1                      	1           	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 120; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 3	  25.00	    144.1500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	41                     	5                   	4                     	15                  	                  	               	                  	19                     	                    	20              	                         	                        	1         	                        	2                   	                  	                    	4                    	                           	                  	                   	                      	                 	                	                      	                  	                       	                      	8                 	            	                    	                   	1                      	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 120; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 3	  65.00	    144.5500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	29                     	14                  	14                    	36                  	1                 	1              	                  	36                     	2                   	15              	                         	                        	4         	                        	6                   	                  	                    	3                    	                           	                  	                   	                      	                 	6               	3                     	                  	                       	                      	4                 	9           	2                   	1                  	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 185; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 3	 101.00	    144.9100	Ishman   	Benthic Foraminifers                         	               	M                 	4                  	2                    	27                     	7                   	12                    	16                  	                  	               	                  	21                     	                    	16              	                         	                        	2         	                        	3                   	1                 	                    	6                    	                           	                  	2                  	2                     	                 	                	1                     	                  	                       	                      	1                 	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 123; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 3	 145.00	    145.3500	Ishman   	Benthic Foraminifers                         	               	M                 	4                  	3                    	16                     	11                  	13                    	14                  	                  	               	                  	26                     	                    	                	                         	                        	          	4                       	7                   	1                 	                    	8                    	1                          	                  	2                  	2                     	                 	20              	                      	                  	2                      	                      	3                 	            	1                   	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 138; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 4	  35.00	    145.7500	Ishman   	Benthic Foraminifers                         	               	M                 	8                  	                     	25                     	4                   	9                     	13                  	6                 	6              	2                 	32                     	1                   	14              	                         	                        	          	                        	11                  	                  	                    	4                    	                           	                  	2                  	3                     	                 	26              	1                     	                  	1                      	                      	                  	            	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 162; from Leg 145 SR; Ch 8; Table 3; pp 144-145

  SR	                 	                 	                  	              	145	 883	B	 16	H	 4	 111.00	    146.5100	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                     	42                     	7                   	11                    	12                  	2                 	2              	                  	20                     	2                   	12              	                         	                        	          	                        	12                  	                  	                    	11                   	                           	                  	                   	2                     	                 	1               	                      	4                 	                       	                      	4                 	9           	                    	                   	                       	            	                  	                    	                	                         	                        	                   	                	                  	                        	                      	                    	                    	                   	                      	                  	                     	,Total count = 151; from Leg 145 SR; Ch 8; Table 3; pp 144-145

