Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verneuilinidae taxa,Rotaliid taxa (large),Miliolids species,Miliolid taxa (large),Discocyclina sp. cf. D. barkeri,Planorbulina sp.,Discorbid taxa,Alveolina sp.,Rotaliid taxa,Quinqueloculina spp.,Textulariid taxa,Asterocyclina sp.,Foraminifers (encrusting),Alveolina sp. (flosculine),Valvulinidae taxa,Nummulites sp.,Arenobulimina sp.,Nummulites sp. cf. N. deserti,Istriloculina sp.,Alveolina (Glomalveolina) sp.,Alveolina sp. 1,Pseudochrysalidina sp.,Alveolina (Alveolina) sp. aff. A. ilerdensis,Alveolina (Alveolina) sp. 3,Alveolina (Alveolina) ilerdensis,Alveolina sp. aff. A. sakaryaensis,Alveolina (Alveolina) sp. 2,Praehapydionina sp.,Alveolina (Alveolina) pinguis,Nubecularia sp.,Buliminid and Bolivinid taxa,Nummulites nitidus group,Agglutinated spp. (indeterminate),Coleiconus elongatus,Nummulites sp. cf. N. laevigatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,144, 871,C, 31,R, 1,   0.00,    412.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,C                ,                     ,                               ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,144, 871,C, 32,R, 1,   0.00,    422.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,                   ,                     ,A                ,                     ,F                              ,                ,              ,C            ,F            ,F                   ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,144, 871,C, 32,R, 1,   9.00,    422.5900,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                  ,A                    ,A                ,A                    ,A                              ,?               ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,144, 871,C, 32,R, 1,  16.00,    422.6600,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,C                  ,                     ,VA               ,F                    ,A                              ,R               ,F             ,A            ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,144, 871,C, 32,R, 1,  43.00,    422.9300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,F                  ,A                    ,A                ,C                    ,C                              ,                ,              ,             ,             ,                    ,                ,                 ,                         ,                          ,                 ,              ,                 ,                             ,                 ,                             ,               ,                      ,                                            ,                           ,                                ,                                  ,                           ,                   ,                             ,               ,                            ,                        ,                                 ,                    ,                                ,from ODP Leg 144 SR; Ch 6: Table 1; p 128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
