Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella simplex	Hedbergella planispira	Hedbergella delrioensis	Morozovella spinulosa	Globigerinoides higginsi	Acarinina spp.	Acarinina bullbrooki	Truncorotaloides rohri	Globorotaloides spp.	Globorotalia cerroazulensis frontosa	Globigerina hagni	Catapsydrax spp.	Acarinina pentacamerata	Acarinina broedermanni	Morozovella aragonensis	Globigerinatheka index	Acarinina pseudotopilensis	Globigerina senni	Morozovella spp.	Pseudohastigerina micra	Globorotaloides suteri	Globigerina linaperta	Globigerina ouachitaensis	Globigerina eocaena	Truncorotaloides topilensis	Globorotalia opima nana	Globorotalia cerroazulensis	Catapsydrax dissimilis	Globigerina tripartita	Globigerina praebulloides	Globigerina ampliapertura	Globigerina spp.	Globorotalia cerroazulensis cerroazulensis	Globigerina yeguaensis	Hantkenina spp.	Globoquadrina venezuelana	Globigerina cryptomphala	Marginotruncana spp.	Globorotalia increbescens	Globorotalia cocoaensis/cunialensis transition	Catapsydrax unicavus	Globigerina ciperoensis ciperoensis	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis	Globigerina sellii	Globorotalia opima opima	Globorotalia opima nana/opima opima transition	Globorotalia obesa	Globoquadrina globularis	Globorotalia siakensis	Globigerina ciperoensis angulisuturalis	Globorotalia mayeri	Globoquadrina spp.	Globorotalia opima nana/continuosa transition	Globigerina binaiensis	Globorotalia fohsi peripheroronda	Globigerina gortanii	Globigerinoides primordius	Globoquadrina altispira altispira	Hastigerina praesiphonifera	Globorotalia praescitula	Globoquadrina dehiscens dehiscens	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina woodi woodi	Catapsydrax stainforthi	Globigerinoides spp.	Praeorbulina transitoria	Globorotalia miozea/conoidea	Globigerina bulloides	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia merotumida	Sphaeroidinellopsis seminulina	Globorotalia crassaformis ronda	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Orbulina bilobata	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Hastigerina siphonifera	Globorotalia scitula	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globigerinoides ruber (white)	Globigerinoides elongatus/obliquus extremus	Globigerinoides conglobatus	Globigerina decoraperta	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus obliquus	Beella praedigitata	Globorotalia triangula	Globorotalia inflata	Neogloboquadrina atlantica	Globorotalia truncatulinoides	Globorotalia tosaensis	Hastigerina aequilateralis	Globigerina megastoma cariacoensis	Neogloboquadrina humerosa	Beella digitata	Pulleniatina obliquiloculata	Pulleniatina finalis	Globorotalia crassaformis hessi	Pulleniatina primalis	Rotalipora spp.	Comment

  SR	Late Oligocene   	Early Miocene    	N4                	N5            	149	 897	C	 35	R	CC	  15.00	    387.5200	Gervais  	Planktonic Foraminifers                      	A              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	R                        	                        	                    	                         	                                              	R                   	                                   	R                                        	                       	                  	                        	                                              	                  	                        	                      	                                       	F                  	                  	                                             	                      	                                 	                    	R                         	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 2. page 171.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 36	R	 5	 131.00	    395.4100	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	R                        	                        	                    	                         	                                              	R                   	                                   	                                         	                       	                  	                        	                                              	                  	                        	R                     	                                       	R                  	                  	                                             	                      	R                                	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 37	R	 6	  30.00	    405.1000	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	R               	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	                   	                           	                       	                           	R                     	                      	R                        	                         	R               	                                          	                      	               	R                        	                        	                    	                         	                                              	                    	                                   	R                                        	                       	                  	                        	                                              	                  	                        	                      	R                                      	R                  	                  	R                                            	                      	R                                	?                   	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 38	R	 3	  85.00	    411.2500	Gervais  	Planktonic Foraminifers                      	R              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	R                                        	                       	                  	                        	                                              	                  	                        	R                     	                                       	                   	                  	R                                            	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 39	R	 3	 130.00	    421.4000	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	R               	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	                   	                           	                       	                           	R                     	                      	R                        	                         	R               	                                          	                      	               	R                        	                        	                    	                         	                                              	R                   	R                                  	R                                        	                       	                  	                        	                                              	                  	                        	                      	R                                      	R                  	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 40	R	 3	  63.00	    430.3300	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	R               	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	R                        	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	R                     	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 41	R	 1	 102.00	    437.4200	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 42	R	 2	  32.00	    447.8200	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	R               	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	                   	                           	R                      	                           	R                     	                      	R                        	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	R                                        	                       	                  	                        	                                              	                  	                        	                      	                                       	R                  	                  	R                                            	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 42	R	 3	  63.00	    449.6300	Gervais  	Planktonic Foraminifers                      	R              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	R                      	                           	                      	R                     	R                        	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	R                  	R                 	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Oligocene   	                 	P22               	              	149	 897	C	 43	R	 4	  82.00	    460.9200	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	R                   	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	R                      	                           	                      	                      	R                        	                         	R               	                                          	                      	               	R                        	                        	                    	                         	                                              	                    	R                                  	                                         	                       	                  	                        	                                              	                  	R                       	R                     	R                                      	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Oligocene  	Late Oligocene   	P21               	              	149	 897	C	 43	R	CC	   6.00	    462.7100	Gervais  	Planktonic Foraminifers                      	A              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	R                      	                           	R                     	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	F                                  	                                         	                       	                  	R                       	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Oligocene  	Late Oligocene   	P21               	              	149	 897	C	 44	R	 1	 129.00	    466.5900	Gervais  	Planktonic Foraminifers                      	F              	G                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	                   	                           	F                      	                           	R                     	R                     	F                        	                         	R               	                                          	                      	               	                         	                        	                    	                         	                                              	                    	R                                  	R                                        	                       	R                 	R                       	R                                             	R                 	R                       	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Oligocene  	                 	P20               	              	149	 897	C	 44	R	 2	   0.00	    466.8000	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	R                      	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	R                 	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Oligocene  	                 	P18               	P19           	149	 897	C	 45	R	 2	  86.00	    477.3600	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	r                    	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	R                      	                      	                     	                         	                   	                           	R                      	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	R                        	                                              	                    	R                                  	R                                        	R                      	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Oligocene  	                 	P18               	P19           	149	 897	C	 46	R	 2	  39.00	    486.4900	Gervais  	Planktonic Foraminifers                      	R              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	?                  	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.
