Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Whiteinella baltica,Ticinella roberti,Ticinella primula,Ticinella madecassiana,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Clavihedbergella simplex,Biticinella breggiensis,Ticinella raynaudi,Globigerinelloides bentonensis,Clavihedbergella subcretacea,Costellagerina libyca,Guembelitria cenomana,Globigerinelloides caseyi,Rotalipora cushmani,Whiteinella archaeocretacea,Rotalipora appenninica,Rotalipora brotzeni,Whiteinella inornata,Heterohelix globulosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Heterohelix reussi,Globotruncanella petaloidea,Globotruncanella havanensis,Rugoglobigerina rugosa,Heterohelix striata,Globotruncanita stuartiformis,Globotruncana bulloides,Globotruncana aegyptiaca,Rugotruncana subcircumnodifer,Gansserina gansseri,Contusotruncana fornicata,Rugoglobigerina hexacamerata,Globotruncana arca,Contusotruncana plummerae,Pseudotextularia elegans,Pseudotextularia deformis,Globotruncana linneiana,Globotruncanita stuarti,Globotruncanita conica,Abathomphalus mayaroensis,Subbotina triangularis,Morozovella velascoensis,Morozovella conicotruncata,Morozovella angulata,Morozovella aequa,Igorina pusilla,Igorina albeari,Subbotina velascoensis,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina soldadoensis,Acarinina coalingensis,Morozovella acuta,Globanomalina planoconica,Acarinina wilcoxensis,Subbotina patagonica,Pseudohastigerina naguewichiensis,Morozovella subbotinae,Morozovella occlusa,Morozovella gracilis,Morozovella edgari,Igorina tadjikistanensis,Morozovella marginodentata,Acarinina quetra,Igorina broedermanni,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella lensiformis,Morozovella formosa,Morozovella aragonensis,Subbotina inaequispira,Planorotalites pseudoscitulus,Planorotalites palmerae,Guembelitrioides higginsi,Globigerina lozanoi,Acarinina pentacamerata,Acarinina aspensis,Turborotalia griffinae,Muricoglobigerina senni,Acarinina pseudotopilensis,Acarinina bullbrooki,Morozovella spinulosa,Acarinina praetopilensis,Chiloguembelina cubensis,Globorotaloides suteri,Globigerina pseudovenezuelana,Dentoglobigerina galavisi,Catapsydrax unicavus,Comment
  IR,                 ,                 ,                  ,              ,207,1258,B, 50,R, 2, 119.00,    424.9300,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,P                  ,                 ,                 ,                      ,P                   ,P                     ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 50,R,CC,   0.00,    425.5900,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,P                  ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 51,R, 1, 134.00,    427.6400,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,P                     ,                       ,                        ,                       ,                  ,                              ,                            ,P                    ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 51,R, 3,  78.00,    429.7400,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                   ,P                ,P                ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,                            ,P                    ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 51,R,CC,   0.00,    430.5800,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,P                  ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 52,R, 2,  24.00,    433.2500,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,P                  ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 52,R,CC,  31.00,    435.3600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,P                  ,                 ,                 ,                      ,                    ,                      ,P                      ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,P                  ,P                          ,                      ,P                  ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 53,R, 3,   5.00,    438.6500,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,P                  ,                 ,                 ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,P                          ,P                     ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 53,R,CC,  13.00,    439.6200,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,P                  ,                 ,                 ,                      ,P                   ,P                     ,P                      ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,P                  ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 54,R, 3,  46.00,    444.8400,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                   ,                 ,                 ,                      ,P                   ,P                     ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 54,R,CC,  15.00,    445.2500,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                   ,                 ,                 ,                      ,                    ,                      ,P                      ,                        ,                       ,                  ,                              ,                            ,                     ,P                    ,P                        ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 55,R, 1,  51.00,    446.0100,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,P                     ,                       ,                        ,                       ,                  ,                              ,                            ,P                    ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 55,R, 2,  16.00,    446.7800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                   ,P                ,P                ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,                            ,P                    ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 55,R, 3,  20.00,    447.8900,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,P                ,P                ,                      ,+                   ,+                     ,                       ,P                       ,P                      ,                  ,P                             ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 55,R,CC,   0.00,    449.1000,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,                 ,                      ,                    ,                      ,                       ,P                       ,                       ,                  ,                              ,                            ,P                    ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 56,R, 1,  61.00,    451.8100,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                 ,P                ,                      ,                    ,                      ,                       ,                        ,P                      ,P                 ,P                             ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 56,R, 3,  25.00,    453.3600,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,P                ,P                ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,P                             ,P                           ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 56,R,CC,  10.00,    454.0500,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                   ,P                ,P                ,                      ,                    ,                      ,                       ,P                       ,                       ,P                 ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 57,R, 1,  24.00,    455.4400,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                 ,P                ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 57,R, 2,  41.00,    457.1100,forams   ,Planktonic Foraminifers                      ,R              ,G                 ,                   ,                 ,P                ,                      ,                    ,                      ,                       ,                        ,                       ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,B, 57,R,CC,  15.00,    458.9000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,P                  ,P                ,P                ,P                     ,P                   ,P                     ,P                      ,P                       ,P                      ,                  ,                              ,                            ,                     ,                     ,                         ,                   ,                           ,                      ,                   ,                    ,                     ,                          ,                                   ,                  ,                           ,                           ,                      ,                   ,                             ,                       ,                        ,                             ,                   ,                         ,                            ,                  ,                         ,                        ,                         ,                       ,                       ,                      ,                         ,                      ,                        ,                          ,                    ,                 ,               ,               ,                      ,                            ,                           ,                      ,                      ,                 ,                         ,                     ,                    ,                                 ,                      ,                   ,                    ,                  ,                        ,                          ,                ,                    ,                          ,                       ,                       ,                   ,                       ,                      ,                             ,                       ,                         ,                   ,                       ,                  ,                      ,                       ,                          ,                    ,                     ,                        ,                        ,                      ,                             ,                         ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
