Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Stephanogonia hanzawae,Pseudopyxilla directa,Ikebea tenuis,Chaetoceros spp. (resting spores),Thalassionema lineatum,Rhizosolenia miocenica,Rhizosolenia hebetata f. semispina,Rhaphoneis ossiformis,Proboscia alata,Denticulopsis hustedtii,Rhizosolenia norwegica,Pseudopyxilla rossica,Porosira glacialis,Nitzschia pseudocylindrica,Goniothecium tenue,Denticulopsis lauta,Actinocyclus ehrenbergii,Stephanopyxis spinossima,Proboscia praebarboi,Coscinodiscus norwegicus,Thalassiosira grunowii,Stellarima microtrias,Rhaphoneis paralellica,Mediaria splendida,Eucampia aff. balaustium,Dimerogramma cf. aff. dubium,Coscinodiscus asteromphalus,Thalassiosira yabei,Rhizosolenia praebarboi,Coscinodiscus yabei,Coscinodiscus plicatus,Pterotheca reticulata,Pseudopodosira simplex,Denticulopsis praedimorpha,Rhizosolenia hebetata f. hebetata,Actinocyclus ingens,Coscinodiscus marginatus,Nitzschia donahuensis,Thalassiosira aff. gravida,Nitzschia heteropolica,Pterotheca aculeifera,Thalassiosira nordenskioeldii,Synedra pulchella,Actinocyclus curvatulus,Nitzschia evenscens,Rhaphoneis margaritalimbata,Synedra miocenica,Pseudodimerogramma sp.,Xanthiopyxis sp.,Nitzschia aff. cylindrica,Cymatosira biharensis,Cestodiscus sp.,Nitzschia riedelia,Coscinodiscus lewisianus,Rhizosolenia styliformis,Hemiaulus polycystinorum,Coscinodiscus flexuosus,Rhizosolenia barboi,Proboscia barboi,Thalassiosira kryophila,Thalassiothrix miocenica,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira decipiens,Thalassiosira baldaufii,Thalassiosira convexa,Thalassiosira sp. a,Thalassiosira jacksonii,Thalassiosira gravida vegetative,Thalassiosira eccentrica,Thalassiosira aff. nordenskioeldii,Thalassiosira sp. c,Thalassionema nitzschioides,Thalassiosira zabellinae,Thalassiosira sp. 1,Thalassiosira nidulus,Nitzschia kanayensis,Nitzschia atlantica,Thalassiosira gravida spore,Coscinodiscus oculus-iridis,Rhizosolenia bergonii,Proboscia curvirostris,Thalassiosira trifulta,Thalassiosira anguste-lineata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 12,H, 6, 124.00,    111.0400,Koc      ,Diatoms                                      ,A              ,G                 ,R                   ,C                     ,                     ,             ,C                                ,A                     ,                      ,C                                 ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,F                       ,R                     ,R                    ,                      ,                  ,R                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,R                         ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 12,H, 7,  62.00,    111.9200,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,F                     ,                     ,             ,C                                ,A                     ,                      ,R                                 ,                     ,               ,                       ,                      ,                     ,R                 ,                          ,                  ,                   ,                        ,                        ,                    ,R                       ,R                     ,R                    ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,R                       ,                     ,                          ,                      ,                     ,                             ,                 ,R                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 12,H,CC,  25.00,    112.2200,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,+                     ,                     ,             ,C                                ,C                     ,                      ,                                  ,                     ,               ,+                      ,                      ,                     ,                  ,+                         ,+                 ,                   ,R                       ,                        ,                    ,+                       ,R                     ,R                    ,                      ,                  ,+                       ,                            ,                           ,                   ,                       ,                   ,+                     ,                     ,                      ,                          ,R                                ,                   ,F                       ,                     ,+                         ,                      ,                     ,                             ,                 ,                       ,+                  ,                           ,                 ,                      ,                ,                         ,+                    ,               ,                  ,                        ,R                       ,F                       ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 13,H, 4,  40.00,    116.7000,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,F                     ,                     ,C            ,C                                ,C                     ,                      ,F                                 ,                     ,               ,C                      ,                      ,                     ,R                 ,R                         ,                  ,                   ,                        ,                        ,                    ,F                       ,F                     ,R                    ,                      ,                  ,R                       ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,R                            ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,R                       ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 13,H, 6,  40.00,    119.7000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,R                    ,R            ,A                                ,A                     ,                      ,                                  ,                     ,               ,F                      ,                      ,                     ,R                 ,F                         ,                  ,                   ,                        ,A                       ,                    ,R                       ,F                     ,                     ,R                     ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,R                    ,R                     ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,F                    ,               ,                  ,R                       ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. hustedtii      ,              ,151, 907,A, 13,H,CC,  13.00,    121.7500,Koc      ,Diatoms                                      ,A              ,G                 ,A                   ,+                     ,                     ,             ,A                                ,A                     ,                      ,                                  ,                     ,R              ,+                      ,                      ,                     ,R                 ,+                         ,+                 ,                   ,                        ,+                       ,                    ,+                       ,R                     ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,                       ,                   ,+                     ,                     ,                      ,                          ,R                                ,                   ,                        ,                     ,+                         ,                      ,                     ,                             ,                 ,R                      ,+                  ,                           ,                 ,                      ,C               ,                         ,+                    ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 1,  39.00,    121.6900,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,F                     ,                     ,R            ,A                                ,A                     ,                      ,F                                 ,                     ,               ,A                      ,                      ,                     ,F                 ,R                         ,+                 ,                   ,F                       ,+                       ,F                   ,A                       ,F                     ,                     ,                      ,                  ,C                       ,R                           ,                           ,R                  ,+                      ,                   ,+                     ,                     ,                      ,                          ,                                 ,A                  ,R                       ,                     ,+                         ,                      ,                     ,F                            ,                 ,F                      ,+                  ,                           ,                 ,                      ,                ,                         ,F                    ,               ,F                 ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 2,  78.00,    123.5800,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,+                     ,R                    ,C            ,A                                ,A                     ,                      ,R                                 ,                     ,               ,+                      ,                      ,                     ,                  ,R                         ,+                 ,                   ,R                       ,+                       ,                    ,+                       ,R                     ,                     ,F                     ,                  ,R                       ,+                           ,R                          ,F                  ,+                      ,+                  ,+                     ,                     ,                      ,                          ,R                                ,                   ,                        ,                     ,R                         ,                      ,+                    ,R                            ,                 ,R                      ,+                  ,                           ,                 ,                      ,                ,                         ,+                    ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 3,  72.00,    125.0200,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,R                     ,                     ,F            ,A                                ,A                     ,                      ,                                  ,                     ,               ,C                      ,                      ,                     ,                  ,C                         ,+                 ,                   ,R                       ,+                       ,                    ,+                       ,F                     ,                     ,R                     ,                  ,R                       ,R                           ,R                          ,R                  ,+                      ,+                  ,+                     ,F                    ,                      ,                          ,R                                ,                   ,                        ,                     ,+                         ,                      ,+                    ,                             ,                 ,C                      ,+                  ,                           ,                 ,                      ,                ,                         ,+                    ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 4,  72.00,    126.5200,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,C                     ,                     ,C            ,A                                ,A                     ,R                     ,C                                 ,R                    ,               ,+                      ,                      ,R                    ,                  ,C                         ,+                 ,                   ,                        ,+                       ,                    ,+                       ,F                     ,R                    ,                      ,                  ,C                       ,C                           ,R                          ,R                  ,+                      ,+                  ,+                     ,R                    ,R                     ,                          ,                                 ,                   ,                        ,                     ,F                         ,                      ,+                    ,                             ,                 ,                       ,+                  ,R                          ,                 ,                      ,                ,                         ,+                    ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 5,  78.00,    128.0800,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,F                     ,                     ,F            ,A                                ,A                     ,R                     ,                                  ,                     ,F              ,A                      ,                      ,                     ,R                 ,F                         ,                  ,                   ,                        ,F                       ,C                   ,R                       ,R                     ,                     ,                      ,                  ,R                       ,                            ,                           ,R                  ,                       ,                   ,                      ,F                    ,                      ,                          ,                                 ,R                  ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,F                    ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H, 6,  73.00,    129.5300,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,+                     ,                     ,             ,A                                ,A                     ,                      ,F                                 ,                     ,               ,+                      ,                      ,                     ,F                 ,F                         ,+                 ,                   ,                        ,+                       ,F                   ,+                       ,F                     ,                     ,                      ,                  ,F                       ,+                           ,                           ,                   ,+                      ,+                  ,+                     ,F                    ,                      ,                          ,                                 ,+                  ,                        ,                     ,C                         ,                      ,+                    ,                             ,                 ,                       ,+                  ,R                          ,F                ,F                     ,                ,R                        ,+                    ,R              ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,P. praebarboi     ,              ,151, 907,A, 14,H,CC,  21.00,    131.1900,Koc      ,Diatoms                                      ,A              ,G                 ,C                   ,C                     ,                     ,C            ,A                                ,A                     ,                      ,                                  ,                     ,F              ,+                      ,                      ,                     ,C                 ,+                         ,+                 ,                   ,R                       ,+                       ,C                   ,+                       ,F                     ,                     ,                      ,R                 ,+                       ,R                           ,                           ,R                  ,+                      ,+                  ,+                     ,F                    ,                      ,                          ,                                 ,+                  ,                        ,                     ,+                         ,                      ,+                    ,                             ,                 ,R                      ,+                  ,                           ,R                ,F                     ,F               ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,S. pulchella      ,              ,151, 907,A, 15,H, 3,  45.00,    134.2500,Koc      ,Diatoms                                      ,A              ,G                 ,F                   ,R                     ,                     ,C            ,A                                ,A                     ,                      ,F                                 ,                     ,R              ,F                      ,                      ,F                    ,F                 ,R                         ,+                 ,                   ,R                       ,+                       ,C                   ,+                       ,F                     ,                     ,R                     ,R                 ,+                       ,R                           ,                           ,R                  ,+                      ,+                  ,+                     ,F                    ,                      ,                          ,                                 ,+                  ,                        ,                     ,F                         ,                      ,+                    ,                             ,F                ,                       ,+                  ,                           ,R                ,R                     ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,S. pulchella      ,              ,151, 907,A, 15,H, 5, 106.00,    137.8600,Koc      ,Diatoms                                      ,A              ,G                 ,R                   ,R                     ,F                    ,C            ,A                                ,C                     ,                      ,F                                 ,                     ,R              ,A                      ,                      ,R                    ,R                 ,F                         ,+                 ,                   ,                        ,+                       ,F                   ,R                       ,F                     ,                     ,                      ,                  ,+                       ,                            ,                           ,F                  ,+                      ,+                  ,+                     ,F                    ,                      ,                          ,                                 ,R                  ,                        ,                     ,R                         ,                      ,+                    ,                             ,A                ,R                      ,+                  ,R                          ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. donahuensis    ,              ,151, 907,A, 15,H,CC,  25.00,    140.5000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,+                     ,                     ,R            ,C                                ,R                     ,                      ,                                  ,                     ,               ,R                      ,                      ,                     ,R                 ,+                         ,+                 ,                   ,                        ,+                       ,C                   ,+                       ,R                     ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,R                  ,                        ,C                    ,R                         ,+                     ,+                    ,                             ,R                ,                       ,R                  ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. donahuensis    ,              ,151, 907,A, 16,H, 1,  40.00,    140.7000,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,R                     ,                     ,C            ,C                                ,C                     ,                      ,                                  ,                     ,               ,F                      ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,R                       ,F                     ,                     ,                      ,                  ,                        ,                            ,                           ,R                  ,                       ,                   ,                      ,F                    ,                      ,                          ,                                 ,F                  ,R                       ,A                    ,                          ,                      ,                     ,                             ,F                ,R                      ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N. donahuensis    ,              ,151, 907,A, 16,H, 2,  40.00,    142.2000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,                     ,C            ,A                                ,A                     ,                      ,R                                 ,                     ,R              ,A                      ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,F                   ,F                       ,C                     ,                     ,                      ,                  ,                        ,                            ,                           ,F                  ,                       ,                   ,                      ,F                    ,                      ,                          ,                                 ,C                  ,                        ,A                    ,R                         ,                      ,                     ,R                            ,C                ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 16,H, 3,  40.00,    143.7000,Koc      ,Diatoms                                      ,A              ,G                 ,R                   ,+                     ,                     ,             ,A                                ,C                     ,                      ,R                                 ,                     ,               ,F                      ,                      ,                     ,                  ,+                         ,+                 ,                   ,R                       ,                        ,R                   ,+                       ,R                     ,                     ,                      ,                  ,+                       ,                            ,R                          ,C                  ,+                      ,+                  ,+                     ,                     ,                      ,                          ,R                                ,+                  ,                        ,C                    ,R                         ,+                     ,+                    ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
