Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Tranolithus orionatus,Reinhardtites anthophorus,Quadrum trifidum,Quadrum gothicum,Prediscosphaera cretacea,Micula staurophora,Micula concava,Microrhabdulus decoratus,Manivitella pemmatoidea,Lithraphidites carniolensis,Glaukolithus diplogrammus,Eiffellithus eximius,Cylindralithus sp. cf. C. serratus,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus crenulatus,Ceratolithoides aculeus,Ahmuellerella octoradiata,Tetrapodorhabdus decorus,Zeugrhabdotus embergeri,Reinhardtites levis,Quadrum sissinghii,Calculites obscurus,Broinsonia enormis,Rhagodiscus angustus,Microrhabdulus stradneri,Chiastozygus litterarius,Arkhangelskiella cymbiformis,Zygodiscus spiralis,Eiffellithus turriseiffelii,Biscutum constans,Kamptnerius magnificus,Micula praemurus,Micula murus,Prediscosphaera grandis,Ceratolithoides kamptneri,Micula prinsii,Cribrosphaerella daniae,Thoracosphaera sp.,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Reticulofenestra gartneri,Helicosphaera kamptneri,Discoaster surculus,Discoaster pentaradiatus,Discoaster hamatus,Discoaster berggrenii,Coccolithus pelagicus,Catinaster calyculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster variabilis,Discoaster loeblichii,Discoaster bollii,Discoaster bellus,Helicosphaera recta,Discoaster quinqueramus,Discoaster neorectus,Discoaster neohamatus,Discoaster brouweri,Amaurolithus primus,Amaurolithus delicatus,Triquetrorhabdulus rugosus,Amaurolithus amplificus,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra doronicoides,Ceratolithus rugosus,Pseudoemiliania lacunosa,Syracosphaera histrica,Helicosphaera sellii,Discoaster triradiatus,Discoaster tamalis,Discoaster asymmetricus,Syracosphaera pulchra,Ceratolithus cristatus,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Pontosphaera japonica,Scyphosphaera pulcherrima,Gephyrocapsa spp.,Umbilicosphaera mirabilis,Gephyrocapsa caribbeanica,Scyphosphaera apsteinii,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Orthorhabdus serratus,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 15,H,CC,  34.00,    133.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,A                   ,R                    ,                         ,F               ,F               ,C                       ,C                 ,              ,R                       ,F                      ,                           ,                         ,                    ,F                                 ,F                           ,                       ,                       ,F                      ,F                        ,                        ,                       ,F                  ,F                 ,                   ,                  ,R                   ,R                       ,F                       ,R                           ,R                  ,R                          ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 16,X,CC,  16.00,    143.7100,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,                     ,                         ,F               ,F               ,C                       ,C                 ,              ,                        ,F                      ,                           ,R                        ,                    ,C                                 ,F                           ,R                      ,F                      ,                       ,                         ,                        ,R                      ,C                  ,C                 ,F                  ,R                 ,                    ,                        ,                        ,F                           ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 17,X,CC,  17.00,    145.9200,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,R                    ,                         ,F               ,F               ,F                       ,F                 ,              ,R                       ,F                      ,R                          ,                         ,                    ,C                                 ,F                           ,                       ,F                      ,R                      ,R                        ,R                       ,                       ,F                  ,F                 ,R                  ,                  ,R                   ,R                       ,R                       ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,NC20              ,              ,108, 661,A, 18,X, 1, 105.00,    154.6500,Manivit  ,Nannofossils                                 ,A              ,M                 ,C                   ,                     ,                         ,C               ,C               ,F                       ,F                 ,F             ,                        ,F                      ,                           ,R                        ,                    ,F                                 ,C                           ,F                      ,                       ,R                      ,                         ,                        ,R                      ,R                  ,F                 ,F                  ,R                 ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,NC20              ,              ,108, 661,A, 18,X, 2, 100.00,    156.1000,Manivit  ,Nannofossils                                 ,A              ,G                 ,C                   ,                     ,R                        ,C               ,C               ,F                       ,F                 ,              ,F                       ,C                      ,                           ,F                        ,R                   ,F                                 ,C                           ,F                      ,                       ,                       ,                         ,R                       ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,NC20              ,              ,108, 661,A, 18,X,CC,   6.00,    156.3300,Manivit  ,Nannofossils                                 ,A              ,G                 ,C                   ,R                    ,R                        ,F               ,C               ,F                       ,C                 ,R             ,R                       ,C                      ,F                          ,F                        ,R                   ,C                                 ,C                           ,F                      ,R                      ,R                      ,R                        ,                        ,                       ,                   ,                  ,                   ,                  ,                    ,                        ,                        ,                            ,                   ,                           ,                 ,                      ,                ,            ,                       ,                         ,              ,                       ,                  ,                           ,                           ,                               ,                         ,                       ,                   ,                        ,                  ,                     ,                     ,                    ,                      ,                      ,                     ,                     ,                 ,                 ,                   ,                       ,                    ,                     ,                   ,                   ,                      ,                          ,                       ,                   ,                            ,                             ,                    ,                        ,                      ,                    ,                      ,                  ,                       ,                     ,                      ,                       ,                       ,                     ,                         ,                 ,                         ,                         ,                       ,                       ,                     ,                     ,                     ,from ODP Leg 108 SR Chapter 4 Table 7b p 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
