Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	  9	H	 2	  70.00	     76.9000	Muza     	Nannofossils                                 	V              	P                 	                               	A                    	A                       	F               	                     	F                    	V                        	                        	F                     	C                       	                    	A                    	V                  	                      	R                      	                         	                       	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 3	   4.00	     77.6000	Muza     	Nannofossils                                 	V              	P                 	                               	A                    	A                       	F               	                     	F                    	V                        	                        	F                     	C                       	                    	A                    	V                  	                      	R                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 4	   5.00	     79.1100	Muza     	Nannofossils                                 	V              	P                 	                               	A                    	V                       	                	F                    	F                    	A                        	C                       	                      	C                       	                    	A                    	A                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 4	  70.00	     79.7600	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	                        	                	                     	F                    	                         	                        	A                     	F                       	                    	C                    	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 5	   5.00	     80.6100	Muza     	Nannofossils                                 	A              	P                 	                               	A                    	V                       	                	F                    	F                    	A                        	C                       	A                     	F                       	                    	A                    	F                  	                      	C                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

