taxon_group,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name
benthic_forams,Hopkinsina,1641,Hopkinsina,genus,82201,Uvigerinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hormosina,1643,Hormosina,genus,112270,Hormosinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hyalinea,1653,Hyalinea,genus,112322,Planorbulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hyalinonetrion,1654,Hyalinonetrion,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Hyperammina,1657,Hyperammina,genus,112297,Hyperamminidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Inaequalina,1666,Inaequalina,genus,,,256604,Miliolida,428719,Tubothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Islandiella,1679,Islandiella,genus,158932,Islandiellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Kalamopsis,1693,Kalamopsis,genus,112270,Hormosinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Karreria,1701,Karreria,genus,432116,Karreriidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Karreriella,1702,Karreriella,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Karrerulina,288159,Karrerulina,genus,147612,Prolixoplectidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Laevidentalina,1736,Laevidentalina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lagena,1739,Lagena,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lamarckina,1744,Lamarckina,genus,112260,Ceratobuliminidae,430090,Robertinida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Latibolivina,1756,Latibolivina,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Laticarinina,1757,Laticarinina,genus,241473,Discorbinellidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lenticulina,1763,Lenticulina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lenticulinella,1764,Lenticulinella,genus,112281,Vaginulinidae,428878,Vaginulinida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lepidocyclina,1765,Lepidocyclina,genus,112294,Lepidocyclinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Liebusella,1771,Liebusella,genus,112207,Globotextulariidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lingulina,1775,Lingulina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Lobatula,1786,Lobatula,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Loxostomina,1793,Loxostomina,genus,155884,Bolivinitidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Loxostomum,1795,Loxostomum,genus,432106,Loxostomatidae,279579,Rotaliida,428504,Globothalamea,288974,Foraminifera,212476,Rhizaria
benthic_forams,Marginulina,1810,Marginulina,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Marginulinopsis,1812,Marginulinopsis,genus,82197,Nodosariidae,429322,Nodosariida,428875,Nodosariata,288974,Foraminifera,212476,Rhizaria
benthic_forams,Martinottiella,1817,Martinottiella,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Marssonella,1815,Marssonella,genus,103762,Valvulinidae,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Matanzia,1820,Matanzia,genus,,,,,,,288974,Foraminifera,212476,Rhizaria
benthic_forams,Melonis,1836,Melonis,genus,82211,Nonionidae,,,,,288974,Foraminifera,212476,Rhizaria
