Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],Total LITH abundance [%],LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 3 igneous - massive [%],LITH 1 Matrix 4 igneous - vesicular [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,File Data,File Data,Exp,Site,Hole,Core,Type,Section,A/W
349-U1431D-16H-2-A,57.0,64.0,137.07,137.14,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,2,A
349-U1431D-16H-2-A,64.0,88.0,137.14,137.38,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,2,A
349-U1431D-16H-2-A,88.0,90.0,137.38,137.4,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,lamination,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,2,A
349-U1431D-16H-2-A,90.0,100.0,137.4,137.5,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,medium bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,2,A
349-U1431D-16H-2-A,100.0,140.0,137.5,137.9,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,2,A
349-U1431D-16H-3-A,0.0,7.0,137.9,137.97,foraminifer rich,silt,,foraminifer rich silt ,foraminifer rich silt ,100,GLEY 1 6/10Y (greenish gray),indurated,clay,1,silt,2,very well,,,,,,,,,,100,,,,planar,horizontal,very thin bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,7.0,36.0,137.97,138.26,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 5/10GY (greenish gray),moderately consolidated,clay,1,silt,2,well,,,,,,,,,,100,,,,gradational,curved,very thin bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,36.0,45.0,138.26,138.35,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 5/N (gray),moderately consolidated,clay,1,silt,2,well,,,,,,,,,,100,,,,planar,horizontal,very thin bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,45.0,86.0,138.35,138.76,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,very thin bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,86.0,120.0,138.76,139.1,,clay,,clay ,clay ,100,GLEY 1 4/10GY (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,very thin bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,120.0,125.0,139.1,139.15,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,irregular,curved,thin bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-3-A,125.0,135.0,139.15,139.25,,clay,,clay ,clay ,100,GLEY 1 4/10GY (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,thin lamina,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,3,A
349-U1431D-16H-4-A,0.0,19.0,139.25,139.44,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,19.0,21.0,139.44,139.46,,silty clay,,silty clay ,silty clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,planar,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,21.0,64.0,139.46,139.89,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,64.0,70.0,139.89,139.95,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,P,1,,,,,,,,100,,,,planar,sub-horizontal,thin bed,lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,70.0,121.0,139.95,140.46,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,121.0,124.0,140.46,140.49,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,planar,horizontal,thin bed,lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-4-A,124.0,135.0,140.49,140.6,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,4,A
349-U1431D-16H-5-A,0.0,83.0,140.75,141.58,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,5,A
349-U1431D-16H-5-A,83.0,89.0,141.58,141.64,,silty clay,with volcanic ash,silty clay ,silty clay with volcanic ash ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,P,1,,,,,,,,100,,,,planar,horizontal,thin bed,lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,5,A
349-U1431D-16H-5-A,89.0,150.0,141.64,142.25,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,5,A
349-U1431D-16H-6-A,0.0,13.0,142.25,142.38,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,medium bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,6,A
349-U1431D-16H-6-A,13.0,17.0,142.38,142.42,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,6,A
349-U1431D-16H-6-A,17.0,69.0,142.42,142.94,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,6,A
349-U1431D-16H-6-A,69.0,74.0,142.94,142.99,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,silt,2,clay,1,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,6,A
349-U1431D-16H-6-A,74.0,101.0,142.99,143.26,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,6,A
349-U1431D-16H-7-A,0.0,87.0,143.26,144.13,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,16,H,7,A
349-U1431D-17H-1-A,0.0,45.0,144.2,144.65,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,1,A
349-U1431D-17H-2-A,0.0,20.0,144.65,144.85,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,2,A
349-U1431D-17H-2-A,20.0,43.0,144.85,145.08,,clay,with nannofossils,clay ,clay with nannofossils ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,2,A
349-U1431D-17H-2-A,43.0,75.0,145.08,145.4,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,2,A
349-U1431D-17H-2-A,75.0,78.0,145.4,145.43,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,planar,horizontal,thin bed,lamination,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,2,A
349-U1431D-17H-2-A,78.0,150.0,145.43,146.15,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thin bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,2,A
349-U1431D-17H-3-A,0.0,23.0,146.15,146.38,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,3,A
349-U1431D-17H-3-A,23.0,25.0,146.38,146.4,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,gradational,horizontal,thin bed,lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,3,A
349-U1431D-17H-3-A,25.0,101.0,146.4,147.16,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,3,A
349-U1431D-17H-3-A,109.0,135.0,147.24,147.5,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,cataclastic,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,3,A
349-U1431D-17H-4-A,0.0,28.0,147.65,147.93,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,4,A
349-U1431D-17H-4-A,28.0,30.0,147.93,147.95,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,planar,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,4,A
349-U1431D-17H-4-A,30.0,126.0,147.95,148.91,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,4,A
349-U1431D-17H-4-A,126.0,136.0,148.91,149.01,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,planar,horizontal,medium bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,4,A
349-U1431D-17H-4-A,136.0,150.0,149.01,149.15,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,medium bed,graded bedding,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,4,A
349-U1431D-17H-5-A,0.0,10.0,149.15,149.25,nannofossil rich,clay,,nannofossil rich clay ,nannofossil rich clay ,100,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,planar,horizontal,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,5,A
349-U1431D-17H-5-A,10.0,150.0,149.25,150.65,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,5,A
349-U1431D-17H-6-A,0.0,67.0,150.65,151.32,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,6,A
349-U1431D-17H-6-A,67.0,72.0,151.32,151.37,,silty clay,,silty clay ,silty clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,silt,2,moderate,,,,,,,,,,100,,,,planar,horizontal,thin bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,6,A
349-U1431D-17H-6-A,72.0,150.0,151.37,152.15,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,6,A
349-U1431D-17H-7-A,0.0,120.0,152.15,153.35,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,7,A
349-U1431D-17H-CC-A,0.0,21.0,153.35,153.56,,clay,,clay ,clay ,100,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,100,,,,gradational,horizontal,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,17,H,CC,A
349-U1431D-18H-1-A,0.0,26.0,153.6,153.86,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,planar,inclined,medium bed,graded bedding,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,1,A
349-U1431D-18H-1-A,26.0,106.0,153.86,154.66,,clay,,clay ,clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,1,A
349-U1431D-18H-1-A,106.0,109.0,154.66,154.69,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,erosive,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,1,A
349-U1431D-18H-1-A,109.0,140.0,154.69,155.0,,clay,,clay ,clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,1,A
349-U1431D-18H-1-A,140.0,147.0,155.0,155.07,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,erosive,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,1,A
349-U1431D-18H-2-A,0.0,20.0,155.07,155.27,,clay,,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,medium bed,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-2-A,20.0,24.0,155.27,155.31,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,erosive,inclined,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-2-A,24.0,58.0,155.31,155.65,,clay,,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,inclined,thick bed,parallel lamination,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-2-A,58.0,61.0,155.65,155.68,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,erosive,inclined,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-2-A,61.0,78.0,155.68,155.85,,clay,,clay ,clay ,,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,inclined,medium bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-2-A,78.0,111.0,155.85,156.18,,clay,,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,,,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,2,A
349-U1431D-18H-3-A,0.0,62.0,156.18,156.8,,clay,,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,3,A
349-U1431D-18H-3-A,0.0,64.0,156.18,156.82,,clay,,clay ,clay ,,GLEY 1 4/10Y (dark greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,thick bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,3,A
349-U1431D-18H-3-A,62.0,65.0,156.8,156.83,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,planar,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,3,A
349-U1431D-18H-3-A,65.0,69.0,156.83,156.87,,clay,,clay ,clay ,,GLEY 1 5/5GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,,,thin bed,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,3,A
349-U1431D-18H-4-A,0.0,32.0,156.87,157.19,,clay,,clay ,clay ,,GLEY 1 5/5GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,planar,curved,thick bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
349-U1431D-18H-4-A,32.0,35.0,157.19,157.22,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,planar,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
349-U1431D-18H-4-A,35.0,56.0,157.22,157.43,,clay,,clay ,clay ,,GLEY 1 5/5GY (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,planar,curved,medium bed,color banding,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
349-U1431D-18H-4-A,56.0,58.0,157.43,157.45,,silty clay,,silty clay ,silty clay ,,GLEY 1 5/10Y (greenish gray),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,gradational,curved,thin bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
349-U1431D-18H-4-A,58.0,125.0,157.45,158.12,,clay,with foraminifers,clay ,clay with foraminifers ,,GLEY 1 6/10Y (greenish gray),moderately consolidated,clay,1,clay,1,well,,,,,,,,,,,,,,gradational,curved,thick bed,pod,heavy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
349-U1431D-18H-4-A,125.0,133.0,158.12,158.2,,foraminiferal ooze,,foraminiferal ooze ,foraminiferal ooze ,,GLEY 1 7/10Y (light grrenish grey),moderately consolidated,clay,1,silt,2,moderately well,,,,,,,,,,,,,,erosive,curved,medium bed,graded bedding,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,U1431,D,18,H,4,A
