Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
354-U1453A-31F-3-A,95,101,158.05,158.11,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,31,F,3,A,,,
354-U1453A-31F-4-A,0,37,158.11,158.48,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,31,F,4,A,,,
354-U1453A-31F-4-A,37,63,158.48,158.74,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,bioturbated,,,,,,,burrows,,,,,,,,354,U1453,A,31,F,4,A,,,
354-U1453A-31F-CC-A,11,34,158.85,159.08,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,bioturbated,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,31,F,CC,A,,,
354-U1453A-32F-1-A,0,57,158.8,159.37,,,silt [Leg210],,silt,silt,silt,,dark gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,32,F,1,A,,,
354-U1453A-32F-2-A,0,92,159.37,160.29,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,32,F,2,A,,,
354-U1453A-33F-1-A,0,19,163.5,163.69,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1453,A,33,F,1,A,,,
354-U1453A-33F-1-A,19,30,163.69,163.8,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1453,A,33,F,1,A,,,
354-U1453A-33F-1-A,30,117,163.8,164.67,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1453,A,33,F,1,A,,,
354-U1453A-33F-1-A,117,149,164.67,164.99,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,33,F,1,A,,,
354-U1453A-33F-2-A,0,4,164.99,165.03,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,,,,,,,,,,,,,,354,U1453,A,33,F,2,A,,,
354-U1453A-33F-2-A,4,150,165.03,166.49,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,33,F,2,A,,,
354-U1453A-33F-3-A,0,109,166.49,167.58,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,33,F,3,A,,,
354-U1453A-33F-4-A,0,60,167.58,168.18,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,33,F,4,A,,,
354-U1453A-34F-1-A,0,80,168.2,169,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,,354,U1453,A,34,F,1,A,,,
354-U1453A-34F-1-A,80,91,169,169.11,,,clay [Leg210],,clay,clay,clay,,,,,,,,,,,flow-in deformation,,,,,,,354,U1453,A,34,F,1,A,,,
354-U1453A-36F-1-A,0,50,177.7,178.2,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,,,,,,,,,,,,,fall-in deformation,,,,354,U1453,A,36,F,1,A,,,
354-U1453A-36F-1-A,50,150,178.2,179.2,,,sand [Leg210],,sand,sand,sand,,dark gray,,,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,36,F,1,A,,,
354-U1453A-36F-2-A,0,146,179.2,180.66,,,sand [Leg210],,sand,sand,sand,,,,,,,,,,,,,,,,,,354,U1453,A,36,F,2,A,,,
354-U1453A-36F-3-A,0,110,180.66,181.76,,,sand [Leg210],,sand,sand,sand,,,,,,,,,,,,,,,,,,354,U1453,A,36,F,3,A,,,
354-U1453A-36F-4-A,0,53,181.76,182.29,,,sand [Leg210],,sand,sand,sand,,,,,,,,,,,,,,,,,,354,U1453,A,36,F,4,A,,,
354-U1453A-38F-1-A,0,43,187.2,187.63,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1453,A,38,F,1,A,,,
354-U1453A-38F-1-A,43,64,187.63,187.84,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,38,F,1,A,,,
354-U1453A-38F-1-A,64,130,187.84,188.5,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,38,F,1,A,,,
354-U1453A-38F-2-A,0,65,188.5,189.15,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,38,F,2,A,,,
354-U1453A-38F-CC-A,0,20,189.15,189.35,,silty [Leg339],sand [Leg210],,silty sand,silty sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1453,A,38,F,CC,A,,,
354-U1453A-40F-1-A,0,19,196.7,196.89,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,dark gray,gradational,,,,,,,mottling [BJ80],,,,,,,,354,U1453,A,40,F,1,A,,,
354-U1453A-40F-1-A,19,57,196.89,197.27,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,,,,,,,normally graded,,,,,,,,354,U1453,A,40,F,1,A,,,
354-U1453A-40F-1-A,57,150,197.27,198.2,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,up-arching,,,,,,,354,U1453,A,40,F,1,A,,,
354-U1453A-40F-2-A,0,23,198.2,198.43,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,thin bed [B01],sand [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,40,F,2,A,,,
354-U1453A-40F-2-A,23,102,198.43,199.22,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,,,,,,,normally graded,,,,,,,,354,U1453,A,40,F,2,A,,,
354-U1453A-40F-2-A,102,150,199.22,199.7,,,clay [Leg210],,clay,clay,clay,,dark gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,40,F,2,A,,,
354-U1453A-40F-3-A,0,110,199.7,200.8,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,,,,,,,,,,flow-in,,,,,,,354,U1453,A,40,F,3,A,,,
354-U1453A-40F-4-A,0,58,200.8,201.38,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,,,,,,,,,,flow-in,,,,,,,354,U1453,A,40,F,4,A,,,
354-U1453A-40F-CC-A,0,20,201.38,201.58,,,sand [Leg210],with clay [2014],sand,sand with clay,sand with clay,,,,,,,,,,,flow-in,,,,,,,354,U1453,A,40,F,CC,A,,,
354-U1453A-42F-1-A,0,48,206.2,206.68,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1453,A,42,F,1,A,,,
354-U1453A-42F-1-A,48,82,206.68,207.02,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,medium bed [B01],sand [Leg210],thin bed [B01],,,,,,,,,,,354,U1453,A,42,F,1,A,,,
354-U1453A-42F-1-A,82,122,207.02,207.42,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp irregular,horizontal,,,,,,normally graded,,,,,,,,354,U1453,A,42,F,1,A,,,
354-U1453A-42F-1-A,122,150,207.42,207.7,,,clay [Leg210],,clay,clay,clay,,dark gray,gradational,,medium bed [B01],sand [Leg210],very thin bed [B01],,,,,,,,,,,354,U1453,A,42,F,1,A,,,
354-U1453A-42F-2-A,0,150,207.7,209.2,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,dark gray,,,,,,,,,flow-in,,,,,,,354,U1453,A,42,F,2,A,,,
354-U1453A-42F-3-A,0,107,209.2,210.27,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,dark gray,,,,,,,,,flow-in,,,,,,,354,U1453,A,42,F,3,A,,,
354-U1453A-42F-CC-A,0,20,210.27,210.47,,,clay [Leg210],with silt [2014],clay,clay with silt,clay with silt,,dark gray,,,,,,,,,flow-in,,,,,,,354,U1453,A,42,F,CC,A,,,
