Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOXCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
323-U1345D-15H-2-A,323,U1345,D,15,15-2,H,2,A,0,150,132.5,134,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-3-A,323,U1345,D,15,15-3,H,3,A,0,150,134,135.5,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-4-A,323,U1345,D,15,15-4,H,4,A,0,144,135.5,136.94,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-5-A,323,U1345,D,15,15-5,H,5,A,0,20,136.94,137.14,clayey silt [S54],"Shepard, 1954",,clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-5-A,323,U1345,D,15,15-5,H,5,A,20,150,137.14,138.44,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-6-A,323,U1345,D,15,15-6,H,6,A,0,150,138.44,139.94,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,0,33,139.94,140.27,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,33,42,140.27,140.36,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,40,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,33,42,140.27,140.36,diatom clayey silt,"Shepard, 1954",authigenic-carbonate-rich,authigenic-carbonate-rich diatom clayey silt,30,soft,10Y 7/1,,,,,authigenic carbonate,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,33,42,140.27,140.36,diatom clayey silt,,,diatom clayey silt,10,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,33,42,140.27,140.36,diatom clayey silt,,,diatom clayey silt,20,soft,5GY 5/1,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,42,68,140.36,140.62,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,80,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,42,68,140.36,140.62,diatom clayey silt,,,diatom clayey silt,10,soft,3/N ,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,42,68,140.36,140.62,diatom clayey silt,,,diatom clayey silt,10,soft,5GY 5/1,,,,,,,,,,,,,,,,
323-U1345D-15H-7-A,323,U1345,D,15,15-7,H,7,A,68,77,140.62,140.71,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-15H-CC-A,323,U1345,D,15,15-CC,H,CC,A,0,24,140.71,140.95,clayey silt [S54],"Shepard, 1954",diatom-bearing,diatom-bearing clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-16H-1-A,323,U1345,D,16,16-1,H,1,A,0,61,140.5,141.11,diatom clayey silt,,,diatom clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-16H-2-A,323,U1345,D,16,16-2,H,2,A,0,83,141.11,141.94,diatom clayey silt,,,diatom clayey silt,,soft,4/N,,,,,,,,,,,,,,,,
323-U1345D-16H-2-A,323,U1345,D,16,16-2,H,2,A,83,148,141.94,142.59,sandy clay [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy clay,,soft,10Y 4/1,,,,,authigenic carbonate mottles at Sec. 4 11 to 4 cm Sec. 5 9-14 and 111-122. ,,,,,,,,,,,
323-U1345D-16H-3-A,323,U1345,D,16,16-3,H,3,A,0,150,142.59,144.09,sandy clay [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy clay,,soft,10Y 4/1,,,,,authigenic carbonate mottles at Sec. 4 11 to 4 cm Sec. 5 9-14 and 111-122. ,,,,,,,,,,,
323-U1345D-16H-4-A,323,U1345,D,16,16-4,H,4,A,0,23,144.09,144.32,sandy clay [S54],"Shepard, 1954",diatom-rich,diatom-rich sandy clay,,soft,10Y 4/1,,,,,authigenic carbonate mottles at Sec. 4 11 to 4 cm Sec. 5 9-14 and 111-122. ,,,,,,,,,,,
323-U1345D-16H-4-A,323,U1345,D,16,16-4,H,4,A,23,150,144.32,145.59,diatom silty clay,Leg 323,,diatom silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-16H-5-A,323,U1345,D,16,16-5,H,5,A,0,150,145.59,147.09,diatom silty clay,Leg 323,,diatom silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-16H-6-A,323,U1345,D,16,16-6,H,6,A,0,150,147.09,148.59,diatom silty clay,Leg 323,,diatom silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-16H-7-A,323,U1345,D,16,16-7,H,7,A,0,150,148.59,150.09,diatom silty clay,Leg 323,,diatom silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
323-U1345D-16H-CC-A,323,U1345,D,16,16-CC,H,CC,A,0,30,150.09,150.39,diatom silty clay,Leg 323,,diatom silty clay,,soft,10Y 4/1,,,,,,,,,,,,,,,,
