Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
353-U1443C-25F-2-A,0,150,184.1,185.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,25,F,2,A,,,
353-U1443C-25F-3-A,0,100,185.6,186.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,25,F,3,A,,,
353-U1443C-25F-4-A,0,75,186.6,187.35,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,25,F,4,A,,,
353-U1443C-25F-CC-A,0,22,187.35,187.57,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,25,F,CC,A,,,
353-U1443C-26F-1-A,0,150,187.4,188.9,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,26,F,1,A,,,
353-U1443C-26F-2-A,0,150,188.9,190.4,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,26,F,2,A,,,
353-U1443C-26F-3-A,0,101,190.4,191.41,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,26,F,3,A,,,
353-U1443C-26F-4-A,0,77,191.41,192.18,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,26,F,4,A,,,
353-U1443C-26F-CC-A,0,22,192.18,192.4,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,26,F,CC,A,,,
353-U1443C-27F-1-A,0,150,192.2,193.7,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,27,F,1,A,,,
353-U1443C-27F-2-A,0,150,193.7,195.2,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,27,F,2,A,,,
353-U1443C-27F-3-A,0,100,195.2,196.2,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,27,F,3,A,,,
353-U1443C-27F-4-A,0,72,196.2,196.92,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,27,F,4,A,,,
353-U1443C-27F-CC-A,0,18,196.92,197.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,27,F,CC,A,,,
353-U1443C-28F-1-A,0,150,197.0,198.5,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,28,F,1,A,,,
353-U1443C-28F-2-A,0,150,198.5,200.0,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,28,F,2,A,,,
353-U1443C-28F-3-A,0,100,200.0,201.0,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,28,F,3,A,,,
353-U1443C-28F-4-A,0,78,201.0,201.78,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,28,F,4,A,,,
353-U1443C-28F-CC-A,0,22,201.78,202.0,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,28,F,CC,A,,,
353-U1443C-29F-1-A,0,150,201.8,203.3,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,29,F,1,A,,,
353-U1443C-29F-2-A,0,100,203.3,204.3,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,29,F,2,A,,,
353-U1443C-29F-3-A,0,86,204.3,205.16,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,29,F,3,A,,,
353-U1443C-29F-CC-A,0,20,205.16,205.36,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,29,F,CC,A,,,
353-U1443C-30F-1-A,0,150,204.6,206.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,30,F,1,A,,,
353-U1443C-30F-2-A,0,150,206.1,207.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,30,F,2,A,,,
353-U1443C-30F-3-A,0,100,207.6,208.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,30,F,3,A,,,
353-U1443C-30F-4-A,0,73,208.6,209.33,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,30,F,4,A,,,
353-U1443C-30F-CC-A,0,29,209.33,209.62,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,white,2.5Y 8.5/2 (pale yellow),,,,,,,,,,,,,Infrequent black to dark gray dots visible.,,,,353,U1443,C,30,F,CC,A,,,
