Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra bisecta	Helicosphaera spp.	Discoaster spp.	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Discoaster variabilis	Helicosphaera granulata	Cyclicargolithus abisectus	Coronocyclus nitescens	Calcidiscus premacintyrei	Sphenolithus conicus	Calcidiscus leptoporus	Discoaster adamanteus	Helicosphaera carteri	Sphenolithus belemnos	Discoaster druggii	Reticulofenestra pseudoumbilicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Helicosphaera ampliaperta	Cyclolithus annulus	Calcidiscus macintyrei	Discoaster signus	Syracosphaera spp.	Rhabdosphaera clavigera	Discoaster intercalaris	Triquetrorhabdulus extensus	Pontosphaera spp.	Helicosphaera euphratis	Scapholithus spp.	Discoaster exilis	Discoaster musicus	Coccolithus streckerii	Tetralithoides symeonidesii	Discolithina multipora	Dictyococcites spp.	Sphenolithus abies	Discoaster petaliformis	Discoaster moorei	Discoaster pseudovariabilis	Discoaster prepentaradiatus	Triquetrorhabdulus rugosus	Umbilicosphaera sibogae	Oolithotus antillarum	Discoaster kugleri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Catinaster coalitus	Discoaster quinqueramus	Discoaster icarus	Discoaster hamatus	Catinaster calyculus	Discoaster surculus	Discoaster pansus	Discoaster neohamatus	Discoaster decorus	Discoaster loeblichii	Minylitha convallis	Sphenolithus neoabies	Discoaster neorectus	Discoaster calcaris	Discoaster berggrenii	Scapholithus fossilis	Discoaster challengeri	Gephyrocapsa spp. (small)	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus spp.	Amaurolithus amplificus	Helicosphaera wallichii	Discoaster triradiatus	Pyrocyclus spp.	Discoaster quadramus	Helicosphaera neogranulata	Ceratolithus acutus	Ceratolithus rugosus	Ceratolithus cristatus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Discolithina japonica	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Syracosphaera pulchra	Helicosphaera hyalina	Rhabdosphaera longistylis	Reticulofenestra minutula (circ. form)	Reticulofenestra ampla	Rhabdosphaera stylifera	Coccolithus crassipons	Comment

  SR	                 	                 	CN4               	              	165	 998	A	 19	X	 6	  20.00	    173.9000	Kameo    	Nannofossils                                 	               	P-M               	                            	+                      	                       	                    	                          	90                       	                        	2                 	2              	+                    	3                          	23                   	+                       	3                    	10                     	                          	1                     	4                        	                    	5                     	1                    	1                    	                     	                  	6                               	+                         	2                      	                         	2                  	                      	4                	2                 	+                      	3                      	                           	                 	                       	                 	24               	3                 	+                     	+                          	1                     	1                  	3                 	1                      	2                	+                          	+                          	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN4               	              	165	 998	A	 20	X	 1	  21.00	    176.1100	Kameo    	Nannofossils                                 	               	P-M               	                            	5                      	                       	                    	                          	41                       	                        	1                 	8              	2                    	26                         	22                   	+                       	1                    	2                      	                          	2                     	2                        	                    	1                     	1                    	6                    	                     	                  	1                               	23                        	1                      	                         	2                  	                      	40               	4                 	1                      	+                      	                           	                 	                       	                 	1                	+                 	                      	                           	+                     	7                  	+                 	+                      	+                	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens. From 165SR. Chapter 1. Appendix B.

  SR	                 	                 	CN4               	              	165	 998	A	 20	X	 5	  19.00	    182.0900	Kameo    	Nannofossils                                 	               	P-M               	                            	12                     	                       	                    	                          	50                       	                        	2                 	20             	13                   	14                         	7                    	4                       	5                    	5                      	                          	1                     	+                        	                    	                      	3                    	+                    	                     	                  	1                               	26                        	                       	                         	6                  	                      	26               	1                 	2                      	                       	                           	                 	1                      	                 	1                	+                 	                      	                           	+                     	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens. From 165SR. Chapter 1. Appendix B.

  SR	                 	                 	CN4               	              	165	 998	A	 21	X	 1	  20.00	    185.7000	Kameo    	Nannofossils                                 	               	P-M               	                            	1                      	                       	                    	                          	40                       	                        	5                 	15             	24                   	10                         	13                   	2                       	+                    	15                     	                          	1                     	+                        	                    	2                     	2                    	+                    	                     	                  	                                	26                        	1                      	                         	+                  	                      	32               	+                 	2                      	5                      	                           	                 	                       	                 	2                	+                 	                      	+                          	+                     	1                  	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN4               	              	165	 998	A	 21	X	 5	  20.00	    191.7000	Kameo    	Nannofossils                                 	               	P-M               	                            	14                     	                       	                    	                          	31                       	                        	1                 	1              	9                    	12                         	29                   	2                       	                     	20                     	                          	+                     	2                        	                    	1                     	+                    	+                    	                     	                  	                                	45                        	1                      	                         	2                  	                      	30               	+                 	+                      	                       	+                          	                 	                       	                 	+                	+                 	+                     	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens. From 165SR. Chapter 1. Appendix B.

  SR	                 	                 	CN3               	              	165	 998	A	 22	X	 1	  67.00	    195.7700	Kameo    	Nannofossils                                 	               	P-M               	                            	13                     	                       	                    	                          	12                       	                        	2                 	3              	27                   	18                         	31                   	                        	                     	24                     	                          	1                     	+                        	                    	2                     	                     	+                    	                     	                  	                                	41                        	                       	1                        	+                  	                      	18               	1                 	                       	1                      	                           	1                	                       	1                	+                	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 22	X	 5	  20.00	    201.3000	Kameo    	Nannofossils                                 	               	P-M               	                            	20                     	                       	                    	                          	1                        	                        	1                 	4              	19                   	11                         	39                   	3                       	                     	30                     	                          	+                     	+                        	                    	2                     	1                    	+                    	                     	                  	                                	46                        	                       	+                        	12                 	                      	4                	1                 	1                      	                       	                           	+                	1                      	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 23	X	 1	  20.00	    205.0000	Kameo    	Nannofossils                                 	               	P-M               	                            	8                      	                       	                    	                          	3                        	                        	1                 	8              	34                   	22                         	34                   	3                       	                     	3                      	                          	1                     	+                        	                    	2                     	3                    	+                    	                     	                  	                                	22                        	                       	1                        	3                  	                      	47               	                  	2                      	2                      	+                          	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 23	X	 5	  23.00	    211.0300	Kameo    	Nannofossils                                 	               	P-M               	                            	24                     	                       	                    	                          	7                        	                        	                  	1              	62                   	14                         	23                   	4                       	                     	1                      	                          	1                     	+                        	                    	+                     	2                    	+                    	                     	                  	5                               	41                        	                       	1                        	1                  	                      	11               	1                 	+                      	+                      	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 24	X	CC	  32.00	    223.5200	Kameo    	Nannofossils                                 	               	P-M               	                            	29                     	                       	                    	                          	11                       	                        	                  	24             	31                   	17                         	4                    	4                       	                     	+                      	                          	+                     	+                        	                    	+                     	+                    	+                    	                     	                  	+                               	78                        	                       	                         	+                  	                      	+                	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 25	X	CC	  26.00	    229.7600	Kameo    	Nannofossils                                 	               	P-M               	                            	12                     	                       	                    	                          	50                       	                        	+                 	25             	43                   	24                         	8                    	+                       	+                    	3                      	                          	+                     	+                        	                    	+                     	                     	5                    	                     	                  	                                	28                        	+                      	                         	+                  	+                     	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN3               	              	165	 998	A	 26	X	CC	  48.00	    240.9000	Kameo    	Nannofossils                                 	               	P-M               	                            	13                     	                       	                    	                          	32                       	                        	+                 	9              	98                   	9                          	12                   	11                      	                     	                       	                          	+                     	+                        	                    	+                     	+                    	3                    	                     	                  	                                	11                        	+                      	+                        	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN2               	              	165	 998	A	 27	X	 1	 100.00	    244.2000	Kameo    	Nannofossils                                 	               	M                 	                            	20                     	                       	                    	                          	4                        	                        	                  	28             	95                   	8                          	13                   	19                      	                     	+                      	                          	4                     	+                        	+                   	+                     	+                    	+                    	                     	                  	8                               	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN2               	              	165	 998	A	 27	X	 2	 100.00	    245.7000	Kameo    	Nannofossils                                 	               	M-G               	                            	34                     	                       	                    	                          	+                        	                        	                  	21             	84                   	8                          	28                   	8                       	                     	+                      	                          	12                    	+                        	+                   	                      	+                    	+                    	4                    	                  	                                	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN2               	              	165	 998	A	 27	X	 3	 100.00	    247.2000	Kameo    	Nannofossils                                 	               	M                 	                            	42                     	                       	                    	                          	+                        	                        	                  	+              	89                   	11                         	27                   	17                      	+                    	+                      	                          	+                     	                         	4                   	+                     	                     	+                    	9                    	+                 	                                	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN2               	              	165	 998	A	 27	X	CC	  32.00	    250.5500	Kameo    	Nannofossils                                 	               	P                 	                            	43                     	                       	                    	                          	41                       	                        	                  	+              	63                   	16                         	23                   	5                       	                     	                       	                          	                      	                         	+                   	+                     	+                    	+                    	8                    	+                 	                                	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN2               	              	165	 998	A	 28	X	 3	 100.00	    256.9000	Kameo    	Nannofossils                                 	               	M                 	                            	11                     	                       	                    	                          	19                       	                        	                  	8              	88                   	20                         	28                   	12                      	+                    	+                      	+                         	+                     	+                        	8                   	                      	+                    	+                    	4                    	                  	                                	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN1               	              	165	 998	A	 28	X	 4	 100.00	    258.4000	Kameo    	Nannofossils                                 	               	M                 	+                           	12                     	                       	                    	                          	37                       	                        	+                 	11             	71                   	16                         	24                   	16                      	                     	+                      	                          	+                     	                         	+                   	+                     	12                   	+                    	                     	                  	                                	                          	                       	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B
