Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	placolith (<2.0 microns)	Umbilicosphaera sp. A	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera cricota	Umbilicosphaera aequiscutum	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Pontosphaera japonica	Neosphaera coccolithomorpha	Helicosphaera spp. (small)	Helicosphaera euphratis	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Syracosphaera spp.	Schyphosphaera spp.	Rhabdosphaera clavigera	Triquetrorhabdulus rugosus	Helicosphaera inversa	Discoaster challengeri	Calciosolenia murrayi	Braarudosphaera bigelowii	Coccolithus streckerii	Pontosphaera discopora	Amaurolithus tricorniculatus	Schyphosphaera sp.	Reticulofenestra bisecta	Aspidolithus parcus	Sphenolithus compactus	Helicosphaera intermedia	Chiasmolithus solitus	Ceratolithus acutus	Tetralithoides quadrilaminata	Ceratolithus spp.	Ceratolithus armatus	Ceratolithus atlanticus	Discoaster asymmetricus	Discoaster triradiatus	Umbilicosphaera hulburtiana	Ericsonia formosa	Reticulofenestra umbilica	Umbilicosphaera sibogae var. foliosa	Ceratolithus separatus	Ceratolithus rugosus	Ceratolithus cristatus	Pseudoemiliania lacunosa	Sphenolithus grandis	Pseudoemiliania cf. P. lacunosa	Micula decussata	Helicosphaera sellii	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Cretarhabdus conicus	Discoaster hamatus	Placozygus sigmoides	Helicosphaera neogranulata	Umbellosphaera tenuis	Oolithotus fragilis	Helicosphaera pavimentum	Gephyrocapsa oceanica (medium)	Gephyrocapsa caribbeanica	Gephyrocapsa spp. medium	Watznaueria barnesae	Gephyrocapsa spp. (large)	Prediscosphaera cretacea	Ceratolithus simplex	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Emiliania huxleyi	Comment

  IR	Early Pliocene   	                 	CN10c             	CN10d         	164	 994	C	 52	X	CC	  27.00	    428.6300	Okada    	Nannofossils                                 	A              	M                 	7                       	F                    	                                    	1                      	1                          	C                    	C                 	C                              	C                        	C                        	C                        	D                      	1                     	F                      	R                	R                     	R                    	F                          	                          	R                      	F                    	102                  	R                    	F                  	                       	2                       	F                      	1                  	                       	                     	                           	F                    	R                     	1                     	                   	R                     	                       	F                 	R                  	R                      	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	R                	                    	                       	                       	                      	                           	                 	                         	                                    	                      	R                   	R                     	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 54	X	 1	  77.00	    435.8700	Okada    	Nannofossils                                 	A              	M                 	5                       	                     	                                    	F                      	F                          	F                    	1                 	2                              	7                        	1                        	5                        	71                     	1                     	1                      	                 	F                     	                     	                           	                          	                       	1                    	70                   	R                    	R                  	                       	1                       	R                      	F                  	                       	                     	                           	F                    	F                     	1                     	                   	R                     	                       	1                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	R                      	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN10b             	              	164	 994	C	 54	X	 3	  77.00	    438.8700	Okada    	Nannofossils                                 	A              	M                 	11                      	                     	                                    	1                      	1                          	F                    	2                 	3                              	3                        	F                        	6                        	68                     	1                     	1                      	                 	                      	                     	R                          	                          	                       	1                    	82                   	F                    	F                  	                       	F                       	F                      	F                  	                       	                     	                           	R                    	R                     	1                     	                   	R                     	                       	F                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	                 	R                   	R                      	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10c             	CN10d         	164	 994	C	 54	X	CC	  27.00	    440.3300	Okada    	Nannofossils                                 	A              	M                 	                        	C                    	                                    	                       	                           	F                    	C                 	A                              	A                        	R                        	F                        	A                      	                      	F                      	R                	R                     	                     	F                          	                          	                       	F                    	A                    	F                    	F                  	                       	C                       	F                      	F                  	                       	                     	                           	F                    	F                     	F                     	                   	R                     	                       	F                 	                   	                       	                          	                     	                      	                     	                         	R                     	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	R                      	                       	                      	                           	                 	                         	R                                   	R                     	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 55	X	 1	  77.00	    444.4700	Okada    	Nannofossils                                 	A              	M                 	15                      	                     	                                    	1                      	2                          	F                    	2                 	3                              	8                        	1                        	10                       	51                     	1                     	1                      	                 	R                     	R                    	                           	                          	                       	1                    	119                  	1                    	1                  	                       	F                       	R                      	1                  	                       	                     	                           	R                    	R                     	1                     	                   	R                     	                       	1                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10c             	CN10d         	164	 994	C	 55	X	CC	  79.00	    448.6400	Okada    	Nannofossils                                 	A              	M                 	24                      	F                    	                                    	F                      	3                          	C                    	1                 	2                              	4                        	F                        	4                        	A                      	F                     	F                      	R                	R                     	R                    	F                          	                          	                       	F                    	41                   	F                    	F                  	                       	F                       	R                      	1                  	                       	                     	                           	R                    	R                     	1                     	                   	R                     	                       	F                 	                   	R                      	                          	                     	                      	F                    	R                        	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 56	X	 1	  77.00	    454.1700	Okada    	Nannofossils                                 	A              	M                 	11                      	                     	                                    	1                      	4                          	1                    	4                 	4                              	12                       	5                        	9                        	37                     	3                     	3                      	                 	                      	R                    	                           	                          	                       	F                    	160                  	F                    	1                  	                       	F                       	F                      	1                  	                       	                     	                           	R                    	                      	3                     	                   	R                     	                       	1                 	R                  	R                      	                          	                     	                      	                     	                         	                      	                      	F                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10b             	              	164	 994	C	 56	X	CC	  33.00	    458.4700	Okada    	Nannofossils                                 	A              	M                 	5                       	R                    	                                    	1                      	5                          	C                    	C                 	7                              	5                        	1                        	15                       	44                     	1                     	3                      	R                	                      	R                    	R                          	                          	                       	1                    	144                  	1                    	F                  	                       	2                       	F                      	2                  	                       	                     	                           	1                    	R                     	1                     	                   	R                     	                       	1                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	R                  	                             	R                	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 57	X	 1	  77.00	    463.7700	Okada    	Nannofossils                                 	A              	M                 	14                      	                     	                                    	F                      	10                         	F                    	2                 	2                              	11                       	1                        	4                        	50                     	1                     	1                      	                 	R                     	                     	                           	                          	R                      	1                    	69                   	R                    	F                  	                       	F                       	R                      	F                  	                       	                     	                           	1                    	F                     	1                     	                   	                      	                       	1                 	R                  	R                      	                          	                     	                      	F                    	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10b             	              	164	 994	C	 57	X	CC	  42.00	    467.8400	Okada    	Nannofossils                                 	A              	M                 	12                      	F                    	                                    	1                      	3                          	F                    	C                 	C                              	A                        	F                        	C                        	A                      	2                     	C                      	F                	R                     	R                    	F                          	                          	                       	C                    	A                    	F                    	F                  	                       	C                       	R                      	F                  	                       	                     	                           	1                    	R                     	1                     	                   	R                     	                       	F                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	rR                       	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 58	X	 1	  77.00	    473.3700	Okada    	Nannofossils                                 	A              	M                 	23                      	                     	                                    	F                      	4                          	1                    	4                 	5                              	13                       	1                        	5                        	39                     	F                     	2                      	                 	R                     	                     	                           	                          	                       	1                    	91                   	F                    	F                  	                       	F                       	R                      	1                  	                       	                     	                           	1                    	                      	2                     	                   	R                     	                       	F                 	                   	F                      	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10b             	              	164	 994	C	 58	X	CC	  18.00	    476.6400	Okada    	Nannofossils                                 	A              	M                 	11                      	F                    	                                    	1                      	5                          	C                    	C                 	A                              	A                        	C                        	C                        	A                      	1                     	C                      	F                	R                     	F                    	F                          	                          	                       	F                    	A                    	F                    	C                  	                       	C                       	R                      	C                  	                       	                     	                           	1                    	R                     	1                     	                   	R                     	                       	F                 	                   	R                      	                          	                     	                      	R                    	R                        	                      	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	                 	R                   	R                      	                       	                      	                           	rR               	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 59	X	 2	  77.00	    483.8500	Okada    	Nannofossils                                 	A              	G                 	17                      	                     	                                    	1                      	4                          	F                    	2                 	2                              	6                        	4                        	4                        	58                     	F                     	1                      	                 	R                     	                     	                           	                          	R                      	F                    	36                   	R                    	R                  	                       	R                       	R                      	F                  	                       	                     	                           	R                    	                      	1                     	                   	R                     	                       	F                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	                   	                             	                 	R                   	                       	                       	                      	R                          	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10b             	              	164	 994	C	 59	X	CC	  58.00	    488.2200	Okada    	Nannofossils                                 	A              	G                 	15                      	F                    	                                    	1                      	4                          	C                    	1                 	2                              	8                        	2                        	5                        	53                     	2                     	C                      	F                	R                     	F                    	F                          	F                         	                       	1                    	22                   	F                    	R                  	                       	R                       	R                      	1                  	                       	                     	                           	F                    	F                     	1                     	                   	R                     	                       	1                 	F                  	F                      	                          	                     	                      	R                    	                         	                      	                      	R                           	F                 	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	R                     	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 61	X	 1	  77.00	    493.6700	Okada    	Nannofossils                                 	A              	M                 	15                      	                     	                                    	F                      	1                          	1                    	2                 	6                              	5                        	3                        	6                        	52                     	1                     	4                      	                 	R                     	R                    	                           	                          	                       	1                    	78                   	F                    	1                  	                       	R                       	R                      	F                  	                       	                     	                           	1                    	                      	1                     	                   	                      	                       	1                 	F                  	                       	                          	                     	                      	F                    	                         	                      	R                     	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	R                   	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN10b             	              	164	 994	C	 61	X	 4	  77.00	    498.1700	Okada    	Nannofossils                                 	A              	M                 	7                       	                     	                                    	F                      	1                          	1                    	5                 	9                              	6                        	6                        	9                        	44                     	1                     	3                      	                 	R                     	R                    	                           	F                         	                       	1                    	173                  	1                    	F                  	                       	R                       	F                      	1                  	                       	                     	                           	3                    	                      	1                     	R                  	R                     	                       	1                 	                   	                       	                          	                     	                      	R                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	R                  	                             	                 	                    	R                      	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pliocene         	Miocene          	CN10b             	              	164	 994	C	 61	X	CC	  30.00	    502.6200	Okada    	Nannofossils                                 	A              	M                 	                        	F                    	                                    	                       	                           	F                    	A                 	C                              	R                        	C                        	A                        	D                      	                      	F                      	R                	R                     	                     	F                          	                          	                       	F                    	A                    	R                    	F                  	                       	C                       	R                      	C                  	                       	                     	                           	F                    	R                     	F                     	                   	R                     	                       	R                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	                    	R                      	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN10b             	              	164	 994	C	 62	X	 2	  77.00	    503.7700	Okada    	Nannofossils                                 	A              	M                 	6                       	                     	F                                   	2                      	3                          	F                    	2                 	24                             	5                        	2                        	8                        	38                     	1                     	3                      	                 	R                     	R                    	                           	                          	R                      	F                    	109                  	F                    	R                  	                       	F                       	R                      	F                  	                       	                     	                           	1                    	F                     	1                     	                   	R                     	                       	1                 	R                  	                       	                          	                     	                      	F                    	1                        	                      	                      	R                           	                  	                        	                   	                      	                        	                     	R                  	                             	                 	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	                        	                    	                               	                	                    	                         	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2
