Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rucinolithus irregularis,Cretarhabdus surirellus,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Prediscosphaera sp.,Parhabdolithus embergeri,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus spp.,Cretarhabdus sp.,Chiastozygus litterarius,Biscutum constans,Cretarhabdus conicus,Tranolithus orionatus,Lithraphidites acutus,Braarudosphaera regularis,Ahmuellerella octoradiata,Reinhardtites fenestratus,Corollithion achylosum,Markalius circumradiatus,Prediscosphaera cretacea,Nannoconus sp.,Marthasterites furcatus,Cretarhabdus angustiforatus,Quadrum gartneri,Micula sp.,Eiffellithus eximius,Micula decussata,Rucinolithus hayi,Reinhardtites anthophorus,Prediscosphaera columnata,Lithastrinus grillii,Microrhabdulus decoratus,Cylindralithus sp.,Placozygus fibuliformis,Micula concava,Prediscosphaera spinosa,Tegumentum stradneri,Broinsonia lata,Cretarhabdus striatus,Quadrum sissinghii,Quadrum gothicum,Micula praemurus,Cylindralithus serratus,Ceratolithoides verbeekii,Ceratolithoides aculeus (<90 degrees),Calculites obscurus,Ceratolithoides aculeus (>90 degrees),Bukryaster hayi,Rucinolithus sp.,Kamptnerius magnificus,Eiffellithus gorkae,Aspidolithus parcus constrictus,Arkhangelskiella cymbiformis,Prediscosphaera grandis,Corollithion exiguum,Aspidolithus parcus,Quadrum trifidum,Sphenolithus primus,Sphenolithus anarrhopus,Fasciculithus tympaniformis,Coccolithus pelagicus,Sphenolithus sp.,Toweius eminens,Fasciculithus bobii,Discoaster multiradiatus,Cruciplacolithus tenuis,Coccolithus formosus,Chiasmolithus sp.,Chiasmolithus californicus,Biantholithus sparsus,Sphenolithus moriformis,Fasciculithus pileatus,Fasciculithus lillianae,Ellipsolithus macellus,Cruciplacolithus primus,Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus edwardsii,Sphenolithus radians,Sphenolithus pseudoradians,Markalius inversus,Reticulofenestra hillae,Heliolithus kleinpellii,Discoaster sp.,Discoaster barbadiensis,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra samodurovii,Reticulofenestra reticulata,Dictyococcites bisectus,Cyclicargolithus abisectus,Triquetrorhabdulus carinatus,Pseudotriquetrorhabdulus inversus,Discoaster woodringii,Discoaster bifax,Chiasmolithus grandis,Sphenolithus editus,Discoaster saipanensis,Fasciculithus involutus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus spiniger,Sphenolithus celsus,Bramletteius serraculoides,Sphenolithus umbrellus,Sphenolithus ciperoensis,Helicosphaera euphratis,Discoaster deflandrei,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Sphenolithus obtusus,Sphenolithus belemnos,Pontosphaera sp.,Helicosphaera sp.,Sphenolithus heteromorphus,Reticulofenestra pseudoumbilica,Coccolithus sp.,Discoaster exilis,Reticulofenestra sp.,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 49,R, 1, 131.00,    439.4100,Covington,Nannofossils                                 ,R              ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,R                ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 49,R, 2,  25.00,    439.8500,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,R                      ,                   ,                  ,R                 ,                       ,                     ,                ,R                  ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,R                          ,                         ,                       ,                           ,                      ,                            ,                 ,F               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,R                       ,              ,R                      ,R                          ,R               ,          ,                    ,                ,                 ,                         ,                         ,R                   ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 49,R, 3,  28.00,    441.3800,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,R                          ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,cf                       ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC15              ,CC16          ,129, 802,A, 49,R, 3, 107.00,    442.1700,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,R               ,                 ,                         ,                         ,R                   ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 49,R, 4,  28.00,    442.8800,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,R                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 49,R, 4, 144.00,    444.0400,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,R                      ,                   ,                  ,R                 ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,R                       ,              ,                       ,                           ,                ,          ,F                   ,R               ,                 ,                         ,R                        ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Santonian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 49,R, 5,  10.00,    444.2000,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,R                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,R                           ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,R                   ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 49,R,CC,  13.00,    444.9300,Covington,Nannofossils                                 ,R              ,P                 ,R                   ,                             ,                        ,R                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,R                   ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 50,R, 1,  23.00,    447.6300,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,R                            ,                        ,R                      ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,R                   ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,R                      ,                           ,                ,          ,                    ,R               ,                 ,cf                       ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 50,R, 1, 133.00,    448.7300,Covington,Nannofossils                                 ,RR             ,P                 ,R                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,R                      ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 50,R, 2,   3.00,    448.9300,Covington,Nannofossils                                 ,R              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,R                   ,R               ,F                ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC14(Perch-Nielsen),              ,129, 802,A, 50,R, 2,  45.00,    449.3500,Covington,Nannofossils                                 ,F              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,R                       ,                 ,                    ,R                    ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,R                          ,                ,          ,R                   ,R               ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Coniacian        ,                 ,CC13(Perch-Neilsen),              ,129, 802,A, 50,R, 2,  83.00,    449.7300,Covington,Nannofossils                                 ,F              ,P                 ,F                   ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,R               ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,R                      ,                           ,                ,          ,R                   ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,                     ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,              ,                       ,                           ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,                    ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 129 SR Chapter 8 Table 4 back pocket
