Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Theocorythium trachelium,Theocalyptra davisiana,Stylatractus universus,Stichocorys peregrina,Stichocorys johnsoni,Stichocorys delmontensis,Spongodiscus ambus,Spongaster tetras,Spongaster pentas,Spirocyrtis scalaris,Spirocyrtis gyroscalaris,Solenosphaera omnitubus,Siphostichartus corona,Pterocorys minythorax,Pterocorys hertwigii,Pterocanium prismatium,Pterocanium audax,Phormostichoartus doliolum,Nephrospyris renilla renilla,Lithopera bacca,Lamprocyrtis nigriniae,Lamprocyrtis neoheteroporos,Didymocyrtis penultima,Didymocyrtis avita,Didymocyrtis antepenultima,Dictyocoryne ontongensis,Collosphaera tuberosa,Collosphaera orthoconus,Collosphaera invaginata,Centrobotrys thermophila,Botryostrobus miralestensis,Botryostrobus euporus,Anthocyrtidium angulare,Androspyris huxleyi,Androspyris fenestrata,Androspyris anthropiscus,Amphirhopalum ypsilon,Acrobotrys tritubus,Comment
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 4,  23.00,    115.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,1                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 4,  84.00,    116.0400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,2                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 4, 124.00,    116.4400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,+              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H, 5,  23.00,    116.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,3                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,1              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 13,H,CC,  14.00,    120.5600,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,+                           ,1              ,-                     ,+                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,+                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 14,H,CC,  10.00,    129.9200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,1              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 3,  23.00,    132.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,+                           ,-              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,1                       ,-                          ,+                    ,-                      ,-                  ,Fg                    ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 3,  84.00,    133.5400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,1              ,-                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 3, 123.00,    133.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,1              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,2                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 4,  23.00,    134.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,1                       ,-                          ,+                    ,-                      ,-                  ,+                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 5,  84.00,    136.5400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,10                         ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,3                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 5, 123.00,    136.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,11                   ,-                      ,-                  ,Fg                    ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 6,  23.00,    137.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,2                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 6,  84.00,    138.0400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,1              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H, 7,  23.00,    138.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,Fg                   ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 15,H,CC,  23.00,    139.6900,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,-                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,+              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 16,X, 1,  23.00,    139.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 16,X, 1, 127.00,    140.4700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 16,X, 3, 119.00,    143.3900,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,2                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,-                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 16,X, 5, 118.00,    146.3800,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,-                   ,+                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,1                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 16,X,CC,   8.00,    148.6700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,-              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,+                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 17,X,CC,  27.00,    151.8400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,+              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 18,X, 2,  23.00,    155.5300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,-                         ,-                           ,Fg             ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 18,X, 4,  23.00,    158.5300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,-                         ,-                           ,+              ,1                     ,-                          ,-                     ,2                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 18,X, 4,  84.00,    159.1400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,+                         ,-                           ,1              ,1                     ,-                          ,-                     ,2                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 18,X, 4, 123.00,    159.5300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,1                ,+                         ,-                           ,+              ,1                     ,-                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,1                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,2                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 18,X,CC,   0.00,    159.8000,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,+                     ,1                ,+                         ,-                           ,1              ,3                     ,1                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,2                       ,-                          ,1                    ,-                      ,-                  ,+                     ,-                       ,2                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 1,  23.00,    163.7300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,2                ,1                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,1                         ,-                           ,-              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 1,  83.00,    164.3300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,1                ,2                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,1                ,+                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 2,  23.00,    165.2300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,1                ,1                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,1                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 3,  23.00,    166.7300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,1                ,1                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,1                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 3,  84.00,    167.3400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,1                ,1                ,-                   ,1                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,+                         ,-                           ,-              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 3, 123.00,    167.7300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,Fg1               ,1                ,2                ,-                   ,1                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,1                           ,-              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 4,  23.00,    168.2300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,2                     ,-                ,+                         ,-                           ,-              ,1                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 4,  83.00,    168.8300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,1                ,3                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,2                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 5, 123.00,    170.7300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,1                ,1                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,Fg             ,-                     ,-                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,3                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 6,  83.00,    171.8300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,2                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,1              ,-                     ,-                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 6, 123.00,    172.2300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,Fg1               ,-                ,3                ,+                   ,+                       ,-                      ,-                     ,-                    ,-                   ,1                     ,-                ,1                         ,-                           ,1              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
