Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddellensis,Alabammina spp.,Allomorphina pacifica,Amphicoryna sp.,Ammodiscus spp.,Anomalinoides globulosus,Anomalinoides spp.,Astacolus spp.,Astrononion echolsi,Astrononion spp.,Bigenerina spp.,Bolivina huneri,Bolivina spp.,Brizalina pusilla,Brizalina spp.,Bulimina alazanensis,Bulimina spp.,Buliminella parvula,Buliminella spp.,Cassidulina spp.,Cassidulinoides tenuis,Caudamina spp.,Chilostomella oolina,Chilostomella spp.,Chrysalogonium crassitestum,Chrysalogonium  equisetiformis,Chrysalogonium spp.,Cibicides lobatulus,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides praemundulus,Cibicidoides wuellerstorfi,Cibicidoides robertsonianus,Cibicidoides spp,Cystammina pauciloculata,Cyclammina spp.,Dentalina spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina histrix,Eubuliminella exilis,Epistominella spp.,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fissurina formosa,Fissurina spp.,Fursenkoina bradyi,Fursenkoina spp.,Gaudryina pyramidata,Gaudryina spp.,Glandulina spp.,Glandulonodosaria spp.,Globulina spp.,Globobulimina pacifica,Globobulimina ovata,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina spp.,Glomospira charoides,Glomospira gordialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides orbicularis,Gyroidinoides spp.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia spp.,Karreriella bradyi,Karreriella chapapotensis,Karreriella spp.,Karrerulina coniformis,Laticarinina pauperata,Lenticulina orbicularis,Lenticulina spp.,Marginulina obesa,Martinotiella communis,Melonis barleeanum,Melonis pompilioides,Melonis sphaeroides,Myllostomella spp.,Neoeponides campester,Nodosarella robusta,Nonion affine,Nonion havanensis,Nonion spp.,Nodosaria spp.,Nuttallides truempyi,Nuttallides umbonifer,Nuttallides spp.,Oolina spp.,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina spp.,Planulina costata,Planulina renzi,Planulina spp.,Pleurostomella brevis,Pleurostomella sp.,Polymorphina spp.,Procerolagena gracillima,Pseudoglandulina glanduliniformis,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia spp.,Pyrgo murrhina,Pyrgo serrata,Pyrgo spp.,Pyrulina spp.,Quadrimorphina profunda,Quadrimorphina spp.,Quinqueloculina sp.,Rectuvigerina senni,Rectuvigerina striata,Recurvoides spp.,Reophax spp.,Reussella spinulosa,Reticulophragmium amplectens,Reticulophragmium spp.,Siphogenerinoides spp.,Siphonodosaria abyssorum,Siphonodosaria antillea,Siphonodosaria annulifera,Siphonodosaria hispidula,Siphonodosaria spinata,Siphonodosaria spp.,Sphaeroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectella earlandi,Stilostomella spp.,Textularia spp.,Triloculina spp.,Trochammina spp.,Trochamminoides spp.,Unilocular species,Tube-shaped agglutinated forms,Turrilina brevispira,Turrilina robertsi,Turrilina spp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina peregrina bradyiana,Uvigerina spp.,Valvulammina spp.,Vulvulina spinosa,Agglutinated gen. et sp. indet.,Calcareous gen. et sp. indet.,Cribrostomoides subglobosus,Cyclammina cancellata,Fissurina cucullata,Pyrgo lucernula,Trochamminoides olszewskii,Comment
321-U1337A-32X-2-W 74/76-FORAM29,321,U1337,A,32,32-2,X,2,W,74/76-FORAM29,0,0,292.44,292.44,G ,,,,,,,,,2,,,2,,,,,,,,,2,,,,,,,,,1,,,3,,,,,8,,10,,,,,1,,,,,,,,,,2,1,,,,,,,,,9,,,,,,2,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,1,,,,,,2,,2,1,,,1,,,,,,,,,3,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=18/82
321-U1337A-32X-4-W 38/40-FORAM,321,U1337,A,32,32-4,X,4,W,38/40-FORAM,0,0,295.08,295.08,G ,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,8,,3,,5,,,,,1,,,,,,,,,,3,,,,,,,,,,12,,,,,,2,1,3,,,,,,,,2,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=10/90
321-U1337A-32X-CC-PAL,321,U1337,A,32,32-CC,X,CC,PAL,,0,0,297.17,297.17,G ,,,,,,,,,2,,,8,,,,,,,,,,,,4,,,,,,,,,3,,1,,,49,,49,3,,,,10,5,,,,,,,,1,7,1,,,2,2,,,,,5,,,,,,19,7,,,,,2,,,,18,,1,,2,,,,,,,,,,,,9,,,58,3,,,,,,1,2,6,,1,,,2,,,,,,1,4,2,1,,,1,,,,,,,,1,12,,1,3,,3,,,,,4,,,,,,1,,,,,,,,,,,4,,7,,,,,,Bathymetry=LB-A; P/B=5/95
321-U1337A-33X-3-W 39/41-FORAM80,321,U1337,A,33,33-3,X,3,W,39/41-FORAM80,0,0,303.09,303.09,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,4,,1,,,,,1,,,,,,,,,,2,,,,2,,,,,,,,,,,,2,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,1,,2,,,,,,,,,,,2,,,,,,,,,,,,1,2,,,,,,Bathymetry=LB-A; P/B=9/81
321-U1337A-33X-5-W 39/41-FORAM82,321,U1337,A,33,33-5,X,5,W,39/41-FORAM82,0,0,306.09,306.09,G ,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,1,,,,,1,2,,14,,7,1,1,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,3,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,2,,,2,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=30/70
321-U1337A-33X-CC-PAL,321,U1337,A,33,33-CC,X,CC,PAL,,0,0,309.25,309.25,G ,,,,,,,,,2,,,7,,,,,,,,,,,1,,,,,,,6,,,,,3,,,38,,23,,,,,2,2,,,,,,,,,2,,,,,,,,,1,1,,,,,,8,2,2,,,,,,,,12,,1,,,,,,,,,,,,,,3,,,9,,,,,,,,2,,,,,,1,,,,,,1,4,4,3,,,4,,,,,,,,,2,,,3,,1,1,,,,1,,,,,,4,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-34X-3-W 63/65-FORAM,321,U1337,A,34,34-3,X,3,W,63/65-FORAM,0,0,312.93,312.93,G ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,6,,2,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,1,,,,,,Bathymetry=LB-A; P/B=3/93
321-U1337A-34X-6-W 63/65-FORAM,321,U1337,A,34,34-6,X,6,W,63/65-FORAM,0,0,317.43,317.43,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,9,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-34X-CC-PAL,321,U1337,A,34,34-CC,X,CC,PAL,,0,0,318.36,318.36,G ,,,,,,,,,2,,1,11,,,,,,,,,,,,,,,,,,,,,1,,15,7,,12,,21,6,1,,,4,1,,,,,,,,,2,,,,2,,,1,,,10,,,,,,17,,,,,,,,,,14,,,,,,1,,,,,,,,,,4,,,26,,,,,,,,3,1,,1,,,,,,,,,,1,1,1,,,1,,,2,,,,,,,,,,,2,2,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=7/93
321-U1337A-35X-4-W 50/52-FORAM,321,U1337,A,35,35-4,X,4,W,50/52-FORAM,0,0,323.9,323.9,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,,,5,,,,1,,,1,2,,,,,,,,,3,,,,1,,,,,,2,,,,,,4,,2,,,,2,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=14/86
321-U1337A-35X-6-W 50/52-FORAM,321,U1337,A,35,35-6,X,6,W,50/52-FORAM,0,0,326.9,326.9,G ,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,2,,,,,2,3,,10,,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=16/84
321-U1337A-35X-CC-PAL,321,U1337,A,35,35-CC,X,CC,PAL,,0,0,327.23,327.23,G ,,,,,,,,,,,,3,,,,,,,,,,,1,,,2,,,,,,,2,,10,2,,9,,1,2,,,,,,,,,,,,,,,,,,1,,,,1,,3,,,,,,11,6,5,,,,1,,,,8,,1,,1,,,,,,,,,,,,2,,,18,,,,,,,2,1,3,,1,,,2,,1,,,,,,,,,,,,,,,,,,,2,,1,2,,1,,,,,,,,,,,2,,,,,,,,,,,2,,1,,,,,,Bathymetry=LB-A; P/B=5/95
321-U1337A-36X-2-W 90/92-FORAM,321,U1337,A,36,36-2,X,2,W,90/92-FORAM,0,0,330.9,330.9,M ,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,6,,,1,,,,,3,,,,,,,,,,,,,,,,,,,5,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=9/91
321-U1337A-36X-4-W 90/92-FORAM,321,U1337,A,36,36-4,X,4,W,90/92-FORAM,0,0,333.9,333.9,M ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-36X-CC-PAL,321,U1337,A,36,36-CC,X,CC,PAL,,0,0,338.15,338.15,G ,,,,,,,,,3,,1,,,,,,,,,,,,1,,,,,,,3,,,1,,7,7,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,8,2,4,,,,1,,,,11,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,2,37,,,,,17,,,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-37X-2-W 78/80-FORAM,321,U1337,A,37,37-2,X,2,W,78/80-FORAM,0,0,340.28,340.28,G ,,,,,,,,,2,,,3,,,,,,,,,1,,,,,,,,,,,2,1,,3,2,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,16,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-37X-4-W 84/86-FORAM84,321,U1337,A,37,37-4,X,4,W,84/86-FORAM84,0,0,343.34,343.34,M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=99/1
321-U1337A-37X-CC-PAL,321,U1337,A,37,37-CC,X,CC,PAL,,0,0,347.64,347.64,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-38X-2-W 90/92-FORAM24,321,U1337,A,38,38-2,X,2,W,90/92-FORAM24,0,0,350.0,350.0,M ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,8,,1,2,,,,,,,,,,,1,,,2,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=10/90
321-U1337A-38X-CC-PAL,321,U1337,A,38,38-CC,X,CC,PAL,,0,0,352.65,352.65,G ,,,,,,,,,2,,,4,,,,,,,,,,,1,,,,,,,1,,,,,,1,,10,,,,1,,,1,2,,,,,,,,,4,,,,,4,,,,,1,,,,,,3,1,,,,,,,,,5,,,,1,,,,,,,,,,,,4,,,21,,,3,,,,,2,,,,,,,,,,,,,,1,2,,,2,,,2,,,,,,13,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=20/80
321-U1337A-39X-2-W 63/65-FORAM50,321,U1337,A,39,39-2,X,2,W,63/65-FORAM50,0,0,359.33,359.33,M ,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,1,4,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=45/55
321-U1337A-39X-4-W 62/64-FORAM47,321,U1337,A,39,39-4,X,4,W,62/64-FORAM47,0,0,362.32,362.32,M ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=11/89
321-U1337A-39X-CC-PAL,321,U1337,A,39,39-CC,X,CC,PAL,,0,0,366.85,366.85,G ,,,,,,,,,1,,,2,,,,,,,,,2,,1,,,,,,,3,,1,2,,10,5,,23,,,2,1,,,,,,,,,,,,,3,,,,1,,,,,,9,,,,,,11,5,2,,,,1,,,,4,,,,1,,,,,,,,,,,,2,,,27,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,7,,1,,,6,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=38/62
321-U1337A-40X-2-W 56/58-FORAM66,321,U1337,A,40,40-2,X,2,W,56/58-FORAM66,0,0,368.86,368.86,M ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,4,,,,,,1,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,5,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-40X-4-W 55/57-FORAM68,321,U1337,A,40,40-4,X,4,W,55/57-FORAM68,0,0,371.85,371.85,M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=15/35
321-U1337A-40X-CC-PAL,321,U1337,A,40,40-CC,X,CC,PAL,,0,0,376.47,376.47,G ,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,1,,,,,8,7,,8,,,1,4,,,1,,,,,,,,,,2,,,,2,,,,,,5,,,,,,15,1,3,,,,,,,,,4,,,1,,,,,,,,,,,,6,,,16,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,5,,,,,,Bathymetry=LB-A; P/B=65/35
321-U1337A-41X-2-W 64/66-FORAM93,321,U1337,A,41,41-2,X,2,W,64/66-FORAM93,0,0,378.54,378.54,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,,1,,,,,,1,,,2,,,,,,,,,,2,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=12/88
321-U1337A-41X-4-W 64/65-FORAM94,321,U1337,A,41,41-4,X,4,W,64/65-FORAM94,0,0,381.54,381.54,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,3,,3,,,,2,,,,1,,,,,,,,,3,,,,,,,,,,3,,,,,,4,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,Bathymetry=LB-A; P/B=13/87
321-U1337A-41X-CC-PAL,321,U1337,A,41,41-CC,X,CC,PAL,,0,0,386.06,386.06,G ,,,,,,,,,2,,,3,,,,,,,,,,,,,,2,,1,,,,1,,,13,1,,14,,,1,,,,1,2,,,,,,,,,3,,,,3,1,,,,,16,,,,,,11,3,4,,,,2,,,,4,,,,4,,,,,,,,,,,,1,,,26,,,,,,,,2,2,,,,,4,,,,,,,,1,,,,1,,,,,,,,,3,,,1,,2,1,,,,,,,,,,,1,,,,,,,,,,1,,5,,,,,,Bathymetry=LB-A; P/B=7/93
321-U1337A-42X-2-W 110/112-FORAM,321,U1337,A,42,42-2,X,2,W,110/112-FORAM,0,0,388.6,388.6,M ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,,,2,,,1,1,,,1,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,4,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=12/88
321-U1337A-42X-4-W 79/81-FORAM,321,U1337,A,42,42-4,X,4,W,79/81-FORAM,0,0,391.29,391.29,G ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,1,,,,,3,,,2,,,1,,,,1,1,,,,,,,,,4,,,,,,,,,,3,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,Bathymetry=LB-A; P/B=7/93
321-U1337A-42X-CC-PAL,321,U1337,A,42,42-CC,X,CC,PAL,,0,0,394.23,394.23,G ,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,3,,,2,,3,2,,21,,,2,2,,,2,1,,,,,,2,,,3,,,,1,1,,,,,4,,,,,,6,2,1,,,,2,,,,6,,,,2,,,,,,,,,,,,1,,,12,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-43X-3-W 79/82-FORAM53,321,U1337,A,43,43-3,X,3,W,79/82-FORAM53,0,0,399.39,399.39,G ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-43X-5-W 75/78-FORAM55,321,U1337,A,43,43-5,X,5,W,75/78-FORAM55,0,0,402.35,402.35,G ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-43X-CC-PAL,321,U1337,A,43,43-CC,X,CC,PAL,,0,0,405.14,405.14,G ,,,,,,,,,,,,9,,,,,,,,,,,,,,,,1,2,4,,,,,6,,,9,,,,1,,,,,,,,,,,,,1,,,,,,,,,,10,,,,,,3,2,1,,,,1,,,,6,,,,1,,,,,,,,,,,,,,,15,,,,,,,,3,,,,1,,,,3,,,,,,,,,,,,,,,,,,,4,,1,4,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,2,,,,,,Bathymetry=LB-A; P/B=7/93
321-U1337A-44X-3-W 0/2-FORAM74,321,U1337,A,44,44-3,X,3,W,0/2-FORAM74,0,0,407.9,407.9,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=3/93
321-U1337A-44X-6-W 0/2-FORAM75,321,U1337,A,44,44-6,X,6,W,0/2-FORAM75,0,0,412.4,412.4,M ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98
321-U1337A-44X-CC-PAL,321,U1337,A,44,44-CC,X,CC,PAL,,0,0,414.54,414.54,G ,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,,12,,,,,,,,,,,,,,,,,1,,,,3,,,,,,4,,,,,,4,1,,,,,,,,,3,,,,,,,,,,1,,,,,,2,,,13,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,11,,,,,10,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,Bathymetry=LB-A; P/B=9/81
321-U1337A-45X-2-W 61/62-FORAM13,321,U1337,A,45,45-2,X,2,W,61/62-FORAM13,0,0,416.61,416.61,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A
321-U1337A-45X-4-W 74/76-FORAM14,321,U1337,A,45,45-4,X,4,W,74/76-FORAM14,0,0,419.74,419.74,M ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=5/95
321-U1337A-45X-CC-PAL,321,U1337,A,45,45-CC,X,CC,PAL,,0,0,424.19,424.19,G ,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,4,,,,,13,,,2,,,1,,,,4,1,,,,,,,,,1,,,,1,,,1,,,6,,,,,,6,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,8,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=4/96
321-U1337A-46X-2-W 21/23-FORAM55,321,U1337,A,46,46-2,X,2,W,21/23-FORAM55,0,0,425.71,425.71,M ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,Bathymetry=LB-A; P/B=2/98
321-U1337A-46X-4-W 21/23-FORAM57,321,U1337,A,46,46-4,X,4,W,21/23-FORAM57,0,0,428.71,428.71,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-46X-CC-PAL,321,U1337,A,46,46-CC,X,CC,PAL,,0,0,433.49,433.49,M ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7,,,3,,,,,,,,,,,,,,2,,,,,,,,,,13,,,,,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=8/92
