Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Guexella nudata,Tricolocapsa sp. aff. T.(?) fusiformis,Tricolocapsa conexa,Stichocapsa robusta,Ristola altissima,Protunuma turbo,Parvicingula dhimenaesis,Hsuum maxwelli,Hsuum brevicostatum,Haliodictya(?) hojnosi,Eucyrtidiellum unumaense,Dictyomitrella(?) kamoensis,Archaeodictyomitra(?) amabilis,Acanthocircus suboblongus,Stylocapsa tecta,Theocapsomma cordis,Stylocapsa oblongula,Dicolocapsa conoformis,Stylocapsa catenarum,Stichocapsa sp. P,Paronaella mulleri,Mirifusus fragilis,Eucyrtidiellum nodosum,Podobursa helvetica,Emiluvia chica,Williriedellum sp. A,Stylocapsa(?) spiralis,Tetratrabs zealis,Stichocapsa doryspheroides,Gongylothorax sakawaensis,Andromeda sp. M,Zhamoidellum mikamense,Eucyrtidiellum ptyctum,Cyrtocapsa sp. A,Tricolocapsa yaoi,Perispyridium ordinarium,Gongylothorax sp. aff. G. favosus,Emiluvia hopsoni,Cinguloturris carpatica,Solenotryma(?) ichikawai,Spongocapsula palmerae,Acaeniotyle diaphorogona,Pseudodictyomitra (?) sp. D,Mirifusus guadalupensis,Eucyrtidiellum sp. P,Crucella theokaftensis,Protunuma japonicus,Pseudodictyomitra primitiva,Foremanella diamphidia,Napora pyramidalis,Protovallupus spp.,Spongocapsula sp. A,Mesovallupus guadalupensis,Vallupus hopsoni,Mirifusus mediodilatatus,Pseudodictyomitra carpatica,Parvicingula boesii,Archaeodictyomitra apiarium,Sethocapsa uterculus,Xitus spicularius,Thanarla pulchra,Sethocapsa cetia,Podocapsa amphitreptera,Podobursa triacantha,Parvicingula cosmoconica,Archaeodictyomitra pseudoscalaris,Archaeodictyomitra excellens,Alievium helenae,Acanthocircus trizonalis,Archaeodictyomitra brouweri var. alpha,Acanthocircus dicranacanthos,Syringocapsa agolarium,Acaeniotyle umbilicata,Cecrops septemporatus,Comment
  SR,Oxfordian        ,                 ,S. spiralis       ,NR2           ,129, 801,B, 33,R, 2,  14.00,    444.4400,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,+             ,+                  ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,+                   ,                 ,                  ,                  ,                      ,+                  ,+             ,+                   ,+                     ,                 ,                          ,                         ,               ,+                     ,+                     ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oxfordian        ,                 ,S. spiralis       ,NR2           ,129, 801,B, 33,R,CC,  11.00,    444.9500,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,+                  ,+                  ,+                ,               ,                        ,+             ,+                  ,                      ,                        ,                           ,                              ,+                        ,                ,                   ,                    ,                      ,                    ,                 ,                  ,+                 ,                      ,+                  ,+             ,                    ,+                     ,+                ,+                         ,+                        ,+              ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oxfordian        ,                 ,S. spiralis       ,NR2           ,129, 801,B, 34,R, 1,  15.00,    447.7500,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,                   ,                      ,+                       ,                           ,                              ,                         ,+               ,                   ,                    ,                      ,+                   ,                 ,                  ,                  ,                      ,                   ,+             ,                    ,+                     ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 34,R,CC,   0.00,    448.2900,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,+              ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,+                  ,                      ,+                       ,                           ,                              ,                         ,+               ,                   ,+                   ,                      ,+                   ,                 ,                  ,                  ,                      ,                   ,              ,+                   ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R, 1,  43.00,    452.7300,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,+              ,                                      ,+                  ,+                  ,                 ,               ,                        ,+             ,+                  ,                      ,                        ,                           ,                              ,                         ,+               ,+                  ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,+             ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R, 1,  76.00,    453.0600,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,+              ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,+                  ,                      ,+                       ,                           ,                              ,                         ,+               ,                   ,                    ,                      ,                    ,+                ,                  ,                  ,                      ,                   ,+             ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R, 2,  95.00,    454.7500,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,+                   ,+                     ,                    ,                 ,                  ,                  ,                      ,+                  ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R, 2, 138.00,    455.1800,Matsuoka ,Radiolarians                                 ,A              ,P                 ,+              ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,                   ,                      ,+                       ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R, 3,  24.00,    455.5400,Matsuoka ,Radiolarians                                 ,A              ,M                 ,+              ,                                      ,+                  ,+                  ,                 ,               ,                        ,+             ,+                  ,+                     ,+                       ,+                          ,                              ,                         ,+               ,+                  ,+                   ,                      ,+                   ,+                ,+                 ,+                 ,+                     ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 35,R,CC,   6.00,    455.6900,Matsuoka ,Radiolarians                                 ,A              ,P                 ,               ,                                      ,+                  ,+                  ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,+               ,+                  ,+                   ,+                     ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 36,R,CC,   3.00,    456.9300,Matsuoka ,Radiolarians                                 ,R              ,P                 ,               ,                                      ,+                  ,                   ,                 ,               ,                        ,+             ,                   ,                      ,                        ,+                          ,                              ,                         ,+               ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 37,R, 1,  16.00,    461.6600,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,+              ,+                                     ,+                  ,+                  ,+                ,+              ,+                       ,+             ,+                  ,+                     ,+                       ,+                          ,+                             ,+                        ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Callovian        ,                 ,T. conexa         ,NR5           ,129, 801,B, 39,R, 1,  16.00,    470.8600,Matsuoka ,Radiolarians                                 ,A              ,P                 ,+              ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
