Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina spp.	Hormosina ovulum-ovuloides	Haplophragmoides sp.	Glomospira gordialis	Verneuilinoides? sp.	Saccammina sp.	Saccammina placenta	Rhizammina spp.	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conversa	Hormosina velascoensis	Glomospira irregularis	Glomospira charoides	Dorothia sp.	Dendrophrya excelsa	Aschemocella grandis	Aschemocella carpathica	Ammodiscus tenuissima	Ammodiscus cf. peruvianus	Reophax spp.	Haplophragmoides walteri	Arenobulimina sp.	Subreophax sp.	Subreophax scalaris	Paratrochamminoides acervulatus	Karrerulina conformis	Hyperammina subdiscreta	Conotrochammina whangai	Karrerulina horrida	Ammosphaeroidina sp.	Tolypammina? sp.	Kalamopsis grzybowskii	Hyperammina laevigata	Ammodiscus cf. pennyi	Ammodiscus cretaceus	Subreophax pseudoscalaris	Glomospira serpens	Reticulophragmium amplectens	Lituotuba lituiformis	Glomospirella sp.	Uvigerina peregrina	Trifarina angulosa	Stilostomella spp.	Stilostomella antillea	Spiroplectammina spp.	Siphotextularia rolshauseni	Pullenia subcarinata	Pullenia bulloides	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nonion spp.	Miliolid taxa	Lagena spp.	Hopkinsina spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Florilus spp.	Fissurina spp.	Eponides weddellensis	Eponides tumidulus	Epistominella exigua	Discorbis spp.	Cibicidoides spp.	Cassidulina subglobosa	Bulimina alazanensis	Bolivina spp.	Uvigerina spp.	Tosaia hanzawai	Oolina spp.	Nonionella spp.	Nonion barleeanum	Lenticulina spp.	Gyroidina polius	Fursenkoina pontoni	Cassidulina reniforme	Bulimina aculeata	Brizalina spathulata	Brizalina lowmani	Bolivinita trunctum	Bolivina pygmaea	Bolivina inflata	Quinqueloculina seminulum	Eggerella bradyi	Cibicidoides mundulus	Turrila spp.	Epistominella takayanagii	Elphidium crispum	Brizalina pseudopunctata	Ammonia beccarii	Gyroidina spp.	Cibicidoides robertsonianus	Bolivina pseudoplicata	Laticarinina pauperata	Bulimina striata	Cibicides wuellerstorfi	Glandulina spp.	Dentalina spp.	Hyalina balthica	Uvigerina auberiana	Trifarina fluens	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Nonionella atlantica	Fursenkoina fusiformis	Cassidulina spp.	Cassidulina laevigata	Bulimina marginata	Laticarinina halophora	Anomalina globulosa	Fursenkoina pauciloculata	Valvulineria laevigata	Bolivina arctica	Astrononion gallowayi	Bolivina decussata	Ammobaculites agglutinans	Spiroloculina spp.	Islandiella teretis	Nonion auriculata	Elphidium excavatum	Psammosphaera fusca	Comment
  SR	Early Eocene     	                 	                  	              	149	 900	A	 77	R	 1	  11.00	    720.1100	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	1                   	                    	              	                   	               	4               	12              	                        	                    	                      	                      	10                  	            	                   	                    	                       	                     	                         	            	                        	                 	              	3                  	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	10 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 77	R	 1	  92.00	    720.9200	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	1               	16              	                        	                    	                      	                      	6                   	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 77	R	 2	  20.00	    721.7000	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	2               	5               	5                       	                    	                      	                      	2                   	            	1                  	                    	                       	                     	                         	            	                        	                 	1             	5                  	1                              	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	5 indet. aggl. fragments. 10 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Early Eocene     	                 	                  	              	149	 900	A	 77	R	 2	 129.00	    722.7900	Kuhnt    	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	3                       	                    	                      	                      	4                   	            	66                 	                    	                       	                     	                         	1           	3                       	4                	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	Haplophragmoides walteri questionable identity.15 indet. aggl. fragments. redeposited calcareous foraminifera recorded as x(?). 2 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Paleocene        	                 	                  	              	149	 900	A	 78	R	 1	 128.00	    730.9800	Kuhnt    	Benthic Foraminifers                         	               	                  	                	2                         	3                   	1                   	1                   	2             	1                  	2              	14              	25              	16                      	7                   	1                     	5                     	5                   	1           	11                 	1                   	1                      	3                    	4                        	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	Aschemocella grandis questionable identity. 8 indet. aggl. fragments. 3 ichthyoliths. from 149 SR. Chapter 8. Table 4. pages 206-207.

  SR	Paleocene        	                 	                  	              	149	 900	A	 78	R	 2	   9.00	    731.2900	Kuhnt    	Benthic Foraminifers                         	               	                  	3               	2                         	1                   	1                   	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	                      	           	             	           	               	                    	              	                  	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	4 indet. aggl. fragments. 1 Aragonia velascoensis (redeposited?). from 149 SR. Chapter 8. Table 4. pages 206-207.

