Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acarinina nitida,Morozovella quetra,Subbotina velascoensis,Acarinina mckannai-subsphaerica,Morozovella subbotinae,Acarinina soldadoensis,Acarinina primitiva,Morozovella aragonensis,Acarinina triplex,Muricoglobigerina senni,Acarinina pentacamerata,Acarinina wilcoxensis,Morozovella lensiformis,Morozovella formosa gracilis,Morozovella caucasica,Acarinina matthewsae,Subbotina linaperta,Subbotina eocaenica,Globigerina lozanoi,Globorotaloides sp. aff. carcosellensis,Catapsydrax martini,Acarinina rugosoaculeata,Truncorotaloides rohri,Globorotaloides suteri,Acarinina bullbrooki,Subbotina hagni,Catapsydrax unicavus,Turborotalia cerroazulensis frontosa,Subbotina angiporoides minima,Turborotalia griffinae,Subbotina eocaena,Pseudohastigerina micra,Globigerinatheka index,Globigerina praebulloides,Tenuitella gemma,Globorotaloides testarugosa,Globigerina angustiumbilicata,Dentoglobigerina galavisi,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina umbilicata,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina incisa,Orbulina spp.,Globigerina quinqueloba,Comment
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 77,X, 3, 120.00,    734.1000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,R                       ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 77,X, 5,  80.00,    736.7000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,F                   ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 77,X,CC,   8.00,    736.9800,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 78,X, 1, 121.00,    740.9100,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,                                       ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 78,X, 2, 120.00,    742.4000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,                                       ,                   ,                        ,                      ,F                     ,F                   ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 78,X, 5, 123.00,    746.9300,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,R                  ,                       ,                 ,R                      ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,                   ,                   ,R                                      ,                   ,                        ,                      ,R                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 78,X, 6, 121.00,    748.4100,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,F                  ,                       ,                 ,F                      ,                       ,                     ,                       ,                            ,                     ,                    ,F                  ,                   ,                   ,R                                      ,F                  ,                        ,                      ,F                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 79,X, 1, 120.00,    750.7000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,R                ,F                      ,                       ,                     ,                       ,                            ,                     ,R                   ,F                  ,                   ,                   ,R                                      ,F                  ,R                       ,R                     ,F                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 79,X, 3, 120.00,    753.7000,Basov    ,Planktonic Foraminifers                      ,F              ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,F                ,F                      ,                       ,                     ,                       ,                            ,                     ,R                   ,F                  ,                   ,                   ,R                                      ,F                  ,R                       ,R                     ,F                     ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 79,X,CC,  29.00,    754.2900,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,R                ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,R                  ,                   ,R                                      ,R                  ,R                       ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 80,X,CC,   7.00,    759.4700,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,R                ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,R                  ,                   ,R                                      ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,145, 883,B, 81,X,CC,  13.00,    769.3300,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,R                ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,R                  ,                   ,R                                      ,R                  ,R                       ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 1, 120.00,    780.4000,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                      ,C                              ,                      ,F                     ,                   ,                       ,F                ,F                      ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 2, 120.00,    781.9000,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,                ,                  ,                      ,A                              ,F                     ,F                     ,                   ,F                      ,F                ,C                      ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,R                  ,R                  ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 3, 118.00,    783.3800,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,                ,                  ,                      ,C                              ,C                     ,C                     ,                   ,F                      ,C                ,F                      ,                       ,                     ,                       ,                            ,                     ,                    ,R                  ,R                  ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 4, 120.00,    784.9000,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,C               ,                  ,                      ,                               ,C                     ,C                     ,C                  ,C                      ,C                ,                       ,                       ,                     ,                       ,                            ,                     ,R                   ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 5, 120.00,    786.4000,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,                ,                  ,R                     ,R                              ,C                     ,F                     ,                   ,C                      ,C                ,                       ,                       ,R                    ,R                      ,R                           ,R                    ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X, 6, 120.00,    787.9000,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,C               ,                  ,                      ,                               ,C                     ,F                     ,F                  ,                       ,C                ,                       ,                       ,R                    ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 82,X,CC,  50.00,    789.2800,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,C               ,                  ,                      ,                               ,C                     ,                      ,C                  ,C                      ,C                ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 83,X, 1, 120.00,    790.4000,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                      ,R                              ,C                     ,                      ,C                  ,R                      ,C                ,F                      ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 83,X, 2, 120.00,    791.9000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,                      ,                               ,                      ,R                     ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 83,X, 3, 120.00,    793.4000,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,                ,                  ,                      ,F                              ,R                     ,F                     ,C                  ,F                      ,C                ,R                      ,R                      ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 83,X, 4, 112.00,    794.8200,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,C               ,                  ,                      ,R                              ,R                     ,R                     ,C                  ,                       ,C                ,F                      ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P8                ,              ,145, 883,B, 83,X,CC,  34.00,    795.1900,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,C               ,                  ,                      ,F                              ,C                     ,F                     ,C                  ,F                      ,C                ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P6                ,              ,145, 883,B, 84,X, 1,  60.00,    799.8000,Basov    ,Planktonic Foraminifers                      ,A              ,G                 ,                ,                  ,R                     ,R                              ,C                     ,F                     ,C                  ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,P6                ,              ,145, 883,B, 84,X,CC,  12.00,    800.1200,Basov    ,Planktonic Foraminifers                      ,C              ,M                 ,C               ,                  ,F                     ,C                              ,R                     ,F                     ,C                  ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,145, 883,B, 86,X, 1, 120.00,    819.7000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,                  ,F                     ,F                              ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,145, 883,B, 86,X, 4, 120.00,    824.2000,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,                ,R                 ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,145, 883,B, 86,X, 5,  62.00,    825.1200,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R               ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Paleocene   ,                 ,                  ,              ,145, 883,B, 86,X,CC,  28.00,    825.4300,Basov    ,Planktonic Foraminifers                      ,R              ,P                 ,R               ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,                                      ,                                    ,                    ,                       ,                      ,                     ,                                       ,                  ,             ,                       ,"from Leg 145 SR; Ch 9; Table 1; p. 160,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
