Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globoquadrina tripartita,Globoquadrina sellii,Globoquadrina binaiensis,Globigerina euapertura,Globigerina ciperoensis,Globigerina angulisuturalis,Dentoglobigerina globularis,Dentoglobigerina galavisi,Catapsydrax dissimilis,Globorotalia pseudokugleri,Globorotalia kugleri,Globigerinoides ruber s.l.,Clavatorella bermudezi,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globigerinoides primordius,Globigerinita glutinata,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira globosa,Globigerinoides altiaperturus,Globigerinatella insueta,Catapsydrax stainforthi,Globigerinoides bisphericus,Globorotalia praescitula,Sphaeroidinellopsis disjuncta,Globigerinoides diminutus,Globorotalia peripheroronda,Globorotaloides variabilis,Praeorbulina sicana,Praeorbulina glomerosa curva,Globorotalia peripheroacuta,Orbulina suturalis,Globorotalia scitula,Globorotalia praefohsi,Globorotalia fohsi fohsi,Globorotalia miozea,Orbulina universa,Globorotalia fohsi robusta,Globorotalia fohsi lobata,Globorotalia menardii s.l.,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globigerinoides obliquus obliquus,Globorotaloides hexagona,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Neogloboquadrina humerosa,Candeina nitida,Globigerinoides conglobatus,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia juanai,Globorotalia tumida tumida,Sphaeroidinella dehiscens,Globorotalia margaritae,Globorotalia tumida flexuosa,Beella digitata,Globorotalia crassaformis,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globoquadrina conglomerata,Globigerinoides elongatus,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 15,H, 4, 120.00,    136.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,                       ,+                            ,+                        ,                        ,                    ,+?                      ,                      ,                       ,                           ,                           ,                         ,+?                    ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,+?                                ,+?                                ,+?                           ,+                       ,                       ,                           ,                        ,                             ,+?                       ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 15,H, 5, 120.00,    138.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,                                  ,                                  ,+?                           ,                        ,+?                     ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 15,H, 6, 120.00,    139.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,                       ,+                            ,+                        ,                        ,                    ,+?                      ,                      ,                       ,                           ,                           ,                         ,+?                    ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,+                      ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,+                          ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. fish remains rare. calcareous aggregates few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 15,H,CC,  19.00,    140.7900,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+?                                ,                                  ,                             ,                        ,                       ,+                          ,+?                      ,+                            ,                         ,                           ,+?                        ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 16,H, 1, 120.00,    142.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+?                        ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,                                  ,                             ,+                       ,                       ,+                          ,+                       ,+                            ,                         ,+?                         ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 16,H, 2, 120.00,    143.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,+                            ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+?                        ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,+?                                ,                             ,+                       ,                       ,+                          ,+                       ,+                            ,+                        ,+?                         ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 16,H, 3, 120.00,    145.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,                       ,+                            ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,                                  ,                             ,+                       ,                       ,+                          ,                        ,+                            ,+                        ,+                          ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,115, 709,C, 16,H, 4, 120.00,    146.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+?                    ,                       ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+?                    ,                          ,                    ,+                         ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,+                            ,+                       ,+?                     ,+                          ,+?                      ,+                            ,+                        ,+                          ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 16,H, 5, 120.00,    148.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+?                       ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,+                            ,+                       ,                       ,+                          ,                        ,+?                           ,+                        ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 16,H, 6, 120.00,    149.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,+                      ,+                            ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,+?                        ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,+                            ,+                       ,+?                     ,+                          ,+?                      ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. foraminifers embedded rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 16,H,CC,  13.00,    150.6200,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+?                       ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,+?                                ,                             ,+                       ,+?                     ,+                          ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 1, 120.00,    151.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,+                                 ,                                  ,                             ,+                       ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 2, 120.00,    153.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+?                    ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,+                                 ,                                  ,                             ,+                       ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 3, 120.00,    154.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+?                    ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,+                            ,+                       ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 4, 120.00,    156.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,+                       ,+                      ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 5, 107.00,    157.5700,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,+                      ,+                            ,+                        ,                        ,                    ,+?                      ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,+                       ,+                      ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H, 6, 120.00,    159.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,+                      ,+                           ,+                                 ,+?                                ,                             ,+                       ,+?                     ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 17,H,CC,  12.00,    160.1900,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,                    ,+?                      ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,+                          ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,+                       ,+?                     ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N6                ,              ,115, 709,C, 18,H, 1, 120.00,    161.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+?                    ,+                      ,+                            ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,+                                 ,+                            ,+                       ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
