Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Theocotyle venezuelensis,Theocotyle conica,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis sinuosa,Podocyrtis dorus,Phormocyrtis striata striata,Lophocyrtis biaurita,Lithocyclia ocellus,Lithochytris vespertilio,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Sethochytris bablylonis,Podocyrtis fasciolata,Lychnocanoma bellum,Podocyrtis mitra,Podocyrtis chalara,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Tristylospyris triceros,Podocyrtis goetheana,Lophocyrtis jacchia,Lithocyclia crux,Lithocyclia aristotelis,Dictyoprora pirum,Cryptoprora ornata,Carpocanistrum azyx,Calocyclas turris,Calocyclas bandyca,Lithocyclia angusta,Artophormis gracilis,Theocyrtis tuberosa,Artophormis barbadensis,Theocorys spongoconus,Comment
  SR,                 ,                 ,P. mitra          ,              ,115, 709,C, 35,X,CC,  32.00,    333.9500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                      ,F                    ,R                  ,                        ,                 ,R                       ,F                   ,-                 ,                ,R                           ,R                   ,F                  ,F                       ,R                 ,C                       ,C                      ,C                 ,C                      ,R                    ,F                  ,F               ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. ampla          ,              ,115, 709,C, 36,X, 2,  70.00,    336.3000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,R                  ,                        ,                 ,-                       ,F                   ,C                 ,                ,R                           ,R                   ,R                  ,F                       ,R                 ,C                       ,C                      ,F                 ,F                      ,C                    ,R                  ,F               ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. ampla          ,              ,115, 709,C, 36,X,CC,  35.00,    339.7000,Johnson  ,Radiolarians                                 ,C              ,M                 ,F                      ,F                    ,R                  ,                        ,                 ,-                       ,-                   ,C                 ,-               ,R                           ,F                   ,F                  ,F                       ,R                 ,C                       ,C                      ,F                 ,F                      ,C                    ,R                  ,-               ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. ampla          ,              ,115, 709,C, 37,X, 2,  70.00,    346.1000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,R                  ,                        ,                 ,-                       ,-                   ,C                 ,-               ,R                           ,F                   ,R                  ,R                       ,F                 ,R                       ,C                      ,R                 ,R                      ,-                    ,R                  ,-               ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. ampla          ,              ,115, 709,C, 37,X, 4,  70.00,    349.1000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                      ,C                    ,C                  ,-                       ,                 ,-                       ,-                   ,C                 ,-               ,R                           ,F                   ,R                  ,F                       ,F                 ,R                       ,C                      ,C                 ,F                      ,-                    ,R                  ,                ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. ampla          ,              ,115, 709,C, 37,X, 6,  70.00,    352.1000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                      ,C                    ,F                  ,-                       ,-                ,-                       ,-                   ,C                 ,F               ,R                           ,R                   ,R                  ,C                       ,F                 ,-                       ,C                      ,F                 ,F                      ,                     ,                   ,                ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. triacantha     ,              ,115, 709,C, 37,X,CC,  32.00,    353.4800,Johnson  ,Radiolarians                                 ,C              ,M                 ,C                      ,C                    ,F                  ,R                       ,R                ,-                       ,-                   ,C                 ,F               ,R                           ,R                   ,R                  ,C                       ,F                 ,-                       ,F                      ,F                 ,                       ,                     ,                   ,                ,                  ,                         ,                   ,                       ,                    ,                   ,                ,                       ,                 ,                  ,                   ,                 ,                  ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
