Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus oddgurneri,Trisolenia megalactis megalactis,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Gondwanaria japonica kiaeri,Eucyrtidium saccoi,Eucyrtidium biconicum,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella eldholmi,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris jubata,Corythospyris jjubata sverdrupi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris vogti,Clathrospyris sandellae,Ceratocyrtis manumi,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Actinomma plasticum,Actinomma mirabile,Actinomma livae,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X, 6, 105.00,    175.3500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,C                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 19,X,CC,  46.00,    176.2600,Goll     ,Radiolarians                                 ,R              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,SP                ,-                    ,-                        ,T                      ,-                     ,-                     ,SP                                ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 20,X, 1, 105.00,    177.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,C                 ,SP                   ,-                        ,T                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. d. cornutoides ,              ,104, 643,A, 20,X, 2, 105.00,    178.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,T                      ,-                               ,-                   ,-                       ,-                ,R                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,A                 ,SP                   ,-                        ,R                      ,-                     ,-                     ,VA                                ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. vitabilis      ,              ,104, 643,A, 20,X, 3, 105.00,    180.3500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,C                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,SP                    ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. vitabilis      ,              ,104, 643,A, 20,X, 4, 105.00,    181.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,R                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,T                     ,-                          ,C                 ,SP                   ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. vitabilis      ,              ,104, 643,A, 20,X, 5, 105.00,    183.3500,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,SP                     ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,C                 ,R                    ,-                        ,SP                     ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 20,X, 6, 105.00,    184.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,A                 ,SP                   ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,SP                    ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 20,X,CC,  33.00,    186.0100,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,R                 ,T                    ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,T                    ,SP                    ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 21,X, 1,  35.00,    186.1500,Goll     ,Radiolarians                                 ,A              ,G                 ,R                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,C                           ,-                ,-                    ,-                                ,-                 ,-                 ,T                     ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,T                   ,T                              ,-                    ,SP                    ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 21,X, 2,  30.00,    187.6000,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,R                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 21,X, 3,  23.00,    189.0300,Goll     ,Radiolarians                                 ,A              ,G                 ,VA                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,C                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,SP                ,-                    ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 21,X,CC,  33.00,    191.0500,Goll     ,Radiolarians                                 ,C              ,G                 ,VA                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,-                         ,A                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,R                 ,R                    ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 1, 105.00,    196.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,A                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,SP                          ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 2, 105.00,    197.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,VA                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,R                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,SP                    ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 3, 105.00,    199.3500,Goll     ,Radiolarians                                 ,C              ,G                 ,VA                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,A                  ,-                    ,-                         ,C                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 4, 105.00,    200.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,R                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,R                              ,-                    ,T                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 5, 105.00,    202.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,C                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,T                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X, 6, 105.00,    203.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,A                  ,-                    ,-                         ,C                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,R                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,                    ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 22,X,CC,  33.00,    205.0200,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,SP                          ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,T                   ,T                              ,-                    ,T                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,SP                  ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 23,X, 1, 105.00,    206.1500,Goll     ,Radiolarians                                 ,C              ,G                 ,SP                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,SP                          ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,R                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,R                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 23,X, 2, 105.00,    207.6500,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,SP                          ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,R                     ,-                  ,A                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 23,X, 3, 105.00,    209.1500,Goll     ,Radiolarians                                 ,A              ,G                 ,SP                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,-                         ,R                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,C                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. amundseni      ,              ,104, 643,A, 23,X, 4, 105.00,    210.6500,Goll     ,Radiolarians                                 ,C              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,R                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,T                              ,-                    ,R                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 23,X, 5, 105.00,    212.1500,Goll     ,Radiolarians                                 ,C              ,G                 ,SP                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,R                   ,R                              ,-                    ,SP                    ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 23,X, 6, 105.00,    213.6500,Goll     ,Radiolarians                                 ,F              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,R                   ,SP                             ,-                    ,C                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 23,X,CC,  32.00,    214.8900,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,SP                  ,SP                             ,-                    ,A                     ,-                  ,T                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 1, 105.00,    215.9500,Goll     ,Radiolarians                                 ,C              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,R                              ,-                    ,R                     ,-                  ,R                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 2, 105.00,    217.4500,Goll     ,Radiolarians                                 ,F              ,G                 ,SP                     ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,SP                             ,-                    ,D                     ,-                  ,R                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 3, 105.00,    218.9500,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,SP                ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,A                              ,-                    ,D                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 4, 105.00,    220.4500,Goll     ,Radiolarians                                 ,F              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VA                    ,-                          ,-                 ,R                    ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,C                              ,-                    ,A                     ,-                  ,R                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 5, 105.00,    221.9500,Goll     ,Radiolarians                                 ,A              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,R                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,SP                  ,C                              ,-                    ,D                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X, 6,  25.00,    222.6500,Goll     ,Radiolarians                                 ,C              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,C                              ,-                    ,C                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 24,X,CC,  33.00,    224.6500,Goll     ,Radiolarians                                 ,F              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VA                    ,-                          ,R                 ,-                    ,-                        ,                       ,-                     ,-                     ,-                                 ,-                    ,-                   ,SP                             ,-                    ,C                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 25,X, 1, 105.00,    225.7500,Goll     ,Radiolarians                                 ,C              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,T                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,T                 ,-                    ,-                        ,T                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,SP                             ,-                    ,D                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. jubata sverdrupi,              ,104, 643,A, 25,X, 2, 105.00,    227.2500,Goll     ,Radiolarians                                 ,F              ,G                 ,C                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,A                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
