Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis ponticula spinosa,Naviculopsis ponticula ponticula,Naviculopsis constricta,Naviculopsis biapiculata,Dictyocha spp.,Corbisema triacantha,Corbisema archangelskiana,Bachmannocena  diodon,Bachmannocena apiculata apiculata,Distephanus pseudofibula,Dictyocha pygmaea,Bachmannocena  borderlandensis,Bachmannocena dumitricae,Distephanus quinquangellus,Comment
  SR,                 ,                 ,                  ,              ,114, 704,B, 29,X, 3,  80.00,    265.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,S                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 29,X, 4,  80.00,    266.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 29,X, 5,  80.00,    268.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 29,X, 6,  80.00,    269.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,R                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 30,X, 1,  80.00,    271.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 30,X, 2,  80.00,    273.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 30,X, 7,  80.00,    278.5000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,F                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 30,X, 8,  80.00,    280.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,R                    ,                                 ,-                       ,-                ,-                             ,VR                      ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B, 31,X, 1,  80.00,    281.0000,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                                ,                       ,                        ,-             ,                    ,                         ,-                    ,                                 ,-                       ,-                ,-                             ,-                       ,                          ,from ODP Leg 114 SR Chapter 41 Table 4 p.765-770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
