Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra bisecta,Discoaster deflandrei,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Sphenolithus ciperoensis,Pyrocyclus orangensis,Coronocyclus nitescens,Helicosphaera euphratis,Bicolumnus ovatus,Helicosphaera recta,Chiasmolithus altus,Zygrhablithus bijugatus,Syracosphaera sp.,Bramletteius serraculoides,Triquetrorhabdulus carinatus,Pontosphaera sp.,Helicosphaera sp.,Helicosphaera perch-nielseniae,Helicosphaera intermedia,Reticulofenestra spp. small,Discoaster druggii,Discoaster sp.,Reticulofenestra pseudoumbilica,Discoaster calculosus,Sphenolithus heteromorphus,Sphenolithus conicus,Helicosphaera obliqua,Calcidiscus macintyrei,Sphenolithus dissimilis,Sphenolithus belemnos,Umbilicosphaera sibogae,Discoaster adamanteus,Calcidiscus leptoporus,Pedinocyclus larvalis,Discoaster sp. cf. D. deflandrei (with web),Discoaster variabilis,Discoaster exilis,Helicosphaera carteri,Comment
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 74,R, 1,  23.00,   1288.2300,Firth    ,Nannofossils                                 ,R              ,P                 ,R                        ,                       ,                      ,                         ,R                       ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 75,R, 5,  72.00,   1304.3500,Firth    ,Nannofossils                                 ,C              ,M                 ,F                        ,F                      ,                      ,                         ,F                       ,R                    ,F                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 75,R,CC,   9.00,   1307.2400,Firth    ,Nannofossils                                 ,R              ,M                 ,                         ,R                      ,                      ,                         ,R                       ,                     ,R                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 76,R, 7,  39.00,   1316.4399,Firth    ,Nannofossils                                 ,C              ,P                 ,R                        ,F                      ,                      ,                         ,F                       ,R                    ,F                          ,F                    ,R                       ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 77,R, 6, 132.00,   1325.6899,Firth    ,Nannofossils                                 ,R              ,M                 ,                         ,                       ,                      ,                         ,R                       ,                     ,R                          ,                     ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 78,R,CC,  11.00,   1336.4600,Firth    ,Nannofossils                                 ,F              ,P                 ,R                        ,                       ,                      ,                         ,R                       ,                     ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 79,R,CC,  14.00,   1344.2000,Firth    ,Nannofossils                                 ,F              ,M                 ,R                        ,R                      ,                      ,                         ,R                       ,                     ,F                          ,R                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP19b         ,126, 793,B, 81,R, 1,  86.00,   1356.5601,Firth    ,Nannofossils                                 ,F              ,P                 ,R                        ,F                      ,R                     ,R                        ,F                       ,R                    ,C                          ,F                    ,                        ,                        ,                     ,                      ,                       ,                 ,                   ,                   ,                       ,                 ,                          ,                            ,                ,                 ,                              ,                        ,                           ,                  ,              ,                               ,                     ,                          ,                    ,                     ,                      ,                       ,                     ,                       ,                     ,                      ,                     ,                                           ,                     ,                 ,                     ,from ODP 126 SR Chapter 16 Table 7 p 252-253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
