Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerinelloides multispinus,Heterohelix globulosa,Hedbergella aff. monmouthensis,Hedbergella sp.,Heterohelix planata,Subbotina varianta,Subbotina sp.,Chiloguembelina sp.,Acarinina mckannai,Subbotina triloculinoides,Igorina pusilla,Acarinina esnaensis,Acarinina sp.,Globanomalina pseudomenardii,Globanomalina chapmani,Subbotina velascoensis,Subbotina triangularis,Subbotina quadrata,Morozovella tadjikistanensis,Igorina convexa,Igorina albeari,Acarinina acarinata,Acarinina soldadoensis,Planorotalites australiformis,Chiloguembelina wilcoxensis,Acarinina primitiva,Subbotina patagonica,Morozovella subbotinae,Morozovella gracilis,Acarinina wilcoxensis,Acarinina pseudotopilensis,Subbotina inaequispira,Pseudohastigerina wilcoxensis,Morozovella lensiformis,Igorina broedermanni,Acarinina pentacamerata,Acarinina angulosa,Morozovella aragonensis,Acarinina bullbrooki,Subbotina frontosa,Pseudohastigerina micra,Globigerinatheka senni,Subbotina linaperta,Subbotina angiporoides,Morozovella spinulosa,Globorotaloides turgida,Globigerinatheka index,Chiloguembelina cubensis,Acarinina spinuloinflata,Acarinina collactea,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP18              ,              ,120, 748,C, 30,R, 2,  38.00,    437.3400,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,                              ,                     ,                              ,+              ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 30,R, 2,  42.00,    437.3800,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,+                             ,               ,+                  ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 33,R, 1,  33.00,    464.3300,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,+                             ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 39,R,CC,  31.00,    524.2400,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,                              ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 40,R, 1,  22.00,    530.7200,Quilty   ,Planktonic Foraminifers                      ,               ,                  ,+                             ,                     ,                              ,               ,                   ,                  ,             ,                   ,                  ,                         ,               ,                   ,             ,                            ,                      ,                      ,                      ,                  ,                            ,               ,               ,                   ,                      ,                             ,                           ,                   ,                    ,                      ,                    ,                     ,                          ,                      ,                             ,                       ,                    ,                       ,                  ,                       ,                    ,                  ,                       ,                      ,                   ,                      ,                     ,                       ,                      ,                        ,                        ,                   ,from ODP Leg 120 SR Vol 1 Chapter 22 Table 3 p 374
