Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Blefuscuiana daminiae	Praehedbergella ruka contritus	Hedbergella kuznetsovae	Globigerinelloides ferreolensis	Blefuscuiana rudis sensu stricto	Blefuscuiana hispaniae	Praehedbergella tuschepsensis grigelisi	Praehedbergella tatianae	Leupoldina cabri	Guembelitriella graysonensis	Globigerinelloides barri	Globigerinelloides algerianus	Blefuscuiana aptiana orientalis	Hedbergella infracretacea	Blefuscuiana excelsa cumulus	Blefuscuiana convexa	Praehedbergella tuschepsensis perforare	Hedbergella trocoidea	Hedbergella bizonae	Globigerinelloides aptiense	Blefuscuiana infracretacea occidentalis	Blefuscuiana albiana	Hedbergella delrioensis	Hedbergella gorbachikae	Hedbergella rischi	Hedbergella planispira	Favusella hiltermanni	Rotalipora appenninica	Whiteinella baltica	Hedbergella loetterlei	Globigerinelloides bentonensis	Archaeoglobigerina blowi	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana linneiana	Contusotruncana fornicata	Marginotruncana undulata	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Globotruncana lapparenti	Pseudotextularia brownei	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Globigerinelloides messinae	Globigerinelloides alvarezi	Globotruncana ventricosa	Globotruncana arca	Contusotruncana plummerae	Pseudotextularia elegans	Pseudoguembelina excolata	Globotruncanella havanensis	Rugoglobigerina pennyi	Globotruncanita stuarti	Globotruncanita conica	Contusotruncana contusa	Rugoglobigerina rugosa	Rugotruncana subpennyi	Rugoglobigerina hexacamerata	Laeviheterohelix glabrans	Rugotruncana subcircumnodifer	Pseudoguembelina palpebra	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Gansserina gansseri	Rugoglobigerina macrocephala	Globotruncanella citae	Woodringina hornerstownensis	Ventilabrella multicamerata	Abathomphalus intermedius	Praemurica pseudoinconstans	Parasubbotina pseudobulloides	Globoconusa daubjergensis	Globanomalina archeocompressa	Eoglobigerina eobulloides	Subbotina velascoensis	Subbotina triloculinoides	Subbotina cancellata	Parasubbotina varianta	Morozovella angulata	Acarinina nitida	Igorina albeari	Morozovella velascoensis	Morozovella conicotruncata	Globanomalina pseudomenardii	Morozovella occlusa	Acarinina subsphaerica	Morozovella pasionensis	Morozovella aequa	Globanomalina chapmani	Globanomalina australiformis	Morozovella subbotinae	Morozovella marginodentata	Morozovella edgari	Acarinina soldadoensis	Acarinina quetra	Subbotina eocaena	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Igorina broedermanni	Acarinina primitiva	Acarinina bullbrooki	Morozovella aragonensis	Globigerinatheka senni	Truncorotaloides rohri	Morozovella spinulosa	Hantkenina bolivariana	Acarinina spinuloinflata	Acarinina pentacamerata	Turborotalia pomeroli	Turborotalia cerroazulensis	Subbotina praeturritilina	Subbotina frontosa	Globigerinatheka mexicana	Globigerinatheka subconglobata	Globigerina corpulenta	Chiloguembelina cubensis	Acarinina matthewsae	Turborotalia possagnoensis	Morozovella lehneri	Globigerinatheka kugleri	Subbotina hagni	Subbotina cryptomphala	Hantkenina alabamensis	Globigerinatheka index	Globigerinatheka beckmanni	Turborotalia increbescens	Turborotalia cunialensis	Turborotalia ampliapertura	Globoquadrina tripartita	Globigerina praebulloides	Turborotalia pseudoampliapertura	Globigerina officinalis	Globigerina euapertura	Catapsydrax dissimilis	Hantkenina primitiva	Globigerina ouachitaensis	Globigerina yeguaensis	Globigerina venezuelana	Globigerina tapuriensis	Globigerina pseudovenezuelana	Pseudohastigerina naguewichiensis	Globigerina cryptomphala	Globigerina sellii	Subbotina gortanii	Subbotina angiporoides	Paragloborotalia opima nana	Paragloborotalia opima opima	Globigerina ciperoensis	Globigerina angulisuturalis	Globoquadrina praedehiscens	Zeaglobigerina woodi	Sphaeroidinellopsis disjuncta	Globoquadrina dehiscens	Globoquadrina binaiensis	Globigerinoides trilobus	Globigerinoides immaturus	Globigerina angustiumbilicata	Fohsella peripheroronda	Fohsella birnageae	Dentoglobigerina altispira	Neogloboquadrina continuosa	Praeorbulina sicana	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides bisphericus	Jenkinsella mayeri	Fohsella fohsi fohsi	Orbulina suturalis	Zeaglobigerina druryi	Fohsella lobata	Fohsella robusta	Globorotalia praemenardii	Comment

  IR	                 	                 	                  	              	192	1183	A	 32	R	 1	  32.00	    915.0200	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	A                	                       	                             	                       	P                   	A                  	R                   	                       	F                     	P                     	P                    	P                     	R                       	R                      	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P10-P11 - middle Eocene - 43.6-49.0 - thin section #19

  IR	                 	                 	                  	              	192	1183	A	 32	R	CC	   0.00	    916.2000	Sikora   	Planktonic Foraminifers                      	A              	M                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	P                     	F               	                 	                       	                             	                       	                    	A                  	F                   	R                      	F                     	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P9 - 49.0-50.4

  IR	                 	                 	                  	              	192	1183	A	 33	R	 3	  21.00	    927.4700	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	A                     	R               	F                	R                      	R                            	R                      	P                   	F                  	P                   	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	lower P9 - 49.7-50.4; thin-section #20

  IR	                 	                 	                  	              	192	1183	A	 35	R	 1	  41.00	    943.9100	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	R                     	                    	F               	               	R                       	                          	                            	R                  	                      	                       	F                	                      	                            	F                     	R                         	P                 	A                     	P               	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	upper Zone P5 - very latest Paleocene

  IR	                 	                 	                  	              	192	1183	A	 36	R	 4	  88.00	    958.4300	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	R                     	                         	F                   	F                     	                    	                	               	D                       	                          	                            	A                  	                      	R                      	R                	                      	R                           	R                     	P                         	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	Zone 5; latest Paleocene

  IR	                 	                 	                  	              	192	1183	A	 37	R	 4	  17.00	    967.3400	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	A                       	rP                        	P                           	                   	P                     	P                      	F                	P                     	P                           	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	Zone 4b-4c - 57.1-56.5 Ma

  IR	                 	                 	                  	              	192	1183	A	 37	R	 4	  57.00	    967.7400	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	R                     	                         	                    	A                     	                    	P               	               	D                       	                          	R                           	A                  	P                     	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	Zone 4c based on forams and nanno NP9 call - Thin-section #24

  IR	                 	                 	                  	              	192	1183	A	 37	R	 4	  97.00	    968.1400	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	P                     	                         	                    	                      	                    	                	               	                        	P                         	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	P3b-P4

  IR	                 	                 	                  	              	192	1183	A	 38	R	 3	  68.00	    976.0800	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	P                        	                    	R                     	F                   	                	R              	F                       	R                         	P                           	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	lower zone P4a 58.0-59.2Ma; thin-section #25

  IR	                 	                 	                  	              	192	1183	A	 38	R	 6	  15.00	    980.0500	Sikora   	Planktonic Foraminifers                      	A              	P                 	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	R                     	                         	                    	R                     	F                   	R               	P              	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	                       	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	                    	                             	                       	                        	                        	                         	                             	                       	                  	                          	                           	                   	                          	                             	                        	                           	                  	                    	                  	                     	               	                	                         	lower zone P4a 58.0-59.2Ma; thin-section #26
