file,path,empty_rows_columns,remove_identical_rows,remove_identical_columns,add_expedition_section_cols,rename_label_id,add_sample_name
376_macroscopic_U1528A_1.csv,Lithology_CSV/376_macroscopic_U1528A_1.csv,False,False,False,True,False,False
371_macroscopic_U1508B.csv,Lithology_CSV/371_macroscopic_U1508B.csv,False,False,False,True,False,False
327_sediment_U1363B.csv,Lithology_CSV/327_sediment_U1363B.csv,True,False,False,False,True,False
329_sediment_U1369D.csv,Lithology_CSV/329_sediment_U1369D.csv,True,False,False,True,False,False
369_U1512A_macroscopic.cw_SH.csv,Lithology_CSV/369_U1512A_macroscopic.cw_SH.csv,False,False,False,True,False,False
X363-U1482D-macroscopic.csv,Lithology_CSV/X363-U1482D-macroscopic.csv,False,False,False,True,False,False
X363-U1488B-macroscopic.csv,Lithology_CSV/X363-U1488B-macroscopic.csv,False,False,False,True,False,False
342_sediment_U1402B.csv,Lithology_CSV/342_sediment_U1402B.csv,False,False,False,False,True,False
351_macroscopic_U1438A.csv,Lithology_CSV/351_macroscopic_U1438A.csv,False,False,False,False,False,False
329_sediment_U1369E.csv,Lithology_CSV/329_sediment_U1369E.csv,True,False,False,False,False,False
354_macroscopic_U1453A.csv,Lithology_CSV/354_macroscopic_U1453A.csv,False,False,False,True,False,False
324 sediment description_U1348A.csv,Lithology_CSV/324 sediment description_U1348A.csv,True,False,False,False,True,False
327_sediment_U1363C.csv,Lithology_CSV/327_sediment_U1363C.csv,True,False,False,False,True,False
371_macroscopic_U1508C.csv,Lithology_CSV/371_macroscopic_U1508C.csv,False,False,False,True,False,False
353_macroscopic_U1445B.csv,Lithology_CSV/353_macroscopic_U1445B.csv,False,False,False,True,False,False
320 Core Description_U1335A.csv,Lithology_CSV/320 Core Description_U1335A.csv,True,False,False,False,True,False
354_macroscopic_U1449B.csv,Lithology_CSV/354_macroscopic_U1449B.csv,False,False,False,True,False,False
346_description_U1422C.csv,Lithology_CSV/346_description_U1422C.csv,False,False,False,True,False,False
376_macroscopic_U1528C_2.csv,Lithology_CSV/376_macroscopic_U1528C_2.csv,False,False,False,True,False,False
356-U1460A_macroscopic.csv,Lithology_CSV/356-U1460A_macroscopic.csv,False,False,False,True,False,False
340_sediment_U1394A.csv,Lithology_CSV/340_sediment_U1394A.csv,True,False,False,False,True,False
340_sediment_U1398B.csv,Lithology_CSV/340_sediment_U1398B.csv,False,False,False,True,False,False
366_macroscopic_U1491B.csv,Lithology_CSV/366_macroscopic_U1491B.csv,False,False,False,True,False,False
X363-U1489D-macroscopic.csv,Lithology_CSV/X363-U1489D-macroscopic.csv,False,False,False,True,False,False
346_description_U1422A.csv,Lithology_CSV/346_description_U1422A.csv,False,False,False,True,False,False
375_U1520C_macroscopic.csv,Lithology_CSV/375_U1520C_macroscopic.csv,False,False,False,True,False,False
X363-U1483B-macroscopic.csv,Lithology_CSV/X363-U1483B-macroscopic.csv,False,False,False,True,False,False
371_macroscopic_U1508A.csv,Lithology_CSV/371_macroscopic_U1508A.csv,False,False,False,True,False,False
329_sediment_U1365D.csv,Lithology_CSV/329_sediment_U1365D.csv,True,False,False,False,False,False
355-U1456E_macroscopic_20160607.csv,Lithology_CSV/355-U1456E_macroscopic_20160607.csv,False,False,False,True,False,False
356-U1463C_macroscopic.csv,Lithology_CSV/356-U1463C_macroscopic.csv,False,True,False,True,False,False
329_sediment_U1368C.csv,Lithology_CSV/329_sediment_U1368C.csv,True,False,False,False,False,False
359-U1467B_macroscopic.csv,Lithology_CSV/359-U1467B_macroscopic.csv,False,False,False,True,False,False
X363-U1485A-macroscopic.csv,Lithology_CSV/X363-U1485A-macroscopic.csv,False,False,False,True,False,False
356-U1464D_macroscopic_20160621.csv,Lithology_CSV/356-U1464D_macroscopic_20160621.csv,False,False,False,True,False,False
