Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rigaudella aemula	Peridictyocysta mirabilis	Oligosphaeridium sp. A	Meiourogonyaulax maculata	Meiourogonyaulax diaphanis	Leptodinium eumorphum	Egmontodinium torynum	Belodinium nereidis	Batioladinium spp.	Amphorula sp. A	Acanthaulax granulata	Wanaea spp.	Scriniodinium attadalense	Perisseiasphaeridium inusitatum	Gonyaulacysta jurassica	Fromea cylindrica	Wallodinium luna	Tubotuberella spp.	Meiourogonyaulax sp. A	Hystrichodinium group B	Dingodinium jurassicum	Ellipsoidictyum cinctum	Bourkidinium spp.	Tetrachacysta sp. A	Scriniodinium ceratophorum	Papuadinium apiculatum	Meiourogonyaulax stoveri	Prolixosphaeridium spp.	Meiourogonyaulax cf. maculatum	Sentusidinium sp. A	Pareodinia spp.	Scriniodinium crystallinum	Tanyosphaeridium spp.	Nannoceratopsis pellucida	Systematophora areolata	Leptodinium mirabile	Amphorula? sp. B	Hystrichodinium group A	Wallodinium spp.	Canninginopsis tabulata	Dissimulidinium lobispinosum	Scriniodinium playfordii	Tetrachacysta sp. B	Stiphrosphaeridium anthophorum	Pareodinia robusta	Liesbergia sp. A	Oligosphaeridium diluculum	Batioladinium reticulatum	Balcattia sp. A	Apteodinium granulatum	Dapsilidinium warrenii	Cassiculosphaeridia magna	Circulodinium deflandrei	Comment

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 29	R	 6	  44.00	    873.5400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	                          	+                    	                     	                   	+                 	               	+                    	+r         	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	+                             	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 1	  42.00	    875.5200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	                       	                	+                      	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 2	  48.00	    877.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 3	  46.00	    878.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	+                         	                     	                     	                   	                  	+              	+                    	           	                         	                               	                       	+                	                	                  	                      	+                      	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	+                             	+                 	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 4	  46.00	    880.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	                         	                          	                     	                     	+                  	+                 	+              	                     	+r         	+                        	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	                              	+                  	               	r                         	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 5	  48.00	    881.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	                         	                          	+                    	                     	                   	+                 	               	+                    	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 30	R	 6	  47.00	    883.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	+                 	               	+                    	           	+                        	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 1	  48.00	    885.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	+                     	+                        	                          	+                    	                     	                   	                  	               	+                    	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	+                       	                       	+                             	+                  	               	+r                        	                     	                         	                       	+r                  	                	+                      	                	                       	+                           	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 2	  51.00	    886.6100	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	+                 	               	+                    	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	+r                        	                      	+                       	+                      	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	+                  	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 3	  48.00	    888.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	+                    	                     	                   	                  	               	                     	           	+                        	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	+                       	                       	+                             	                   	+              	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	+                             	+                 	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 4	  48.00	    889.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	                         	                          	+                    	                     	                   	                  	               	+                    	+r         	+                        	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 5	  47.00	    891.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	+                         	+                    	                     	                   	+                 	               	+                    	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 31	R	 6	  44.00	    892.5400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	+                    	                   	                  	               	+                    	+r         	+                        	                               	                       	                 	                	                  	+                     	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 1	  40.00	    894.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	+                        	+                         	+                    	                     	                   	                  	               	+                    	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 2	  40.00	    896.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	                	+                 	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	+               	                       	+                           	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 3	  48.00	    897.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	+                     	                         	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 4	  40.00	    899.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	+                       	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 5	  40.00	    900.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	+                         	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 32	R	 6	  40.00	    902.0000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 33	R	 1	  48.00	    904.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	                         	                          	                     	                     	+                  	                  	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	+              	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 33	R	 2	  48.00	    905.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	+                  	                  	+              	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	+r                  	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 33	R	 3	  48.00	    907.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	+                      	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 33	R	 4	  48.00	    908.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 33	R	 5	  48.00	    910.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 1	  50.00	    913.6000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	+                      	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 2	  63.00	    915.2300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	                          	+                    	                     	                   	                  	               	                     	+r         	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	+                      	                              	+                  	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 3	  45.00	    916.5500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	+r                     	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 4	  47.00	    918.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	                     	                     	                   	+                 	               	                     	           	+                        	                               	                       	+                	                	                  	+                     	                       	                      	                       	+                	                   	+r                        	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	+                 	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 5	  46.00	    919.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	+                     	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 34	R	 6	  46.00	    921.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	                	+                 	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	                   	               	                          	+                    	                         	                       	                    	                	+                      	+               	                       	                            	                        	                   	+                             	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 35	R	 1	  46.00	    923.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513
