Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalita humilis,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Pulleniatina primalis (sin.),Orbulina universa,Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia merotumida,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globorotalia margaritae,Globorotalia juanai,Globorotalia cibaoensis,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina baroemoenensis,Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinoides extremus,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Globorotalia theyeri,Neogloboquadrina dutertrei,Globorotalia limbata (sin.),Globorotalia limbata (dex.),Globigerina falconensis (?),Globorotalia tumida,Candeina nitida,Beella praedigitata,Sphaeroidinella dehiscens,Pulleniatina primalis (dex.),Globorotalia miocenica,Globigerinoides ruber (white),Globorotalia anfracta,Globorotalia puncticulata,Globorotalia inflata,Globorotalia ungulata,Globorotalia tosaensis,Globoquadrina conglomerata,Globigerinella calida,Tenuitellid taxa,Globigerina rubescens,Globigerina quinqueloba,Globorotalia truncatulinoides,Globorotalia crassula,Pulleniatina obliquiloculata,Globigerinoides tenellus,Globigerinoides fistulosus,Globorotalia crassaformis,Globigerinoides ruber (pink),Turborotalita quinqueloba,P-D intergrade,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia truncatulinoides (sin.),Globorotalia truncatulinoides (dex.),Globorotalia menardii,Globorotalia hirsuta,Globorotalia flexuosa,Globoquadrina hexagona,Globigerinoides sacculifera (with sack),Globigerinoides conglobatus,Globigerina falconensis,Globigerina digitata,Globigerina calida,Comment
  SR,                 ,                 ,N19-N20           ,              ,138, 847,B, 15,H, 4,  75.00,    135.2500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.3%                  ,1.3%                          ,.3%                               ,.0%                         ,.0%              ,1.0%                              ,.0%                               ,                         ,30.0%                       ,.0%                     ,.3%                 ,.0%                      ,                       ,.0%                         ,4.0%                        ,                       ,                   ,                       ,2.0%                     ,                       ,.7%                         ,.3%                                      ,.0%                       ,.3%                     ,.0%                     ,.0%                ,38.0%                  ,.3%                 ,.0%                          ,.7%              ,.0%                  ,.7%                  ,1.3%                ,.3%                       ,                    ,17.0%                     ,.0%                        ,.0%                        ,                           ,1.0%               ,               ,.0%                ,.0%                      ,.3%                         ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N18               ,N19           ,138, 847,B, 16,X, 4,  75.00,    144.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.0%                           ,.3%                               ,.9%                         ,.3%              ,.9%                               ,.0%                               ,                         ,16.0%                       ,.9%                     ,.6%                 ,2.2%                     ,                       ,.6%                         ,1.6%                        ,                       ,                   ,.3%                    ,3.8%                     ,                       ,.6%                         ,2.2%                                     ,.3%                       ,3.8%                    ,.0%                     ,.0%                ,23.0%                  ,.6%                 ,1.6%                         ,5.0%             ,1.9%                 ,.6%                  ,3.8%                ,1.3%                      ,                    ,23.0%                     ,.0%                        ,.3%                        ,                           ,3.8%               ,               ,.0%                ,.3%                      ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N18               ,N19           ,138, 847,B, 17,X, 4,  75.00,    151.0500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,4.9%                          ,1.0%                              ,1.3%                        ,.0%              ,1.0%                              ,.0%                               ,.3%                      ,35.0%                       ,2.0%                    ,.7%                 ,.3%                      ,                       ,.0%                         ,1.6%                        ,                       ,                   ,.0%                    ,2.6%                     ,                       ,.3%                         ,.7%                                      ,1.0%                      ,1.6%                    ,.3%                     ,.0%                ,17.0%                  ,1.0%                ,1.0%                         ,3.3%             ,2.0%                 ,.0%                  ,1.0%                ,.0%                       ,                    ,19.0%                     ,.0%                        ,.0%                        ,.3%                        ,.7%                ,               ,.3%                ,.3%                      ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N18               ,N19           ,138, 847,B, 18,X, 4,  75.00,    160.6500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.3%                  ,1.5%                          ,.6%                               ,.3%                         ,.9%              ,6.0%                              ,1.2%                              ,.0%                      ,44.0%                       ,.6%                     ,.9%                 ,.6%                      ,                       ,1.5%                        ,1.8%                        ,                       ,                   ,.3%                    ,3.0%                     ,                       ,.6%                         ,.3%                                      ,.0%                       ,2.1%                    ,.0%                     ,.6%                ,21.0%                  ,.6%                 ,.3%                          ,3.9%             ,.0%                  ,.6%                  ,1.2%                ,.3%                       ,                    ,3.9%                      ,.0%                        ,.0%                        ,                           ,.3%                ,.3%            ,.3%                ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 19,X, 4,  75.00,    169.9500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,1.2%                          ,.6%                               ,.0%                         ,2.1%             ,5.8%                              ,3.6%                              ,.0%                      ,39.0%                       ,1.8%                    ,1.5%                ,.6%                      ,                       ,.6%                         ,1.5%                        ,                       ,                   ,.0%                    ,1.5%                     ,                       ,.6%                         ,2.1%                                     ,.3%                       ,1.2%                    ,.0%                     ,.0%                ,18.0%                  ,.6%                 ,1.8%                         ,3.6%             ,1.2%                 ,.0%                  ,.3%                 ,.3%                       ,                    ,9.4%                      ,.0%                        ,.0%                        ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 20,X, 4,  73.00,    179.1300,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,2.6%                          ,1.3%                              ,.3%                         ,.3%              ,6.6%                              ,.0%                               ,.0%                      ,25.0%                       ,.3%                     ,.3%                 ,.3%                      ,                       ,.7%                         ,1.0%                        ,                       ,                   ,.0%                    ,1.3%                     ,                       ,.0%                         ,.3%                                      ,.0%                       ,1.6%                    ,.0%                     ,.0%                ,37.0%                  ,1.6%                ,1.6%                         ,7.9%             ,.7%                  ,.0%                  ,.7%                 ,.0%                       ,                    ,3.3%                      ,.0%                        ,.3%                        ,4.3%                       ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 21,X, 4,  45.00,    188.4500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,1.3%                          ,1.0%                              ,.0%                         ,5.9%             ,1.0%                              ,.0%                               ,1.7%                     ,33.0%                       ,.0%                     ,1.0%                ,.3%                      ,                       ,.0%                         ,2.0%                        ,                       ,                   ,.3%                    ,.7%                      ,.3%                    ,.0%                         ,3.3%                                     ,.3%                       ,3.3%                    ,.0%                     ,.3%                ,32.0%                  ,.3%                 ,.7%                          ,8.9%             ,.3%                  ,.0%                  ,2.3%                ,.0%                       ,                    ,                          ,                           ,                           ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 22,X, 4,  45.00,    198.1500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,1.6%                          ,.3%                               ,.3%                         ,.6%              ,.0%                               ,.6%                               ,2.5%                     ,43.0%                       ,1.9%                    ,2.5%                ,.3%                      ,                       ,.3%                         ,3.8%                        ,                       ,.3%                ,.0%                    ,.9%                      ,.0%                    ,.0%                         ,.6%                                      ,.0%                       ,3.2%                    ,.6%                     ,.3%                ,23.0%                  ,.6%                 ,.6%                          ,6.3%             ,2.5%                 ,.0%                  ,2.5%                ,.0%                       ,                    ,                          ,                           ,                           ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 23,X, 4,  45.00,    207.7500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.9%                           ,.0%                               ,.3%                         ,.6%              ,.0%                               ,.3%                               ,2.1%                     ,23.0%                       ,3.0%                    ,3.6%                ,.9%                      ,.3%                    ,1.2%                        ,3.0%                        ,.3%                    ,.0%                ,.0%                    ,6.1%                     ,.0%                    ,.3%                         ,1.5%                                     ,.6%                       ,2.4%                    ,.9%                     ,.0%                ,28.0%                  ,1.5%                ,1.5%                         ,10.0%            ,5.5%                 ,.3%                  ,1.2%                ,.0%                       ,.3%                 ,                          ,                           ,                           ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 24,X, 4,  45.00,    217.4500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.3%                           ,.0%                               ,.3%                         ,.6%              ,.0%                               ,7.1%                              ,3.4%                     ,27.0%                       ,2.5%                    ,3.7%                ,.0%                      ,.0%                    ,.0%                         ,4.0%                        ,.0%                    ,.0%                ,.0%                    ,9.9%                     ,.0%                    ,.0%                         ,.9%                                      ,.0%                       ,.9%                     ,.6%                     ,.0%                ,24.0%                  ,.9%                 ,.0%                          ,5.9%             ,5.6%                 ,.0%                  ,1.9%                ,.0%                       ,                    ,                          ,                           ,                           ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N17b              ,              ,138, 847,B, 25,X, 4,  45.00,    227.1500,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,.0%                  ,.7%                           ,.7%                               ,.0%                         ,1.3%             ,.0%                               ,.0%                               ,.0%                      ,29.0%                       ,2.9%                    ,2.3%                ,2.9%                     ,1.3%                   ,13.0%                       ,1.6%                        ,.0%                    ,.0%                ,.0%                    ,2.6%                     ,.3%                    ,.0%                         ,1.3%                                     ,.3%                       ,2.0%                    ,.0%                     ,.0%                ,29.0%                  ,.0%                 ,1.0%                         ,2.9%             ,4.2%                 ,.0%                  ,1.0%                ,.0%                       ,                    ,                          ,                           ,                           ,                           ,                   ,               ,                   ,                         ,                            ,                      ,                             ,                     ,                         ,                    ,                     ,                      ,                          ,                     ,                ,                     ,                       ,                             ,                     ,                            ,                        ,                          ,                         ,                            ,                         ,              ,                                       ,                                     ,                                    ,                                    ,                     ,                    ,                     ,                      ,                                       ,                           ,                       ,                    ,                  ,from ODP Leg 138 SR Ch 25 Appendix B pp 595-597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
