Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pullenia spp.	Nuttallides umbonifera	Miliolids species	Eponides tumidulus	Epistominella exigua	Eggerella bradyi	Oridorsalis umbonatus	Gyroidinoides lamarckianus	Gyroidinoides laevigatus ex. gr.	Dentalina/Nodosaria spp.	Textularia taxa	Ammonia beccarii	Uvigerinid taxa	Pullenia bulloides	Melonis pompilioides	Laticarinina pauperata	Lagena taxa	Globocassidulina subglobosa	Pyrgo spp.	Planulina wuellerstorfi	Hoeglundina elegans	Reussella spinulosa	Nonionella spp.	Hyalina balthica	Gyroidinoides spp.	Cibicidoides bradyi	Buliminid taxa	Buliminella spp.	Bolivinid taxa	Melonis nicobarense	Cibicidoides spp.	Pleurostomella spp.	Lenticulina spp.	Rosalina globularis	Hanzawaia boueana	Fursenkoina spp.	Florilus boueanus	Cassidulina spp.	Stainforthia spp.	Gyroidinoides altiformis	Cibicidoides kullenbergi	Karreriella sp.	Anomalinoides spp.	Gyroidinoides umbonatus ex. gr.	Gyroidinoides neosoldanii	Sphaeroidina bulloides	Heterolepa spp.	Bolivinita quadrilatera	Comment
  SR	                 	                 	                  	              	116	 719	A	 34	X	CC	  27.00	    317.7300	Iaccarino	Benthic Foraminifers                         	               	                  	             	3                     	                 	                  	1                   	                	2                    	                          	                                	                        	               	                	               	                  	                    	                      	1          	                           	          	4                      	1                  	                   	               	                	                  	                   	              	                	              	2                  	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 35	X	 3	  63.00	    321.3300	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	                 	                  	1                   	                	                     	                          	                                	                        	               	                	               	                  	                    	1                     	           	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 35	X	CC	  31.00	    322.9400	Iaccarino	Benthic Foraminifers                         	               	                  	             	1                     	                 	                  	2                   	                	                     	                          	                                	                        	               	                	               	                  	                    	                      	1          	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 36	X	 6	  67.00	    335.3700	Iaccarino	Benthic Foraminifers                         	               	                  	             	1                     	                 	                  	                    	                	                     	                          	                                	                        	               	                	               	                  	                    	                      	           	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 37	X	 5	  87.00	    343.5700	Iaccarino	Benthic Foraminifers                         	               	                  	1            	5                     	                 	                  	1                   	1               	2                    	                          	                                	                        	               	                	4              	                  	                    	1                     	3          	2                          	          	                       	                   	1                  	1              	5               	6                 	1                  	5             	2               	17            	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 37	X	CC	  36.00	    345.4000	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	                 	                  	                    	                	                     	                          	                                	                        	1              	                	               	                  	                    	                      	           	                           	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 38	X	 2	  66.00	    348.3600	Iaccarino	Benthic Foraminifers                         	               	                  	             	                      	1                	                  	2                   	                	                     	                          	                                	                        	               	                	               	                  	                    	1                     	           	2                          	1         	7                      	1                  	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

  SR	                 	                 	                  	              	116	 719	A	 38	X	 5	  78.00	    352.9800	Iaccarino	Benthic Foraminifers                         	               	                  	             	10                    	                 	                  	2                   	                	1                    	                          	                                	                        	               	                	1              	2                 	1                   	1                     	2          	2                          	          	                       	                   	                   	               	                	                  	                   	              	                	              	                   	                 	                   	                	                   	                 	                	                 	                	                 	                        	                        	               	                  	                               	                         	                      	               	                       	from ODP Leg 116 SR Chapter 18 Table 4 p 223

