Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of benthic forams in total foram assemblage [%],"Reworking comment (1= <1%, 2= light 1-10%, 3= >10%)","PALEO WATER DEPTH (IS=inner shelf, MS=middle shelf, OS=outer shelf)",Temperature Range,Aspect comment (etching),Comment (general),Large Benthic Forams [%],Acervulina mabahethi,Agglutinated spp. (indeterminate),Ammodiscus sp.,Ammonia spp.,Amphicoryna scalaris,Amphicoryna separans,Amphicoryna spp.,Amphistegina hauerina,Amphistegina lessonii,Amphistegina lobifera,Amphistegina papillosa,Amphistegina radiata,Amphistegina spp.,Anomalinella rostrata,Anomalinoides globulosus,Anomalinoides spp.,Articulina alticostata,Articulina pacifica,Assilina ammonoides,Astacolus spp.,Asterorotalia concinna,Astrononion spp.,Astrororalia milletti,Bolivina pusilla,Bolivina robusta,Bolivina sp.,Bolivina striatula,Bolivinella elegans,Bolivinita quadrilatera,Borelis spp.,Brizalina semilineata,Brizalina spp.,Bulimina aculeata,Bulimina barbata,Bulimina marginata,Bulimina sp.,Bulimina striata,Buliminella spp.,Buliminoides spp.,Cancris auriculus,Cancris spp.,Cassidulina carinata,Cassidulina sp.,Cassidulinoides spp.,Cerebrina lacunata,Challengeria spp.,Chilostomella oolina,Chilostomella sp.,Chrysalidinella dimorpha ,Cibicides mediocris,Cibicides praecinctus,Cibicides spp.,Cibicides tenuimargo,Cibicides wuellerstorfi,Cibicidoides bradyi,Cibicidoides globulosus,Cibicidoides mundula,Cibicidoides renzi,Cibicidoides sp.,Cibicidoides subhaidingerii,Clavulina subangularis,Cornuspira spp.,Cristellaria bradyi,Cycloclypeus? sp.,Cymbaloporetta sp. 1,Cymbaloporetta spp.,Discorbia spp.,Discorbinella sp. 1,Discorbinella spp.,Discorbis spp.,Eggerella bradyi,Ehrenbergina pacifica,Ehrenbergina spp.,Elhpidium craticulatum,Elongobula crispum,Elongobula parallela,Elphidium advenum limbatum,Elphidium excavatum,Elphidium hispidulum,Elphidium macellum,Elphidium spp.,Epistominella exigua,Epistominella spp.,Euloxostomum pseudobeyrichi,Eusphaeroidina inflata,Favocassidulina favus,Fissurina formosa,Fissurina marginata,Fissurina sp.,Frondricularia spp.,Gaudryina convexa,Gavelinopsis praegeri,Glabratella spp.,Glandulina spp.,Globobulimina affinis,Globocassidulina spp.,Globocassidulina subglobosa,Globogyroidina boninensis,Guttulina communis,Guttulina spp.,Guttulina yabei,Gyroidina neosoldanii,Gyroidinoides spp.,Hauerina spp.,Heterolepa bradyi,Heterostegina depressa,Hoeglundina elegans,Homotrema rubra,Hyalinea spp.,Inaequilina spp.,Karreriella bradyi,Laevidentalina communis,Laevidentalina inflexa,Laevidentalina spp.,Lagena sp.,Laticarinina pauperata,Lenticulina rotulata,Lenticulina sp. ,Lobatula Lobatula,Marginopora spp.,Marginulina obesa,Martinotiella spp.,Martinottiella communis,Martinottiella hosoyaensis,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Migros flintii,Miliolina spp.,Miliolinella oceanica,Miliolinella sp. 1,Miliolinella subrotunda,Monalysidium spp.,Monalysidium spp. ,Mucronina compressa,Neoeponides margaritifer,Neoeponides procerus,Neoeponides spp.,Neorotalia spp.,Nephrolepidina ferrori,Nephrolepidina Spp.,Neugeborina longiscata,Nodosaria spp.,Nonionella sp.,Nonionoides grateloupi,Nonionoides spp.,Numullites spp.,Nuttallides umbonifera,Obesopleurostomella brevis,Olgia spp.,Oolina globosa,Oolina spp.,Operculina ammonoides,Operculina complanata,Operculina spp.,Operculinella venosa,Ophthalmidium circularis ,Oridorsalis spp.,Oridorsalis umbonatus,Osangulariella bradyi,Parafissurina sp.,Parasorites spp.,Patellina spp.,Patellinella spp.,Peneroplis spp.,Pileolina spp.,Planispirinella spp.,Planogypsina sp. 1,Planorbulina spp.,Planorbulinella larvata,Planospirina spp.,Planularia gemmata,Planularia spp.,Planulina spp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella sp. A,Pleurostomella spp.,Procerolagena spp.,Pseudoclavulina juncea,Pseudonodosaria sp.,Pseudonodosaria spp.,Pseudorotalia angusta,Pseudorotalia annectens,Pseudorotalia globosa,Pseudorotalia indopacifica,Pseudorotalia inermis,Pseudorotalia schroetiana,Pseudorotalia spp.,Pullenia bulloides,Pullenia quinqueloba,Pullenia simplex,Pullenia sp.,Pyramidulina glanduliniformis,Pyrgo denticulata,Pyrgo lucernula,Pyrgo murrhina,Pyrgo spp.,Quinqueloculina exmouthensis,Quinqueloculina lamarckiana,Quinqueloculina neocostata,Quinqueloculina patagonica,Quinqueloculina philippinensis,Quinqueloculina spp.,Quinqueloculina subpolygona,Rectobolivina bifrons,Recurvoides sp.,Reophax spp.,Reusella spp.,Rhabdammina? sp.,Rhizammina sp.,"Rhizammina sp. (Kaiho, 1992)",Rosalina spp.,Rotalinoides gaimardii,Rotalinoides spp.,Rotliammina sp.,Rudigaudryina minor,Sagrinella jugosa,Sagrinella spp.,Sahulia barkeri,Saraceneria spp.,Semicassis craticulata,Septotextularia rugosa,Sigmoidella elegantissima,Sigmoidella spp.,Sigmoilopsis schlumbergeri,Siphogeneria raphana,Siphogenerina dimorpha,Siphogenerina indica,Siphonaperta spp.,Siphoniferoides siphonifera,Siphonina tubulosa,Siphouvigerina hispida,Siphouvigerina interrupta,Siphouvigerina porrecta,Siphouvigerina proboscidae,Sorites spp.,Sphaerogypsina globulus,Sphaeroidina bulloides,Spiroloculina sp. N/A,Spiroloculina spp.,Spirotextularia fistulosa,Spirotextularia spp.,Spirotextularia tubulosa,Sprioloculina corrugata,Stilostomella abyssorum,Stilostomella gracillima,Stilostomella lepidula,Stilostomella sp.,Textularia agglutinans,Textularia catenata,Textularia lateralis,Textularia spp.,Textularia sp. 1,Textulariella barrettii,Tosaia hanzawai,Tretomphaloides spp.,Tribliolepidina spp.,Trifarina spp.,Triloculina spp.,Tritaxis fusca,Unidentified benthic forams,Uvigerina graciliformis,Uvigerina hispidocostata,Uvigerina peregrina,Uvigerina senticosa,Uvigerina spp.,Vaginulinopsis bradyi,Vertebralina spp.,Wiesnerella spp.,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
356-U1462C-145R-CC-PAL-FORAM-150 2000,0,5,786.62,786.67,P [P39],R [A10],20,,,,,Heavily dolomitized.,1,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,,,,,P [A109],,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,P [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30937931,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30937931,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30937931, ",356,U1462,C,145,R,CC,PAL,FORAM-150 2000,,
356-U1462C-149R-CC-PAL-FORAM-150-2000,0,5,809.1,809.15,P [P39],,46,,,,,"Highly fragmented and abraded, increasing quartz grains.",,P [A109],,,,,,,,P [A109],,,,,,,,,,,,,,,,R [A109],R [A109],,,,,R [A109],,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,P [A109],,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,A [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,R [A109],,,,,,,,,356,U1462,C,149,R,CC,PAL,FORAM-150-2000,,
356-U1462C-149R-CC-PAL-FORAM-150-2000,0,5,809.1,809.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30943731,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30943731,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30943731, ",356,U1462,C,149,R,CC,PAL,FORAM-150-2000,,
356-U1462C-150R-1-W 11/12-FORAM,0,1,810.61,810.62,P [P39],,,,,,,Highly fragmented and abraded. Quartz present. Glauconite infilling of foraminifera.,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,P [A109],,,,,,,R [A109],,,,,,A [A109],,,,,,,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A109],,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30961411,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30961411,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30961411, ",356,U1462,C,150,R,1,W,11/12-FORAM,,
356-U1462C-151R-2-W 86/87-FORAM,0,1,817.62,817.63,P [P39],,,,,,,"Highly fragmented and abraded. Quartz present, Glauconite present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30959411,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30959411,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30959411, ",356,U1462,C,151,R,2,W,86/87-FORAM,,
356-U1462C-153R-CC-PAL-FORAM-150-2000,0,5,827.6,827.65,P [P39],,42,,,,,"Highly fragmented and abraded, with quartz grains and muskovite minerals.",,P [A109],,,,,,,,,,,,P [A109],,,,,,,,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,R [A109],,D [A109],F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,R [A109],,,,,,,P [A109],,,,,,F [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,R [A109],,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30952191,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30952191,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30952191, ",356,U1462,C,153,R,CC,PAL,FORAM-150-2000,,
356-U1462C-157R-1-W 94/96-FORAM,0,2,843.74,843.76,P [P39],R [A10],,,,,,Sugary dolomitization. Abundant quartz. Almost barren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30965321,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30965321,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30965321, ",356,U1462,C,157,R,1,W,94/96-FORAM,,
356-U1462C-157R-CC-PAL-FORAM-150-2000,0,5,844.64,844.69,,,,,,,,Barren sample. Sugary dolomitization. Quartz grains present. Glauconite casts suggest presence of benthic foraminifera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30954501,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30954501,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30954501, ",356,U1462,C,157,R,CC,PAL,FORAM-150-2000,,
356-U1462C-159R-1-W 89/90-FORAM,0,1,853.49,853.5,P [P39],R [A10],,,,,,Quartzite. Sample barren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30966991,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30966991,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30966991, ",356,U1462,C,159,R,1,W,89/90-FORAM,,
356-U1462C-159R-1-W 93/96-FORAM,0,3,853.53,853.56,P [P39],R [A10],,,,,,Quartzite. Sample barren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30967191,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30967191,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30967191, ",356,U1462,C,159,R,1,W,93/96-FORAM,,
356-U1462C-161R-CC-PAL-FORAM-150-2000,0,5,862.4,862.45,,,,,,,,Barren sample. Quartz grains present.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30961491,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30961491,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30961491, ",356,U1462,C,161,R,CC,PAL,FORAM-150-2000,,
356-U1462C-165R-1-W 57/59-FORAM,0,2,882.57,882.59,P [P39],R [A10],,,,,,Abundant dolomite and quartz. Only one whole specimen found with several test fragments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30969041,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30969041,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30969041, ",356,U1462,C,165,R,1,W,57/59-FORAM,,
356-U1462C-165R-CC-PAL-FORAM-150 2000,0,5,882.88,882.93,P [P39],R [A10],,,,,,Quartzite. Sample barren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30964781,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30964781,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30964781, ",356,U1462,C,165,R,CC,PAL,FORAM-150 2000,,
356-U1462C-169R-CC-PAL-FORAM-150 2000,0,3,901.67,901.7,P [P39],R [A10],,,,,,Quartzite. Sample barren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30965381,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30965381,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30965381, ",356,U1462,C,169,R,CC,PAL,FORAM-150 2000,,
356-U1462C-173R-CC-PAL-FORAM-150-2000,0,5,921.36,921.41,P [P39],R [A10],,,,,,Abundant dolomite and quartz. Few foraminifera only.,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,A [A109],,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A109],,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30967831,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30967831,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30967831, ",356,U1462,C,173,R,CC,PAL,FORAM-150-2000,,
356-U1462C-177R-CC-PAL-FORAM-150-2000,0,5,942.35,942.4,P [P39],R [A10],100,,,,,Abundant dolomite and quartz. Few foraminifera only.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A109],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://web.ship.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30971641,http://web.iodp.tamu.edu/resteasy-asman/re?service=getFile&recordId=30971641,"http://web.ship.iodp.tamu.edu:80/resteasy-asman/re?service=getFile&recordId=30971641, ",356,U1462,C,177,R,CC,PAL,FORAM-150-2000,,
