leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
16,155,,8,1,35.0,150.0,497.00,497.35,498.50,, DOLOMITIC NANNO CHALK, 5Y6/1-LT. OLIVE GREY," 35-110 CM MASSIVE,110-150 CM OBSCURELY LAMINATED", LAMINA DISTURBED 70-110 CM MODERATELY,, DOLO,,, WELL-INDURATED SOFTER 110-150 CM, 11121210
16,155,,8,2,0.0,150.0,497.00,498.50,500.00,, FORAM NANNO CHALK MARL," 5Y7/1-YE LLOWISH TO LT.OLIVE GREY,N5-MED.GREY 5Y6/1-LT.OLIVE GREY"," 0-130 CM 5Y7/1,130- 135 CM 5Y6/1,135-150 CM N5", MOD.DEFORMED 15-85 CM, PYR NOD AT 135 CM, PYR,,, SEMI-INDURATED, 12211210.1221
16,155,,9,CC,0.0,0.0,506.00,506.10,506.10,, CHALK OOZE, N7-LT.GREY,,,,,,, SEMI-INDURATED, 11120000
16,155,,11,1,75.0,115.0,521.00,521.75,522.15,, CHALK," 5Y7/2-YELLOWISH GREY,5Y6/1-LT.OLIVE GREY"," 75-82/88-100 CM 5Y7/2 PE BBLES WITH NANNOS,82-88 CM 5Y6/1 PEBBLE,100-115 CM 5 Y6/1 PEBBLES",,,, NANNOS 75-82/88-100 CM, PEBBLES, WELL-INDURATED, 11120000
16,155,,11,1,115.0,150.0,521.00,522.15,522.50,, ALTERED BASALT, 5Y6/1-LT.OLIVE GREY,,,,,," FINE-GRAINED,DIABASIC TEXT URE 5 PEBBLES", HARD, 00000000
16,155,,11,CC,0.0,0.0,521.00,522.60,522.60,, ALTERED BASALT,, ONE PIECE PARTLY VESICULAR WITH VESICLES LINED OR FILLED WITH CALCITE AND ZEOLITE,,," PLAG LATHS,CALCITE,ZEOLITE",," 3 4-8 CM PIECES,FINE-GRA INED", HARD, 00000000
16,155,,12,1,65.0,150.0,527.00,527.65,528.50,, ALTERED BASALT," 5Y2/1-OLIVE BLACK,5GY2/1-G REENISH BLACK,5GY3/1-DK.GREENISH GREY TO GREENISH BL ACK,N8-V.LT.GREY,N9-WHITE"," FEW VESICLES ,CARBONATE CRUST AT 73 CM,SOME VESICLES LINED WITH Z EOLITE OR LIMESTONE",,, ZEOLITE,, 14 PIECES, HARD, 00000000
16,155,,12,CC,0.0,0.0,527.00,528.60,528.60,, ALTERED BASALT,, FEW ZEOLITE-LINED VUGS IN ONE PIECE,,,,," 4 4-5 CM PIECES,FINE GRAIN ED", HARD, 00000000
16,155,,S1,1,0.0,0.0,384.00,384.00,384.00,, NANNO MARL, 5GY5/1-MED.GREENISH GREY,,,,,,, SEMI-INDURATED, 12211210
16,155,,S2,1,0.0,0.0,371.00,371.00,371.00,, NANNO MARL, 5GY5/1-MED.GREENISH GREY,,,,,,, SEMI-INDURATED, 12211210
16,155,,S3,1,0.0,0.0,285.00,285.00,285.00,, NANNO MARL, 10Y4/2-GREYISH OLIVE,,,,,,, SEMI-INDURATED, 12211210
