path,type,expedition,site,taxon_group
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/747/HOLE_A/Age_Model_Initial_Report.csv,age,120,747,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/747/HOLE_A/Age_Model_Post_Moratorium.csv,age,120,747,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/749/HOLE_B/Age_Model_Initial_Report.csv,age,120,749,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/749/HOLE_A/Age_Model_Initial_Report.csv,age,120,749,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/748/HOLE_B/Age_Model_Initial_Report.csv,age,120,748,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/748/HOLE_C/Age_Model_Initial_Report.csv,age,120,748,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/751/HOLE_A/Age_Model_Initial_Report.csv,age,120,751,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/751/HOLE_A/Age_Model_Post_Moratorium.csv,age,120,751,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/750/HOLE_B/Age_Model_Initial_Report.csv,age,120,750,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/120/750/HOLE_A/Age_Model_Initial_Report.csv,age,120,750,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/880/HOLE_A/Age_Model_Initial_Report.csv,age,144,880,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/873/HOLE_B/Age_Model_Initial_Report.csv,age,144,873,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/873/HOLE_B/Age_Model_Post_Moratorium.csv,age,144,873,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/872/HOLE_C/Age_Model_Post_Moratorium.csv,age,144,872,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/872/HOLE_A/Age_Model_Initial_Report.csv,age,144,872,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/144/871/HOLE_A/Age_Model_Post_Moratorium.csv,age,144,871,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1056/HOLE_B/Age_Model_Initial_Report.csv,age,172,1056,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1058/HOLE_A/Age_Model_Initial_Report.csv,age,172,1058,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1060/HOLE_A/Age_Model_Initial_Report.csv,age,172,1060,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1061/HOLE_A/Age_Model_Initial_Report.csv,age,172,1061,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1059/HOLE_A/Age_Model_Initial_Report.csv,age,172,1059,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1057/HOLE_A/Age_Model_Initial_Report.csv,age,172,1057,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1055/HOLE_B/Age_Model_Initial_Report.csv,age,172,1055,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1063/HOLE_A/Age_Model_Initial_Report.csv,age,172,1063,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1062/HOLE_E/Age_Model_Initial_Report.csv,age,172,1062,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1062/HOLE_B/Age_Model_Initial_Report.csv,age,172,1062,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1062/HOLE_A/Age_Model_Initial_Report.csv,age,172,1062,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/172/1054/HOLE_A/Age_Model_Initial_Report.csv,age,172,1054,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/752/HOLE_B/Age_Model_Initial_Report.csv,age,121,752,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/752/HOLE_B/Age_Model_Post_Moratorium.csv,age,121,752,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/752/HOLE_A/Age_Model_Initial_Report.csv,age,121,752,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/752/HOLE_A/Age_Model_Post_Moratorium.csv,age,121,752,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/755/HOLE_A/Age_Model_Post_Moratorium.csv,age,121,755,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/754/HOLE_B/Age_Model_Initial_Report.csv,age,121,754,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/754/HOLE_B/Age_Model_Post_Moratorium.csv,age,121,754,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/754/HOLE_A/Age_Model_Initial_Report.csv,age,121,754,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/753/HOLE_A/Age_Model_Initial_Report.csv,age,121,753,
cleaned_data/NOAA_csv/JanusIODP_paleo_agemodel/paleontology/age_models/121/753/HOLE_A/Age_Model_Post_Moratorium.csv,age,121,753,
