Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra dictyoda	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus grandis	Zygrhablithus bijugatus	Discoaster saipanensis	Dictyococcites bisectus	Cribrocentrum reticulatum	Coccolithus eopelagicus	Chiasmolithus oamaruensis	Chiasmolithus expansus	Sphenolithus moriformis	Discoaster nodifer	Discoaster barbadiensis	Isthmolithus recurvus	Dictyococcites scrippsae	Chiasmolithus altus	Discoaster tanii ornatus	Coccolithus pelagicus	Clausicoccus subdistichus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Dictyococcites antarcticus	Braarudosphaera bigelowii	Helicosphaera euphratis	Sphenolithus capricornutus	Micrantholithus entaster	Discoaster tanii	Discoaster deflandrei	Coccolithus miopelagicus	Rhabdosphaera procera	Calcidiscus leptoporus	Helicosphaera carteri	Sphenolithus belemnos	Sphenolithus heteromorphus	Scyphosphaera spp.	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Calcidiscus premacintyrei	Triquetrorhabdulus rugosus	Sphenolithus abies	Discoaster exilis	Coronocyclus nitescens	Reticulofenestra minuta	Helicosphaera rhomba	Calcidiscus macintyrei	Reticulofenestra gelida	Reticulofenestra haqii	Minylitha convallis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Sphenolithus neoabies	Amaurolithus ninae	Discoaster surculus	Discoaster quinqueramus	Amaurolithus tricorniculatus	Rhabdosphaera clavigera	Discoaster triradiatus	Pseudoemiliania lacunosa	Dictyococcites productus	Small Gephyrocapsa spp.	Pontosphaera japonica	Umbilicosphaera sibogae	Syracosphaera pulchra	Scapholithus fossilis	Rhabdosphaera stylifera	Helicosphaera kamptneri	Gephyrocapsa aperta	Reticulofenestra minutula	Oolithotus fragilis	Gephyrocapsa caribbeanica	Comment

  IR	                 	Early Miocene    	                  	              	182	1134	A	 20	X	CC	  27.00	    170.1300	Shafik   	Nannofossils                                 	R              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	                     	                         	F                          	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Early Miocene    	                  	              	182	1134	A	 21	X	CC	  47.00	    176.5800	Shafik   	Nannofossils                                 	R              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	                     	                         	F                          	                          	                          	                         	                       	                          	                        	                	                     	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Early Miocene    	                  	              	182	1134	A	 22	X	CC	  29.00	    191.7700	Shafik   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	                     	                         	C                          	                          	C                         	F                        	F                      	                          	                        	                	F                    	                        	                     	F                     	F                    	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	Discoaster are very heavily calcified.

  IR	                 	Early Miocene    	                  	              	182	1134	A	 24	X	CC	  24.00	    206.8000	Shafik   	Nannofossils                                 	C              	P                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	C                      	                  	                       	                     	                        	                   	                        	                     	                         	C                          	                          	                          	F                        	                       	                          	                        	                	F                    	                        	                     	                      	F                    	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Early Miocene    	                  	              	182	1134	A	 25	X	CC	  34.00	    215.1900	Ladner   	Nannofossils                                 	A              	P                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	R                    	                         	C                          	C                         	                          	R                        	R                      	                          	R                       	                	F                    	                        	R                    	R                     	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Early Miocene    	                  	              	182	1134	A	 26	X	CC	  15.00	    224.0500	Ladner   	Nannofossils                                 	A              	P                 	                         	                         	                    	                     	                     	                       	                      	                       	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	C                    	                         	C                          	C                         	C                         	                         	                       	                          	R                       	                	R                    	F                       	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	Discoasters are heavily overgrown

  IR	Late Oligocene   	Early Miocene    	NP25              	NN1           	182	1134	A	 27	X	CC	  34.00	    238.6400	Ladner   	Nannofossils                                 	A              	P                 	                         	                         	                    	                     	                     	                       	                      	F                      	                         	                       	                         	                      	F                      	                  	                       	                     	                        	                   	                        	C                    	                         	C                          	F                         	                          	C                        	                       	R                         	F                       	R               	C                    	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	Discoasters are heavily overgrown

  IR	                 	Late Oligocene   	                  	NP25          	182	1134	A	 28	X	CC	  12.00	    243.4200	Ladner   	Nannofossils                                 	C              	M                 	                         	                         	                    	                     	                     	                       	                      	R                      	                         	                       	                         	                      	R                      	                  	                       	                     	                        	                   	                        	F                    	                         	F                          	C                         	C                         	                         	R                      	                          	                        	                	                     	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Oligocene   	                  	NP25          	182	1134	A	 29	X	CC	  18.00	    253.0800	Ladner   	Nannofossils                                 	C              	P                 	                         	                         	                    	                     	                     	R                      	                      	F                      	                         	                       	                         	                      	                       	                  	                       	                     	                        	                   	                        	R                    	                         	F                          	F                         	C                         	F                        	                       	                          	                        	                	                     	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	       

  IR	                 	Late Oligocene   	                  	NP25          	182	1134	A	 30	X	CC	  22.00	    262.7200	Ladner   	Nannofossils                                 	A              	P                 	                         	                         	                    	                     	                     	F                      	                      	C                      	                         	                       	                         	                      	                       	                  	                       	                     	                        	R                  	                        	                     	                         	                           	F                         	                          	                         	                       	                          	                        	                	                     	                        	                     	                      	                     	                     	                          	                  	                                	                     	                         	                          	                  	                 	                      	                       	                    	                      	                       	                      	                   	                        	                     	                   	                     	                  	                   	                       	                            	                       	                      	                        	                        	                       	                     	                       	                     	                     	                       	                       	                   	                         	                   	                         	Some very overgrown discoasters

