Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globoturborotalita brazieri,Globoturborotalia sp. cf. G. labiacrassata,Globorotaloides suteri,Globigerina sp.,Catapsydrax unicavus,Catapsydrax dissimilis,Paragloborotalia semivera,Paragloborotalita incognita,Globoturborotalita sp.,Globorotalia praescitula,Globorotalia zealandica,Globoturborotalita woodi,Globorotalia miozea,Neogloboquadrina continuosa,Globorotalia scitula,Paragloborotalia siakensis,Globigerinita uvula,Globigerina bulloides,Neogloboquadrina sp.,Globoturorotalita sp. indet.,Neogloboquadrina pachyderma,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H, 5,  76.00,     77.9600,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,                    ,                          ,                   ,F                    ,F                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H, 6, 130.00,     80.0000,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,                           ,                    ,                          ,                   ,F                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A,  9,H,CC,  18.00,     81.3100,Berggren ,Planktonic Foraminifers                      ,R              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,A                       ,                   ,R                          ,                    ,                          ,                   ,                     ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 1,  32.00,     81.0200,Berggren ,Planktonic Foraminifers                      ,C              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,C                       ,                   ,                           ,                    ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 2,  32.00,     82.5200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,R                          ,                    ,                          ,                   ,R                    ,R                   ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NK5               ,              ,120, 751,A, 10,H, 3,  32.00,     84.0200,Berggren ,Planktonic Foraminifers                      ,F              ,G                 ,                           ,                                          ,                      ,               ,                    ,                      ,                         ,                           ,                      ,                        ,                       ,F                       ,                   ,                           ,                    ,                          ,                   ,R                    ,                    ,                            ,                           ,from ODP Leg 120 SR Vol 2 Chapter 35 Table Appendix C back pocket microfiche
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
