Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1426A-3H-3-A,53.0,75.0,15.53,15.75,,silty clay ,,silty clay ,,,,color banding,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
346-U1426A-3H-3-A,75.0,139.0,15.75,16.39,,clay ,,clay ,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
346-U1426A-3H-3-A,139.0,150.0,16.39,16.5,,silty clay ,,silty clay ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,silty clay ,silty clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,3,A
346-U1426A-3H-4-A,0.0,42.0,16.5,16.92,,silty clay [MMK88],,silty clay,,,,color banding,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,42.0,43.0,16.92,16.93,,tephra [FS84],,tephra,scoria,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,tephra,tephra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,43.0,46.0,16.93,16.96,,silty clay [MMK88],,silty clay,,,,color banding,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,46.0,66.0,16.96,17.16,,clay [Leg210],,clay ,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,66.0,78.0,17.16,17.28,,silty clay ,,silty clay,,,,mottling ,5Y 5/1 (gray),slight ,1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,78.0,96.0,17.28,17.46,,clay [Leg210],,clay,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,96.0,131.0,17.46,17.81,nannofossil rich,silty clay [MMK88],,nannofossil rich silty clay,,,,mottling [BJ80],5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,nannofossil rich  silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-4-A,131.0,150.0,17.81,18.0,,clay [Leg210],,clay,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,4,A
346-U1426A-3H-5-A,0.0,13.0,18.0,18.13,,silty clay [MMK88],,silty clay,,,,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-5-A,13.0,38.0,18.13,18.38,,clay [Leg210],,clay,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-5-A,38.0,50.0,18.38,18.5,,silty clay [MMK88],,silty clay,,,,,5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-5-A,50.0,64.0,18.5,18.64,,clay [Leg210],,clay,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-5-A,64.0,77.0,18.64,18.77,,silty clay [MMK88],,silty clay,,,,mottling [BJ80],5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-5-A,77.0,153.0,18.77,19.53,,clay [Leg210],,clay,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,5,A
346-U1426A-3H-6-A,0.0,50.0,19.53,20.03,,clay [Leg210],,clay,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
346-U1426A-3H-6-A,50.0,74.0,20.03,20.27,,silty clay [MMK88],,silty clay,,,,mottling [BJ80],5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
346-U1426A-3H-6-A,74.0,111.0,20.27,20.64,,clay [Leg210],,clay,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
346-U1426A-3H-6-A,111.0,123.0,20.64,20.76,,silty clay [MMK88],,silty clay,,,,mottling [BJ80],5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
346-U1426A-3H-6-A,123.0,133.0,20.76,20.86,,clay [Leg210],,clay,,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,,,,clay,clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
346-U1426A-3H-6-A,133.0,154.0,20.86,21.07,,silty clay [MMK88],,silty clay,,,,mottling [BJ80],5Y 3/1 (very dark gray),slight [DB86],1.0,,,,,,,,,,,,,,,silty clay,silty clay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,A,3,H,6,A
